tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,ABBV,0.681221,0,0,0,0
2023-02-02,ABBV,0.66837823,0,0,0,1
2023-02-03,ABBV,0.67100537,0,0,0,0
2023-02-06,ABBV,0.66969204,0,0,0,0
2023-02-07,ABBV,0.6705676,0,0,0,0
2023-02-08,ABBV,0.6667001,0,0,1,0
2023-02-09,ABBV,0.6965442,0,0,0,0
2023-02-10,ABBV,0.7209885,0,1,0,0
2023-02-13,ABBV,0.73324704,0,1,0,0
2023-02-14,ABBV,0.7249287,0,0,0,0
2023-02-15,ABBV,0.7137647,0,0,0,0
2023-02-16,ABBV,0.70260054,0,0,0,0
2023-02-17,ABBV,0.7155889,0,0,0,0
2023-02-21,ABBV,0.72062373,0,0,0,0
2023-02-22,ABBV,0.7109189,0,0,0,0
2023-02-23,ABBV,0.7211345,0,0,0,0
2023-02-24,ABBV,0.7258044,0,0,0,0
2023-02-27,ABBV,0.7372604,0,0,0,0
2023-02-28,ABBV,0.7344875,0,0,0,0
2023-03-01,ABBV,0.74448407,0,1,0,0
2023-03-02,ABBV,0.73799,0,0,0,0
2023-03-03,ABBV,0.7502485,1,1,0,0
2023-03-06,ABBV,0.744557,0,0,0,0
2023-03-07,ABBV,0.7274098,0,0,0,0
2023-03-08,ABBV,0.7031113,0,0,0,1
2023-03-09,ABBV,0.6866936,0,0,0,1
2023-03-10,ABBV,0.703914,0,0,0,0
2023-03-13,ABBV,0.72025895,0,0,0,0
2023-03-14,ABBV,0.7341228,0,0,0,0
2023-03-15,ABBV,0.735655,0,0,0,0
2023-03-16,ABBV,0.74470305,0,0,0,0
2023-03-17,ABBV,0.7368226,0,0,0,0
2023-03-20,ABBV,0.7506863,0,1,0,0
2023-03-21,ABBV,0.7554295,0,1,0,0
2023-03-22,ABBV,0.73280925,0,0,0,0
2023-03-23,ABBV,0.74470305,0,0,0,0
2023-03-24,ABBV,0.7645505,0,1,0,0
2023-03-27,ABBV,0.7610479,0,0,0,0
2023-03-28,ABBV,0.76622874,0,1,0,0
2023-03-29,ABBV,0.7644045,0,0,0,0
2023-03-30,ABBV,0.76382065,0,0,0,0
2023-03-31,ABBV,0.77440095,0,1,0,0
2023-04-03,ABBV,0.7820626,0,1,0,0
2023-04-04,ABBV,0.7773927,0,0,0,0
