tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,AMD,0.32884833,0,1,0,0
2023-02-02,AMD,0.346114,1,1,0,0
2023-02-03,AMD,0.3356699,0,0,0,0
2023-02-06,AMD,0.32433194,0,0,0,0
2023-02-07,AMD,0.33482313,0,0,0,0
2023-02-08,AMD,0.32908356,0,0,0,0
2023-02-09,AMD,0.32212082,0,0,0,0
2023-02-10,AMD,0.31398195,0,0,0,0
2023-02-13,AMD,0.32174444,0,0,0,0
2023-02-14,AMD,0.33501127,0,0,0,0
2023-02-15,AMD,0.33138877,0,0,0,0
2023-02-16,AMD,0.30739558,0,0,0,0
2023-02-17,AMD,0.29996237,0,0,0,0
2023-02-21,AMD,0.29182348,0,0,0,0
2023-02-22,AMD,0.29107076,0,0,1,0
2023-02-23,AMD,0.30584306,0,0,0,0
2023-02-24,AMD,0.29803348,0,0,0,0
2023-02-27,AMD,0.30123258,0,0,0,0
2023-02-28,AMD,0.30033875,0,0,0,0
2023-03-01,AMD,0.2989744,0,0,0,0
2023-03-02,AMD,0.3090892,0,0,0,0
2023-03-03,AMD,0.3141701,0,0,0,0
2023-03-06,AMD,0.3124765,0,0,0,0
2023-03-07,AMD,0.3169458,0,0,0,0
2023-03-08,AMD,0.33228266,0,1,0,0
2023-03-09,AMD,0.32597855,0,0,0,0
2023-03-10,AMD,0.31958035,0,0,0,0
2023-03-13,AMD,0.31647536,0,0,0,0
2023-03-14,AMD,0.3420681,0,1,0,0
2023-03-15,AMD,0.35255927,0,1,0,0
2023-03-16,AMD,0.3851148,0,1,0,0
2023-03-17,AMD,0.3909484,0,1,0,0
2023-03-20,AMD,0.38610274,0,0,0,0
2023-03-21,AMD,0.38196275,0,0,0,0
2023-03-22,AMD,0.38972527,0,0,0,0
2023-03-23,AMD,0.40242752,1,1,0,0
2023-03-24,AMD,0.39146593,0,0,0,0
2023-03-27,AMD,0.38516185,0,0,0,0
2023-03-28,AMD,0.3755175,0,0,0,0
2023-03-29,AMD,0.38271543,0,0,0,0
2023-03-30,AMD,0.39113662,0,0,0,0
2023-03-31,AMD,0.39174822,0,0,0,0
2023-04-03,AMD,0.3849266,0,0,0,0
2023-04-04,AMD,0.3816805,0,0,0,0
2023-04-05,AMD,0.3661084,0,0,0,0
2023-04-06,AMD,0.365685,0,0,0,0
2023-04-10,AMD,0.3798457,0,0,0,0
2023-04-11,AMD,0.37302408,0,0,0,0
