tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,AMZN,0.2929702,0,1,0,0
2023-02-02,AMZN,0.35009205,1,1,0,0
2023-02-03,AMZN,0.28001472,0,0,0,0
2023-02-06,AMZN,0.27110785,0,0,0,0
2023-02-07,AMZN,0.27059257,0,0,0,0
2023-02-08,AMZN,0.25542882,0,0,0,0
2023-02-09,AMZN,0.24210526,0,0,0,0
2023-02-10,AMZN,0.23746781,0,0,0,0
2023-02-13,AMZN,0.25167465,0,0,0,0
2023-02-14,AMZN,0.2528524,0,0,0,0
2023-02-15,AMZN,0.2635996,0,0,0,0
2023-02-16,AMZN,0.2414428,0,0,0,0
2023-02-17,AMZN,0.23444976,0,0,0,0
2023-02-21,AMZN,0.21516381,0,0,0,1
2023-02-22,AMZN,0.22407068,0,0,0,0
2023-02-23,AMZN,0.2242915,0,0,0,0
2023-02-24,AMZN,0.20721385,0,0,0,1
2023-02-27,AMZN,0.20912774,0,0,0,0
2023-02-28,AMZN,0.21258745,0,0,0,0
2023-03-01,AMZN,0.19742362,0,0,0,1
2023-03-02,AMZN,0.19712918,0,0,0,1
2023-03-03,AMZN,0.21751934,0,0,0,0
2023-03-06,AMZN,0.20905411,0,0,0,0
2023-03-07,AMZN,0.20758192,0,0,0,0
2023-03-08,AMZN,0.21030548,0,0,0,0
2023-03-09,AMZN,0.19801253,0,0,0,0
2023-03-10,AMZN,0.18682374,0,0,1,1
2023-03-13,AMZN,0.19933753,0,0,0,0
2023-03-14,AMZN,0.21737209,0,0,0,0
2023-03-15,AMZN,0.22708869,0,0,0,0
2023-03-16,AMZN,0.25535518,0,1,0,0
2023-03-17,AMZN,0.2473316,0,0,0,0
2023-03-20,AMZN,0.23820391,0,0,0,0
2023-03-21,AMZN,0.259551,0,1,0,0
2023-03-22,AMZN,0.24549134,0,0,0,0
2023-03-23,AMZN,0.24556497,0,0,0,0
2023-03-24,AMZN,0.24129555,0,0,0,0
2023-03-27,AMZN,0.24063307,0,0,0,0
2023-03-28,AMZN,0.2347442,0,0,0,0
2023-03-29,AMZN,0.256901,0,1,0,0
2023-03-30,AMZN,0.26978287,0,1,0,0
2023-03-31,AMZN,0.27927864,0,1,0,0
2023-04-03,AMZN,0.27280092,0,0,0,0
2023-04-04,AMZN,0.28413692,0,1,0,0
2023-04-05,AMZN,0.2631579,0,0,0,0
2023-04-06,AMZN,0.2702245,0,0,0,0
2023-04-10,AMZN,0.27103424,0,0,0,0
2023-04-11,AMZN,0.25447184,0,0,0,0
2023-04-12,AMZN,0.23908725,0,0,0,0
2023-04-13,AMZN,0.2727273,0,0,0,0
2023-04-14,AMZN,0.273537,0,0,0,0
2023-04-17,AMZN,0.27523002,0,0,0,0
2023-04-18,AMZN,0.2719912,0,0,0,0
2023-04-19,AMZN,0.28671333,0,1,0,0
2023-04-20,AMZN,0.28310636,0,0,0,0
2023-04-21,AMZN,0.30629373,0,1,0,0
2023-04-24,AMZN,0.3007729,0,0,0,0
2023-04-25,AMZN,0.27397865,0,0,0,0
2023-04-26,AMZN,0.29171884,0,0,0,0
2023-04-27,AMZN,0.32734635,0,1,0,0
2023-04-28,AMZN,0.2951785,0,0,0,0
2023-05-01,AMZN,0.27015093,0,0,1,0
2023-05-02,AMZN,0.28178138,0,0,0,0
2023-05-03,AMZN,0.28192863,0,0,0,0
2023-05-04,AMZN,0.28450498,0,0,0,0
2023-05-05,AMZN,0.29672438,0,0,0,0
2023-05-08,AMZN,0.29797575,0,0,0,0
2023-05-09,AMZN,0.303791,0,0,0,0
