tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,AVGO,0.26262334,0,1,0,0
2023-02-02,AVGO,0.26433754,0,1,0,0
2023-02-03,AVGO,0.25971147,0,0,0,0
2023-02-06,AVGO,0.2618003,0,0,0,0
2023-02-07,AVGO,0.26926446,0,1,0,0
2023-02-08,AVGO,0.26203302,0,0,0,0
2023-02-09,AVGO,0.2607275,0,0,0,0
2023-02-10,AVGO,0.25723103,0,0,0,0
2023-02-13,AVGO,0.26169816,0,0,0,0
2023-02-14,AVGO,0.26237363,0,0,0,0
2023-02-15,AVGO,0.26542738,0,0,0,0
2023-02-16,AVGO,0.26136887,0,0,0,0
2023-02-17,AVGO,0.25855926,0,0,0,0
2023-02-21,AVGO,0.2505842,0,0,0,1
2023-02-22,AVGO,0.24753614,0,0,0,1
2023-02-23,AVGO,0.25186703,0,0,0,0
2023-02-24,AVGO,0.248433,0,0,0,0
2023-02-27,AVGO,0.25280365,0,0,0,0
2023-02-28,AVGO,0.25782135,0,0,0,0
2023-03-01,AVGO,0.2574126,0,0,0,0
2023-03-02,AVGO,0.26029614,0,0,0,0
2023-03-03,AVGO,0.27965754,0,1,0,0
2023-03-06,AVGO,0.27974835,0,0,0,0
2023-03-07,AVGO,0.275338,0,0,0,0
2023-03-08,AVGO,0.27937368,0,0,0,0
2023-03-09,AVGO,0.27384514,0,0,0,0
2023-03-10,AVGO,0.2694802,0,0,0,0
2023-03-13,AVGO,0.27041107,0,0,0,0
2023-03-14,AVGO,0.27948722,0,0,0,0
2023-03-15,AVGO,0.27584314,0,0,0,0
2023-03-16,AVGO,0.28178036,0,0,0,0
2023-03-17,AVGO,0.2786415,0,0,0,0
2023-03-20,AVGO,0.28587297,0,1,0,0
2023-03-21,AVGO,0.2845237,0,0,0,0
2023-03-22,AVGO,0.28119066,0,0,0,0
2023-03-23,AVGO,0.2859415,0,0,0,0
2023-03-24,AVGO,0.28419212,0,0,0,0
2023-03-27,AVGO,0.27885813,0,0,0,0
