tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,AXP,0.5928228,0,0,0,0
2023-02-02,AXP,0.59022117,0,0,0,0
2023-02-03,AXP,0.6212778,0,1,0,0
2023-02-06,AXP,0.6083781,0,0,0,0
2023-02-07,AXP,0.6204107,0,0,0,0
2023-02-08,AXP,0.62203664,0,0,0,0
2023-02-09,AXP,0.62404203,0,0,0,0
2023-02-10,AXP,0.6233917,0,0,0,0
2023-02-13,AXP,0.6346653,1,1,0,0
2023-02-14,AXP,0.6329851,0,0,0,0
2023-02-15,AXP,0.63108796,0,0,0,0
2023-02-16,AXP,0.61629146,0,0,0,0
2023-02-17,AXP,0.61282265,0,0,0,0
2023-02-21,AXP,0.5921182,0,0,0,0
2023-02-22,AXP,0.59873056,0,0,0,0
2023-02-23,AXP,0.6011154,0,0,0,0
2023-02-24,AXP,0.5962916,0,0,0,0
2023-02-27,AXP,0.59114265,0,0,0,0
2023-02-28,AXP,0.5948824,0,0,0,0
2023-03-01,AXP,0.6052889,0,0,0,0
2023-03-02,AXP,0.6021993,0,0,0,0
2023-03-03,AXP,0.6225244,0,0,0,0
2023-03-06,AXP,0.6223617,0,0,0,0
2023-03-07,AXP,0.602091,0,0,0,0
2023-03-08,AXP,0.5994351,0,0,0,0
2023-03-09,AXP,0.5847471,0,0,0,0
2023-03-10,AXP,0.5499504,0,0,0,1
2023-03-13,AXP,0.5062111,0,0,0,1
2023-03-14,AXP,0.5402488,0,0,0,0
2023-03-15,AXP,0.5180266,0,0,0,0
2023-03-16,AXP,0.5230132,0,0,0,0
2023-03-17,AXP,0.50019485,0,0,0,0
2023-03-20,AXP,0.51222724,0,0,0,0
2023-03-21,AXP,0.5437716,0,0,0,0
2023-03-22,AXP,0.53396153,0,0,0,0
2023-03-23,AXP,0.53401566,0,0,0,0
2023-03-24,AXP,0.51786417,0,0,0,0
2023-03-27,AXP,0.53596693,0,0,0,0
2023-03-28,AXP,0.51477474,0,0,0,0
2023-03-29,AXP,0.5385143,0,0,0,0
2023-03-30,AXP,0.5321188,0,0,0,0
2023-03-31,AXP,0.54588556,0,0,0,0
2023-04-03,AXP,0.5395441,0,0,0,0
2023-04-04,AXP,0.53293175,0,0,0,0
2023-04-05,AXP,0.52814454,0,0,0,0
2023-04-06,AXP,0.51590425,0,0,0,0
2023-04-10,AXP,0.5284709,0,0,0,0
2023-04-11,AXP,0.5322245,0,0,0,0
2023-04-12,AXP,0.5184066,0,0,0,0
2023-04-13,AXP,0.5347814,0,0,0,0
2023-04-14,AXP,0.5397862,0,0,0,0
2023-04-17,AXP,0.54245204,0,0,0,0
2023-04-18,AXP,0.54620564,0,0,0,0
2023-04-19,AXP,0.5491976,0,0,0,0
2023-04-20,AXP,0.54011256,0,0,0,0
2023-04-21,AXP,0.5428327,0,0,0,0
2023-04-24,AXP,0.5254787,0,0,0,0
2023-04-25,AXP,0.50116163,0,0,0,0
2023-04-26,AXP,0.49898568,0,0,0,1
2023-04-27,AXP,0.51383704,0,0,0,0
2023-04-28,AXP,0.5295588,0,0,0,0
2023-05-01,AXP,0.51857,0,0,0,0
2023-05-02,AXP,0.48554865,0,0,0,1
2023-05-03,AXP,0.47989085,0,0,0,1
2023-05-04,AXP,0.4613946,0,0,0,1
2023-05-05,AXP,0.4822845,0,0,0,0
2023-05-08,AXP,0.48440614,0,0,0,0
2023-05-09,AXP,0.4862558,0,0,0,0
2023-05-10,AXP,0.46068737,0,0,0,1
2023-05-11,AXP,0.45693377,0,0,0,1
2023-05-12,AXP,0.4566073,0,0,1,1
2023-05-15,AXP,0.46786827,0,0,0,0
2023-05-16,AXP,0.45921868,0,0,0,0
2023-05-17,AXP,0.47923806,0,0,0,0
