tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,BAC,0.5934913,0,1,0,0
2023-02-02,BAC,0.600033,0,1,0,0
2023-02-03,BAC,0.60937816,0,1,0,0
2023-02-06,BAC,0.60750914,0,0,0,0
2023-02-07,BAC,0.6199693,1,1,0,0
2023-02-08,BAC,0.6115586,0,0,0,0
2023-02-09,BAC,0.5872612,0,0,0,0
2023-02-10,BAC,0.58290005,0,0,0,0
2023-02-13,BAC,0.5850806,0,0,0,0
2023-02-14,BAC,0.5841459,0,0,0,0
2023-02-15,BAC,0.58227706,0,0,0,0
2023-02-16,BAC,0.5735549,0,0,0,0
2023-02-17,BAC,0.57573533,0,0,0,0
2023-02-21,BAC,0.5498804,0,0,0,1
2023-02-22,BAC,0.54271567,0,0,0,1
2023-02-23,BAC,0.5417811,0,0,0,1
2023-02-24,BAC,0.5402238,0,0,0,0
2023-02-27,BAC,0.5402238,0,0,0,0
2023-02-28,BAC,0.54302704,0,0,0,0
2023-03-01,BAC,0.53804314,0,0,0,0
2023-03-02,BAC,0.5245615,0,0,0,1
2023-03-03,BAC,0.54556775,0,0,0,0
2023-03-06,BAC,0.54337305,0,0,0,0
2023-03-07,BAC,0.5091987,0,0,0,1
2023-03-08,BAC,0.49540365,0,0,0,1
2023-03-09,BAC,0.4320713,0,0,0,1
2023-03-10,BAC,0.42360607,0,0,0,1
2023-03-13,BAC,0.36842528,0,0,0,1
2023-03-14,BAC,0.37626353,0,0,0,0
2023-03-15,BAC,0.36779824,0,0,0,0
2023-03-16,BAC,0.38284758,0,0,0,0
2023-03-17,BAC,0.346792,0,0,0,0
2023-03-20,BAC,0.34459728,0,0,0,1
2023-03-21,BAC,0.3709335,0,0,0,0
2023-03-22,BAC,0.3411485,0,0,0,0
2023-03-23,BAC,0.32014227,0,0,1,1
2023-03-24,BAC,0.32547218,0,0,0,0
2023-03-27,BAC,0.36779824,0,0,0,0
2023-03-28,BAC,0.3561979,0,0,0,0
2023-03-29,BAC,0.3734417,0,0,0,0
2023-03-30,BAC,0.3618412,0,0,0,0
2023-03-31,BAC,0.37124708,0,0,0,0
2023-04-03,BAC,0.3709335,0,0,0,0
2023-04-04,BAC,0.35180846,0,0,0,0
2023-04-05,BAC,0.3411485,0,0,0,0
2023-04-06,BAC,0.34741905,0,0,0,0
2023-04-10,BAC,0.35055432,0,0,0,0
2023-04-11,BAC,0.37469587,0,0,0,0
2023-04-12,BAC,0.36748478,0,0,0,0
2023-04-13,BAC,0.3699929,0,0,0,0
2023-04-14,BAC,0.4000915,0,0,0,0
2023-04-17,BAC,0.4267413,0,1,0,0
2023-04-18,BAC,0.43269822,1,1,0,0
2023-04-19,BAC,0.4170219,0,0,0,0
2023-04-20,BAC,0.4120055,0,0,0,0
2023-04-21,BAC,0.41106486,0,0,0,0
2023-04-24,BAC,0.40761617,0,0,0,0
2023-04-25,BAC,0.37877175,0,0,0,0
2023-04-26,BAC,0.3662307,0,0,0,0
2023-04-27,BAC,0.3803393,0,0,0,0
2023-04-28,BAC,0.39256683,0,0,0,0
2023-05-01,BAC,0.3850423,0,0,0,0
