tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,BLK,0.7192295,0,1,0,0
2023-02-02,BLK,0.7319181,1,1,0,0
2023-02-03,BLK,0.71066076,0,0,0,0
2023-02-06,BLK,0.68750805,0,0,0,0
2023-02-07,BLK,0.68506444,0,0,0,0
2023-02-08,BLK,0.66789556,0,0,0,1
2023-02-09,BLK,0.64613706,0,0,0,1
2023-02-10,BLK,0.65794843,0,0,0,0
2023-02-13,BLK,0.6789394,0,0,0,0
2023-02-14,BLK,0.66678345,0,0,0,0
2023-02-15,BLK,0.65901345,0,0,0,0
2023-02-16,BLK,0.6414845,0,0,0,1
2023-02-17,BLK,0.64643466,0,0,0,0
2023-02-21,BLK,0.6144627,0,0,0,1
2023-02-22,BLK,0.60139805,0,0,0,1
2023-02-23,BLK,0.60833764,0,0,0,0
2023-02-24,BLK,0.5951634,0,0,0,1
2023-02-27,BLK,0.5945839,0,0,0,1
2023-02-28,BLK,0.60456234,0,0,0,0
2023-03-01,BLK,0.59066755,0,0,0,1
2023-03-02,BLK,0.5990483,0,0,0,0
2023-03-03,BLK,0.61366373,0,0,0,0
2023-03-06,BLK,0.6107447,0,0,0,0
2023-03-07,BLK,0.5890809,0,0,0,0
2023-03-08,BLK,0.5886076,0,0,0,0
2023-03-09,BLK,0.55219114,0,0,0,1
2023-03-10,BLK,0.52655125,0,0,0,1
2023-03-13,BLK,0.5119405,0,0,1,1
2023-03-14,BLK,0.53096926,0,0,0,0
2023-03-15,BLK,0.52136016,0,0,0,0
2023-03-16,BLK,0.52962786,0,0,0,0
2023-03-17,BLK,0.5292021,0,0,0,0
2023-03-20,BLK,0.54001015,0,0,0,0
2023-03-21,BLK,0.56934226,0,0,0,0
2023-03-22,BLK,0.5475208,0,0,0,0
2023-03-23,BLK,0.5529801,0,0,0,0
2023-03-24,BLK,0.542093,0,0,0,0
2023-03-27,BLK,0.5475208,0,0,0,0
2023-03-28,BLK,0.5442388,0,0,0,0
2023-03-29,BLK,0.5615634,0,0,0,0
2023-03-30,BLK,0.56759065,0,0,0,0
2023-03-31,BLK,0.5803397,0,0,0,0
2023-04-03,BLK,0.5760639,0,0,0,0
2023-04-04,BLK,0.5645456,0,0,0,0
2023-04-05,BLK,0.5597016,0,0,0,0
2023-04-06,BLK,0.5602696,0,0,0,0
2023-04-10,BLK,0.5656659,0,0,0,0
2023-04-11,BLK,0.58122325,0,0,0,0
2023-04-12,BLK,0.5753694,0,0,0,0
2023-04-13,BLK,0.5828801,0,0,0,0
2023-04-14,BLK,0.6153836,0,1,0,0
2023-04-17,BLK,0.62647563,1,1,0,0
2023-04-18,BLK,0.61964375,0,0,0,0
2023-04-19,BLK,0.6215529,0,0,0,0
2023-04-20,BLK,0.62335163,0,0,0,0
2023-04-21,BLK,0.5989898,0,0,0,0
2023-04-24,BLK,0.5883394,0,0,0,0
2023-04-25,BLK,0.56549233,0,0,0,0
2023-04-26,BLK,0.5512287,0,0,0,1
2023-04-27,BLK,0.57017845,0,0,0,0
2023-04-28,BLK,0.5836217,0,0,0,0
2023-05-01,BLK,0.570636,0,0,0,0
2023-05-02,BLK,0.5524751,0,0,0,1
2023-05-03,BLK,0.53819567,0,0,0,1
2023-05-04,BLK,0.521234,0,0,0,1
2023-05-05,BLK,0.54146177,0,0,0,0
2023-05-08,BLK,0.5393475,0,0,0,0
2023-05-09,BLK,0.5274034,0,0,0,0
2023-05-10,BLK,0.51732093,0,0,1,1
2023-05-11,BLK,0.53758025,0,0,0,0
2023-05-12,BLK,0.54244006,0,0,0,0
2023-05-15,BLK,0.5418878,0,0,0,0
2023-05-16,BLK,0.52465785,0,0,0,0
2023-05-17,BLK,0.5511814,0,0,0,0
2023-05-18,BLK,0.5806712,0,0,0,0
2023-05-19,BLK,0.5765214,0,0,0,0
2023-05-22,BLK,0.5839214,0,0,0,0
2023-05-23,BLK,0.5683641,0,0,0,0
2023-05-24,BLK,0.5580607,0,0,0,0
2023-05-25,BLK,0.5667705,0,0,0,0
2023-05-26,BLK,0.5853573,0,0,0,0
2023-05-30,BLK,0.58737695,0,0,0,0
2023-05-31,BLK,0.5620842,0,0,0,0
2023-06-01,BLK,0.57989806,0,0,0,0
2023-06-02,BLK,0.6004415,0,1,0,0
2023-06-05,BLK,0.5919684,0,0,0,0
2023-06-06,BLK,0.60526943,0,1,0,0
2023-06-07,BLK,0.6025834,0,0,0,0
2023-06-08,BLK,0.60631865,0,1,0,0
2023-06-09,BLK,0.61239046,0,1,0,0
2023-06-12,BLK,0.6091796,0,0,0,0
2023-06-13,BLK,0.6198449,0,1,0,0
2023-06-14,BLK,0.6251853,0,1,0,0
2023-06-15,BLK,0.65497154,0,1,0,0
2023-06-16,BLK,0.6416043,0,0,0,0
2023-06-20,BLK,0.62280124,0,0,0,0
2023-06-21,BLK,0.61976534,0,0,0,0
2023-06-22,BLK,0.6044113,0,0,0,0
2023-06-23,BLK,0.606112,0,0,0,0
2023-06-26,BLK,0.60566694,0,0,0,0
2023-06-27,BLK,0.6127718,0,0,0,0
2023-06-28,BLK,0.6136937,0,0,0,0
2023-06-29,BLK,0.61844623,0,0,0,0
2023-06-30,BLK,0.62310326,0,0,0,0
2023-07-03,BLK,0.6269814,0,0,0,0
2023-07-05,BLK,0.6257893,0,0,0,0
2023-07-06,BLK,0.60639817,0,0,0,0
2023-07-07,BLK,0.6119134,0,0,0,0
2023-07-10,BLK,0.63109803,0,0,0,0
2023-07-11,BLK,0.65339786,0,1,0,0
2023-07-12,BLK,0.6785111,0,1,0,0
2023-07-13,BLK,0.7004454,0,1,0,0
2023-07-14,BLK,0.6817378,0,0,0,0
2023-07-17,BLK,0.68148327,0,0,0,0
2023-07-18,BLK,0.69906265,0,0,0,0
2023-07-19,BLK,0.71236616,0,1,0,0
2023-07-20,BLK,0.7180564,0,1,0,0
2023-07-21,BLK,0.7185809,0,1,0,0
2023-07-24,BLK,0.72711617,1,1,0,0
2023-07-25,BLK,0.7103317,0,0,0,0
2023-07-26,BLK,0.7057858,0,0,0,0
2023-07-27,BLK,0.6833906,0,0,0,0
2023-07-28,BLK,0.6981248,0,0,0,0
2023-07-31,BLK,0.69893545,0,0,0,0
2023-08-01,BLK,0.68846095,0,0,0,0
2023-08-02,BLK,0.66490555,0,0,0,0
2023-08-03,BLK,0.65335023,0,0,0,1
2023-08-04,BLK,0.6535251,0,0,0,0
