tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,BMY,0.7757794,0,0,0,1
2023-02-02,BMY,0.8118576,0,0,0,0
2023-02-03,BMY,0.85121626,0,0,0,0
2023-02-06,BMY,0.8530905,1,1,0,0
2023-02-07,BMY,0.85285604,0,0,0,0
2023-02-08,BMY,0.83247423,0,0,0,0
2023-02-09,BMY,0.7818702,0,0,0,0
2023-02-10,BMY,0.79850376,0,0,0,0
2023-02-13,BMY,0.8212287,0,0,0,0
2023-02-14,BMY,0.7996755,0,0,0,0
2023-02-15,BMY,0.78140175,0,0,0,0
2023-02-16,BMY,0.7668764,0,0,0,1
2023-02-17,BMY,0.7729679,0,0,0,0
2023-02-21,BMY,0.7755447,0,0,0,0
2023-02-22,BMY,0.77765334,0,0,0,0
2023-02-23,BMY,0.77976173,0,0,0,0
2023-02-24,BMY,0.75118005,0,0,0,1
2023-02-27,BMY,0.7467289,0,0,0,1
2023-02-28,BMY,0.72259814,0,0,0,1
2023-03-01,BMY,0.7319696,0,0,0,0
2023-03-02,BMY,0.7279869,0,0,0,0
2023-03-03,BMY,0.7305637,0,0,0,0
2023-03-06,BMY,0.72119284,0,0,0,0
2023-03-07,BMY,0.7001078,0,0,0,1
2023-03-08,BMY,0.6834743,0,0,0,1
2023-03-09,BMY,0.66520053,0,0,0,1
2023-03-10,BMY,0.64645827,0,0,1,1
2023-03-13,BMY,0.6532524,0,0,0,0
2023-03-14,BMY,0.66426337,0,0,0,0
2023-03-15,BMY,0.68792534,0,0,0,0
2023-03-16,BMY,0.67902267,0,0,0,0
2023-03-17,BMY,0.66566896,0,0,0,0
2023-03-20,BMY,0.68230283,0,0,0,0
2023-03-21,BMY,0.6886281,0,0,0,0
2023-03-22,BMY,0.68230283,0,0,0,0
2023-03-23,BMY,0.67621154,0,0,0,0
2023-03-24,BMY,0.692611,0,0,0,0
2023-03-27,BMY,0.7017474,0,0,0,0
2023-03-28,BMY,0.704793,0,0,0,0
2023-03-29,BMY,0.704325,0,0,0,0
2023-03-30,BMY,0.704793,0,0,0,0
2023-03-31,BMY,0.73079807,0,0,0,0
2023-04-03,BMY,0.7397005,0,1,0,0
2023-04-04,BMY,0.72142714,0,0,0,0
2023-04-05,BMY,0.7427462,0,1,0,0
2023-04-06,BMY,0.7779407,1,1,0,0
2023-04-10,BMY,0.7670752,0,0,0,0
2023-04-11,BMY,0.7611701,0,0,0,0
2023-04-12,BMY,0.76542187,0,0,0,0
2023-04-13,BMY,0.7767596,0,1,0,0
2023-04-14,BMY,0.77109075,0,0,0,0
2023-04-17,BMY,0.774634,0,0,0,0
2023-04-18,BMY,0.7658943,0,0,0,0
2023-04-19,BMY,0.75715476,0,0,0,0
2023-04-20,BMY,0.7493599,0,0,0,0
2023-04-21,BMY,0.7720356,0,0,0,0
2023-04-24,BMY,0.7732169,0,0,0,0
2023-04-25,BMY,0.7661303,0,0,0,0
2023-04-26,BMY,0.7136928,0,0,0,0
2023-04-27,BMY,0.70400846,0,0,0,1
2023-04-28,BMY,0.6841673,0,0,0,1
2023-05-01,BMY,0.7226687,0,0,0,0
2023-05-02,BMY,0.71558255,0,0,0,0
2023-05-03,BMY,0.68109655,0,0,0,0
2023-05-04,BMY,0.6853485,0,0,0,0
2023-05-05,BMY,0.7165272,0,0,0,0
2023-05-08,BMY,0.7229051,0,0,0,0
2023-05-09,BMY,0.71322054,0,0,0,0
2023-05-10,BMY,0.7247941,0,0,0,0
2023-05-11,BMY,0.73873067,0,0,0,0
2023-05-12,BMY,0.7146378,0,0,0,0
2023-05-15,BMY,0.71723604,0,0,0,0
2023-05-16,BMY,0.6900721,0,0,0,0
2023-05-17,BMY,0.67849827,0,0,0,0
2023-05-18,BMY,0.6588932,0,0,0,1
2023-05-19,BMY,0.66220003,0,0,0,0
2023-05-22,BMY,0.66149175,0,0,0,0
2023-05-23,BMY,0.67849827,0,0,0,0
2023-05-24,BMY,0.65346074,0,0,0,1
2023-05-25,BMY,0.6319658,0,0,0,1
2023-05-26,BMY,0.61448675,0,0,0,1
2023-05-30,BMY,0.6118885,0,0,1,1
2023-05-31,BMY,0.62913144,0,0,0,0
2023-06-01,BMY,0.63480043,0,0,0,0
2023-06-02,BMY,0.65794843,0,0,0,0
2023-06-05,BMY,0.6655072,0,0,0,0
2023-06-06,BMY,0.6536968,0,0,0,0
2023-06-07,BMY,0.6461384,0,0,0,0
2023-06-08,BMY,0.64968127,0,0,0,0
2023-06-09,BMY,0.63763493,0,0,0,0
2023-06-12,BMY,0.6366902,0,0,0,0
2023-06-13,BMY,0.6366902,0,0,0,0
2023-06-14,BMY,0.6225179,0,0,0,0
2023-06-15,BMY,0.6345641,0,0,0,0
2023-06-16,BMY,0.6697588,0,0,0,0
2023-06-20,BMY,0.6666879,0,0,0,0
2023-06-21,BMY,0.65416926,0,0,0,0
2023-06-22,BMY,0.6494451,0,0,0,0
2023-06-23,BMY,0.6433038,0,0,0,0
2023-06-26,BMY,0.63739866,0,0,0,0
2023-06-27,BMY,0.636454,0,0,0,0
2023-06-28,BMY,0.6208643,0,0,0,0
2023-06-29,BMY,0.6187385,0,0,0,0
2023-06-30,BMY,0.6175575,0,0,0,0
2023-07-03,BMY,0.6288952,0,0,0,0
2023-07-05,BMY,0.63598144,0,0,0,0
2023-07-06,BMY,0.6188235,0,0,0,0
2023-07-07,BMY,0.5999975,0,0,0,1
2023-07-10,BMY,0.59594643,0,0,0,1
2023-07-11,BMY,0.6033339,0,0,0,0
2023-07-12,BMY,0.5911804,0,0,0,1
2023-07-13,BMY,0.5911804,0,0,0,0
2023-07-14,BMY,0.583078,0,0,0,1
2023-07-17,BMY,0.5809333,0,0,0,1
