tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,CHTR,0.27580824,0,0,0,0
2023-02-02,CHTR,0.29882622,1,1,0,0
2023-02-03,CHTR,0.28873357,0,0,0,0
2023-02-06,CHTR,0.28583303,0,0,0,0
2023-02-07,CHTR,0.28247446,0,0,0,0
2023-02-08,CHTR,0.28364486,0,0,0,0
2023-02-09,CHTR,0.26747972,0,0,0,0
2023-02-10,CHTR,0.2728568,0,0,0,0
2023-02-13,CHTR,0.2782678,0,0,0,0
2023-02-14,CHTR,0.2782678,0,0,0,0
2023-02-15,CHTR,0.2841707,0,0,0,0
2023-02-16,CHTR,0.2786749,0,0,0,0
2023-02-17,CHTR,0.27061775,0,0,0,0
2023-02-21,CHTR,0.2405774,0,0,0,1
2023-02-22,CHTR,0.24861756,0,0,0,0
2023-02-23,CHTR,0.24960141,0,0,0,0
2023-02-24,CHTR,0.23531906,0,0,0,1
2023-02-27,CHTR,0.23572613,0,0,0,0
2023-02-28,CHTR,0.22310613,0,0,0,1
2023-03-01,CHTR,0.21450624,0,0,0,1
2023-03-02,CHTR,0.21543916,0,0,0,0
2023-03-03,CHTR,0.22712626,0,0,0,0
2023-03-06,CHTR,0.22565047,0,0,0,0
2023-03-07,CHTR,0.20655088,0,0,0,1
2023-03-08,CHTR,0.19979984,0,0,0,1
2023-03-09,CHTR,0.18137872,0,0,0,1
2023-03-10,CHTR,0.15844555,0,0,0,1
2023-03-13,CHTR,0.16823287,0,0,0,0
2023-03-14,CHTR,0.16972557,0,0,0,0
2023-03-15,CHTR,0.17956373,0,0,0,0
2023-03-16,CHTR,0.18721378,0,0,0,0
2023-03-17,CHTR,0.19325238,0,0,0,0
2023-03-20,CHTR,0.19111511,0,0,0,0
2023-03-21,CHTR,0.1971198,0,0,0,0
2023-03-22,CHTR,0.17937712,0,0,0,0
2023-03-23,CHTR,0.17995389,0,0,0,0
2023-03-24,CHTR,0.18297319,0,0,0,0
2023-03-27,CHTR,0.19045354,0,0,0,0
2023-03-28,CHTR,0.1856702,0,0,0,0
2023-03-29,CHTR,0.19274348,0,0,0,0
2023-03-30,CHTR,0.19162396,0,0,0,0
2023-03-31,CHTR,0.20614375,0,0,0,0
2023-04-03,CHTR,0.20376903,0,0,0,0
2023-04-04,CHTR,0.19004647,0,0,0,0
2023-04-05,CHTR,0.19852766,0,0,0,0
2023-04-06,CHTR,0.19369337,0,0,0,0
2023-04-10,CHTR,0.1998338,0,0,0,0
2023-04-11,CHTR,0.20768733,0,0,0,0
2023-04-12,CHTR,0.18183668,0,0,0,0
2023-04-13,CHTR,0.18921533,0,0,0,0
2023-04-14,CHTR,0.17881738,0,0,0,0
2023-04-17,CHTR,0.18677273,0,0,0,0
2023-04-18,CHTR,0.18190455,0,0,0,0
2023-04-19,CHTR,0.18249825,0,0,0,0
