tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,CL,0.45931163,0,0,0,0
2023-02-02,CL,0.43427315,0,0,0,0
2023-02-03,CL,0.44540137,0,0,0,0
2023-02-06,CL,0.43665767,0,0,0,0
2023-02-07,CL,0.42870888,0,0,0,0
2023-02-08,CL,0.42692047,0,0,0,0
2023-02-09,CL,0.4163884,0,0,0,0
2023-02-10,CL,0.43069604,0,0,0,0
2023-02-13,CL,0.4350677,0,0,0,0
2023-02-14,CL,0.42334336,0,0,0,0
2023-02-15,CL,0.41380477,0,0,0,0
2023-02-16,CL,0.4151958,0,0,0,0
2023-02-17,CL,0.44997182,0,0,0,0
2023-02-21,CL,0.4448051,0,0,0,0
2023-02-22,CL,0.44778606,0,0,0,0
2023-02-23,CL,0.4328821,0,0,0,0
2023-02-24,CL,0.42234972,0,0,0,0
2023-02-27,CL,0.43168968,0,0,0,0
2023-02-28,CL,0.42572805,0,0,0,0
2023-03-01,CL,0.41082412,0,0,0,0
2023-03-02,CL,0.4350677,0,0,0,0
2023-03-03,CL,0.43864468,0,0,0,0
2023-03-06,CL,0.4255293,0,0,0,0
2023-03-07,CL,0.38995838,0,0,0,0
2023-03-08,CL,0.3990996,0,0,0,0
2023-03-09,CL,0.3867791,0,0,0,1
2023-03-10,CL,0.3861828,0,0,1,1
2023-03-13,CL,0.38995838,0,0,0,0
2023-03-14,CL,0.40466356,0,0,0,0
2023-03-15,CL,0.41837537,0,0,0,0
2023-03-16,CL,0.4187729,0,0,0,0
2023-03-17,CL,0.40386882,0,0,0,0
2023-03-20,CL,0.42135635,0,0,0,0
2023-03-21,CL,0.40744576,0,0,0,0
2023-03-22,CL,0.40247762,0,0,0,0
2023-03-23,CL,0.3965163,0,0,0,0
2023-03-24,CL,0.42811275,0,0,0,0
2023-03-27,CL,0.44261932,0,0,0,0
2023-03-28,CL,0.44957444,0,1,0,0
2023-03-29,CL,0.4489783,0,0,0,0
2023-03-30,CL,0.46447822,0,1,0,0
2023-03-31,CL,0.46249124,0,0,0,0
2023-04-03,CL,0.4666643,0,1,0,0
2023-04-04,CL,0.4541449,0,0,0,0
2023-04-05,CL,0.4666643,0,0,0,0
2023-04-06,CL,0.47302347,0,1,0,0
2023-04-10,CL,0.46229246,0,0,0,0
2023-04-11,CL,0.4797797,0,1,0,0
2023-04-12,CL,0.48037615,0,1,0,0
2023-04-13,CL,0.48971552,0,1,0,0
2023-04-14,CL,0.47123492,0,0,0,0
2023-04-17,CL,0.47342086,0,0,0,0
2023-04-18,CL,0.4702411,0,0,0,0
2023-04-19,CL,0.47123492,0,0,0,0
2023-04-20,CL,0.4962334,0,1,0,0
2023-04-21,CL,0.5050331,0,1,0,0
2023-04-24,CL,0.52663195,0,1,0,0
2023-04-25,CL,0.5230321,0,0,0,0
2023-04-26,CL,0.5026332,0,0,0,0
2023-04-27,CL,0.527632,0,0,0,0
2023-04-28,CL,0.5650299,0,0,0,0
2023-05-01,CL,0.5828292,0,1,0,0
2023-05-02,CL,0.58602893,0,1,0,0
2023-05-03,CL,0.59422857,0,1,0,0
2023-05-04,CL,0.584829,0,0,0,0
2023-05-05,CL,0.5808292,0,0,0,0
2023-05-08,CL,0.5840291,0,0,0,0
2023-05-09,CL,0.58182925,0,0,0,0
2023-05-10,CL,0.59102863,0,0,0,0
2023-05-11,CL,0.601628,0,1,0,0
2023-05-12,CL,0.6086277,1,1,0,0
2023-05-15,CL,0.5906288,0,0,0,0
2023-05-16,CL,0.5844288,0,0,0,0
2023-05-17,CL,0.57922935,0,0,0,0
2023-05-18,CL,0.5628301,0,0,0,0
