tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,CRM,0.28384775,0,1,0,0
2023-02-02,CRM,0.29759642,1,1,0,0
2023-02-03,CRM,0.28004485,0,0,0,0
2023-02-06,CRM,0.27034274,0,0,0,0
2023-02-07,CRM,0.28121498,0,0,0,0
2023-02-08,CRM,0.27317056,0,0,0,0
2023-02-09,CRM,0.29281858,0,0,0,0
2023-02-10,CRM,0.2604944,0,0,0,0
2023-02-13,CRM,0.28023994,0,0,0,0
2023-02-14,CRM,0.2747795,0,0,0,0
2023-02-15,CRM,0.28033745,0,0,0,0
2023-02-16,CRM,0.2657599,0,0,0,0
2023-02-17,CRM,0.25142616,0,0,0,0
2023-02-21,CRM,0.23411831,0,0,1,0
2023-02-22,CRM,0.24260157,0,0,0,0
2023-02-23,CRM,0.24630682,0,0,0,0
2023-02-24,CRM,0.23694605,0,0,0,0
2023-02-27,CRM,0.24152896,0,0,0,0
2023-02-28,CRM,0.24382041,0,0,0,0
2023-03-01,CRM,0.2620545,0,0,0,0
2023-03-02,CRM,0.35585785,0,0,0,0
2023-03-03,CRM,0.35507777,0,0,0,0
2023-03-06,CRM,0.3422554,0,0,0,0
2023-03-07,CRM,0.33991525,0,0,0,0
2023-03-08,CRM,0.33811134,0,0,0,0
2023-03-09,CRM,0.3174882,0,0,0,0
2023-03-10,CRM,0.29047832,0,0,0,0
2023-03-13,CRM,0.30183804,0,0,0,0
2023-03-14,CRM,0.3378188,0,0,0,0
2023-03-15,CRM,0.3379163,0,0,0,0
2023-03-16,CRM,0.35931936,0,0,0,0
2023-03-17,CRM,0.34737468,0,0,0,0
2023-03-20,CRM,0.34932473,0,0,0,0
2023-03-21,CRM,0.36604753,0,0,0,0
2023-03-22,CRM,0.35546783,0,0,0,0
2023-03-23,CRM,0.360002,0,0,0,0
2023-03-24,CRM,0.37277558,0,0,0,0
2023-03-27,CRM,0.37862608,0,1,0,0
2023-03-28,CRM,0.38369662,0,1,0,0
2023-03-29,CRM,0.40485594,0,1,0,0
2023-03-30,CRM,0.404661,0,0,0,0
2023-03-31,CRM,0.4201648,1,1,0,0
2023-04-03,CRM,0.40412465,0,0,0,0
2023-04-04,CRM,0.40758616,0,0,0,0
2023-04-05,CRM,0.3983717,0,0,0,0
2023-04-06,CRM,0.38491547,0,0,0,0
2023-04-10,CRM,0.37974757,0,0,0,0
2023-04-11,CRM,0.36707142,0,0,1,0
2023-04-12,CRM,0.37404332,0,0,0,0
2023-04-13,CRM,0.39208236,0,0,0,0
2023-04-14,CRM,0.39515385,0,0,0,0
2023-04-17,CRM,0.40700117,0,0,0,0
2023-04-18,CRM,0.41392428,0,1,0,0
2023-04-19,CRM,0.415972,0,0,0,0
2023-04-20,CRM,0.4090976,0,0,0,0
2023-04-21,CRM,0.41650826,0,0,0,0
2023-04-24,CRM,0.3964702,0,0,0,0
2023-04-25,CRM,0.37574962,0,0,0,0
2023-04-26,CRM,0.37989378,0,0,0,0
2023-04-27,CRM,0.40144315,0,0,0,0
2023-04-28,CRM,0.4132904,0,0,0,0
2023-05-01,CRM,0.41046268,0,0,0,0
2023-05-02,CRM,0.3912047,0,0,0,0
2023-05-03,CRM,0.38520798,0,0,0,0
2023-05-04,CRM,0.38408667,0,0,0,0
2023-05-05,CRM,0.40948758,0,0,0,0
2023-05-08,CRM,0.41099903,0,0,0,0
2023-05-09,CRM,0.42699045,0,1,0,0
2023-05-10,CRM,0.4448833,0,1,0,0
2023-05-11,CRM,0.43815514,0,0,0,0
2023-05-12,CRM,0.430062,0,0,0,0
2023-05-15,CRM,0.43747264,0,0,0,0
2023-05-16,CRM,0.44346935,0,1,0,0
2023-05-17,CRM,0.46696907,0,1,0,0
2023-05-18,CRM,0.4861782,0,1,0,0
2023-05-19,CRM,0.47174692,0,0,0,0
2023-05-22,CRM,0.4712594,0,0,0,0
2023-05-23,CRM,0.45361036,0,0,0,0
2023-05-24,CRM,0.46540883,0,0,0,0
2023-05-25,CRM,0.469553,0,0,0,0
2023-05-26,CRM,0.49651408,0,1,0,0
2023-05-30,CRM,0.5132369,0,1,0,0
2023-05-31,CRM,0.53522515,1,1,0,0
2023-06-01,CRM,0.48413047,0,0,0,0
2023-06-02,CRM,0.4847643,0,0,0,0
2023-06-05,CRM,0.46930924,0,0,0,0
2023-06-06,CRM,0.48388672,0,0,0,0
2023-06-07,CRM,0.4491736,0,0,1,0
2023-06-08,CRM,0.4677003,0,0,0,0
2023-06-09,CRM,0.49588022,0,0,0,0
2023-06-12,CRM,0.48798215,0,0,0,0
2023-06-13,CRM,0.46501878,0,0,0,0
2023-06-14,CRM,0.46706644,0,0,0,0
2023-06-15,CRM,0.4793526,0,0,0,0
2023-06-16,CRM,0.47857246,0,0,0,0
2023-06-20,CRM,0.5039735,0,0,0,0
2023-06-21,CRM,0.4679928,0,0,0,0
2023-06-22,CRM,0.4860319,0,0,0,0
2023-06-23,CRM,0.4704305,0,0,0,0
2023-06-26,CRM,0.4571206,0,0,0,0
2023-06-27,CRM,0.4642388,0,0,0,0
2023-06-28,CRM,0.48057136,0,0,0,0
2023-06-29,CRM,0.4720882,0,0,0,0
2023-06-30,CRM,0.47613475,0,0,0,0
2023-07-03,CRM,0.47803617,0,0,0,0
2023-07-05,CRM,0.48861596,0,0,0,0
2023-07-06,CRM,0.4706743,0,0,0,0
2023-07-07,CRM,0.4679928,0,0,0,0
2023-07-10,CRM,0.4836917,0,0,0,0
2023-07-11,CRM,0.52445036,0,1,0,0
2023-07-12,CRM,0.5542392,0,1,0,0
2023-07-13,CRM,0.56930435,0,1,0,0
2023-07-14,CRM,0.56423384,0,0,0,0
2023-07-17,CRM,0.5577495,0,0,0,0
2023-07-18,CRM,0.5559457,0,0,0,0
2023-07-19,CRM,0.588806,1,1,0,0
2023-07-20,CRM,0.5585297,0,0,0,0
2023-07-21,CRM,0.55804205,0,0,0,0
2023-07-24,CRM,0.546341,0,0,0,0
2023-07-25,CRM,0.54814494,0,0,0,0
2023-07-26,CRM,0.545951,0,0,0,0
2023-07-27,CRM,0.5438545,0,0,0,0
2023-07-28,CRM,0.5460485,0,0,0,0
2023-07-31,CRM,0.543172,0,0,0,0
2023-08-01,CRM,0.53956425,0,0,0,0
2023-08-02,CRM,0.5211838,0,0,0,0
