tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,DE,0.9264251,0,0,0,0
2023-02-02,DE,0.86816895,0,0,0,0
2023-02-03,DE,0.8667723,0,0,0,1
2023-02-06,DE,0.8786574,0,0,0,0
2023-02-07,DE,0.8766336,0,0,0,0
2023-02-08,DE,0.87141806,0,0,0,0
2023-02-09,DE,0.8723301,0,0,0,0
2023-02-10,DE,0.9002042,0,0,0,0
2023-02-13,DE,0.8931928,0,0,0,0
2023-02-14,DE,0.8760353,0,0,0,0
2023-02-15,DE,0.87811583,0,0,0,0
2023-02-16,DE,0.8579371,0,0,1,1
2023-02-17,DE,0.94443786,1,0,0,0
2023-02-21,DE,0.92693824,0,0,0,0
2023-02-22,DE,0.9247721,0,0,0,0
2023-02-23,DE,0.9208959,0,0,0,0
2023-02-24,DE,0.89914966,0,0,0,0
2023-02-27,DE,0.9111484,0,0,0,0
2023-02-28,DE,0.90433675,0,0,0,0
2023-03-01,DE,0.9057904,0,0,0,0
2023-03-02,DE,0.910322,0,0,0,0
2023-03-03,DE,0.935802,0,1,0,0
2023-03-06,DE,0.9227771,0,0,0,0
2023-03-07,DE,0.9012302,0,0,0,0
2023-03-08,DE,0.9187298,0,0,0,0
2023-03-09,DE,0.91055,0,0,0,0
2023-03-10,DE,0.83790076,0,0,0,1
2023-03-13,DE,0.8444276,0,0,0,0
2023-03-14,DE,0.8564836,0,0,0,0
2023-03-15,DE,0.8223676,0,0,0,1
2023-03-16,DE,0.82416314,0,0,0,0
2023-03-17,DE,0.80817395,0,0,0,1
2023-03-20,DE,0.8338252,0,0,0,0
2023-03-21,DE,0.85688245,0,0,0,0
2023-03-22,DE,0.83516467,0,0,0,0
2023-03-23,DE,0.82627237,0,0,0,0
2023-03-24,DE,0.8110242,0,0,0,1
2023-03-27,DE,0.82957834,0,0,0,0
2023-03-28,DE,0.8362477,0,0,0,0
2023-03-29,DE,0.85175234,0,0,0,0
2023-03-30,DE,0.86364585,0,0,0,0
2023-03-31,DE,0.88989174,0,1,0,0
2023-04-03,DE,0.89592415,1,1,0,0
2023-04-04,DE,0.84637725,0,0,0,0
2023-04-05,DE,0.7782181,0,0,0,0
2023-04-06,DE,0.7662959,0,0,1,1
2023-04-10,DE,0.7882532,0,0,0,0
2023-04-11,DE,0.79825974,0,0,0,0
2023-04-12,DE,0.80843806,0,0,0,0
2023-04-13,DE,0.8094386,0,0,0,0
2023-04-14,DE,0.81810147,0,0,0,0
2023-04-17,DE,0.8285369,0,0,0,0
2023-04-18,DE,0.8436041,0,0,0,0
2023-04-19,DE,0.8323966,0,0,0,0
2023-04-20,DE,0.8255063,0,0,0,0
2023-04-21,DE,0.81504244,0,0,0,0
2023-04-24,DE,0.81887347,0,0,0,0
2023-04-25,DE,0.7943716,0,0,0,0
2023-04-26,DE,0.7804766,0,0,0,0
2023-04-27,DE,0.7725857,0,0,0,1
2023-04-28,DE,0.7902258,0,0,0,0
2023-05-01,DE,0.801948,0,0,0,0
2023-05-02,DE,0.8067511,0,0,0,0
2023-05-03,DE,0.80223393,0,0,0,0
2023-05-04,DE,0.7775604,0,0,0,0
2023-05-05,DE,0.7990031,0,0,0,0
2023-05-08,DE,0.79660153,0,0,0,0
2023-05-09,DE,0.8000038,0,0,0,0
2023-05-10,DE,0.79700196,0,0,0,0
2023-05-11,DE,0.7752733,0,0,0,0
2023-05-12,DE,0.7786755,0,0,0,0
2023-05-15,DE,0.7678969,0,0,0,0
2023-05-16,DE,0.7463684,0,0,0,1
2023-05-17,DE,0.7617786,0,0,0,0
2023-05-18,DE,0.7687832,0,0,0,0
2023-05-19,DE,0.74885577,0,0,0,0
2023-05-22,DE,0.74013585,0,0,0,1
2023-05-23,DE,0.7400786,0,0,0,1
2023-05-24,DE,0.7217808,0,0,0,1
2023-05-25,DE,0.7240681,0,0,0,0
2023-05-26,DE,0.7307296,0,0,0,0
2023-05-30,DE,0.71191716,0,0,0,1
2023-05-31,DE,0.69862276,0,0,1,1
2023-06-01,DE,0.71746373,0,0,0,0
2023-06-02,DE,0.77035576,0,0,0,0
2023-06-05,DE,0.7491417,0,0,0,0
2023-06-06,DE,0.77784634,0,0,0,0
2023-06-07,DE,0.8010903,0,0,0,0
2023-06-08,DE,0.7980884,0,0,0,0
2023-06-09,DE,0.7926561,0,0,0,0
2023-06-12,DE,0.8162718,0,1,0,0
2023-06-13,DE,0.84803545,0,1,0,0
2023-06-14,DE,0.8503513,0,1,0,0
2023-06-15,DE,0.87170833,0,1,0,0
2023-06-16,DE,0.8748818,0,1,0,0
2023-06-20,DE,0.8758824,0,1,0,0
2023-06-21,DE,0.90049875,0,1,0,0
2023-06-22,DE,0.89792556,0,0,0,0
2023-06-23,DE,0.86579007,0,0,0,0
2023-06-26,DE,0.88220096,0,0,0,0
2023-06-27,DE,0.8802568,0,0,0,0
2023-06-28,DE,0.8679344,0,0,0,0
2023-06-29,DE,0.86128086,0,0,0,0
2023-06-30,DE,0.87149054,0,0,0,0
2023-07-03,DE,0.8751901,0,0,0,0
2023-07-05,DE,0.86997044,0,0,0,0
2023-07-06,DE,0.8599617,0,0,0,0
2023-07-07,DE,0.87174857,0,0,0,0
2023-07-10,DE,0.87693954,0,0,0,0
2023-07-11,DE,0.8961827,0,0,0,0
2023-07-12,DE,0.87860286,0,0,0,0
2023-07-13,DE,0.8839944,0,0,0,0
2023-07-14,DE,0.89850575,0,0,0,0
2023-07-17,DE,0.91568446,0,1,0,0
2023-07-18,DE,0.94711626,0,1,0,0
2023-07-19,DE,0.9603373,0,1,0,0
2023-07-20,DE,0.9702601,0,1,0,0
2023-07-21,DE,0.9625168,0,0,0,0
2023-07-24,DE,0.97874904,0,1,0,0
2023-07-25,DE,0.98947483,1,1,0,0
2023-07-26,DE,0.95110273,0,0,0,0
2023-07-27,DE,0.93868476,0,0,0,0
2023-07-28,DE,0.93435425,0,0,0,0
2023-07-31,DE,0.9414953,0,0,0,0
2023-08-01,DE,0.95250803,0,0,0,0
2023-08-02,DE,0.9441625,0,0,0,0
2023-08-03,DE,0.9252632,0,0,0,0
2023-08-04,DE,0.9255499,0,0,0,0
2023-08-07,DE,0.9463993,0,0,0,0
2023-08-08,DE,0.9439617,0,0,0,0
2023-08-09,DE,0.96010786,0,0,0,0
2023-08-10,DE,0.9557487,0,0,0,0
2023-08-11,DE,0.9571826,0,0,0,0
2023-08-14,DE,0.9645532,0,0,0,0
2023-08-15,DE,0.9474605,0,0,0,0
2023-08-16,DE,0.9252632,0,0,0,0
2023-08-17,DE,0.9115547,0,0,0,1
2023-08-18,DE,0.8480599,0,0,0,1
2023-08-21,DE,0.83019316,0,0,0,1
2023-08-22,DE,0.8141903,0,0,1,1
2023-08-23,DE,0.84020203,0,0,0,0
2023-08-24,DE,0.81829154,0,0,0,0
2023-08-25,DE,0.82852954,0,0,0,0
2023-08-28,DE,0.84137785,0,0,0,0
2023-08-29,DE,0.8683646,0,0,0,0
2023-08-30,DE,0.89466286,0,0,0,0
2023-08-31,DE,0.88798076,0,0,0,0
2023-09-01,DE,0.91080904,0,0,0,0
2023-09-05,DE,0.8979897,0,0,0,0
2023-09-06,DE,0.8975882,0,0,0,0
2023-09-07,DE,0.8902465,0,0,0,0
2023-09-08,DE,0.8556311,0,0,0,0
2023-09-11,DE,0.8576673,0,0,0,0
2023-09-12,DE,0.86308765,0,0,0,0
2023-09-13,DE,0.8630016,0,0,0,0
2023-09-14,DE,0.890103,0,0,0,0
2023-09-15,DE,0.8913361,0,0,0,0
2023-09-18,DE,0.88769406,0,0,0,0
2023-09-19,DE,0.8528493,0,0,0,0
2023-09-20,DE,0.8632884,0,0,0,0
2023-09-21,DE,0.82115936,0,0,0,1
2023-09-22,DE,0.8017438,0,0,0,1
2023-09-25,DE,0.8118387,0,0,0,0
2023-09-26,DE,0.7981876,0,0,0,1
2023-09-27,DE,0.81175256,0,0,0,0
2023-09-28,DE,0.81670284,0,0,0,0
2023-09-29,DE,0.79554963,0,0,0,0
2023-10-02,DE,0.7853616,0,0,0,1
2023-10-03,DE,0.78231084,0,0,0,1
2023-10-04,DE,0.794456,0,0,0,0
2023-10-05,DE,0.79068583,0,0,0,0
2023-10-06,DE,0.7988881,0,0,0,0
2023-10-09,DE,0.8115512,0,0,0,0
2023-10-10,DE,0.8342873,0,0,0,0
2023-10-11,DE,0.83002776,0,0,0,0
2023-10-12,DE,0.80965173,0,0,0,0
2023-10-13,DE,0.80498934,0,0,0,0
