tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,DIS,0.24668117,0,0,0,0
2023-02-02,DIS,0.2774157,1,1,0,0
2023-02-03,DIS,0.25730148,0,0,0,0
2023-02-06,DIS,0.25054315,0,0,0,0
2023-02-07,DIS,0.2647035,0,0,0,0
2023-02-08,DIS,0.26591036,0,0,0,0
2023-02-09,DIS,0.25448552,0,0,0,0
2023-02-10,DIS,0.23598036,0,0,0,0
2023-02-13,DIS,0.23276217,0,0,0,0
2023-02-14,DIS,0.23276217,0,0,0,0
2023-02-15,DIS,0.24547431,0,0,0,0
2023-02-16,DIS,0.21803851,0,0,0,0
2023-02-17,DIS,0.2131306,0,0,0,0
2023-02-21,DIS,0.18794747,0,0,0,1
2023-02-22,DIS,0.1846488,0,0,0,1
2023-02-23,DIS,0.18505105,0,0,0,0
2023-02-24,DIS,0.17354572,0,0,0,0
2023-02-27,DIS,0.1747525,0,0,0,0
2023-02-28,DIS,0.16799417,0,0,0,1
2023-03-01,DIS,0.15938531,0,0,0,1
2023-03-02,DIS,0.16244264,0,0,0,0
2023-03-03,DIS,0.18030411,0,0,0,0
2023-03-06,DIS,0.17644219,0,0,0,0
2023-03-07,DIS,0.163569,0,0,0,0
2023-03-08,DIS,0.16550003,0,0,0,0
2023-03-09,DIS,0.14007562,0,0,0,1
2023-03-10,DIS,0.11939816,0,0,0,1
2023-03-13,DIS,0.11159383,0,0,1,1
2023-03-14,DIS,0.11770855,0,0,0,0
2023-03-15,DIS,0.11561667,0,0,0,0
2023-03-16,DIS,0.12519105,0,0,0,0
2023-03-17,DIS,0.1164212,0,0,0,0
2023-03-20,DIS,0.124627866,0,0,0,0
2023-03-21,DIS,0.14329387,0,0,0,0
2023-03-22,DIS,0.13009898,0,0,0,0
2023-03-23,DIS,0.13758148,0,0,0,0
2023-03-24,DIS,0.123501495,0,0,0,0
2023-03-27,DIS,0.13589187,0,0,0,0
2023-03-28,DIS,0.1294553,0,0,0,0
2023-03-29,DIS,0.145949,0,0,0,0
2023-03-30,DIS,0.15584515,0,0,0,0
2023-03-31,DIS,0.17217794,0,0,0,0
2023-04-03,DIS,0.16920103,0,0,0,0
2023-04-04,DIS,0.16767234,0,0,0,0
2023-04-05,DIS,0.17040789,0,0,0,0
2023-04-06,DIS,0.17089064,0,0,0,0
2023-04-10,DIS,0.17764899,0,1,0,0
2023-04-11,DIS,0.17451116,0,0,0,0
2023-04-12,DIS,0.15455787,0,0,0,0
2023-04-13,DIS,0.17789033,0,0,0,0
2023-04-14,DIS,0.17032747,0,0,0,0
2023-04-17,DIS,0.17354572,0,0,0,0
2023-04-18,DIS,0.1786145,0,0,0,0
2023-04-19,DIS,0.16107486,0,0,0,0
2023-04-20,DIS,0.15560381,0,0,0,0
2023-04-21,DIS,0.16767234,0,0,0,0
2023-04-24,DIS,0.16855736,0,0,0,0
2023-04-25,DIS,0.15512106,0,0,0,0
2023-04-26,DIS,0.14385712,0,0,0,1
2023-04-27,DIS,0.17056881,0,0,0,0
2023-04-28,DIS,0.19124627,0,0,0,0
2023-05-01,DIS,0.18891299,0,0,0,0
2023-05-02,DIS,0.17595944,0,0,0,0
2023-05-03,DIS,0.17805131,0,0,0,0
