tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,DUK,0.816765,0,0,0,0
2023-02-02,DUK,0.808058,0,0,0,0
2023-02-03,DUK,0.7826344,0,0,0,0
2023-02-06,DUK,0.8040531,0,0,0,0
2023-02-07,DUK,0.7868136,0,0,0,0
2023-02-08,DUK,0.7582553,0,0,0,1
2023-02-09,DUK,0.7298712,0,0,0,1
2023-02-10,DUK,0.7570362,0,0,0,0
2023-02-13,DUK,0.7732309,0,0,0,0
2023-02-14,DUK,0.7633051,0,0,0,0
2023-02-15,DUK,0.7596485,0,0,0,0
2023-02-16,DUK,0.7602643,0,0,0,0
2023-02-17,DUK,0.7813741,0,0,0,0
2023-02-21,DUK,0.7495332,0,0,0,0
2023-02-22,DUK,0.74583894,0,0,0,0
2023-02-23,DUK,0.7347562,0,0,0,1
2023-02-24,DUK,0.73616344,0,0,0,0
2023-02-27,DUK,0.71663666,0,0,0,1
2023-02-28,DUK,0.6893695,0,0,0,1
2023-03-01,DUK,0.6480293,0,0,0,1
2023-03-02,DUK,0.68074983,0,0,0,0
2023-03-03,DUK,0.70924824,0,0,0,0
2023-03-06,DUK,0.7196274,0,0,0,0
2023-03-07,DUK,0.6763517,0,0,0,0
2023-03-08,DUK,0.69658226,0,0,0,0
2023-03-09,DUK,0.68866605,0,0,0,0
2023-03-10,DUK,0.6642134,0,0,0,0
2023-03-13,DUK,0.68778634,0,0,0,0
2023-03-14,DUK,0.7039708,0,0,0,0
2023-03-15,DUK,0.73458034,0,0,0,0
2023-03-16,DUK,0.74108917,0,0,0,0
2023-03-17,DUK,0.72683996,0,0,0,0
2023-03-20,DUK,0.74302435,0,0,0,0
2023-03-21,DUK,0.6983414,0,0,0,0
2023-03-22,DUK,0.66632456,0,0,0,0
2023-03-23,DUK,0.6416962,0,0,1,1
2023-03-24,DUK,0.69130456,0,0,0,0
2023-03-27,DUK,0.6969339,0,0,0,0
2023-03-28,DUK,0.69798946,0,0,0,0
2023-03-29,DUK,0.724729,0,0,0,0
2023-03-30,DUK,0.72279394,0,0,0,0
2023-03-31,DUK,0.7282472,0,0,0,0
2023-04-03,DUK,0.7039708,0,0,0,0
2023-04-04,DUK,0.7240252,0,0,0,0
2023-04-05,DUK,0.7699395,0,1,0,0
2023-04-06,DUK,0.7857721,1,1,0,0
2023-04-10,DUK,0.7750411,0,0,0,0
2023-04-11,DUK,0.7789113,0,0,0,0
2023-04-12,DUK,0.77996683,0,0,0,0
2023-04-13,DUK,0.77521694,0,0,0,0
2023-04-14,DUK,0.7488294,0,0,0,0
2023-04-17,DUK,0.7623751,0,0,0,0
2023-04-18,DUK,0.7447835,0,0,0,0
2023-04-19,DUK,0.7621994,0,0,0,0
2023-04-20,DUK,0.7590327,0,0,0,0
2023-04-21,DUK,0.76149553,0,0,0,0
2023-04-24,DUK,0.7709951,0,0,0,0
2023-04-25,DUK,0.7857721,0,1,0,0
2023-04-26,DUK,0.7613197,0,0,0,0
2023-04-27,DUK,0.7810224,0,0,0,0
2023-04-28,DUK,0.7706431,0,0,0,0
2023-05-01,DUK,0.77433735,0,0,0,0
2023-05-02,DUK,0.7481259,0,0,0,0
2023-05-03,DUK,0.74337584,0,0,0,0
2023-05-04,DUK,0.75709754,0,0,0,0
2023-05-05,DUK,0.77908725,0,0,0,0
2023-05-08,DUK,0.7709951,0,0,0,0
2023-05-09,DUK,0.7560421,0,0,0,0
2023-05-10,DUK,0.77521694,0,0,0,0
2023-05-11,DUK,0.7609108,0,0,0,0
2023-05-12,DUK,0.7630433,0,0,0,0
2023-05-15,DUK,0.7431388,0,0,0,0
2023-05-16,DUK,0.7019083,0,0,0,1
2023-05-17,DUK,0.684314,0,0,0,1
2023-05-18,DUK,0.6805819,0,0,0,1
2023-05-19,DUK,0.6752504,0,0,0,1
2023-05-22,DUK,0.66565365,0,0,0,1
2023-05-23,DUK,0.643972,0,0,0,1
2023-05-24,DUK,0.6334867,0,0,0,1
2023-05-25,DUK,0.6109162,0,0,0,1
2023-05-26,DUK,0.60753965,0,0,0,1
2023-05-30,DUK,0.5952771,0,0,1,1
2023-05-31,DUK,0.61802506,0,0,0,0
2023-06-01,DUK,0.59723204,0,0,0,0
2023-06-02,DUK,0.62495613,0,0,0,0
2023-06-05,DUK,0.6334867,0,0,0,0
2023-06-06,DUK,0.62620014,0,0,0,0
2023-06-07,DUK,0.6585448,0,0,0,0
2023-06-08,DUK,0.6661868,0,0,0,0
2023-06-09,DUK,0.6576564,0,0,0,0
2023-06-12,DUK,0.65534604,0,0,0,0
2023-06-13,DUK,0.64414966,0,0,0,0
2023-06-14,DUK,0.64574915,0,0,0,0
2023-06-15,DUK,0.6606776,0,1,0,0
2023-06-16,DUK,0.6693857,0,0,0,0
2023-06-20,DUK,0.6475263,0,0,0,0
2023-06-21,DUK,0.6599666,0,0,0,0
2023-06-22,DUK,0.6466377,0,0,0,0
2023-06-23,DUK,0.6256671,0,0,0,0
2023-06-26,DUK,0.64557135,0,0,0,0
2023-06-27,DUK,0.6398844,0,0,0,0
2023-06-28,DUK,0.6146482,0,0,0,1
2023-06-29,DUK,0.6107387,0,0,0,1
2023-06-30,DUK,0.62602234,0,0,0,0
2023-07-03,DUK,0.6434388,0,0,0,0
2023-07-05,DUK,0.65925574,0,0,0,0
2023-07-06,DUK,0.64059526,0,0,0,0
2023-07-07,DUK,0.6265555,0,0,0,0
2023-07-10,DUK,0.61678106,0,0,0,0
2023-07-11,DUK,0.6462823,0,0,0,0
2023-07-12,DUK,0.6725847,0,0,0,0
2023-07-13,DUK,0.6894677,0,1,0,0
2023-07-14,DUK,0.68413633,0,0,0,0
2023-07-17,DUK,0.6622768,0,0,0,0
2023-07-18,DUK,0.6468155,0,0,0,0
2023-07-19,DUK,0.6599666,0,0,0,0
2023-07-20,DUK,0.687513,0,0,0,0
