tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,F,0.46965346,0,1,0,0
2023-02-02,F,0.49460927,1,1,0,0
2023-02-03,F,0.44328487,0,0,0,0
2023-02-06,F,0.43904716,0,0,0,0
2023-02-07,F,0.453644,0,0,0,0
2023-02-08,F,0.45223144,0,0,0,0
2023-02-09,F,0.45552742,0,0,0,0
2023-02-10,F,0.45752966,0,0,0,0
2023-02-13,F,0.4755495,0,0,0,0
2023-02-14,F,0.4695429,0,0,0,0
2023-02-15,F,0.46754068,0,0,0,0
2023-02-16,F,0.46653953,0,0,0,0
2023-02-17,F,0.46553844,0,0,0,0
2023-02-21,F,0.43100044,0,0,0,1
2023-02-22,F,0.43150106,0,0,0,0
2023-02-23,F,0.42449328,0,0,0,1
2023-02-24,F,0.41498283,0,0,0,1
2023-02-27,F,0.42399278,0,0,0,0
2023-02-28,F,0.42449328,0,0,0,0
2023-03-01,F,0.4370071,0,0,0,0
2023-03-02,F,0.44851977,0,0,0,0
2023-03-03,F,0.47504896,0,0,0,0
2023-03-06,F,0.4700434,0,0,0,0
2023-03-07,F,0.46253505,0,0,0,0
2023-03-08,F,0.4700434,0,0,0,0
2023-03-09,F,0.4435142,0,0,0,0
2023-03-10,F,0.42599505,0,0,0,0
2023-03-13,F,0.4224912,0,0,0,0
2023-03-14,F,0.41748562,0,0,0,0
2023-03-15,F,0.40647352,0,0,0,0
2023-03-16,F,0.41197956,0,0,0,0
2023-03-17,F,0.38595092,0,0,0,1
2023-03-20,F,0.37994432,0,0,1,1
2023-03-21,F,0.40697402,0,0,0,0
2023-03-22,F,0.3949608,0,0,0,0
2023-03-23,F,0.39195755,0,0,0,0
2023-03-24,F,0.3964625,0,0,0,0
2023-03-27,F,0.39696312,0,0,0,0
2023-03-28,F,0.40096745,0,0,0,0
2023-03-29,F,0.42349216,0,0,0,0
2023-03-30,F,0.43550545,0,0,0,0
2023-03-31,F,0.4510225,0,1,0,0
2023-04-03,F,0.45502692,0,1,0,0
2023-04-04,F,0.45702907,0,1,0,0
2023-04-05,F,0.4425131,0,0,0,0
2023-04-06,F,0.4375076,0,0,0,0
2023-04-10,F,0.45702907,0,0,0,0
2023-04-11,F,0.46453738,1,1,0,0
2023-04-12,F,0.4545264,0,0,0,0
2023-04-13,F,0.44401476,0,0,0,0
2023-04-14,F,0.44701812,0,0,0,0
2023-04-17,F,0.45502692,0,0,0,0
2023-04-18,F,0.45752966,0,0,0,0
2023-04-19,F,0.4320016,0,0,0,0
2023-04-20,F,0.41448233,0,0,0,1
2023-04-21,F,0.4114791,0,0,0,1
2023-04-24,F,0.42899823,0,0,0,0
2023-04-25,F,0.416835,0,0,0,0
2023-04-26,F,0.40517855,0,0,0,1
2023-04-27,F,0.40872616,0,0,0,0
2023-04-28,F,0.4224099,0,0,0,0
2023-05-01,F,0.43153226,0,0,0,0
2023-05-02,F,0.41835544,0,0,0,0
2023-05-03,F,0.4178486,0,0,0,0
2023-05-04,F,0.4061922,0,0,0,0
2023-05-05,F,0.42798463,0,0,0,0
2023-05-08,F,0.4295051,0,0,0,0
2023-05-09,F,0.42139623,0,0,0,0
2023-05-10,F,0.42291665,0,0,0,0
2023-05-11,F,0.42190304,0,0,0,0
2023-05-12,F,0.41176704,0,0,0,0
2023-05-15,F,0.4102466,0,0,0,1
2023-05-16,F,0.3904813,0,0,1,1
2023-05-17,F,0.40315136,0,0,0,0
2023-05-18,F,0.4102466,0,0,0,0
2023-05-19,F,0.41075337,0,0,0,0
2023-05-22,F,0.40973982,0,0,0,0
2023-05-23,F,0.41480777,0,0,0,0
2023-05-24,F,0.39453563,0,0,0,0
2023-05-25,F,0.39706978,0,0,0,0
2023-05-26,F,0.43305275,0,0,0,0
2023-05-30,F,0.4583928,0,1,0,0
2023-05-31,F,0.42849147,0,0,0,0
2023-06-01,F,0.43406627,0,0,0,0
2023-06-02,F,0.44825676,0,0,0,0
2023-06-05,F,0.4583928,0,1,0,0
2023-06-06,F,0.4756241,0,1,0,0
2023-06-07,F,0.509073,0,1,0,0
2023-06-08,F,0.50856626,0,0,0,0
2023-06-09,F,0.51667506,0,1,0,0
2023-06-12,F,0.5187022,0,1,0,0
2023-06-13,F,0.5364404,0,1,0,0
2023-06-14,F,0.53998786,0,1,0,0
2023-06-15,F,0.55265796,0,1,0,0
2023-06-16,F,0.5511376,0,0,0,0
2023-06-20,F,0.5410016,0,0,0,0
2023-06-21,F,0.53086555,0,0,0,0
2023-06-22,F,0.5394811,0,0,0,0
2023-06-23,F,0.53086555,0,0,0,0
2023-06-26,F,0.53542674,0,0,0,0
