tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,GILD,0.81870484,0,0,0,0
2023-02-02,GILD,0.75356597,0,0,1,1
2023-02-03,GILD,0.8311835,0,0,0,0
2023-02-06,GILD,0.87760454,0,0,0,0
2023-02-07,GILD,0.8698676,0,0,0,0
2023-02-08,GILD,0.8603839,0,0,0,0
2023-02-09,GILD,0.8568898,0,0,0,0
2023-02-10,GILD,0.88609,0,1,0,0
2023-02-13,GILD,0.90580666,1,1,0,0
2023-02-14,GILD,0.8606337,0,0,0,0
2023-02-15,GILD,0.84491044,0,0,0,0
2023-02-16,GILD,0.8034811,0,0,0,0
2023-02-17,GILD,0.837673,0,0,0,0
2023-02-21,GILD,0.8346778,0,0,0,0
2023-02-22,GILD,0.80622613,0,0,0,0
2023-02-23,GILD,0.78226703,0,0,0,0
2023-02-24,GILD,0.7353473,0,0,0,1
2023-02-27,GILD,0.74108726,0,0,0,0
2023-02-28,GILD,0.7321025,0,0,0,1
2023-03-01,GILD,0.70864254,0,0,0,1
2023-03-02,GILD,0.70939124,0,0,0,0
2023-03-03,GILD,0.74557966,0,0,0,0
2023-03-06,GILD,0.7465779,0,0,0,0
2023-03-07,GILD,0.72586316,0,0,0,0
2023-03-08,GILD,0.72386664,0,0,0,0
2023-03-09,GILD,0.6926695,0,0,0,1
2023-03-10,GILD,0.70639646,0,0,0,0
2023-03-13,GILD,0.706646,0,0,0,0
2023-03-14,GILD,0.73209304,0,0,0,0
2023-03-15,GILD,0.7290699,0,0,0,0
2023-03-16,GILD,0.73410857,0,0,0,0
2023-03-17,GILD,0.67011315,0,0,1,0
2023-03-20,GILD,0.72428244,0,0,0,0
2023-03-21,GILD,0.71622014,0,0,0,0
2023-03-22,GILD,0.6827106,0,0,0,0
2023-03-23,GILD,0.706646,0,0,0,0
2023-03-24,GILD,0.73788804,0,0,0,0
2023-03-27,GILD,0.7273062,0,0,0,0
2023-03-28,GILD,0.76232725,0,1,0,0
2023-03-29,GILD,0.77039003,0,0,0,0
2023-03-30,GILD,0.7744211,0,0,0,0
2023-03-31,GILD,0.8127175,0,1,0,0
2023-04-03,GILD,0.81952006,0,1,0,0
2023-04-04,GILD,0.7913017,0,0,0,0
2023-04-05,GILD,0.82985014,0,1,0,0
2023-04-06,GILD,0.82279575,0,0,0,0
2023-04-10,GILD,0.8033954,0,0,0,0
2023-04-11,GILD,0.80188364,0,0,0,0
2023-04-12,GILD,0.7923097,0,0,0,0
2023-04-13,GILD,0.82027584,0,0,0,0
2023-04-14,GILD,0.81347346,0,0,0,0
2023-04-17,GILD,0.8293461,0,0,0,0
2023-04-18,GILD,0.83312565,0,0,0,0
2023-04-19,GILD,0.84143996,0,0,0,0
2023-04-20,GILD,0.8560531,0,1,0,0
2023-04-21,GILD,0.90342003,0,1,0,0
2023-04-24,GILD,0.9066951,1,1,0,0
2023-04-25,GILD,0.87872857,0,0,0,0
