tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,GOOGL,0.3602492,0,1,0,0
2023-02-02,GOOGL,0.41133693,1,1,0,0
2023-02-03,GOOGL,0.39065024,0,0,0,0
2023-02-06,GOOGL,0.37751138,0,0,0,0
2023-02-07,GOOGL,0.41063806,0,0,0,0
2023-02-08,GOOGL,0.35284114,0,0,0,0
2023-02-09,GOOGL,0.32237017,0,0,0,0
2023-02-10,GOOGL,0.31929508,0,0,0,1
2023-02-13,GOOGL,0.31957465,0,0,0,0
2023-02-14,GOOGL,0.3200639,0,0,0,0
2023-02-15,GOOGL,0.33585846,0,0,0,0
2023-02-16,GOOGL,0.32586455,0,0,0,0
2023-02-17,GOOGL,0.31775755,0,0,0,0
2023-02-21,GOOGL,0.29986638,0,0,0,1
2023-02-22,GOOGL,0.29888797,0,0,0,1
2023-02-23,GOOGL,0.29357648,0,0,0,1
2023-02-24,GOOGL,0.2812763,0,0,1,1
2023-02-27,GOOGL,0.28644797,0,0,0,0
2023-02-28,GOOGL,0.2877758,0,0,0,0
2023-03-01,GOOGL,0.28987247,0,0,0,0
2023-03-02,GOOGL,0.301334,0,0,0,0
2023-03-03,GOOGL,0.31286544,0,0,0,0
2023-03-06,GOOGL,0.32320878,0,0,0,0
2023-03-07,GOOGL,0.31433308,0,0,0,0
2023-03-08,GOOGL,0.31705868,0,0,0,0
2023-03-09,GOOGL,0.3035704,0,0,0,0
2023-03-10,GOOGL,0.29175937,0,0,0,0
2023-03-13,GOOGL,0.295114,0,0,0,0
2023-03-14,GOOGL,0.31510183,0,0,0,0
2023-03-15,GOOGL,0.3300578,0,0,0,0
2023-03-16,GOOGL,0.3594804,0,1,0,0
2023-03-17,GOOGL,0.36856583,0,1,0,0
2023-03-20,GOOGL,0.3657703,0,0,0,0
2023-03-21,GOOGL,0.39162865,0,1,0,0
2023-03-22,GOOGL,0.38079613,0,0,0,0
2023-03-23,GOOGL,0.39638102,0,1,0,0
2023-03-24,GOOGL,0.39526284,0,0,0,0
2023-03-27,GOOGL,0.37443635,0,0,0,0
2023-03-28,GOOGL,0.3644424,0,0,0,0
2023-03-29,GOOGL,0.36695835,0,0,0,0
2023-03-30,GOOGL,0.36346397,0,0,0,0
2023-03-31,GOOGL,0.3833121,0,0,0,0
2023-04-03,GOOGL,0.38771498,0,0,0,0
2023-04-04,GOOGL,0.39023092,0,0,0,0
2023-04-05,GOOGL,0.38848376,0,0,0,0
2023-04-06,GOOGL,0.4160893,0,1,0,0
