tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,IBM,0.4402581,0,0,0,0
2023-02-02,IBM,0.4498467,0,0,0,0
2023-02-03,IBM,0.4539033,0,0,0,0
2023-02-06,IBM,0.44829768,0,0,0,0
2023-02-07,IBM,0.44578987,0,0,0,0
2023-02-08,IBM,0.44682252,0,0,0,0
2023-02-09,IBM,0.4424921,0,0,0,0
2023-02-10,IBM,0.45630485,0,0,0,0
2023-02-13,IBM,0.46937126,0,0,0,0
2023-02-14,IBM,0.45936617,0,0,0,0
2023-02-15,IBM,0.4622781,0,0,0,0
2023-02-16,IBM,0.45182508,0,0,0,0
2023-02-17,IBM,0.4519743,0,0,0,0
2023-02-21,IBM,0.42726052,0,0,0,0
2023-02-22,IBM,0.4217353,0,0,0,1
2023-02-23,IBM,0.42039123,0,0,0,1
2023-02-24,IBM,0.4187487,0,0,0,0
2023-02-27,IBM,0.4181514,0,0,0,1
2023-02-28,IBM,0.40926626,0,0,0,1
2023-03-01,IBM,0.4009785,0,0,0,1
2023-03-02,IBM,0.40650365,0,0,0,0
2023-03-03,IBM,0.41180477,0,0,0,0
2023-03-06,IBM,0.41591138,0,0,0,0
2023-03-07,IBM,0.4014265,0,0,0,0
2023-03-08,IBM,0.39993322,0,0,0,1
2023-03-09,IBM,0.38582158,0,0,0,1
2023-03-10,IBM,0.38052034,0,0,0,1
2023-03-13,IBM,0.38149098,0,0,0,0
2023-03-14,IBM,0.3745472,0,0,0,1
2023-03-15,IBM,0.3643182,0,0,1,1
2023-03-16,IBM,0.3749205,0,0,0,0
2023-03-17,IBM,0.36737946,0,0,0,0
2023-03-20,IBM,0.38417894,0,0,0,0
2023-03-21,IBM,0.3888828,0,0,0,0
2023-03-22,IBM,0.37006742,0,0,0,0
2023-03-23,IBM,0.36499017,0,0,0,0
2023-03-24,IBM,0.37932575,0,0,0,0
2023-03-27,IBM,0.40934092,0,0,0,0
2023-03-28,IBM,0.4095649,0,0,0,0
2023-03-29,IBM,0.4123276,0,0,0,0
2023-03-30,IBM,0.40866897,0,0,0,0
2023-03-31,IBM,0.42263126,0,1,0,0
2023-04-03,IBM,0.42987368,0,1,0,0
2023-04-04,IBM,0.4264391,0,0,0,0
2023-04-05,IBM,0.43047097,1,1,0,0
2023-04-06,IBM,0.41822606,0,0,0,0
2023-04-10,IBM,0.42218328,0,0,0,0
2023-04-11,IBM,0.4176287,0,0,0,0
2023-04-12,IBM,0.40359172,0,0,0,0
2023-04-13,IBM,0.3988133,0,0,0,0
2023-04-14,IBM,0.40060517,0,0,0,0
2023-04-17,IBM,0.39821595,0,0,0,0
2023-04-18,IBM,0.39791724,0,0,0,0
