tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,INTU,0.4837337,0,1,0,0
2023-02-02,INTU,0.51485646,1,1,0,0
2023-02-03,INTU,0.4616424,0,0,0,0
2023-02-06,INTU,0.4452097,0,0,0,0
2023-02-07,INTU,0.46896872,0,0,0,0
2023-02-08,INTU,0.45785743,0,0,0,0
2023-02-09,INTU,0.45410985,0,0,0,0
2023-02-10,INTU,0.44245532,0,0,0,0
2023-02-13,INTU,0.45101824,0,0,0,0
2023-02-14,INTU,0.45828837,0,0,0,0
2023-02-15,INTU,0.45692053,0,0,0,0
2023-02-16,INTU,0.43278673,0,0,0,0
2023-02-17,INTU,0.4253293,0,0,0,1
2023-02-21,INTU,0.41011453,0,0,0,1
2023-02-22,INTU,0.42907682,0,0,0,0
2023-02-23,INTU,0.43938237,0,0,0,0
2023-02-24,INTU,0.45424107,0,0,0,0
2023-02-27,INTU,0.44076893,0,0,0,0
2023-02-28,INTU,0.43057582,0,0,0,0
2023-03-01,INTU,0.419502,0,0,0,0
2023-03-02,INTU,0.4178156,0,0,0,1
2023-03-03,INTU,0.4330866,0,0,0,0
2023-03-06,INTU,0.44093755,0,0,0,0
2023-03-07,INTU,0.43452936,0,0,0,0
2023-03-08,INTU,0.44835758,0,0,0,0
2023-03-09,INTU,0.42570406,0,0,0,0
2023-03-10,INTU,0.4032754,0,0,0,1
2023-03-13,INTU,0.40130803,0,0,1,1
2023-03-14,INTU,0.4326744,0,0,0,0
2023-03-15,INTU,0.4289644,0,0,0,0
2023-03-16,INTU,0.45113063,0,0,0,0
2023-03-17,INTU,0.44277382,0,0,0,0
2023-03-20,INTU,0.4393073,0,0,0,0
2023-03-21,INTU,0.45840073,0,0,0,0
2023-03-22,INTU,0.44374812,0,0,0,0
2023-03-23,INTU,0.478,0,1,0,0
2023-03-24,INTU,0.4725288,0,0,0,0
2023-03-27,INTU,0.4676008,0,0,0,0
2023-03-28,INTU,0.4533417,0,0,0,0
2023-03-29,INTU,0.47949913,0,1,0,0
2023-03-30,INTU,0.49224046,0,1,0,0
2023-03-31,INTU,0.5029957,0,1,0,0
2023-04-03,INTU,0.4933273,0,0,0,0
2023-04-04,INTU,0.49171582,0,0,0,0
2023-04-05,INTU,0.49047914,0,0,0,0
2023-04-06,INTU,0.5062278,0,1,0,0
2023-04-10,INTU,0.5023985,0,0,0,0
