tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,JNJ,0.77700615,0,0,0,0
2023-02-02,JNJ,0.78462,0,0,0,0
2023-02-03,JNJ,0.7731992,0,0,0,0
2023-02-06,JNJ,0.7578484,0,0,0,0
2023-02-07,JNJ,0.75833946,0,0,0,0
2023-02-08,JNJ,0.7609185,0,0,0,0
2023-02-09,JNJ,0.7337784,0,0,0,1
2023-02-10,JNJ,0.7429888,0,0,0,0
2023-02-13,JNJ,0.75035733,0,0,0,0
2023-02-14,JNJ,0.7416382,0,0,0,0
2023-02-15,JNJ,0.7088487,0,0,0,1
2023-02-16,JNJ,0.6949721,0,0,0,1
2023-02-17,JNJ,0.7355417,0,0,0,0
2023-02-21,JNJ,0.7059802,0,0,0,0
2023-02-22,JNJ,0.703259,0,0,0,0
2023-02-23,JNJ,0.70264065,0,0,0,0
2023-02-24,JNJ,0.68087107,0,0,0,1
2023-02-27,JNJ,0.67666584,0,0,0,1
2023-02-28,JNJ,0.64735126,0,0,0,1
2023-03-01,JNJ,0.6388173,0,0,0,1
2023-03-02,JNJ,0.63733256,0,0,0,1
2023-03-03,JNJ,0.6567521,0,0,0,0
2023-03-06,JNJ,0.6758,0,0,0,0
2023-03-07,JNJ,0.6576175,0,0,0,0
2023-03-08,JNJ,0.64364105,0,0,0,0
2023-03-09,JNJ,0.62236625,0,0,0,1
2023-03-10,JNJ,0.62694275,0,0,0,0
2023-03-13,JNJ,0.64487773,0,0,0,0
2023-03-14,JNJ,0.65551484,0,0,0,0
2023-03-15,JNJ,0.6608338,0,0,0,0
2023-03-16,JNJ,0.65687585,0,0,0,0
2023-03-17,JNJ,0.6364669,0,0,0,0
2023-03-20,JNJ,0.655144,0,0,0,0
2023-03-21,JNJ,0.655144,0,0,0,0
2023-03-22,JNJ,0.6200163,0,0,1,1
2023-03-23,JNJ,0.62100583,0,0,0,0
2023-03-24,JNJ,0.6398067,0,0,0,0
2023-03-27,JNJ,0.64784646,0,0,0,0
2023-03-28,JNJ,0.62954044,0,0,0,0
2023-03-29,JNJ,0.64796984,0,0,0,0
2023-03-30,JNJ,0.649454,0,0,0,0
2023-03-31,JNJ,0.66887355,0,0,0,0
2023-04-03,JNJ,0.69175583,0,0,0,0
2023-04-04,JNJ,0.71204084,0,1,0,0
2023-04-05,JNJ,0.8001075,0,1,0,0
2023-04-06,JNJ,0.7944181,0,0,0,0
2023-04-10,JNJ,0.78415185,0,0,0,0
2023-04-11,JNJ,0.7835331,0,0,0,0
2023-04-12,JNJ,0.77920413,0,0,0,0
2023-04-13,JNJ,0.80629224,1,1,0,0
2023-04-14,JNJ,0.80295247,0,0,0,0
2023-04-17,JNJ,0.8008498,0,0,0,0
2023-04-18,JNJ,0.7432106,0,0,0,0
2023-04-19,JNJ,0.76201147,0,0,0,0
2023-04-20,JNJ,0.7749987,0,0,0,0
2023-04-21,JNJ,0.7639906,0,0,0,0
2023-04-24,JNJ,0.7762354,0,0,0,0
2023-04-25,JNJ,0.7947887,0,0,0,0
2023-04-26,JNJ,0.7631246,0,0,0,0
2023-04-27,JNJ,0.76782477,0,0,0,0
2023-04-28,JNJ,0.7764831,0,0,0,0
2023-05-01,JNJ,0.7752462,0,0,0,0
2023-05-02,JNJ,0.7929335,0,0,0,0
2023-05-03,JNJ,0.76621664,0,0,0,0
2023-05-04,JNJ,0.75706375,0,0,0,0
2023-05-05,JNJ,0.76386684,0,0,0,0
2023-05-08,JNJ,0.7592902,0,0,0,0
2023-05-09,JNJ,0.7437054,0,0,0,0
2023-05-10,JNJ,0.75112647,0,0,0,0
2023-05-11,JNJ,0.7429633,0,0,0,0
2023-05-12,JNJ,0.7403658,0,0,0,0
2023-05-15,JNJ,0.7251521,0,0,0,1
2023-05-16,JNJ,0.72255456,0,0,0,1
2023-05-17,JNJ,0.7182254,0,0,0,1
2023-05-18,JNJ,0.7119173,0,0,0,1
2023-05-19,JNJ,0.71723604,0,0,0,0
2023-05-22,JNJ,0.70664287,0,0,0,1
2023-05-23,JNJ,0.7058953,0,0,0,1
2023-05-24,JNJ,0.70402575,0,0,0,1
2023-05-25,JNJ,0.67598593,0,0,0,1
2023-05-26,JNJ,0.6752384,0,0,1,1
2023-05-30,JNJ,0.6754874,0,0,0,0
2023-05-31,JNJ,0.68408614,0,0,0,0
2023-06-01,JNJ,0.6776058,0,0,0,0
2023-06-02,JNJ,0.70788914,0,0,0,0
2023-06-05,JNJ,0.7247134,0,0,0,0
2023-06-06,JNJ,0.7229684,0,0,0,0
2023-06-07,JNJ,0.72720575,0,0,0,0
2023-06-08,JNJ,0.7488898,0,1,0,0
2023-06-09,JNJ,0.7457742,0,0,0,0
2023-06-12,JNJ,0.74440336,0,0,0,0
2023-06-13,JNJ,0.7548718,0,1,0,0
2023-06-14,JNJ,0.7650906,0,0,0,0
2023-06-15,JNJ,0.79213357,0,1,0,0
2023-06-16,JNJ,0.7983648,0,1,0,0
2023-06-20,JNJ,0.7971187,0,0,0,0
2023-06-21,JNJ,0.7940033,0,0,0,0
2023-06-22,JNJ,0.8156872,0,1,0,0
2023-06-23,JNJ,0.8139428,0,0,0,0
2023-06-26,JNJ,0.7908875,0,0,0,0
2023-06-27,JNJ,0.7866503,0,0,0,0
2023-06-28,JNJ,0.78253806,0,0,0,0
2023-06-29,JNJ,0.79674494,0,0,0,0
2023-06-30,JNJ,0.8144411,0,0,0,0
2023-07-03,JNJ,0.7873981,0,0,0,0
2023-07-05,JNJ,0.7806685,0,0,0,0
2023-07-06,JNJ,0.7655893,0,0,0,0
2023-07-07,JNJ,0.736303,0,0,0,1
2023-07-10,JNJ,0.73954314,0,0,0,0
2023-07-11,JNJ,0.7285766,0,0,0,1
2023-07-12,JNJ,0.7217223,0,0,1,1
2023-07-13,JNJ,0.7308197,0,0,0,0
2023-07-14,JNJ,0.7440296,0,0,0,0
2023-07-17,JNJ,0.73405963,0,0,0,0
2023-07-18,JNJ,0.7339353,0,0,0,0
