tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,JPM,0.4691209,0,0,0,0
2023-02-02,JPM,0.46473184,0,0,0,0
2023-02-03,JPM,0.4792492,0,1,0,0
2023-02-06,JPM,0.4848537,0,1,0,0
2023-02-07,JPM,0.4965352,0,1,0,0
2023-02-08,JPM,0.48971555,0,0,0,0
2023-02-09,JPM,0.4747253,0,0,0,0
2023-02-10,JPM,0.47891167,0,0,0,0
2023-02-13,JPM,0.48924276,0,0,0,0
2023-02-14,JPM,0.49349666,0,1,0,0
2023-02-15,JPM,0.49754798,1,1,0,0
2023-02-16,JPM,0.48417857,0,0,0,0
2023-02-17,JPM,0.4870144,0,0,0,0
2023-02-21,JPM,0.469391,0,0,0,0
2023-02-22,JPM,0.46216607,0,0,0,0
2023-02-23,JPM,0.4696611,0,0,0,0
2023-02-24,JPM,0.478169,0,0,0,0
2023-02-27,JPM,0.48647422,0,0,0,0
2023-02-28,JPM,0.49450967,0,0,0,0
2023-03-01,JPM,0.48910773,0,0,0,0
2023-03-02,JPM,0.47911435,0,0,0,0
2023-03-03,JPM,0.49660262,0,0,0,0
2023-03-06,JPM,0.4909308,0,0,0,0
2023-03-07,JPM,0.4625711,0,0,0,0
2023-03-08,JPM,0.45703414,0,0,0,0
2023-03-09,JPM,0.40666208,0,0,0,1
2023-03-10,JPM,0.4290121,0,0,0,0
2023-03-13,JPM,0.4128067,0,0,0,0
2023-03-14,JPM,0.43556175,0,0,0,0
2023-03-15,JPM,0.39261717,0,0,0,1
2023-03-16,JPM,0.4094305,0,0,0,0
2023-03-17,JPM,0.37607405,0,0,0,1
2023-03-20,JPM,0.38505468,0,0,0,0
2023-03-21,JPM,0.4080801,0,0,0,0
2023-03-22,JPM,0.38532472,0,0,0,0
2023-03-23,JPM,0.38302895,0,0,0,0
2023-03-24,JPM,0.36999705,0,0,1,1
2023-03-27,JPM,0.3941703,0,0,0,0
2023-03-28,JPM,0.3968037,0,0,0,0
2023-03-29,JPM,0.3985593,0,0,0,0
2023-03-30,JPM,0.39592594,0,0,0,0
2023-03-31,JPM,0.40645948,0,0,0,0
2023-04-03,JPM,0.40544665,0,0,0,0
2023-04-04,JPM,0.39369762,0,0,0,0
2023-04-05,JPM,0.39499053,0,0,0,0
2023-04-06,JPM,0.39403787,0,0,0,0
2023-04-10,JPM,0.3968961,0,0,0,0
2023-04-11,JPM,0.40118343,0,0,0,0
