tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,LLY,0.30046347,0,0,0,0
2023-02-02,LLY,0.2869783,0,0,0,0
2023-02-03,LLY,0.29649854,0,0,0,0
2023-02-06,LLY,0.29488534,0,0,0,0
2023-02-07,LLY,0.29718015,0,0,0,0
2023-02-08,LLY,0.29837307,0,0,0,0
2023-02-09,LLY,0.29957733,0,0,0,0
2023-02-10,LLY,0.3033604,0,0,0,0
2023-02-13,LLY,0.3093588,0,0,0,0
2023-02-14,LLY,0.30740985,0,0,0,0
2023-02-15,LLY,0.2931061,0,0,0,0
2023-02-16,LLY,0.28291678,0,0,0,0
2023-02-17,LLY,0.28557238,0,0,0,0
2023-02-21,LLY,0.284558,0,0,0,0
2023-02-22,LLY,0.286336,0,0,0,0
2023-02-23,LLY,0.28456938,0,0,0,0
2023-02-24,LLY,0.27786773,0,0,0,1
2023-02-27,LLY,0.2721462,0,0,0,1
2023-02-28,LLY,0.26599157,0,0,0,1
2023-03-01,LLY,0.26935384,0,0,0,0
2023-03-02,LLY,0.27035677,0,0,0,0
2023-03-03,LLY,0.27420914,0,0,0,0
2023-03-06,LLY,0.2748132,0,0,0,0
2023-03-07,LLY,0.26531917,0,0,1,1
2023-03-08,LLY,0.26749608,0,0,0,0
2023-03-09,LLY,0.27240834,0,0,0,0
2023-03-10,LLY,0.2703226,0,0,0,0
2023-03-13,LLY,0.28111598,0,0,0,0
2023-03-14,LLY,0.2840565,0,0,0,0
2023-03-15,LLY,0.28679183,0,0,0,0
2023-03-16,LLY,0.2868603,0,0,0,0
2023-03-17,LLY,0.28646138,0,0,0,0
2023-03-20,LLY,0.29149905,0,0,0,0
2023-03-21,LLY,0.28862685,0,0,0,0
2023-03-22,LLY,0.28850153,0,0,0,0
2023-03-23,LLY,0.29040495,0,0,0,0
2023-03-24,LLY,0.29438257,0,1,0,0
2023-03-27,LLY,0.2926388,0,0,0,0
2023-03-28,LLY,0.29611498,0,0,0,0
2023-03-29,LLY,0.29408625,0,0,0,0
2023-03-30,LLY,0.29957983,0,0,0,0
2023-03-31,LLY,0.30269134,0,0,0,0
2023-04-03,LLY,0.31103426,0,1,0,0
2023-04-04,LLY,0.31545642,0,1,0,0
2023-04-05,LLY,0.32414126,0,1,0,0
2023-04-06,LLY,0.33103675,0,0,0,0
2023-04-10,LLY,0.32956648,0,0,0,0
2023-04-11,LLY,0.32619283,0,0,0,0
2023-04-12,LLY,0.33190298,0,0,0,0
2023-04-13,LLY,0.33885536,0,0,0,0
2023-04-14,LLY,0.33837673,0,0,0,0
2023-04-17,LLY,0.33566415,0,0,0,0
2023-04-18,LLY,0.33288315,0,0,0,0
2023-04-19,LLY,0.33352137,0,0,0,0
2023-04-20,LLY,0.33846787,0,0,0,0
2023-04-21,LLY,0.3503554,0,1,0,0
2023-04-24,LLY,0.3482013,0,0,0,0
2023-04-25,LLY,0.3498995,0,0,0,0
2023-04-26,LLY,0.34013185,0,0,0,0
2023-04-27,LLY,0.35617948,0,0,0,0
2023-04-28,LLY,0.36245945,0,1,0,0
2023-05-01,LLY,0.37379992,0,1,0,0
2023-05-02,LLY,0.3719649,0,0,0,0
2023-05-03,LLY,0.40272662,0,1,0,0
2023-05-04,LLY,0.3995923,0,0,0,0
2023-05-05,LLY,0.39887428,0,0,0,0
2023-05-08,LLY,0.40447038,0,0,0,0
2023-05-09,LLY,0.39952388,0,0,0,0
2023-05-10,LLY,0.4081176,0,0,0,0
2023-05-11,LLY,0.40769583,0,0,0,0
2023-05-12,LLY,0.40770733,0,0,0,0
2023-05-15,LLY,0.40779874,0,0,0,0
2023-05-16,LLY,0.41024408,0,0,0,0
2023-05-17,LLY,0.41118118,0,0,0,0
2023-05-18,LLY,0.4116611,0,0,0,0
2023-05-19,LLY,0.4167919,0,1,0,0
2023-05-22,LLY,0.40720454,0,0,0,0
2023-05-23,LLY,0.39488614,0,0,0,0
2023-05-24,LLY,0.39781147,0,0,0,0
2023-05-25,LLY,0.3995712,0,0,0,0
2023-05-26,LLY,0.3978343,0,0,0,0
2023-05-30,LLY,0.39949122,0,0,0,0
2023-05-31,LLY,0.40202805,0,0,0,0
2023-06-01,LLY,0.41006127,0,0,0,0
2023-06-02,LLY,0.41673473,0,0,0,0
2023-06-05,LLY,0.41894013,0,0,0,0
2023-06-06,LLY,0.41758028,0,0,0,0
2023-06-07,LLY,0.40992415,0,0,0,0
2023-06-08,LLY,0.42053995,0,0,0,0
2023-06-09,LLY,0.42097417,0,0,0,0
2023-06-12,LLY,0.42014,0,0,0,0
2023-06-13,LLY,0.4206085,0,0,0,0
2023-06-14,LLY,0.42289388,0,0,0,0
2023-06-15,LLY,0.4299901,0,1,0,0
2023-06-16,LLY,0.4228825,0,0,0,0
2023-06-20,LLY,0.42772755,0,0,0,0
2023-06-21,LLY,0.4289274,0,0,0,0
2023-06-22,LLY,0.43427527,0,1,0,0
2023-06-23,LLY,0.4356008,0,1,0,0
2023-06-26,LLY,0.42865315,0,0,0,0
2023-06-27,LLY,0.44206855,0,1,0,0
2023-06-28,LLY,0.43544084,0,0,0,0
2023-06-29,LLY,0.44205707,0,0,0,0
2023-06-30,LLY,0.4471879,0,1,0,0
2023-07-03,LLY,0.438549,0,0,0,0
2023-07-05,LLY,0.4434398,0,0,0,0
2023-07-06,LLY,0.4405944,0,0,0,0
2023-07-07,LLY,0.4278761,0,0,0,0
2023-07-10,LLY,0.42911023,0,0,0,0
2023-07-11,LLY,0.41337517,0,0,0,1
2023-07-12,LLY,0.41475782,0,0,0,0
2023-07-13,LLY,0.40801582,0,0,0,1
2023-07-14,LLY,0.4248822,0,0,0,0
2023-07-17,LLY,0.42223108,0,0,0,0
2023-07-18,LLY,0.42687052,0,0,0,0
2023-07-19,LLY,0.42956728,0,0,0,0
2023-07-20,LLY,0.44129145,0,0,0,0
2023-07-21,LLY,0.4392575,0,0,0,0
2023-07-24,LLY,0.4361493,0,0,0,0
2023-07-25,LLY,0.4341153,0,0,0,0
2023-07-26,LLY,0.4296016,0,0,0,0
2023-07-27,LLY,0.4312014,0,0,0,0
2023-07-28,LLY,0.43518946,0,0,0,0
2023-07-31,LLY,0.43069857,0,0,0,0
2023-08-01,LLY,0.42903024,0,0,0,0
2023-08-02,LLY,0.43061864,0,0,0,0
2023-08-03,LLY,0.42453942,0,0,0,0
2023-08-04,LLY,0.42491645,0,0,0,0
2023-08-07,LLY,0.4301615,0,0,0,0
2023-08-08,LLY,0.5073171,0,1,0,0
2023-08-09,LLY,0.5126079,0,1,0,0
2023-08-10,LLY,0.50702006,0,0,0,0
2023-08-11,LLY,0.5149504,0,0,0,0
2023-08-14,LLY,0.5273754,0,1,0,0
2023-08-15,LLY,0.5372467,0,1,0,0
2023-08-16,LLY,0.5368115,0,0,0,0
2023-08-17,LLY,0.52698606,0,0,0,0
2023-08-18,LLY,0.5370291,0,0,0,0
2023-08-21,LLY,0.5411746,0,0,0,0
2023-08-22,LLY,0.54530865,0,1,0,0
2023-08-23,LLY,0.544965,0,0,0,0
2023-08-24,LLY,0.538827,0,0,0,0
2023-08-25,LLY,0.54529715,0,0,0,0
2023-08-28,LLY,0.54560626,0,0,0,0
2023-08-29,LLY,0.5455834,0,0,0,0
2023-08-30,LLY,0.5388156,0,0,0,0
2023-08-31,LLY,0.545927,0,0,0,0
2023-09-01,LLY,0.54925936,0,0,0,0
2023-09-05,LLY,0.55049616,0,0,0,0
2023-09-06,LLY,0.55251163,0,0,0,0
2023-09-07,LLY,0.5677193,0,0,0,0
2023-09-08,LLY,0.58286977,0,1,0,0
2023-09-11,LLY,0.5932907,0,1,0,0
2023-09-12,LLY,0.5975736,1,1,0,0
2023-09-13,LLY,0.5970926,0,0,0,0
2023-09-14,LLY,0.58876735,0,0,0,0
2023-09-15,LLY,0.570502,0,0,0,0
2023-09-18,LLY,0.5654863,0,0,0,0
2023-09-19,LLY,0.5697004,0,0,0,0
2023-09-20,LLY,0.5636082,0,0,0,0
2023-09-21,LLY,0.5412662,0,0,0,0
2023-09-22,LLY,0.5417357,0,0,0,0
2023-09-25,LLY,0.54373974,0,0,0,0
2023-09-26,LLY,0.54112875,0,0,0,0
2023-09-27,LLY,0.5408424,0,0,0,0
