tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,MCD,0.7769313,0,0,0,0
2023-02-02,MCD,0.7610446,0,0,0,0
2023-02-03,MCD,0.76634026,0,0,0,0
2023-02-06,MCD,0.78549784,0,0,0,0
2023-02-07,MCD,0.7824865,0,0,0,0
2023-02-08,MCD,0.7590198,0,0,0,0
2023-02-09,MCD,0.7478058,0,0,1,1
2023-02-10,MCD,0.7569429,0,0,0,0
2023-02-13,MCD,0.7765678,0,0,0,0
2023-02-14,MCD,0.7786968,0,0,0,0
2023-02-15,MCD,0.77843684,0,0,0,0
2023-02-16,MCD,0.7746468,0,0,0,0
2023-02-17,MCD,0.7962445,0,0,0,0
2023-02-21,MCD,0.7887686,0,0,0,0
2023-02-22,MCD,0.78923583,0,0,0,0
2023-02-23,MCD,0.77957916,0,0,0,0
2023-02-24,MCD,0.7634848,0,0,0,0
2023-02-27,MCD,0.7691956,0,0,0,0
2023-02-28,MCD,0.7725897,0,0,0,0
2023-03-01,MCD,0.766376,0,0,0,0
2023-03-02,MCD,0.7917012,0,0,0,0
2023-03-03,MCD,0.79953396,0,0,0,0
2023-03-06,MCD,0.8077318,0,0,0,0
2023-03-07,MCD,0.7894038,0,0,0,0
2023-03-08,MCD,0.78000444,0,0,0,0
2023-03-09,MCD,0.76068425,0,0,0,0
2023-03-10,MCD,0.7627729,0,0,0,0
2023-03-13,MCD,0.76825565,0,0,0,0
2023-03-14,MCD,0.78298116,0,0,0,0
2023-03-15,MCD,0.7852784,0,0,0,0
2023-03-16,MCD,0.80736643,0,0,0,0
2023-03-17,MCD,0.7897692,0,0,0,0
2023-03-20,MCD,0.808254,0,0,0,0
2023-03-21,MCD,0.80548674,0,0,0,0
2023-03-22,MCD,0.79326797,0,0,0,0
2023-03-23,MCD,0.8024059,0,0,0,0
2023-03-24,MCD,0.8113349,0,0,0,0
2023-03-27,MCD,0.8244416,0,1,0,0
2023-03-28,MCD,0.8349372,0,1,0,0
2023-03-29,MCD,0.84323967,0,1,0,0
2023-03-30,MCD,0.8450674,0,1,0,0
2023-03-31,MCD,0.85457075,0,1,0,0
2023-04-03,MCD,0.86778176,0,1,0,0
2023-04-04,MCD,0.8685129,0,1,0,0
2023-04-05,MCD,0.86715525,0,0,0,0
2023-04-06,MCD,0.8716981,0,1,0,0
2023-04-10,MCD,0.87634534,0,1,0,0
2023-04-11,MCD,0.8800007,0,1,0,0
2023-04-12,MCD,0.8842824,0,1,0,0
2023-04-13,MCD,0.90396845,0,1,0,0
2023-04-14,MCD,0.90349823,0,0,0,0
2023-04-17,MCD,0.90522146,0,1,0,0
2023-04-18,MCD,0.9135761,0,1,0,0
2023-04-19,MCD,0.91545594,0,1,0,0
2023-04-20,MCD,0.91404617,0,0,0,0
2023-04-21,MCD,0.9195812,0,1,0,0
2023-04-24,MCD,0.9255341,0,1,0,0
2023-04-25,MCD,0.9167093,0,0,0,0
2023-04-26,MCD,0.9075715,0,0,0,0
2023-04-27,MCD,0.933471,0,0,0,0
2023-04-28,MCD,0.93884945,0,1,0,0
2023-05-01,MCD,0.94840515,0,1,0,0
2023-05-02,MCD,0.9509636,1,1,0,0
2023-05-03,MCD,0.9360819,0,0,0,0
2023-05-04,MCD,0.9357688,0,0,0,0
2023-05-05,MCD,0.9432878,0,0,0,0
2023-05-08,MCD,0.94375783,0,0,0,0
2023-05-09,MCD,0.94360125,0,0,0,0
2023-05-10,MCD,0.9431312,0,0,0,0
2023-05-11,MCD,0.93383664,0,0,0,0
2023-05-12,MCD,0.94088596,0,0,0,0
2023-05-15,MCD,0.9396326,0,0,0,0
2023-05-16,MCD,0.93049484,0,0,0,0
2023-05-17,MCD,0.92689145,0,0,0,0
