tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,MET,0.9037852,0,0,0,0
2023-02-02,MET,0.8521618,0,0,0,0
2023-02-03,MET,0.8535522,0,0,0,0
2023-02-06,MET,0.8675579,0,0,0,0
2023-02-07,MET,0.88804114,0,0,0,0
2023-02-08,MET,0.8876909,0,0,0,0
2023-02-09,MET,0.8798129,0,0,0,0
2023-02-10,MET,0.89049244,0,0,0,0
2023-02-13,MET,0.9078241,0,0,0,0
2023-02-14,MET,0.90187186,0,0,0,0
2023-02-15,MET,0.9086996,0,0,0,0
2023-02-16,MET,0.9092249,0,0,0,0
2023-02-17,MET,0.9104502,1,1,0,0
2023-02-21,MET,0.88436466,0,0,0,0
2023-02-22,MET,0.8810383,0,0,0,0
2023-02-23,MET,0.8761364,0,0,0,0
2023-02-24,MET,0.8981951,0,0,0,0
2023-02-27,MET,0.8971448,0,0,0,0
2023-02-28,MET,0.89626944,0,0,0,0
2023-03-01,MET,0.88821614,0,0,0,0
2023-03-02,MET,0.85530305,0,0,0,1
2023-03-03,MET,0.8717596,0,0,0,0
2023-03-06,MET,0.8605552,0,0,0,0
2023-03-07,MET,0.85250205,0,0,0,0
2023-03-08,MET,0.8222148,0,0,0,1
2023-03-09,MET,0.7726698,0,0,0,1
2023-03-10,MET,0.73257864,0,0,0,1
2023-03-13,MET,0.6727044,0,0,0,1
2023-03-14,MET,0.6746302,0,0,0,0
2023-03-15,MET,0.62613577,0,0,0,1
2023-03-16,MET,0.6504704,0,0,0,0
2023-03-17,MET,0.60110056,0,0,0,0
2023-03-20,MET,0.6380405,0,0,0,0
2023-03-21,MET,0.66517645,0,0,0,0
2023-03-22,MET,0.6228093,0,0,0,0
2023-03-23,MET,0.59112155,0,0,1,0
2023-03-24,MET,0.5919969,0,0,0,0
2023-03-27,MET,0.6182574,0,0,0,0
2023-03-28,MET,0.6109045,0,0,0,0
2023-03-29,MET,0.62946206,0,0,0,0
2023-03-30,MET,0.63926595,0,0,0,0
2023-03-31,MET,0.6548473,0,0,0,0
2023-04-03,MET,0.6553725,0,0,0,0
2023-04-04,MET,0.6460938,0,0,0,0
2023-04-05,MET,0.66745234,0,0,0,0
2023-04-06,MET,0.6746302,0,0,0,0
2023-04-10,MET,0.6818081,0,0,0,0
2023-04-11,MET,0.69301265,0,0,0,0
2023-04-12,MET,0.6910868,0,0,0,0
2023-04-13,MET,0.6870603,0,0,0,0
2023-04-14,MET,0.70176613,0,0,0,0
2023-04-17,MET,0.71787256,0,0,0,0
2023-04-18,MET,0.713846,0,0,0,0
2023-04-19,MET,0.7225995,1,0,0,0
2023-04-20,MET,0.7050925,0,0,0,0
2023-04-21,MET,0.693888,0,0,0,0
2023-04-24,MET,0.69808966,0,0,0,0
2023-04-25,MET,0.6770812,0,0,0,0
2023-04-26,MET,0.6720042,0,0,0,0
2023-04-27,MET,0.696339,0,0,0,0
2023-04-28,MET,0.7141962,0,0,0,0
2023-05-01,MET,0.7129707,0,0,0,0
2023-05-02,MET,0.68093276,0,0,0,0
2023-05-03,MET,0.66832775,0,0,0,0
2023-05-04,MET,0.58779526,0,0,0,1
2023-05-05,MET,0.5974241,0,0,0,0
2023-05-08,MET,0.5894704,0,0,0,0
2023-05-09,MET,0.5735626,0,0,0,1
2023-05-10,MET,0.55641764,0,0,0,1
2023-05-11,MET,0.54598933,0,0,0,1
2023-05-12,MET,0.5281373,0,0,0,1
2023-05-15,MET,0.5327329,0,0,0,0
2023-05-16,MET,0.50869465,0,0,1,1
2023-05-17,MET,0.5542967,0,0,0,0
2023-05-18,MET,0.5574782,0,0,0,0
2023-05-19,MET,0.55217564,0,0,0,0
2023-05-22,MET,0.5661391,0,0,0,0
