tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,MMM,0.25054407,0,0,0,0
2023-02-02,MMM,0.29203224,0,0,0,0
2023-02-03,MMM,0.2658095,0,0,0,0
2023-02-06,MMM,0.25653788,0,0,0,0
2023-02-07,MMM,0.260284,0,0,0,0
2023-02-08,MMM,0.24483119,0,0,0,0
2023-02-09,MMM,0.22310378,0,0,0,0
2023-02-10,MMM,0.2320009,0,0,0,0
2023-02-13,MMM,0.24511218,0,0,0,0
2023-02-14,MMM,0.23509118,0,0,0,0
2023-02-15,MMM,0.24052326,0,0,0,0
2023-02-16,MMM,0.22828205,0,0,0,1
2023-02-17,MMM,0.23767641,0,0,0,0
2023-02-21,MMM,0.2021864,0,0,0,1
2023-02-22,MMM,0.19924486,0,0,0,1
2023-02-23,MMM,0.19895996,0,0,0,1
2023-02-24,MMM,0.18842697,0,0,0,1
2023-02-27,MMM,0.19288686,0,0,0,0
2023-02-28,MMM,0.18785766,0,0,0,1
2023-03-01,MMM,0.21129617,0,0,0,0
2023-03-02,MMM,0.20835452,0,0,0,0
2023-03-03,MMM,0.22125994,0,0,0,0
2023-03-06,MMM,0.20863922,0,0,0,0
2023-03-07,MMM,0.18168947,0,0,0,1
2023-03-08,MMM,0.18235378,0,0,0,0
2023-03-09,MMM,0.16679141,0,0,0,1
2023-03-10,MMM,0.15293707,0,0,0,1
2023-03-13,MMM,0.14762297,0,0,0,1
2023-03-14,MMM,0.14079076,0,0,0,1
2023-03-15,MMM,0.14079076,0,0,0,0
2023-03-16,MMM,0.15436049,0,0,0,0
2023-03-17,MMM,0.1430681,0,0,0,0
2023-03-20,MMM,0.15530941,0,0,0,0
2023-03-21,MMM,0.15511951,0,0,0,0
2023-03-22,MMM,0.12902406,0,0,0,0
2023-03-23,MMM,0.123899676,0,0,1,0
2023-03-24,MMM,0.1252282,0,0,0,0
2023-03-27,MMM,0.12854946,0,0,0,0
2023-03-28,MMM,0.1309218,0,0,0,0
2023-03-29,MMM,0.14468132,0,0,0,0
2023-03-30,MMM,0.14079076,0,0,0,0
2023-03-31,MMM,0.16290075,0,0,0,0
2023-04-03,MMM,0.15777655,0,0,0,0
2023-04-04,MMM,0.13576138,0,0,0,0
2023-04-05,MMM,0.13614088,0,0,0,0
2023-04-06,MMM,0.12921377,0,0,0,0
2023-04-10,MMM,0.14060095,0,0,0,0
2023-04-11,MMM,0.15768164,0,0,0,0
2023-04-12,MMM,0.15587872,0,0,0,0
2023-04-13,MMM,0.17276952,0,0,0,0
2023-04-14,MMM,0.16916364,0,0,0,0
2023-04-17,MMM,0.17874782,1,0,0,0
2023-04-18,MMM,0.17390843,0,0,0,0
2023-04-19,MMM,0.1721053,0,0,0,0
2023-04-20,MMM,0.15929478,0,0,0,0
2023-04-21,MMM,0.15692253,0,0,0,0
2023-04-24,MMM,0.16242623,0,0,0,0
2023-04-25,MMM,0.15587872,0,0,0,0
2023-04-26,MMM,0.14211918,0,0,0,0
2023-04-27,MMM,0.16498838,0,0,0,0
2023-04-28,MMM,0.17343383,0,0,0,0
2023-05-01,MMM,0.16992277,0,0,0,0
2023-05-02,MMM,0.1426885,0,0,0,1
2023-05-03,MMM,0.14126517,0,0,0,1
2023-05-04,MMM,0.1318708,0,0,0,1
2023-05-05,MMM,0.14619955,0,0,0,0
2023-05-08,MMM,0.1366154,0,0,0,0
2023-05-09,MMM,0.12200194,0,0,0,1
2023-05-10,MMM,0.12295095,0,0,0,0
2023-05-11,MMM,0.121812135,0,0,0,0
2023-05-12,MMM,0.11697256,0,0,0,1
2023-05-15,MMM,0.119060285,0,0,0,0
2023-05-16,MMM,0.095526695,0,0,0,1
2023-05-17,MMM,0.116118535,0,0,0,0
2023-05-18,MMM,0.1253667,0,0,0,0
2023-05-19,MMM,0.11949026,0,0,0,0
2023-05-22,MMM,0.14530824,0,0,0,0
2023-05-23,MMM,0.13557835,0,0,0,0
2023-05-24,MMM,0.09983787,0,0,0,0
2023-05-25,MMM,0.1004159,0,0,0,0
2023-05-26,MMM,0.09935622,0,0,0,0
2023-05-30,MMM,0.09087868,0,0,0,1
2023-05-31,MMM,0.06438646,0,0,1,1
2023-06-01,MMM,0.073731005,0,0,0,0
2023-06-02,MMM,0.15320766,0,0,0,0
2023-06-05,MMM,0.109375,0,0,0,0
2023-06-06,MMM,0.11236146,0,0,0,0
2023-06-07,MMM,0.13846824,0,0,0,0
2023-06-08,MMM,0.13615629,0,0,0,0
2023-06-09,MMM,0.12787151,0,0,0,0
2023-06-12,MMM,0.14097305,0,0,0,0
2023-06-13,MMM,0.15523064,0,0,0,0
2023-06-14,MMM,0.1476202,0,0,0,0
2023-06-15,MMM,0.16553849,0,0,0,0
2023-06-16,MMM,0.17257099,0,1,0,0
2023-06-20,MMM,0.150992,0,0,0,0
2023-06-21,MMM,0.1429962,0,0,0,0
2023-06-22,MMM,0.13297714,0,0,0,0
2023-06-23,MMM,0.13577093,0,0,0,0
2023-06-26,MMM,0.13278447,0,0,0,0
2023-06-27,MMM,0.11207249,0,0,0,0
2023-06-28,MMM,0.115058765,0,0,0,0
2023-06-29,MMM,0.12151333,0,0,0,0
2023-06-30,MMM,0.12970172,0,0,0,0
2023-07-03,MMM,0.13981698,0,0,0,0
2023-07-05,MMM,0.11563689,0,0,0,0
2023-07-06,MMM,0.09328701,0,0,0,1
2023-07-07,MMM,0.10272794,0,0,0,0
2023-07-10,MMM,0.10176446,0,0,0,0
2023-07-11,MMM,0.14733113,0,0,0,0
2023-07-12,MMM,0.1439595,0,0,0,0
2023-07-13,MMM,0.1563867,0,0,0,0
2023-07-14,MMM,0.150992,0,0,0,0
