tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,MO,0.7869188,0,1,0,0
2023-02-02,MO,0.76757145,0,0,0,0
2023-02-03,MO,0.7655348,0,0,0,0
2023-02-06,MO,0.7672318,0,0,0,0
2023-02-07,MO,0.75365496,0,0,0,0
2023-02-08,MO,0.7516184,0,0,0,0
2023-02-09,MO,0.74584824,0,0,0,0
2023-02-10,MO,0.77673584,0,0,0,0
2023-02-13,MO,0.7974407,0,1,0,0
2023-02-14,MO,0.7825062,0,0,0,0
2023-02-15,MO,0.7906523,0,0,0,0
2023-02-16,MO,0.7821666,0,0,0,0
2023-02-17,MO,0.8049081,1,1,0,0
2023-02-21,MO,0.7835243,0,0,0,0
2023-02-22,MO,0.77334154,0,0,0,0
2023-02-23,MO,0.78590024,0,0,0,0
2023-02-24,MO,0.7743597,0,0,0,0
2023-02-27,MO,0.7529762,0,0,0,0
2023-02-28,MO,0.74924237,0,0,0,0
2023-03-01,MO,0.7397385,0,0,0,1
2023-03-02,MO,0.7502607,0,0,0,0
2023-03-03,MO,0.75263655,0,0,0,0
2023-03-06,MO,0.7750387,0,0,0,0
2023-03-07,MO,0.7533155,0,0,0,0
2023-03-08,MO,0.7618009,0,0,0,0
2023-03-09,MO,0.75976473,0,0,0,0
2023-03-10,MO,0.75535196,0,0,0,0
2023-03-13,MO,0.7577279,0,0,0,0
2023-03-14,MO,0.75976473,0,0,0,0
2023-03-15,MO,0.764177,0,0,0,0
2023-03-16,MO,0.7404172,0,0,0,0
2023-03-17,MO,0.71156627,0,0,0,1
2023-03-20,MO,0.73702323,0,0,0,0
2023-03-21,MO,0.74143565,0,0,0,0
2023-03-22,MO,0.7057962,0,0,0,1
2023-03-23,MO,0.67979765,0,0,1,1
2023-03-24,MO,0.6974765,0,0,0,0
2023-03-27,MO,0.70856905,0,0,0,0
2023-03-28,MO,0.7109958,0,0,0,0
2023-03-29,MO,0.71654195,0,0,0,0
2023-03-30,MO,0.7158485,0,0,0,0
2023-03-31,MO,0.72000825,0,0,0,0
2023-04-03,MO,0.7324874,0,0,0,0
2023-04-04,MO,0.7141155,0,0,0,0
2023-04-05,MO,0.71342224,0,0,0,0
2023-04-06,MO,0.71342224,0,0,0,0
2023-04-10,MO,0.7158485,0,0,0,0
2023-04-11,MO,0.7363005,0,0,0,0
2023-04-12,MO,0.72728777,0,0,0,0
2023-04-13,MO,0.73214096,0,0,0,0
2023-04-14,MO,0.7342204,0,0,0,0
