tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,MS,0.8555378,0,1,0,0
2023-02-02,MS,0.86744076,0,1,0,0
2023-02-03,MS,0.870008,0,1,0,0
2023-02-06,MS,0.86382324,0,0,0,0
2023-02-07,MS,0.86755735,0,0,0,0
2023-02-08,MS,0.86452323,0,0,0,0
2023-02-09,MS,0.853904,0,0,0,0
2023-02-10,MS,0.8584551,0,0,0,0
2023-02-13,MS,0.870008,0,0,0,0
2023-02-14,MS,0.88319474,0,1,0,0
2023-02-15,MS,0.88634557,1,1,0,0
2023-02-16,MS,0.8716418,0,0,0,0
2023-02-17,MS,0.87094164,0,0,0,0
2023-02-21,MS,0.84888613,0,0,0,0
2023-02-22,MS,0.8448017,0,0,0,0
2023-02-23,MS,0.8526202,0,0,0,0
2023-02-24,MS,0.8498196,0,0,0,0
2023-02-27,MS,0.83814996,0,0,0,0
2023-02-28,MS,0.835816,0,0,0,0
2023-03-01,MS,0.83219856,0,0,0,0
2023-03-02,MS,0.8309149,0,0,0,0
2023-03-03,MS,0.8571714,0,0,0,0
2023-03-06,MS,0.85775495,0,0,0,0
2023-03-07,MS,0.8306814,0,0,0,0
2023-03-08,MS,0.82881427,0,0,0,0
2023-03-09,MS,0.7856366,0,0,0,1
2023-03-10,MS,0.7605469,0,0,0,1
2023-03-13,MS,0.73650753,0,0,0,1
2023-03-14,MS,0.7596133,0,0,0,0
2023-03-15,MS,0.70616645,0,0,0,1
2023-03-16,MS,0.72507125,0,0,0,0
2023-03-17,MS,0.69204617,0,0,0,1
2023-03-20,MS,0.70908386,0,0,0,0
2023-03-21,MS,0.7454932,0,0,0,0
2023-03-22,MS,0.7313729,0,0,0,0
2023-03-23,MS,0.7114177,0,0,0,0
2023-03-24,MS,0.6893623,0,0,0,1
2023-03-27,MS,0.69741416,0,0,0,0
2023-03-28,MS,0.70021486,0,0,0,0
2023-03-29,MS,0.7160856,0,0,0,0
2023-03-30,MS,0.7145686,0,0,0,0
2023-03-31,MS,0.73429024,0,0,0,0
2023-04-03,MS,0.7268218,0,0,0,0
2023-04-04,MS,0.6995147,0,0,0,0
2023-04-05,MS,0.68784523,0,0,1,0
2023-04-06,MS,0.6921629,0,0,0,0
2023-04-10,MS,0.6899456,0,0,0,0
2023-04-11,MS,0.7026655,0,0,0,0
2023-04-12,MS,0.70710003,0,0,0,0
2023-04-13,MS,0.7096673,0,0,0,0
2023-04-14,MS,0.72157025,0,0,0,0
2023-04-17,MS,0.751678,0,0,0,0
2023-04-18,MS,0.758213,0,0,0,0
2023-04-19,MS,0.76521474,0,0,0,0
2023-04-20,MS,0.7649814,0,0,0,0
2023-04-21,MS,0.7730335,1,1,0,0
2023-04-24,MS,0.7622973,0,0,0,0
2023-04-25,MS,0.7373243,0,0,0,0
2023-04-26,MS,0.7417588,0,0,0,0
2023-04-27,MS,0.76299757,0,0,0,0
2023-04-28,MS,0.76870626,0,1,0,0
2023-05-01,MS,0.74469405,0,0,0,0
2023-05-02,MS,0.72539014,0,0,0,0
2023-05-03,MS,0.7072633,0,0,0,0
2023-05-04,MS,0.68207395,0,0,0,1
2023-05-05,MS,0.70879346,0,0,0,0
2023-05-08,MS,0.70349675,0,0,0,0
2023-05-09,MS,0.7027905,0,0,0,0
2023-05-10,MS,0.6951394,0,0,0,0
2023-05-11,MS,0.68230945,0,0,0,1
2023-05-12,MS,0.6794845,0,0,0,1
2023-05-15,MS,0.68607605,0,0,0,0
2023-05-16,MS,0.6732459,0,0,0,1
2023-05-17,MS,0.69737595,0,0,0,0
2023-05-18,MS,0.70420295,0,0,0,0
2023-05-19,MS,0.6777188,0,0,0,0
2023-05-22,MS,0.6780719,0,0,0,0
2023-05-23,MS,0.6824271,0,0,0,0
2023-05-24,MS,0.6657128,0,0,1,1
2023-05-25,MS,0.68666464,0,0,0,0
2023-05-26,MS,0.69725823,0,0,0,0
2023-05-30,MS,0.69160825,0,0,0,0
2023-05-31,MS,0.6720689,0,0,0,0
2023-06-01,MS,0.6757178,0,0,0,0
2023-06-02,MS,0.702555,0,0,0,0
2023-06-05,MS,0.6953749,0,0,0,0
2023-06-06,MS,0.7203288,0,0,0,0
2023-06-07,MS,0.727862,0,1,0,0
2023-06-08,MS,0.7256255,0,0,0,0
2023-06-09,MS,0.72444844,0,0,0,0
2023-06-12,MS,0.7389266,0,1,0,0
2023-06-13,MS,0.7488139,0,1,0,0
2023-06-14,MS,0.7452827,0,0,0,0
2023-06-15,MS,0.75787723,0,1,0,0
2023-06-16,MS,0.74657726,0,0,0,0
2023-06-20,MS,0.7305693,0,0,0,0
2023-06-21,MS,0.7259786,0,0,0,0
2023-06-22,MS,0.70432067,0,0,0,0
2023-06-23,MS,0.69349164,0,0,0,1
2023-06-26,MS,0.69360924,0,0,0,0
2023-06-27,MS,0.70349675,0,0,0,0
2023-06-28,MS,0.6983175,0,0,0,0
2023-06-29,MS,0.7130309,0,0,0,0
2023-06-30,MS,0.7149141,0,0,0,0
2023-07-03,MS,0.7268027,0,0,0,0
2023-07-05,MS,0.721035,0,0,0,0
2023-07-06,MS,0.69054884,0,0,0,1
2023-07-07,MS,0.690902,0,0,0,0
2023-07-10,MS,0.69137293,0,0,0,0
2023-07-11,MS,0.70973516,0,0,0,0
2023-07-12,MS,0.71926934,0,0,0,0
2023-07-13,MS,0.72444844,0,0,0,0
2023-07-14,MS,0.7193871,0,0,0,0
2023-07-17,MS,0.7263318,0,0,0,0
2023-07-18,MS,0.7918947,0,1,0,0
2023-07-19,MS,0.80625486,0,1,0,0
2023-07-20,MS,0.81378806,0,1,0,0
2023-07-21,MS,0.8162599,0,1,0,0
2023-07-24,MS,0.82402855,1,1,0,0
2023-07-25,MS,0.82108593,0,0,0,0
2023-07-26,MS,0.81072783,0,0,0,0
2023-07-27,MS,0.80142885,0,0,0,0
2023-07-28,MS,0.7975086,0,0,0,0
2023-07-31,MS,0.79738975,0,0,0,0
2023-08-01,MS,0.79002446,0,0,0,0
2023-08-02,MS,0.77077955,0,0,0,0
2023-08-03,MS,0.76864123,0,0,0,0
2023-08-04,MS,0.76448345,0,0,0,0
2023-08-07,MS,0.7679285,0,0,0,0
2023-08-08,MS,0.76068187,0,0,0,0
2023-08-09,MS,0.74987143,0,0,0,1
2023-08-10,MS,0.75082195,0,0,0,0
2023-08-11,MS,0.75153464,0,0,0,0
2023-08-14,MS,0.7471392,0,0,0,0
2023-08-15,MS,0.7332401,0,0,0,1
2023-08-16,MS,0.7312206,0,0,0,1
2023-08-17,MS,0.72884464,0,0,0,1
2023-08-18,MS,0.71815306,0,0,0,1
2023-08-21,MS,0.7105501,0,0,0,1
2023-08-22,MS,0.6954631,0,0,1,1
