tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,NKE,0.59968793,1,1,0,0
2023-02-02,NKE,0.59597015,0,0,0,0
2023-02-03,NKE,0.5837188,0,0,0,0
2023-02-06,NKE,0.5678341,0,0,0,0
2023-02-07,NKE,0.5644545,0,0,0,0
2023-02-08,NKE,0.54400724,0,0,0,0
2023-02-09,NKE,0.5378392,0,0,0,1
2023-02-10,NKE,0.5382618,0,0,0,0
2023-02-13,NKE,0.56293344,0,0,0,0
2023-02-14,NKE,0.5718053,0,0,0,0
2023-02-15,NKE,0.58262026,0,0,0,0
2023-02-16,NKE,0.5564275,0,0,0,0
2023-02-17,NKE,0.5603142,0,0,0,0
2023-02-21,NKE,0.528714,0,0,0,0
2023-02-22,NKE,0.5185748,0,0,0,1
2023-02-23,NKE,0.5190817,0,0,0,0
2023-02-24,NKE,0.5028592,0,0,0,1
2023-02-27,NKE,0.5069993,0,0,0,0
2023-02-28,NKE,0.5091962,0,0,0,0
2023-03-01,NKE,0.50742185,0,0,0,0
2023-03-02,NKE,0.51587105,0,0,0,0
2023-03-03,NKE,0.53027576,0,0,0,0
2023-03-06,NKE,0.52375126,0,0,0,0
2023-03-07,NKE,0.5188367,0,0,0,0
2023-03-08,NKE,0.52112454,0,0,0,0
2023-03-09,NKE,0.50426257,0,0,0,0
2023-03-10,NKE,0.50104266,0,0,0,0
2023-03-13,NKE,0.49570447,0,0,1,1
2023-03-14,NKE,0.5138374,0,0,0,0
2023-03-15,NKE,0.5068045,0,0,0,0
2023-03-16,NKE,0.52781856,0,0,0,0
2023-03-17,NKE,0.5256154,0,0,0,0
2023-03-20,NKE,0.53247887,0,0,0,0
2023-03-21,NKE,0.5698464,0,1,0,0
2023-03-22,NKE,0.5180741,0,0,0,0
2023-03-23,NKE,0.53053,0,0,0,0
2023-03-24,NKE,0.52832687,0,0,0,0
2023-03-27,NKE,0.5037542,0,0,0,0
2023-03-28,NKE,0.50426257,0,0,0,0
2023-03-29,NKE,0.5264628,0,0,0,0
2023-03-30,NKE,0.52315813,0,0,0,0
2023-03-31,NKE,0.5446805,0,0,0,0
2023-04-03,NKE,0.53646123,0,0,0,0
2023-04-04,NKE,0.55357754,0,0,0,0
2023-04-05,NKE,0.52993685,0,0,0,0
2023-04-06,NKE,0.524175,0,0,0,0
2023-04-10,NKE,0.53849494,0,0,0,0
2023-04-11,NKE,0.55027294,0,0,0,0
2023-04-12,NKE,0.5533233,0,0,0,0
2023-04-13,NKE,0.5767945,0,1,0,0
2023-04-14,NKE,0.5727273,0,0,0,0
2023-04-17,NKE,0.574761,0,0,0,0
2023-04-18,NKE,0.5749304,0,0,0,0
2023-04-19,NKE,0.57035476,0,0,0,0
2023-04-20,NKE,0.56001717,0,0,0,0
2023-04-21,NKE,0.56916845,0,0,0,0
2023-04-24,NKE,0.5823869,0,1,0,0
2023-04-25,NKE,0.5617967,0,0,0,0
2023-04-26,NKE,0.55484855,0,0,0,0
2023-04-27,NKE,0.57060903,0,0,0,0
2023-04-28,NKE,0.57925177,0,1,0,0
2023-05-01,NKE,0.5894198,1,1,0,0
2023-05-02,NKE,0.5838274,0,0,0,0
2023-05-03,NKE,0.5794212,0,0,0,0
2023-05-04,NKE,0.55340797,0,0,0,0
2023-05-05,NKE,0.57815015,0,0,0,0
2023-05-08,NKE,0.5806074,0,0,0,0
2023-05-09,NKE,0.56552494,0,0,0,0
2023-05-10,NKE,0.5520523,0,0,0,0
2023-05-11,NKE,0.54112166,0,0,0,1
2023-05-12,NKE,0.52409023,0,0,0,1
2023-05-15,NKE,0.5208703,0,0,0,1
2023-05-16,NKE,0.49248454,0,0,0,1
2023-05-17,NKE,0.49672127,0,0,0,0
2023-05-18,NKE,0.51273584,0,0,0,0
2023-05-19,NKE,0.47791043,0,0,0,1
2023-05-22,NKE,0.43910235,0,0,0,1
2023-05-23,NKE,0.4272396,0,0,0,1
2023-05-24,NKE,0.4230877,0,0,0,1
2023-05-25,NKE,0.4162243,0,0,0,1
2023-05-26,NKE,0.41647843,0,0,0,0
2023-05-30,NKE,0.4080898,0,0,0,1
2023-05-31,NKE,0.39741346,0,0,0,1
2023-06-01,NKE,0.3836018,0,0,1,1
2023-06-02,NKE,0.42177245,0,0,0,0
2023-06-05,NKE,0.39983916,0,0,0,0
2023-06-06,NKE,0.40825543,0,0,0,0
2023-06-07,NKE,0.4159065,0,0,0,0
2023-06-08,NKE,0.40834048,0,0,0,0
2023-06-09,NKE,0.40544996,0,0,0,0
2023-06-12,NKE,0.4136963,0,0,0,0
2023-06-13,NKE,0.4132712,0,0,0,0
2023-06-14,NKE,0.46495888,0,1,0,0
2023-06-15,NKE,0.46113324,0,0,0,0
2023-06-16,NKE,0.47116473,0,0,0,0
2023-06-20,NKE,0.43673468,0,0,0,0
2023-06-21,NKE,0.44047523,0,0,0,0
2023-06-22,NKE,0.4445558,0,0,0,0
2023-06-23,NKE,0.43656456,0,0,0,0
2023-06-26,NKE,0.45543742,0,0,0,0
2023-06-27,NKE,0.4713348,1,0,0,0
2023-06-28,NKE,0.46640405,0,0,0,0
2023-06-29,NKE,0.46929446,0,0,0,0
2023-06-30,NKE,0.44379076,0,0,0,0
2023-07-03,NKE,0.43307912,0,0,0,0
2023-07-05,NKE,0.4159916,0,0,0,0
2023-07-06,NKE,0.39898902,0,0,0,1
2023-07-07,NKE,0.39354825,0,0,0,1
2023-07-10,NKE,0.40476987,0,0,0,0
2023-07-11,NKE,0.4184569,0,0,0,0
2023-07-12,NKE,0.42160246,0,0,0,0
2023-07-13,NKE,0.42228255,0,0,0,0
2023-07-14,NKE,0.42321768,0,0,0,0
2023-07-17,NKE,0.4296786,0,0,0,0
2023-07-18,NKE,0.43826485,0,0,0,0
2023-07-19,NKE,0.43962502,0,0,0,0
2023-07-20,NKE,0.4196471,0,0,0,0
2023-07-21,NKE,0.432654,0,0,0,0
2023-07-24,NKE,0.4301887,0,0,0,0
2023-07-25,NKE,0.4261931,0,0,0,0
2023-07-26,NKE,0.43469435,0,0,0,0
2023-07-27,NKE,0.42083722,0,0,0,0
2023-07-28,NKE,0.4289135,0,0,0,0
2023-07-31,NKE,0.44396076,0,0,0,0
2023-08-01,NKE,0.43554455,0,0,0,0
2023-08-02,NKE,0.4194771,0,0,0,0
2023-08-03,NKE,0.4290835,0,0,0,0
2023-08-04,NKE,0.43052873,0,0,0,0
2023-08-07,NKE,0.44472584,0,0,0,0
2023-08-08,NKE,0.43800986,0,0,0,0
2023-08-09,NKE,0.43800986,0,0,0,0
2023-08-10,NKE,0.43239903,0,0,0,0
2023-08-11,NKE,0.4244078,0,0,0,0
2023-08-14,NKE,0.42058223,0,0,0,1
2023-08-15,NKE,0.41131598,0,0,0,1
2023-08-16,NKE,0.41114584,0,0,0,1
2023-08-17,NKE,0.39856398,0,0,0,1
2023-08-18,NKE,0.3965237,0,0,0,0
2023-08-21,NKE,0.37994617,0,0,0,1
2023-08-22,NKE,0.36804447,0,0,0,1
2023-08-23,NKE,0.34500608,0,0,0,0
2023-08-24,NKE,0.3354847,0,0,0,1
2023-08-25,NKE,0.34577116,0,0,0,0
2023-08-28,NKE,0.3524872,0,0,0,0
2023-08-29,NKE,0.37067986,0,0,0,0
2023-08-30,NKE,0.37348527,0,0,0,0
2023-08-31,NKE,0.37016982,0,0,0,0
2023-09-01,NKE,0.37861437,0,0,0,0
2023-09-05,NKE,0.3612136,0,0,0,0
2023-09-06,NKE,0.3600194,0,0,0,0
2023-09-07,NKE,0.34082747,0,0,0,1
2023-09-08,NKE,0.3386097,0,0,0,0
2023-09-11,NKE,0.33110353,0,0,0,1
2023-09-12,NKE,0.32692397,0,0,0,1
2023-09-13,NKE,0.3254738,0,0,0,1
2023-09-14,NKE,0.33451542,0,0,0,0
2023-09-15,NKE,0.32658267,0,0,0,0
2023-09-18,NKE,0.32018536,0,0,0,1
2023-09-19,NKE,0.31259388,0,0,0,1
2023-09-20,NKE,0.30764666,0,0,0,1
2023-09-21,NKE,0.28674868,0,0,0,1
2023-09-22,NKE,0.28043664,0,0,0,1
2023-09-25,NKE,0.2783042,0,0,0,0
2023-09-26,NKE,0.27463645,0,0,0,1
2023-09-27,NKE,0.26823902,0,0,1,1
2023-09-28,NKE,0.27003035,0,0,0,0
