tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,PEP,0.7476288,0,0,0,0
2023-02-02,PEP,0.73257196,0,0,0,0
2023-02-03,PEP,0.7245225,0,0,1,0
2023-02-06,PEP,0.75009096,0,0,0,0
2023-02-07,PEP,0.7476288,0,0,0,0
2023-02-08,PEP,0.74384093,0,0,0,0
2023-02-09,PEP,0.75918186,0,0,0,0
2023-02-10,PEP,0.7915681,0,1,0,0
2023-02-13,PEP,0.80643576,0,1,0,0
2023-02-14,PEP,0.78749615,0,0,0,0
2023-02-15,PEP,0.7897685,0,0,0,0
2023-02-16,PEP,0.7850341,0,0,0,0
2023-02-17,PEP,0.7923258,0,0,0,0
2023-02-21,PEP,0.7913788,0,0,0,0
2023-02-22,PEP,0.7908104,0,0,0,0
2023-02-23,PEP,0.7926097,0,0,0,0
2023-02-24,PEP,0.78929543,0,0,0,0
2023-02-27,PEP,0.788822,0,0,0,0
2023-02-28,PEP,0.76628405,0,0,0,0
2023-03-01,PEP,0.74545074,0,0,0,1
2023-03-02,PEP,0.77538675,0,0,0,0
2023-03-03,PEP,0.77376574,0,0,0,0
2023-03-06,PEP,0.7771026,0,0,0,0
2023-03-07,PEP,0.7689035,0,0,0,0
2023-03-08,PEP,0.77338445,0,0,0,0
2023-03-09,PEP,0.76089543,0,0,0,0
2023-03-10,PEP,0.7630881,0,0,0,0
2023-03-13,PEP,0.7791046,0,0,0,0
2023-03-14,PEP,0.77738863,0,0,0,0
2023-03-15,PEP,0.806943,0,0,0,0
2023-03-16,PEP,0.80579877,0,0,0,0
2023-03-17,PEP,0.7926425,0,0,0,0
2023-03-20,PEP,0.81609523,0,0,0,0
2023-03-21,PEP,0.8200993,0,1,0,0
2023-03-22,PEP,0.80579877,0,0,0,0
2023-03-23,PEP,0.79759985,0,0,0,0
2023-03-24,PEP,0.83039564,0,1,0,0
2023-03-27,PEP,0.8342093,0,1,0,0
2023-03-28,PEP,0.8336372,0,0,0,0
2023-03-29,PEP,0.8454591,0,1,0,0
2023-03-30,PEP,0.84698457,0,1,0,0
2023-03-31,PEP,0.860999,0,1,0,0
2023-04-03,PEP,0.8629055,0,1,0,0
2023-04-04,PEP,0.85670906,0,0,0,0
2023-04-05,PEP,0.8737741,0,1,0,0
2023-04-06,PEP,0.88063836,0,1,0,0
2023-04-10,PEP,0.86957926,0,0,0,0
2023-04-11,PEP,0.86690986,0,0,0,0
2023-04-12,PEP,0.86347765,0,0,0,0
2023-04-13,PEP,0.88082904,0,0,0,0
2023-04-14,PEP,0.8725346,0,0,0,0
2023-04-17,PEP,0.8814963,0,0,0,0
2023-04-18,PEP,0.88511914,0,1,0,0
2023-04-19,PEP,0.8840706,0,0,0,0
2023-04-20,PEP,0.88988584,0,1,0,0
2023-04-21,PEP,0.8906488,0,1,0,0
2023-04-24,PEP,0.89150673,0,0,0,0
2023-04-25,PEP,0.93164366,0,1,0,0
2023-04-26,PEP,0.92048913,0,0,0,0
2023-04-27,PEP,0.9314527,0,0,0,0
2023-04-28,PEP,0.94289327,0,1,0,0
2023-05-01,PEP,0.9504247,0,1,0,0
2023-05-02,PEP,0.95585907,0,1,0,0
2023-05-03,PEP,0.9551917,0,0,0,0
2023-05-04,PEP,0.9666321,0,1,0,0
2023-05-05,PEP,0.9751171,0,1,0,0
2023-05-08,PEP,0.9663462,0,0,0,0
2023-05-09,PEP,0.97387755,0,0,0,0
2023-05-10,PEP,0.9751171,0,0,0,0
2023-05-11,PEP,0.9853182,0,1,0,0
2023-05-12,PEP,0.99275446,1,1,0,0
2023-05-15,PEP,0.9751171,0,0,0,0
2023-05-16,PEP,0.96710867,0,0,0,0
2023-05-17,PEP,0.95404756,0,0,0,0
2023-05-18,PEP,0.94928086,0,0,0,0
2023-05-19,PEP,0.95195025,0,0,0,0
2023-05-22,PEP,0.90237516,0,0,0,1
2023-05-23,PEP,0.89694107,0,0,0,1
2023-05-24,PEP,0.88569117,0,0,0,1
2023-05-25,PEP,0.8752996,0,0,0,1
2023-05-26,PEP,0.87320215,0,0,0,1
2023-05-30,PEP,0.85442066,0,0,0,1
2023-05-31,PEP,0.86147577,0,0,0,0
2023-06-01,PEP,0.87208396,0,0,0,0
2023-06-02,PEP,0.8900365,0,0,0,0
2023-06-05,PEP,0.89128447,0,0,0,0
2023-06-06,PEP,0.86603576,0,0,0,0
2023-06-07,PEP,0.8521152,0,0,1,1
2023-06-08,PEP,0.87122005,0,0,0,0
2023-06-09,PEP,0.87362015,0,0,0,0
2023-06-12,PEP,0.8692998,0,0,0,0
2023-06-13,PEP,0.8658438,0,0,0,0
2023-06-14,PEP,0.8814921,0,0,0,0
2023-06-15,PEP,0.9058768,0,0,0,0
2023-06-16,PEP,0.90904486,0,0,0,0
2023-06-20,PEP,0.9020369,0,0,0,0
2023-06-21,PEP,0.9031887,0,0,0,0
2023-06-22,PEP,0.92162144,0,0,0,0
2023-06-23,PEP,0.90933305,0,0,0,0
2023-06-26,PEP,0.8980048,0,0,0,0
2023-06-27,PEP,0.91077304,0,0,0,0
2023-06-28,PEP,0.88658047,0,0,0,0
2023-06-29,PEP,0.88830835,0,0,0,0
2023-06-30,PEP,0.9011728,0,0,0,0
2023-07-03,PEP,0.90482104,0,0,0,0
2023-07-05,PEP,0.9142293,0,0,0,0
2023-07-06,PEP,0.91442114,0,0,0,0
2023-07-07,PEP,0.8806284,0,0,0,0
2023-07-10,PEP,0.8923405,0,0,0,0
2023-07-11,PEP,0.88926846,0,0,0,0
2023-07-12,PEP,0.8814921,0,0,0,0
2023-07-13,PEP,0.9233493,0,0,0,0
2023-07-14,PEP,0.9298776,0,0,0,0
2023-07-17,PEP,0.9051089,0,0,0,0
2023-07-18,PEP,0.89378047,0,0,0,0
2023-07-19,PEP,0.9111571,0,0,0,0
2023-07-20,PEP,0.94034207,0,0,0,0
2023-07-21,PEP,0.948598,0,1,0,0
2023-07-24,PEP,0.95589435,0,1,0,0
2023-07-25,PEP,0.96011865,0,1,0,0
2023-07-26,PEP,0.9624226,1,1,0,0
2023-07-27,PEP,0.9329496,0,0,0,0
2023-07-28,PEP,0.9500381,0,0,0,0
2023-07-31,PEP,0.9226774,0,0,0,0
2023-08-01,PEP,0.91653323,0,0,0,0
2023-08-02,PEP,0.9308377,0,0,0,0
2023-08-03,PEP,0.9194132,0,0,0,0
2023-08-04,PEP,0.89522064,0,0,0,0
2023-08-07,PEP,0.9172053,0,0,0,0
2023-08-08,PEP,0.8936846,0,0,0,1
2023-08-09,PEP,0.88926846,0,0,0,1
2023-08-10,PEP,0.88706034,0,0,0,1
2023-08-11,PEP,0.88984436,0,0,0,0
2023-08-14,PEP,0.8858122,0,0,0,1
2023-08-15,PEP,0.8640197,0,0,0,1
2023-08-16,PEP,0.8626757,0,0,0,1
2023-08-17,PEP,0.8361789,0,0,0,1
2023-08-18,PEP,0.8335869,0,0,0,1
2023-08-21,PEP,0.8227385,0,0,0,1
2023-08-22,PEP,0.80977803,0,0,1,1
2023-08-23,PEP,0.8330107,0,0,0,0
2023-08-24,PEP,0.8239865,0,0,0,0
2023-08-25,PEP,0.84549123,0,0,0,0
2023-08-28,PEP,0.85345936,0,0,0,0
2023-08-29,PEP,0.8599876,0,0,0,0
2023-08-30,PEP,0.8614276,0,0,0,0
2023-08-31,PEP,0.843107,0,0,0,0
2023-09-01,PEP,0.81797075,0,0,0,0
2023-09-05,PEP,0.80675614,0,0,0,1
2023-09-06,PEP,0.8122666,0,0,0,0
2023-09-07,PEP,0.8284119,0,0,0,0
2023-09-08,PEP,0.8271553,0,0,0,0
2023-09-11,PEP,0.85287154,0,0,0,0
2023-09-12,PEP,0.8464909,0,0,0,0
2023-09-13,PEP,0.8601224,0,0,0,0
2023-09-14,PEP,0.8751075,1,0,0,0
2023-09-15,PEP,0.8616693,0,0,0,0
2023-09-18,PEP,0.857222,0,0,0,0
2023-09-19,PEP,0.84697413,0,0,0,0
2023-09-20,PEP,0.84755445,0,0,0,0
2023-09-21,PEP,0.8185509,0,0,0,0
2023-09-22,PEP,0.81748736,0,0,0,0
2023-09-25,PEP,0.8083996,0,0,0,1
2023-09-26,PEP,0.7909009,0,0,0,1
2023-09-27,PEP,0.76238084,0,0,0,1
2023-09-28,PEP,0.76170397,0,0,0,1
2023-09-29,PEP,0.76112413,0,0,0,1
2023-10-02,PEP,0.75851375,0,0,0,1
2023-10-03,PEP,0.7443018,0,0,0,1
2023-10-04,PEP,0.7560001,0,0,0,0
2023-10-05,PEP,0.6708267,0,0,0,1
2023-10-06,PEP,0.6726633,0,0,0,0
2023-10-09,PEP,0.6830081,0,0,0,0
2023-10-10,PEP,0.71239805,0,0,0,0
2023-10-11,PEP,0.6951896,0,0,0,0
2023-10-12,PEP,0.6512975,0,0,1,0
2023-10-13,PEP,0.66985977,0,0,0,0
2023-10-16,PEP,0.6803011,0,0,0,0
2023-10-17,PEP,0.67343694,0,0,0,0
2023-10-18,PEP,0.68948555,0,0,0,0
2023-10-19,PEP,0.67527366,0,0,0,0
2023-10-20,PEP,0.66985977,0,0,0,0
2023-10-23,PEP,0.6706333,0,0,0,0
2023-10-24,PEP,0.6910323,0,0,0,0
2023-10-25,PEP,0.6925792,0,0,0,0
2023-10-26,PEP,0.6834914,0,0,0,0
2023-10-27,PEP,0.66618603,0,0,0,0
2023-10-30,PEP,0.69190246,0,0,0,0
2023-10-31,PEP,0.70157015,0,0,0,0
2023-11-01,PEP,0.7169419,0,1,0,0
2023-11-02,PEP,0.7358909,0,0,0,0
2023-11-03,PEP,0.7355042,0,0,0,0
2023-11-06,PEP,0.73463404,0,0,0,0
2023-11-07,PEP,0.7392747,0,0,0,0
2023-11-08,PEP,0.74130493,0,0,0,0
2023-11-09,PEP,0.72941357,0,0,0,0
2023-11-10,PEP,0.7367611,0,0,0,0
2023-11-13,PEP,0.74497885,0,0,0,0
2023-11-14,PEP,0.7482657,0,0,0,0
2023-11-15,PEP,0.7399516,0,0,0,0
2023-11-16,PEP,0.7443986,0,0,0,0
2023-11-17,PEP,0.7352142,0,0,0,0
2023-11-20,PEP,0.73289394,0,0,0,0
2023-11-21,PEP,0.7452688,0,0,0,0
2023-11-22,PEP,0.7589971,0,1,0,0
2023-11-24,PEP,0.7604472,0,1,0,0
2023-11-27,PEP,0.7502961,0,0,0,0
2023-11-28,PEP,0.7555167,0,0,0,0
2023-11-29,PEP,0.7390813,0,0,0,0
2023-11-30,PEP,0.76241225,0,0,0,0
2023-12-01,PEP,0.76630896,0,1,0,0
2023-12-04,PEP,0.7706927,0,1,0,0
2023-12-05,PEP,0.7590027,0,0,0,0
2023-12-06,PEP,0.75481385,0,0,0,0
2023-12-07,PEP,0.754327,0,0,0,0
2023-12-08,PEP,0.73698676,0,0,0,0
2023-12-11,PEP,0.7578338,0,0,0,0
2023-12-12,PEP,0.7641658,0,0,0,0
2023-12-13,PEP,0.7986508,1,1,0,0
2023-12-14,PEP,0.7620226,0,0,0,0
2023-12-15,PEP,0.7498458,0,0,0,0
2023-12-18,PEP,0.76845217,0,0,0,0
2023-12-19,PEP,0.7591001,0,0,0,0
2023-12-20,PEP,0.73708427,0,0,0,0
2023-12-21,PEP,0.7495535,0,0,0,0
2023-12-22,PEP,0.7564699,0,0,0,0
2023-12-26,PEP,0.767965,0,0,0,0
2023-12-27,PEP,0.7732255,0,0,0,0
2023-12-28,PEP,0.7731281,0,0,0,0
2023-12-29,PEP,0.77751166,0,0,0,0
