tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,QCOM,0.4834705,1,1,0,0
2023-02-02,QCOM,0.4700588,0,0,0,0
2023-02-03,QCOM,0.4657937,0,0,0,0
2023-02-06,QCOM,0.455054,0,0,0,0
2023-02-07,QCOM,0.47406688,0,0,0,0
2023-02-08,QCOM,0.45114872,0,0,0,0
2023-02-09,QCOM,0.44272128,0,0,0,0
2023-02-10,QCOM,0.4348079,0,0,0,0
2023-02-13,QCOM,0.4443142,0,0,0,0
2023-02-14,QCOM,0.45202225,0,0,0,0
2023-02-15,QCOM,0.45577344,0,0,0,0
2023-02-16,QCOM,0.44082013,0,0,0,0
2023-02-17,QCOM,0.42828184,0,0,0,0
2023-02-21,QCOM,0.40762466,0,0,0,1
2023-02-22,QCOM,0.4089093,0,0,0,0
2023-02-23,QCOM,0.42047116,0,0,0,0
2023-02-24,QCOM,0.41091332,0,0,0,0
2023-02-27,QCOM,0.4061858,0,0,0,0
2023-02-28,QCOM,0.40675104,0,0,0,0
2023-03-01,QCOM,0.41140404,0,0,0,0
2023-03-02,QCOM,0.41192102,0,0,0,0
2023-03-03,QCOM,0.41099045,0,0,0,0
2023-03-06,QCOM,0.40483823,0,0,0,0
2023-03-07,QCOM,0.38819072,0,0,0,1
2023-03-08,QCOM,0.39858246,0,0,0,0
2023-03-09,QCOM,0.37800586,0,0,0,1
2023-03-10,QCOM,0.3675107,0,0,0,1
2023-03-13,QCOM,0.36358157,0,0,1,1
2023-03-14,QCOM,0.374542,0,0,0,0
2023-03-15,QCOM,0.36906177,0,0,0,0
2023-03-16,QCOM,0.39501515,0,0,0,0
2023-03-17,QCOM,0.39615253,0,0,0,0
2023-03-20,QCOM,0.40178782,0,0,0,0
2023-03-21,QCOM,0.41202444,0,0,0,0
2023-03-22,QCOM,0.40256336,0,0,0,0
2023-03-23,QCOM,0.413834,0,0,0,0
2023-03-24,QCOM,0.4169877,0,0,0,0
2023-03-27,QCOM,0.41099045,0,0,0,0
2023-03-28,QCOM,0.3993062,0,0,0,0
2023-03-29,QCOM,0.41869372,0,0,0,0
2023-03-30,QCOM,0.43063644,0,1,0,0
2023-03-31,QCOM,0.43156704,1,1,0,0
2023-04-03,QCOM,0.41688418,0,0,0,0
2023-04-04,QCOM,0.4042695,0,0,0,0
2023-04-05,QCOM,0.40809524,0,0,0,0
2023-04-06,QCOM,0.4078884,0,0,0,0
2023-04-10,QCOM,0.41455775,0,0,0,0
2023-04-11,QCOM,0.4108354,0,0,0,0
2023-04-12,QCOM,0.39377433,0,0,0,1
2023-04-13,QCOM,0.39822054,0,0,0,0
2023-04-14,QCOM,0.39320564,0,0,0,0
2023-04-17,QCOM,0.38917297,0,0,0,1
2023-04-18,QCOM,0.3838997,0,0,0,1
2023-04-19,QCOM,0.3848303,0,0,0,0
2023-04-20,QCOM,0.38534722,0,0,0,0
2023-04-21,QCOM,0.38079768,0,0,0,0
2023-04-24,QCOM,0.378678,0,0,0,1
2023-04-25,QCOM,0.36161697,0,0,0,1
2023-04-26,QCOM,0.36218572,0,0,0,0
2023-04-27,QCOM,0.36094487,0,0,0,0
2023-04-28,QCOM,0.3758345,0,0,0,0
2023-05-01,QCOM,0.37087125,0,0,0,0
2023-05-02,QCOM,0.3722671,0,0,0,0
2023-05-03,QCOM,0.35530958,0,0,0,0
2023-05-04,QCOM,0.3229971,0,0,0,0
2023-05-05,QCOM,0.33437106,0,0,0,0
2023-05-08,QCOM,0.3319412,0,0,0,0
2023-05-09,QCOM,0.3188094,0,0,0,0
2023-05-10,QCOM,0.32237664,0,0,0,0
2023-05-11,QCOM,0.30996865,0,0,0,1
2023-05-12,QCOM,0.30769387,0,0,0,1
2023-05-15,QCOM,0.3214461,0,0,0,0
