tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,SO,0.66290796,0,0,0,0
2023-02-02,SO,0.6581372,0,0,0,0
2023-02-03,SO,0.63130254,0,0,0,0
2023-02-06,SO,0.64382535,0,0,0,0
2023-02-07,SO,0.640645,0,0,0,0
2023-02-08,SO,0.6150029,0,0,0,0
2023-02-09,SO,0.6016852,0,0,0,0
2023-02-10,SO,0.6235504,0,0,0,0
2023-02-13,SO,0.62851965,0,0,0,0
2023-02-14,SO,0.6189786,0,0,0,0
2023-02-15,SO,0.6213637,0,0,0,0
2023-02-16,SO,0.60327536,0,0,0,1
2023-02-17,SO,0.6323983,0,0,0,0
2023-02-21,SO,0.6107067,0,0,0,0
2023-02-22,SO,0.60448045,0,0,0,0
2023-02-23,SO,0.59443796,0,0,0,1
2023-02-24,SO,0.59082264,0,0,0,1
2023-02-27,SO,0.58700657,0,0,0,1
2023-02-28,SO,0.56069535,0,0,0,1
2023-03-01,SO,0.5458326,0,0,1,1
2023-03-02,SO,0.57294714,0,0,0,0
2023-03-03,SO,0.595844,0,0,0,0
2023-03-06,SO,0.6042797,0,0,0,0
2023-03-07,SO,0.5862032,0,0,0,0
2023-03-08,SO,0.5942372,0,0,0,0
2023-03-09,SO,0.59062195,0,0,0,0
2023-03-10,SO,0.57837003,0,0,0,0
2023-03-13,SO,0.6026729,0,0,0,0
2023-03-14,SO,0.6233601,0,1,0,0
2023-03-15,SO,0.652885,0,1,0,0
2023-03-16,SO,0.66232497,0,1,0,0
2023-03-17,SO,0.65790623,0,0,0,0
2023-03-20,SO,0.6709616,0,1,0,0
2023-03-21,SO,0.642441,0,0,0,0
2023-03-22,SO,0.63400525,0,0,0,0
2023-03-23,SO,0.62657386,0,0,0,0
2023-03-24,SO,0.6717648,0,0,0,0
2023-03-27,SO,0.664735,0,0,0,0
2023-03-28,SO,0.66774786,0,0,0,0
2023-03-29,SO,0.68682843,0,0,0,0
2023-03-30,SO,0.6812046,0,0,0,0
2023-03-31,SO,0.6916489,0,1,0,0
2023-04-03,SO,0.67939717,0,0,0,0
2023-04-04,SO,0.6926532,0,0,0,0
2023-04-05,SO,0.73021215,0,1,0,0
2023-04-06,SO,0.7464808,0,1,0,0
2023-04-10,SO,0.7410578,0,0,0,0
2023-04-11,SO,0.73683995,0,0,0,0
2023-04-12,SO,0.74266464,0,0,0,0
2023-04-13,SO,0.7494935,0,1,0,0
2023-04-14,SO,0.7390494,0,0,0,0
2023-04-17,SO,0.7470831,0,0,0,0
2023-04-18,SO,0.7519039,0,0,0,0
2023-04-19,SO,0.75652295,0,1,0,0
2023-04-20,SO,0.76074076,0,1,0,0
2023-04-21,SO,0.7725912,0,1,0,0
2023-04-24,SO,0.7824328,0,1,0,0
2023-04-25,SO,0.78002244,0,0,0,0
2023-04-26,SO,0.75210464,0,0,0,0
2023-04-27,SO,0.77058244,0,0,0,0
2023-04-28,SO,0.77138627,0,0,0,0
2023-05-01,SO,0.78223175,0,1,0,0
2023-05-02,SO,0.7633521,0,0,0,0
2023-05-03,SO,0.76696736,0,0,0,0
2023-05-04,SO,0.78544545,0,0,0,0
2023-05-05,SO,0.79930407,0,1,0,0
2023-05-08,SO,0.7918726,0,0,0,0
2023-05-09,SO,0.79428285,0,0,0,0
2023-05-10,SO,0.8137654,1,1,0,0
2023-05-11,SO,0.7934795,0,0,0,0
2023-05-12,SO,0.78131455,0,0,0,0
2023-05-15,SO,0.76245874,0,0,0,0
2023-05-16,SO,0.73164064,0,0,0,1
2023-05-17,SO,0.73245174,0,0,0,0
2023-05-18,SO,0.73468196,0,0,0,0
2023-05-19,SO,0.7419811,0,0,0,0
2023-05-22,SO,0.7326543,0,0,0,0
2023-05-23,SO,0.73670954,0,0,0,0
2023-05-24,SO,0.7306267,0,0,0,0
2023-05-25,SO,0.7097435,0,0,0,1
2023-05-26,SO,0.70264745,0,0,0,1
2023-05-30,SO,0.7099464,0,0,0,0
2023-05-31,SO,0.7083244,0,0,0,0
2023-06-01,SO,0.6967676,0,0,0,1
2023-06-02,SO,0.7022417,0,0,0,0
2023-06-05,SO,0.7071079,0,0,0,0
2023-06-06,SO,0.70062006,0,0,0,0
2023-06-07,SO,0.71602887,0,0,0,0
2023-06-08,SO,0.7352902,0,0,0,0
2023-06-09,SO,0.73893976,0,0,0,0
2023-06-12,SO,0.73042405,0,0,0,0
2023-06-13,SO,0.7225169,0,0,0,0
2023-06-14,SO,0.7231251,0,0,0,0
2023-06-15,SO,0.7288022,0,0,0,0
2023-06-16,SO,0.74907714,0,0,0,0
2023-06-20,SO,0.7202866,0,0,0,0
2023-06-21,SO,0.7466441,0,0,0,0
2023-06-22,SO,0.7397507,0,0,0,0
2023-06-23,SO,0.7225169,0,0,0,0
2023-06-26,SO,0.7484691,0,0,0,0
2023-06-27,SO,0.73610115,0,0,0,0
2023-06-28,SO,0.7107573,0,0,0,0
2023-06-29,SO,0.6959566,0,0,1,1
2023-06-30,SO,0.71846175,0,0,0,0
2023-07-03,SO,0.7249498,0,0,0,0
2023-07-05,SO,0.7474552,0,0,0,0
2023-07-06,SO,0.7294104,0,0,0,0
2023-07-07,SO,0.72718,0,0,0,0
2023-07-10,SO,0.7162315,0,0,0,0
2023-07-11,SO,0.72819394,0,0,0,0
2023-07-12,SO,0.7456303,0,0,0,0
2023-07-13,SO,0.7434002,0,0,0,0
2023-07-14,SO,0.7413725,0,0,0,0
2023-07-17,SO,0.7170428,0,0,0,0
2023-07-18,SO,0.6949428,0,0,0,0
2023-07-19,SO,0.7162315,0,0,0,0
2023-07-20,SO,0.73508734,0,0,0,0
2023-07-21,SO,0.7754348,0,0,0,0
2023-07-24,SO,0.77320457,0,0,0,0
2023-07-25,SO,0.766311,0,0,0,0
2023-07-26,SO,0.7760428,1,0,0,0
2023-07-27,SO,0.7713797,0,0,0,0
2023-07-28,SO,0.76103944,0,0,0,0
2023-07-31,SO,0.7608366,0,0,0,0
2023-08-01,SO,0.73934513,0,0,0,0
2023-08-02,SO,0.73306,0,0,0,0
2023-08-03,SO,0.6854135,0,0,0,1
2023-08-04,SO,0.66959894,0,0,0,1
2023-08-07,SO,0.6732485,0,0,0,0
2023-08-08,SO,0.68926585,0,0,0,0
2023-08-09,SO,0.6969705,0,0,0,0
2023-08-10,SO,0.7014308,0,0,0,0
2023-08-11,SO,0.70325553,0,0,0,0
2023-08-14,SO,0.6896714,0,0,0,0
2023-08-15,SO,0.6683825,0,0,0,1
2023-08-16,SO,0.6750734,0,0,0,0
2023-08-17,SO,0.6779117,0,0,0,0
2023-08-18,SO,0.6832378,0,0,0,0
2023-08-21,SO,0.67914087,0,0,0,0
2023-08-22,SO,0.6815992,0,0,0,0
2023-08-23,SO,0.677912,0,0,0,0
2023-08-24,SO,0.6754535,0,0,0,0
2023-08-25,SO,0.68897384,0,0,0,0
2023-08-28,SO,0.6897931,0,0,0,0
2023-08-29,SO,0.69880664,0,0,0,0
2023-08-30,SO,0.6998309,0,0,0,0
2023-08-31,SO,0.6815992,0,0,0,0
2023-09-01,SO,0.67115176,0,0,0,0
2023-09-05,SO,0.6523054,0,0,0,1
2023-09-06,SO,0.6512812,0,0,0,1
2023-09-07,SO,0.66889834,0,0,0,0
2023-09-08,SO,0.6856962,0,0,0,0
2023-09-11,SO,0.6897931,0,0,0,0
2023-09-12,SO,0.69942117,0,0,0,0
2023-09-13,SO,0.7178577,0,1,0,0
2023-09-14,SO,0.746537,0,1,0,0
2023-09-15,SO,0.7504292,0,1,0,0
2023-09-18,SO,0.7475611,0,0,0,0
2023-09-19,SO,0.74674183,0,0,0,0
2023-09-20,SO,0.75268245,1,0,0,0
2023-09-21,SO,0.7260519,0,0,0,0
2023-09-22,SO,0.7151949,0,0,0,0
2023-09-25,SO,0.713556,0,0,0,0
2023-09-26,SO,0.66889834,0,0,0,0
2023-09-27,SO,0.64902776,0,0,0,1
2023-09-28,SO,0.62710863,0,0,0,1
2023-09-29,SO,0.6199389,0,0,0,1
2023-10-02,SO,0.5787638,0,0,1,1
2023-10-03,SO,0.60580415,0,0,0,0
2023-10-04,SO,0.6178904,0,0,0,0
2023-10-05,SO,0.6172758,0,0,0,0
2023-10-06,SO,0.62506026,0,0,0,0
2023-10-09,SO,0.64431626,0,0,0,0
2023-10-10,SO,0.65517336,0,0,0,0
2023-10-11,SO,0.66869354,0,0,0,0
2023-10-12,SO,0.6400142,0,0,0,0
2023-10-13,SO,0.6574268,0,0,0,0
2023-10-16,SO,0.67688745,0,0,0,0
2023-10-17,SO,0.66889834,0,0,0,0
2023-10-18,SO,0.65845084,0,0,0,0
2023-10-19,SO,0.65517336,0,0,0,0
2023-10-20,SO,0.64062893,0,0,0,0
2023-10-23,SO,0.63448334,0,0,0,0
2023-10-24,SO,0.655378,0,0,0,0
2023-10-25,SO,0.65865576,0,0,0,0
2023-10-26,SO,0.6699226,0,0,0,0
2023-10-27,SO,0.65701705,0,0,0,0
2023-10-30,SO,0.662343,0,0,0,0
2023-10-31,SO,0.67279065,0,0,0,0
2023-11-01,SO,0.6959387,0,1,0,0
2023-11-02,SO,0.73055863,0,1,0,0
2023-11-03,SO,0.7360895,0,1,0,0
2023-11-06,SO,0.7123268,0,0,0,0
2023-11-07,SO,0.7018795,0,0,0,0
2023-11-08,SO,0.69942117,0,0,0,0
2023-11-09,SO,0.6879496,0,0,0,0
2023-11-10,SO,0.6891786,0,0,0,0
2023-11-13,SO,0.67361,0,0,1,0
2023-11-14,SO,0.7119171,0,0,0,0
2023-11-15,SO,0.70290357,0,0,0,0
2023-11-16,SO,0.7336313,0,0,0,0
2023-11-17,SO,0.7377695,0,1,0,0
2023-11-20,SO,0.73094165,0,0,0,0
2023-11-21,SO,0.73528665,0,0,0,0
2023-11-22,SO,0.7340451,0,0,0,0
2023-11-24,SO,0.734459,0,0,0,0
2023-11-27,SO,0.74790853,0,1,0,0
2023-11-28,SO,0.7526673,0,1,0,0
2023-11-29,SO,0.7472876,0,0,0,0
2023-11-30,SO,0.7628062,0,1,0,0
2023-12-01,SO,0.77397925,0,1,0,0
2023-12-04,SO,0.7690134,0,0,0,0
