tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,T,0.6928297,0,0,0,0
2023-02-02,T,0.70379794,0,0,0,0
2023-02-03,T,0.65444136,0,0,0,0
2023-02-06,T,0.6270202,0,0,0,0
2023-02-07,T,0.5908252,0,0,0,0
2023-02-08,T,0.5809537,0,0,0,1
2023-02-09,T,0.5601136,0,0,0,1
2023-02-10,T,0.57108206,0,0,0,0
2023-02-13,T,0.5919219,0,0,0,0
2023-02-14,T,0.57985723,0,0,0,0
2023-02-15,T,0.5908252,0,0,0,0
2023-02-16,T,0.5919219,0,0,0,0
2023-02-17,T,0.61166483,0,0,0,0
2023-02-21,T,0.5864376,0,0,0,0
2023-02-22,T,0.6050836,0,0,0,0
2023-02-23,T,0.6017934,0,0,0,0
2023-02-24,T,0.58972824,0,0,0,0
2023-02-27,T,0.56669515,0,0,0,0
2023-02-28,T,0.553533,0,0,0,1
2023-03-01,T,0.5261123,0,0,0,1
2023-03-02,T,0.5261123,0,0,0,0
2023-03-03,T,0.54256463,0,0,0,0
2023-03-06,T,0.5381775,0,0,0,0
2023-03-07,T,0.5315964,0,0,0,0
2023-03-08,T,0.52062804,0,0,0,0
2023-03-09,T,0.4888204,0,0,0,1
2023-03-10,T,0.50088555,0,0,0,0
2023-03-13,T,0.4866267,0,0,0,1
2023-03-14,T,0.5019823,0,0,0,0
2023-03-15,T,0.48772368,0,0,0,0
2023-03-16,T,0.49649817,0,0,0,0
2023-03-17,T,0.46798053,0,0,1,1
2023-03-20,T,0.5074664,0,0,0,0
2023-03-21,T,0.5129505,0,0,0,0
2023-03-22,T,0.49649817,0,0,0,0
2023-03-23,T,0.50417596,0,0,0,0
2023-03-24,T,0.52062804,0,0,0,0
2023-03-27,T,0.54914564,0,1,0,0
2023-03-28,T,0.5326936,0,0,0,0
2023-03-29,T,0.5634045,0,1,0,0
2023-03-30,T,0.572179,0,1,0,0
2023-03-31,T,0.5908252,0,1,0,0
2023-04-03,T,0.60618055,0,1,0,0
2023-04-04,T,0.633601,0,1,0,0
2023-04-05,T,0.6599252,0,1,0,0
2023-04-06,T,0.6652646,0,1,0,0
2023-04-10,T,0.6563655,0,0,0,0
2023-04-11,T,0.6697143,0,1,0,0
2023-04-12,T,0.6786131,0,1,0,0
2023-04-13,T,0.6997484,1,1,0,0
2023-04-14,T,0.69641113,0,0,0,0
2023-04-17,T,0.68083775,0,0,0,0
2023-04-18,T,0.68417525,0,0,0,0
2023-04-19,T,0.6708267,0,0,0,0
2023-04-20,T,0.44278857,0,0,0,1
2023-04-21,T,0.50619406,0,0,0,0
2023-04-24,T,0.4294398,0,0,0,1
2023-04-25,T,0.42721498,0,0,0,1
2023-04-26,T,0.39273155,0,0,0,1
2023-04-27,T,0.43833867,0,0,0,0
2023-04-28,T,0.4450132,0,0,0,0
2023-05-01,T,0.42610255,0,0,0,0
2023-05-02,T,0.37827048,0,0,0,1
2023-05-03,T,0.38049495,0,0,0,0
2023-05-04,T,0.36047226,0,0,0,1
2023-05-05,T,0.3849445,0,0,0,0
2023-05-08,T,0.3838323,0,0,0,0
2023-05-09,T,0.37270826,0,0,0,0
2023-05-10,T,0.37493333,0,0,0,0
2023-05-11,T,0.36603376,0,0,0,1
2023-05-12,T,0.37382078,0,0,0,0
2023-05-15,T,0.3649218,0,0,0,0
2023-05-16,T,0.3182019,0,0,0,1
2023-05-17,T,0.33266264,0,0,0,0
2023-05-18,T,0.3204265,0,0,0,0
2023-05-19,T,0.2937293,0,0,0,1
2023-05-22,T,0.30151588,0,0,0,0
2023-05-23,T,0.27036947,0,0,0,1
2023-05-24,T,0.25368378,0,0,0,1
2023-05-25,T,0.16469307,0,0,1,1
2023-05-26,T,0.20362651,0,0,0,0
2023-05-30,T,0.21920002,0,0,0,0
2023-05-31,T,0.22921118,0,0,0,0
2023-06-01,T,0.23811041,0,0,0,0
2023-06-02,T,0.17136757,0,0,0,0
2023-06-05,T,0.1913905,0,0,0,0
2023-06-06,T,0.22253703,0,0,0,0
2023-06-07,T,0.27036947,0,0,0,0
2023-06-08,T,0.2670322,0,0,0,0
2023-06-09,T,0.25368378,0,0,0,0
2023-06-12,T,0.25145894,0,0,0,0
2023-06-13,T,0.2392226,0,0,0,0
2023-06-14,T,0.24144754,0,0,0,0
2023-06-15,T,0.26258278,0,1,0,0
2023-06-16,T,0.2659198,0,0,0,0
2023-06-20,T,0.23477316,0,0,0,0
2023-06-21,T,0.21586277,0,0,0,0
2023-06-22,T,0.21252562,0,0,0,0
2023-06-23,T,0.19806467,0,0,0,0
2023-06-26,T,0.21808748,0,0,0,0
2023-06-27,T,0.24144754,0,0,0,0
2023-06-28,T,0.23477316,0,0,0,0
2023-06-29,T,0.25702068,0,0,0,0
2023-06-30,T,0.25368378,0,0,0,0
2023-07-03,T,0.2725943,1,0,0,0
2023-07-05,T,0.2670322,0,0,0,0
2023-07-06,T,0.24478456,0,0,0,0
2023-07-07,T,0.24682261,0,0,0,0
2023-07-10,T,0.20832735,0,0,0,0
2023-07-11,T,0.20379831,0,0,0,1
2023-07-12,T,0.19134413,0,0,0,1
2023-07-13,T,0.19134413,0,0,0,0
2023-07-14,T,0.12114683,0,0,0,1
2023-07-17,T,0.011321999,0,0,0,1
2023-07-18,T,0.0022643723,0,0,1,1
2023-07-19,T,0.13133682,0,0,0,0
2023-07-20,T,0.1392623,0,0,0,0
2023-07-21,T,0.15058446,0,0,0,0
2023-07-24,T,0.17209649,0,0,0,0
2023-07-25,T,0.15511338,0,0,0,0
2023-07-26,T,0.16530316,0,0,0,0
2023-07-27,T,0.122279085,0,0,0,0
2023-07-28,T,0.11548575,0,0,0,0
2023-07-31,T,0.12341135,0,0,0,0
2023-08-01,T,0.09850264,0,0,0,0
2023-08-02,T,0.1041636,0,0,0,0
2023-08-03,T,0.074726194,0,0,0,0
2023-08-04,T,0.06453619,0,0,0,0
2023-08-07,T,0.065668456,0,0,0,0
2023-08-08,T,0.084916085,0,0,0,0
2023-08-09,T,0.09510609,0,0,0,0
2023-08-10,T,0.08378383,0,0,0,0
2023-08-11,T,0.106428124,0,0,0,0
2023-08-14,T,0.09397383,0,0,0,0
2023-08-15,T,0.08038715,0,0,0,0
2023-08-16,T,0.07585834,0,0,0,0
2023-08-17,T,0.065668456,0,0,0,1
2023-08-18,T,0.07019727,0,0,0,0
2023-08-21,T,0.07585834,0,0,0,0
2023-08-22,T,0.09397383,0,0,0,0
