tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,TXN,0.7650872,0,1,0,0
2023-02-02,TXN,0.78428584,1,1,0,0
2023-02-03,TXN,0.7664793,0,0,0,0
2023-02-06,TXN,0.7570265,0,0,0,0
2023-02-07,TXN,0.77527267,0,0,0,0
2023-02-08,TXN,0.7240517,0,0,0,0
2023-02-09,TXN,0.71298677,0,0,0,0
2023-02-10,TXN,0.7188491,0,0,0,0
2023-02-13,TXN,0.72559065,0,0,0,0
2023-02-14,TXN,0.72287935,0,0,0,0
2023-02-15,TXN,0.73870736,0,0,0,0
2023-02-16,TXN,0.72097415,0,0,0,0
2023-02-17,TXN,0.71540505,0,0,0,0
2023-02-21,TXN,0.68199044,0,0,0,1
2023-02-22,TXN,0.6749559,0,0,0,1
2023-02-23,TXN,0.68975794,0,0,0,0
2023-02-24,TXN,0.67011946,0,0,1,1
2023-02-27,TXN,0.6818438,0,0,0,0
2023-02-28,TXN,0.68704665,0,0,0,0
2023-03-01,TXN,0.6923225,0,0,0,0
2023-03-02,TXN,0.70631844,0,0,0,0
2023-03-03,TXN,0.718043,0,0,0,0
2023-03-06,TXN,0.698771,0,0,0,0
2023-03-07,TXN,0.69151646,0,0,0,0
2023-03-08,TXN,0.72199994,0,0,0,0
2023-03-09,TXN,0.7016287,0,0,0,0
2023-03-10,TXN,0.6884389,0,0,0,0
2023-03-13,TXN,0.7049263,0,0,0,0
2023-03-14,TXN,0.7184093,0,0,0,0
2023-03-15,TXN,0.7085903,0,0,0,0
2023-03-16,TXN,0.72866833,0,1,0,0
2023-03-17,TXN,0.71826285,0,0,0,0
2023-03-20,TXN,0.7435435,0,1,0,0
2023-03-21,TXN,0.7380478,0,0,0,0
2023-03-22,TXN,0.7227327,0,0,0,0
2023-03-23,TXN,0.75175047,0,1,0,0
2023-03-24,TXN,0.7461081,0,0,0,0
2023-03-27,TXN,0.728082,0,0,0,0
2023-03-28,TXN,0.7313063,0,0,0,0
2023-03-29,TXN,0.75731957,0,1,0,0
2023-03-30,TXN,0.7807685,0,1,0,0
2023-03-31,TXN,0.79373854,1,1,0,0
2023-04-03,TXN,0.7801823,0,0,0,0
2023-04-04,TXN,0.7526298,0,0,0,0
2023-04-05,TXN,0.7291812,0,0,0,0
2023-04-06,TXN,0.7359226,0,0,0,0
2023-04-10,TXN,0.7454486,0,0,0,0
2023-04-11,TXN,0.7487462,0,0,0,0
2023-04-12,TXN,0.7317458,0,0,0,0
2023-04-13,TXN,0.743177,0,0,0,0
2023-04-14,TXN,0.74222434,0,0,0,0
2023-04-17,TXN,0.7500652,0,0,0,0
2023-04-18,TXN,0.75204384,0,0,0,0
2023-04-19,TXN,0.7283018,0,0,0,0
2023-04-20,TXN,0.72493094,0,0,0,0
2023-04-21,TXN,0.72786224,0,0,0,0
2023-04-24,TXN,0.71965516,0,0,0,1
2023-04-25,TXN,0.6719513,0,0,0,1
2023-04-26,TXN,0.6358257,0,0,0,1
2023-04-27,TXN,0.64176106,0,0,0,0
2023-04-28,TXN,0.6559037,0,0,0,0
2023-05-01,TXN,0.65209323,0,0,0,0
2023-05-02,TXN,0.6320152,0,0,0,0
2023-05-03,TXN,0.62769186,0,0,0,1
2023-05-04,TXN,0.6199978,0,0,1,1
2023-05-05,TXN,0.6551463,0,0,0,0
2023-05-08,TXN,0.6433316,0,0,0,0
2023-05-09,TXN,0.63432294,0,0,0,0
2023-05-10,TXN,0.63469225,0,0,0,0
2023-05-11,TXN,0.62080985,0,0,0,1
2023-05-12,TXN,0.6260527,0,0,0,0
2023-05-15,TXN,0.6510113,0,0,0,0
2023-05-16,TXN,0.637129,0,0,0,0
2023-05-17,TXN,0.6516019,0,0,0,0
2023-05-18,TXN,0.68460923,0,0,0,0
2023-05-19,TXN,0.6868244,0,0,0,0
2023-05-22,TXN,0.69236255,0,0,0,0
2023-05-23,TXN,0.6840924,0,0,0,0
2023-05-24,TXN,0.6643766,0,0,0,0
2023-05-25,TXN,0.6832062,0,0,0,0
2023-05-26,TXN,0.7324586,0,1,0,0
2023-05-30,TXN,0.7343785,0,1,0,0
2023-05-31,TXN,0.71466273,0,0,0,0
2023-06-01,TXN,0.7289141,0,0,0,0
2023-06-02,TXN,0.7246313,0,0,0,0
2023-06-05,TXN,0.6879321,0,0,0,0
2023-06-06,TXN,0.6886705,0,0,0,0
2023-06-07,TXN,0.70078045,0,0,0,0
2023-06-08,TXN,0.70247877,0,0,0,0
2023-06-09,TXN,0.6903687,0,0,0,0
2023-06-12,TXN,0.715844,0,0,0,0
2023-06-13,TXN,0.74072874,0,1,0,0
2023-06-14,TXN,0.7385874,0,0,0,0
2023-06-15,TXN,0.74575,0,1,0,0
2023-06-16,TXN,0.7359291,0,0,0,0
2023-06-20,TXN,0.71820706,0,0,0,0
2023-06-21,TXN,0.68955654,0,0,0,0
2023-06-22,TXN,0.7054324,0,0,0,0
2023-06-23,TXN,0.66888094,0,0,1,1
2023-06-26,TXN,0.676782,0,0,0,0
2023-06-27,TXN,0.73260635,0,0,0,0
2023-06-28,TXN,0.72263765,0,0,0,0
2023-06-29,TXN,0.7361505,0,0,0,0
2023-06-30,TXN,0.7600014,0,1,0,0
2023-07-03,TXN,0.7580815,0,0,0,0
2023-07-05,TXN,0.7342308,0,0,0,0
2023-07-06,TXN,0.72160393,0,0,0,0
2023-07-07,TXN,0.71333355,0,0,0,0
2023-07-10,TXN,0.7557187,0,0,0,0
2023-07-11,TXN,0.75114053,0,0,0,0
2023-07-12,TXN,0.7773543,0,1,0,0
2023-07-13,TXN,0.78289235,0,1,0,0
2023-07-14,TXN,0.7661303,0,0,0,0
2023-07-17,TXN,0.7849599,0,1,0,0
2023-07-18,TXN,0.7870275,0,1,0,0
2023-07-19,TXN,0.7869537,0,0,0,0
2023-07-20,TXN,0.7592631,0,0,0,0
2023-07-21,TXN,0.7917535,0,1,0,0
2023-07-24,TXN,0.78857815,0,0,0,0
2023-07-25,TXN,0.80474955,1,1,0,0
2023-07-26,TXN,0.7303171,0,0,0,0
2023-07-27,TXN,0.7430179,0,0,0,0
2023-07-28,TXN,0.7570721,0,0,0,0
2023-07-31,TXN,0.7691927,0,0,0,0
