tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,ABT,1.0038455,0,0,0,0
2023-02-02,ABT,0.99590194,0,0,0,0
2023-02-03,ABT,0.9906969,0,0,0,0
2023-02-06,ABT,1.0111964,0,0,0,0
2023-02-07,ABT,0.9840163,0,0,0,0
2023-02-08,ABT,0.9806716,0,0,0,0
2023-02-09,ABT,1.0008328,0,0,0,0
2023-02-10,ABT,1.0033283,0,0,0,0
2023-02-13,ABT,0.9883893,0,0,0,0
2023-02-14,ABT,1.0001864,0,0,0,0
2023-02-15,ABT,0.9888145,0,0,0,0
2023-02-16,ABT,1.0062217,0,0,0,0
2023-02-17,ABT,0.97105104,0,0,0,0
2023-02-21,ABT,0.99073815,0,0,0,0
2023-02-22,ABT,0.99863666,0,0,0,0
2023-02-23,ABT,0.9796196,0,0,0,0
2023-02-24,ABT,0.99313164,0,0,0,0
2023-02-27,ABT,1.019545,0,0,0,0
2023-02-28,ABT,0.9912505,0,0,0,0
2023-03-01,ABT,1.0178518,0,0,0,0
2023-03-02,ABT,1.0177336,0,0,0,0
2023-03-03,ABT,0.98372424,0,0,0,0
2023-03-06,ABT,0.9730413,0,0,0,0
2023-03-07,ABT,0.994199,0,0,0,0
2023-03-08,ABT,0.9844064,0,0,0,0
2023-03-09,ABT,0.9909044,0,0,0,0
2023-03-10,ABT,1.0126857,0,0,0,0
2023-03-13,ABT,1.0036663,0,0,0,0
2023-03-14,ABT,0.9923897,0,0,0,0
2023-03-15,ABT,1.0125767,0,0,0,0
2023-03-16,ABT,0.9796021,0,0,0,0
2023-03-17,ABT,1.0088651,0,0,0,0
2023-03-20,ABT,1.0047001,0,0,0,0
2023-03-21,ABT,0.9850503,0,0,0,0
2023-03-22,ABT,1.0018584,0,0,0,0
2023-03-23,ABT,1.0104082,0,0,0,0
2023-03-24,ABT,1.0041814,0,0,0,0
2023-03-27,ABT,0.9862889,0,0,0,0
2023-03-28,ABT,1.0155494,0,0,0,0
2023-03-29,ABT,1.0046643,0,0,0,0
2023-03-30,ABT,1.0220025,0,0,0,0
2023-03-31,ABT,1.003259,0,0,0,0
2023-04-03,ABT,1.0119107,0,0,0,0
2023-04-04,ABT,1.013716,0,0,0,0
2023-04-05,ABT,1.0069093,0,0,0,0
2023-04-06,ABT,0.9882777,0,0,0,0
2023-04-10,ABT,0.99604636,0,0,0,0
2023-04-11,ABT,0.99293256,0,0,0,0
2023-04-12,ABT,1.0152866,0,0,0,0
2023-04-13,ABT,1.003378,0,0,0,0
2023-04-14,ABT,1.0053867,0,1,0,0
2023-04-17,ABT,0.99646,1,1,0,0
2023-04-18,ABT,1.0781565,0,1,0,0
2023-04-19,ABT,0.98272336,0,1,0,0
2023-04-20,ABT,1.0118712,0,0,0,0
2023-04-21,ABT,0.9887158,0,0,0,0
2023-04-24,ABT,0.996105,0,0,0,0
2023-04-25,ABT,0.98890615,0,0,0,0
2023-04-26,ABT,1.0068965,0,0,0,0
2023-04-27,ABT,1.0088584,0,0,0,0
2023-04-28,ABT,1.0057935,0,0,0,0
2023-05-01,ABT,1.00351,0,0,0,0
2023-05-02,ABT,1.0023319,0,0,0,0
2023-05-03,ABT,0.99194694,0,0,0,0
2023-05-04,ABT,1.0036082,0,0,0,0
2023-05-05,ABT,0.9967643,0,0,0,0
2023-05-08,ABT,0.99413884,0,0,0,0
2023-05-09,ABT,1.003991,0,0,0,0
2023-05-10,ABT,0.99421805,0,0,0,0
2023-05-11,ABT,1.0039982,0,0,0,0
2023-05-12,ABT,0.9941171,0,0,0,0
2023-05-15,ABT,0.99590313,0,0,0,0
2023-05-16,ABT,0.9947892,0,0,0,0
2023-05-17,ABT,0.9967838,0,0,0,0
2023-05-18,ABT,1.0042408,0,0,0,0
2023-05-19,ABT,0.9937574,0,0,0,0
2023-05-22,ABT,0.976813,0,0,0,0
2023-05-23,ABT,0.98392266,0,0,0,0
