tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,AMGN,1.000487,0,0,0,0
2023-02-02,AMGN,0.9944833,0,0,0,0
2023-02-03,AMGN,0.9946161,0,0,0,0
2023-02-06,AMGN,1.000615,0,0,0,0
2023-02-07,AMGN,0.9844264,0,0,0,0
2023-02-08,AMGN,0.9991674,0,0,0,0
2023-02-09,AMGN,1.0104165,0,0,0,0
2023-02-10,AMGN,1.0047836,0,0,0,0
2023-02-13,AMGN,0.99792975,0,0,0,0
2023-02-14,AMGN,0.9960171,0,0,0,0
2023-02-15,AMGN,0.9756322,0,0,0,0
2023-02-16,AMGN,1.0269403,0,0,0,0
2023-02-17,AMGN,0.9904795,0,0,0,0
2023-02-21,AMGN,0.9912693,0,0,0,0
2023-02-22,AMGN,1.0061822,0,0,0,0
2023-02-23,AMGN,0.9833347,0,0,0,0
2023-02-24,AMGN,1.003381,0,0,0,0
2023-02-27,AMGN,0.9880998,0,0,0,0
2023-02-28,AMGN,1.0195545,0,0,0,0
2023-03-01,AMGN,0.9938609,0,0,0,0
2023-03-02,AMGN,1.0002983,0,0,0,0
2023-03-03,AMGN,1.0012776,0,0,0,0
2023-03-06,AMGN,0.97282124,0,0,0,0
2023-03-07,AMGN,0.99873203,0,0,0,0
2023-03-08,AMGN,0.98844284,0,0,0,0
2023-03-09,AMGN,1.0092121,0,0,0,0
2023-03-10,AMGN,1.0233027,0,0,0,0
2023-03-13,AMGN,0.98884994,0,0,0,0
2023-03-14,AMGN,1.0187353,0,0,0,0
2023-03-15,AMGN,0.99859524,0,0,0,0
2023-03-16,AMGN,0.97962224,0,0,0,0
2023-03-17,AMGN,1.0214543,0,0,0,0
2023-03-20,AMGN,0.992459,0,0,0,0
2023-03-21,AMGN,0.9866066,0,0,0,0
2023-03-22,AMGN,1.014228,0,0,0,0
2023-03-23,AMGN,1.0211498,0,0,0,0
2023-03-24,AMGN,0.9946646,0,0,0,0
2023-03-27,AMGN,1.0072646,0,0,0,0
2023-03-28,AMGN,1.0106928,0,0,0,0
2023-03-29,AMGN,1.00195,0,0,0,0
2023-03-30,AMGN,1.0010352,0,0,0,0
2023-03-31,AMGN,1.0111271,0,0,0,0
2023-04-03,AMGN,1.0126412,0,0,0,0
2023-04-04,AMGN,1.0235931,0,0,0,0
2023-04-05,AMGN,0.9998027,0,0,0,0
2023-04-06,AMGN,0.9904469,0,0,0,0
2023-04-10,AMGN,1.0021124,0,0,0,0
2023-04-11,AMGN,0.9923239,0,0,0,0
2023-04-12,AMGN,1.0077755,0,0,0,0
2023-04-13,AMGN,0.99427295,0,0,0,0
2023-04-14,AMGN,0.99228007,0,0,0,0
2023-04-17,AMGN,0.9920184,0,0,0,0
2023-04-18,AMGN,1.0004876,0,0,0,0
2023-04-19,AMGN,0.98883075,0,0,0,0
2023-04-20,AMGN,1.0016428,0,0,0,0
2023-04-21,AMGN,1.0024195,0,0,0,0
2023-04-24,AMGN,1.0017182,0,0,0,0
2023-04-25,AMGN,0.9752114,0,0,0,0
2023-04-26,AMGN,1.0064487,0,0,0,0
2023-04-27,AMGN,0.9975037,0,0,0,0
2023-04-28,AMGN,0.99649614,0,0,0,0
2023-05-01,AMGN,0.9877354,0,0,0,0
2023-05-02,AMGN,0.9717761,0,0,0,0
2023-05-03,AMGN,1.0112511,0,0,0,0
2023-05-04,AMGN,1.0200095,0,0,0,0
2023-05-05,AMGN,0.9919249,0,0,0,0
2023-05-08,AMGN,0.99919015,0,0,0,0
2023-05-09,AMGN,0.99863505,0,0,0,0
2023-05-10,AMGN,0.9922257,0,0,0,0
2023-05-11,AMGN,1.0028414,0,0,0,0
2023-05-12,AMGN,1.0024899,0,0,0,0
2023-05-15,AMGN,0.9758062,0,0,0,0
2023-05-16,AMGN,0.9967663,0,0,0,0
2023-05-17,AMGN,0.9964891,0,0,0,0
2023-05-18,AMGN,0.9963876,0,0,0,0
2023-05-19,AMGN,1.0025513,0,0,0,0
2023-05-22,AMGN,1.0020089,0,0,0,0
2023-05-23,AMGN,0.98609877,0,0,0,0
2023-05-24,AMGN,0.98255926,0,0,0,0
2023-05-25,AMGN,0.9975627,0,0,0,0
2023-05-26,AMGN,1.0073757,0,0,0,0
2023-05-30,AMGN,1.0097011,0,0,0,0
2023-05-31,AMGN,0.9710855,0,0,0,0
2023-06-01,AMGN,1.0177346,0,0,0,0
2023-06-02,AMGN,1.0174714,0,0,0,0
2023-06-05,AMGN,0.99702543,0,0,0,0
2023-06-06,AMGN,1.0001357,0,0,0,0
2023-06-07,AMGN,0.9977852,0,0,0,0
2023-06-08,AMGN,0.99094045,0,0,0,0
2023-06-09,AMGN,0.9936003,0,0,0,0
2023-06-12,AMGN,1.0213012,0,0,0,0
2023-06-13,AMGN,1.0013063,0,0,0,0
2023-06-14,AMGN,1.027713,0,0,0,0
2023-06-15,AMGN,1.0053405,0,0,0,0
2023-06-16,AMGN,0.99534094,0,0,0,0
2023-06-20,AMGN,0.9932194,0,0,0,0
2023-06-21,AMGN,1.0115397,0,0,0,0
2023-06-22,AMGN,0.98889667,0,0,0,0
2023-06-23,AMGN,0.9895205,0,0,0,0
2023-06-26,AMGN,0.9905666,0,0,0,0
2023-06-27,AMGN,0.9941601,0,0,0,0
2023-06-28,AMGN,0.9993222,0,0,0,0
2023-06-29,AMGN,1.0038886,0,0,0,0
2023-06-30,AMGN,1.0134673,0,0,0,0
2023-07-03,AMGN,1.0038664,0,0,0,0
2023-07-05,AMGN,0.98716134,0,0,0,0
2023-07-06,AMGN,0.9805812,0,0,0,0
2023-07-07,AMGN,1.027807,0,0,0,0
2023-07-10,AMGN,0.9961287,0,0,0,0
2023-07-11,AMGN,1.0081301,0,0,0,0
2023-07-12,AMGN,1.0087736,0,0,0,0
2023-07-13,AMGN,0.99898964,0,0,0,0
2023-07-14,AMGN,1.0018028,0,0,0,0
2023-07-17,AMGN,1.0207602,0,0,0,0
2023-07-18,AMGN,0.99776405,0,0,0,0
2023-07-19,AMGN,1.0050851,0,0,0,0
2023-07-20,AMGN,1.0068175,0,0,0,0
2023-07-21,AMGN,1.0025551,0,0,0,0
2023-07-24,AMGN,0.99953264,0,0,0,0
2023-07-25,AMGN,0.99957514,0,0,0,0
2023-07-26,AMGN,1.0035712,0,0,0,0
2023-07-27,AMGN,1.0013555,0,0,0,0
2023-07-28,AMGN,0.99060804,0,0,0,0
2023-07-31,AMGN,0.9913303,0,0,0,0
2023-08-01,AMGN,0.99263316,0,0,0,0
2023-08-02,AMGN,1.0012586,1,1,0,0
2023-08-03,AMGN,1.0545298,0,0,0,0
2023-08-04,AMGN,1.0397074,0,0,0,0
2023-08-07,AMGN,1.0310743,0,0,0,0
2023-08-08,AMGN,0.9943254,0,0,0,0
2023-08-09,AMGN,1.010566,0,0,0,0
2023-08-10,AMGN,1.0017172,0,0,0,0
2023-08-11,AMGN,0.99413353,0,0,0,0
2023-08-14,AMGN,1.0193126,0,0,0,0
2023-08-15,AMGN,0.9962783,0,0,0,0
2023-08-16,AMGN,1.0036517,0,0,0,0
2023-08-17,AMGN,0.9923062,0,0,0,0
2023-08-18,AMGN,0.99572235,0,0,0,0
2023-08-21,AMGN,0.9881855,0,0,0,0
2023-08-22,AMGN,0.9989908,0,0,0,0
2023-08-23,AMGN,0.9971247,0,0,0,0
2023-08-24,AMGN,0.99906486,0,0,0,0
2023-08-25,AMGN,1.0006629,0,0,0,0
2023-08-28,AMGN,1.0120445,0,0,0,0
2023-08-29,AMGN,0.9932214,0,0,0,0
2023-08-30,AMGN,0.9940282,0,0,0,0
2023-08-31,AMGN,1.0014434,0,0,0,0
2023-09-01,AMGN,0.98948234,0,0,0,0
2023-09-05,AMGN,0.9803156,0,0,0,0
2023-09-06,AMGN,1.0216056,0,0,0,0
2023-09-07,AMGN,1.0198121,0,0,0,0
2023-09-08,AMGN,1.0088271,0,0,0,0
2023-09-11,AMGN,0.9946126,0,0,0,0
2023-09-12,AMGN,0.988168,0,0,0,0
2023-09-13,AMGN,1.0197097,0,0,0,0
2023-09-14,AMGN,0.9939766,0,0,0,0
2023-09-15,AMGN,1.0093201,0,0,0,0
2023-09-18,AMGN,1.0044081,0,0,0,0
2023-09-19,AMGN,1.0270516,0,0,0,0
2023-09-20,AMGN,0.99244833,0,0,0,0
2023-09-21,AMGN,0.99365276,0,0,0,0
2023-09-22,AMGN,0.9968621,0,0,0,0
2023-09-25,AMGN,1.0081692,0,0,0,0
2023-09-26,AMGN,0.99977696,0,0,0,0
2023-09-27,AMGN,1.0068406,0,0,0,0
2023-09-28,AMGN,0.9923934,0,0,0,0
2023-09-29,AMGN,0.99088407,0,0,0,0
2023-10-02,AMGN,0.98009837,0,0,0,0
2023-10-03,AMGN,1.0169724,0,0,0,0
2023-10-04,AMGN,0.9986439,0,0,0,0
2023-10-05,AMGN,1.0090162,0,0,0,0
2023-10-06,AMGN,1.0152168,0,0,0,0
2023-10-09,AMGN,0.9989318,0,0,0,0
2023-10-10,AMGN,1.0455301,0,0,0,0
2023-10-11,AMGN,1.0050776,0,0,0,0
2023-10-12,AMGN,0.9967023,0,0,0,0
2023-10-13,AMGN,1.0097853,0,0,0,0
2023-10-16,AMGN,0.9914249,0,0,0,0
2023-10-17,AMGN,0.99704653,0,0,0,0
2023-10-18,AMGN,0.9894915,0,0,0,0
2023-10-19,AMGN,0.9936209,0,0,0,0
2023-10-20,AMGN,0.9793765,0,0,0,0
2023-10-23,AMGN,1.0112065,0,0,0,0
2023-10-24,AMGN,0.98565835,0,0,0,0
2023-10-25,AMGN,0.99099797,0,0,0,0
2023-10-26,AMGN,0.96981955,0,0,0,0
2023-10-27,AMGN,1.0061933,0,0,0,0
2023-10-30,AMGN,0.97154146,0,0,0,0
2023-10-31,AMGN,1.0201017,0,0,0,0
2023-11-01,AMGN,1.0220443,0,0,0,0
2023-11-02,AMGN,1.0122659,0,0,0,0
2023-11-03,AMGN,1.0110058,0,0,0,0
2023-11-06,AMGN,0.9936956,0,0,0,0
2023-11-07,AMGN,1.0079304,0,0,0,0
2023-11-08,AMGN,0.9663325,0,0,0,0
2023-11-09,AMGN,1.0123078,0,0,0,0
2023-11-10,AMGN,0.9976806,0,0,0,0
2023-11-13,AMGN,1.0124863,0,0,0,0
2023-11-14,AMGN,1.0111474,0,0,0,0
2023-11-15,AMGN,0.9929863,0,0,0,0
2023-11-16,AMGN,0.9865801,0,0,0,0
2023-11-17,AMGN,0.9998492,0,0,0,0
2023-11-20,AMGN,0.9904654,0,0,0,0
2023-11-21,AMGN,1.0067346,0,0,0,0
2023-11-22,AMGN,1.0032881,0,0,0,0
2023-11-24,AMGN,0.9955172,0,0,0,0
2023-11-27,AMGN,1.0047301,0,0,0,0
2023-11-28,AMGN,1.0040674,0,0,0,0
2023-11-29,AMGN,1.011403,0,0,0,0
2023-11-30,AMGN,1.0104213,0,0,0,0
2023-12-01,AMGN,1.0003302,0,0,0,0
2023-12-04,AMGN,0.99387246,0,0,0,0
2023-12-05,AMGN,0.9943885,0,0,0,0
2023-12-06,AMGN,1.0072767,0,0,0,0
2023-12-07,AMGN,0.99192804,0,0,0,0
