tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,AMT,1.0011007,0,0,0,0
2023-02-02,AMT,0.97656006,0,0,0,0
2023-02-03,AMT,0.9932901,0,0,0,0
2023-02-06,AMT,0.995013,0,0,0,0
2023-02-07,AMT,0.99544364,0,0,0,0
2023-02-08,AMT,0.9849864,0,0,0,0
2023-02-09,AMT,1.00711,0,0,0,0
2023-02-10,AMT,1.0024917,0,0,0,0
2023-02-13,AMT,0.99028814,0,0,0,0
2023-02-14,AMT,1.0067395,0,0,0,0
2023-02-15,AMT,0.9787626,0,0,0,0
2023-02-16,AMT,0.99179256,0,0,0,0
2023-02-17,AMT,0.97331864,0,0,0,0
2023-02-21,AMT,0.97376007,0,0,0,0
2023-02-22,AMT,1.0134485,0,0,0,0
2023-02-23,AMT,0.9691524,0,0,0,0
2023-02-24,AMT,0.99667907,0,0,0,0
2023-02-27,AMT,1.0150195,0,0,0,0
2023-02-28,AMT,0.98424315,0,0,0,0
2023-03-01,AMT,1.0135461,0,0,0,0
2023-03-02,AMT,1.0251608,0,0,0,0
2023-03-03,AMT,0.98059255,0,0,0,0
2023-03-06,AMT,0.96877664,0,0,0,0
2023-03-07,AMT,1.0176744,0,0,0,0
2023-03-08,AMT,0.97665626,0,0,0,0
2023-03-09,AMT,1.0003661,0,0,0,0
2023-03-10,AMT,1.0264547,0,0,0,0
2023-03-13,AMT,1.0178272,0,0,0,0
2023-03-14,AMT,1.0124607,0,0,0,0
2023-03-15,AMT,1.0134934,0,0,0,0
2023-03-16,AMT,0.9819557,0,0,0,0
2023-03-17,AMT,1.0029799,0,0,0,0
2023-03-20,AMT,0.9813817,0,0,0,0
2023-03-21,AMT,0.96937263,0,0,0,0
2023-03-22,AMT,0.99739754,0,1,0,0
2023-03-23,AMT,1.0417494,0,0,0,0
2023-03-24,AMT,0.96758837,0,0,0,0
2023-03-27,AMT,0.99855036,0,0,0,0
2023-03-28,AMT,1.0291387,0,0,0,0
2023-03-29,AMT,1.0135523,0,0,0,0
2023-03-30,AMT,1.0157074,0,0,0,0
2023-03-31,AMT,0.9841443,0,0,0,0
2023-04-03,AMT,1.0116856,0,0,0,0
2023-04-04,AMT,1.0060948,0,0,0,0
2023-04-05,AMT,1.0097709,0,0,0,0
2023-04-06,AMT,1.0080314,0,0,0,0
2023-04-10,AMT,1.0097432,0,0,0,0
2023-04-11,AMT,1.0041829,0,0,0,0
2023-04-12,AMT,1.0052933,0,0,0,0
2023-04-13,AMT,0.981405,0,0,0,0
2023-04-14,AMT,1.009377,0,0,0,0
2023-04-17,AMT,0.9968874,0,0,0,0
2023-04-18,AMT,0.9997118,0,0,0,0
2023-04-19,AMT,0.98784345,0,0,0,0
2023-04-20,AMT,0.9929473,0,0,0,0
2023-04-21,AMT,0.9990202,0,0,0,0
2023-04-24,AMT,0.9892125,0,0,0,0
2023-04-25,AMT,0.99306035,0,0,0,0
2023-04-26,AMT,1.0264549,0,0,0,0
2023-04-27,AMT,0.9939214,0,0,0,0
2023-04-28,AMT,0.97607523,0,0,0,0
2023-05-01,AMT,0.9831076,0,0,0,0
2023-05-02,AMT,0.97878957,0,0,0,0
2023-05-03,AMT,1.0126582,0,0,0,0
2023-05-04,AMT,1.0120884,0,0,0,0
2023-05-05,AMT,0.98200774,0,0,0,0
2023-05-08,AMT,1.0016044,0,0,0,0
2023-05-09,AMT,1.0146756,0,0,0,0
2023-05-10,AMT,0.9965879,0,0,0,0
2023-05-11,AMT,1.0235065,0,0,0,0
2023-05-12,AMT,0.97588503,0,0,0,0
2023-05-15,AMT,0.97738665,0,0,0,0
2023-05-16,AMT,1.0194724,0,0,0,0
2023-05-17,AMT,0.98084813,0,0,0,0
2023-05-18,AMT,0.9984296,0,0,0,0
2023-05-19,AMT,1.0143658,0,0,0,0
2023-05-22,AMT,0.9725022,0,0,0,0
2023-05-23,AMT,0.97470117,0,0,0,0
2023-05-24,AMT,0.9954741,0,0,0,0
2023-05-25,AMT,0.9979184,0,0,0,0
2023-05-26,AMT,0.999012,0,0,0,0
2023-05-30,AMT,1.0134066,0,0,0,0
2023-05-31,AMT,1.013934,0,0,0,0
2023-06-01,AMT,1.0221379,0,0,0,0
2023-06-02,AMT,0.98686886,0,0,0,0
2023-06-05,AMT,1.0024916,0,0,0,0
2023-06-06,AMT,1.0096239,0,0,0,0
2023-06-07,AMT,0.9952339,0,0,0,0
2023-06-08,AMT,0.98568577,0,0,0,0
2023-06-09,AMT,1.0067271,0,0,0,0
2023-06-12,AMT,1.0130463,0,0,0,0
2023-06-13,AMT,1.01047,0,0,0,0
2023-06-14,AMT,1.0147297,0,0,0,0
2023-06-15,AMT,0.99289656,0,0,0,0
2023-06-16,AMT,0.9852767,0,0,0,0
2023-06-20,AMT,0.9962641,0,0,0,0
2023-06-21,AMT,0.98463076,0,0,0,0
2023-06-22,AMT,0.9978544,0,0,0,0
2023-06-23,AMT,1.0112885,0,0,0,0
2023-06-26,AMT,0.9978206,0,0,0,0
2023-06-27,AMT,1.0207223,0,0,0,0
2023-06-28,AMT,1.0058452,0,0,0,0
2023-06-29,AMT,1.0062784,0,0,0,0
2023-06-30,AMT,1.0056717,0,0,0,0
2023-07-03,AMT,1.0170221,0,0,0,0
2023-07-05,AMT,0.98815286,0,0,0,0
2023-07-06,AMT,0.9976533,0,0,0,0
2023-07-07,AMT,0.98977244,0,0,0,0
2023-07-10,AMT,1.005425,0,0,0,0
2023-07-11,AMT,1.0042651,0,0,0,0
2023-07-12,AMT,1.0072149,0,0,0,0
2023-07-13,AMT,0.9854197,0,0,0,0
2023-07-14,AMT,0.96025157,0,0,0,0
2023-07-17,AMT,0.9974766,0,0,0,0
2023-07-18,AMT,1.0178697,0,0,0,0
2023-07-19,AMT,0.9764159,0,0,0,0
2023-07-20,AMT,1.0012997,0,0,0,0
2023-07-21,AMT,1.0321271,0,0,0,0
2023-07-24,AMT,0.97882944,0,0,0,0
2023-07-25,AMT,1.0170779,0,0,0,0
2023-07-26,AMT,1.0171071,0,0,0,0
2023-07-27,AMT,0.9779537,0,0,0,0
2023-07-28,AMT,1.007091,0,0,0,0
2023-07-31,AMT,1.0048869,0,0,0,0
2023-08-01,AMT,0.9967579,0,0,0,0
2023-08-02,AMT,0.97445184,0,0,0,0
2023-08-03,AMT,0.9947241,0,0,0,0
2023-08-04,AMT,0.9932348,0,0,0,0
2023-08-07,AMT,1.0059395,0,0,0,0
2023-08-08,AMT,1.0134879,0,0,0,0
2023-08-09,AMT,0.99914473,0,0,0,0
2023-08-10,AMT,1.0009094,0,0,0,0
2023-08-11,AMT,1.0002137,0,0,0,0
2023-08-14,AMT,0.991985,0,0,0,0
2023-08-15,AMT,0.9587396,0,0,0,0
2023-08-16,AMT,0.99056125,0,0,0,0
2023-08-17,AMT,1.000794,0,0,0,0
2023-08-18,AMT,0.99189574,0,0,0,0
2023-08-21,AMT,1.0040567,0,0,0,0
2023-08-22,AMT,1.012007,0,0,0,0
2023-08-23,AMT,0.9961202,0,0,0,0
2023-08-24,AMT,1.002145,0,0,0,0
2023-08-25,AMT,1.003605,0,0,0,0
2023-08-28,AMT,1.01869,0,0,0,0
2023-08-29,AMT,1.0042976,0,0,0,0
2023-08-30,AMT,0.99473333,0,0,0,0
2023-08-31,AMT,0.99707687,0,0,0,0
2023-09-01,AMT,0.9979536,0,0,0,0
2023-09-05,AMT,0.9866421,0,0,0,0
2023-09-06,AMT,1.0255044,0,0,0,0
2023-09-07,AMT,0.9909066,0,0,0,0
2023-09-08,AMT,0.9966278,0,0,0,0
2023-09-11,AMT,0.99395394,0,0,0,0
2023-09-12,AMT,0.98749924,0,0,0,0
2023-09-13,AMT,1.0233399,0,0,0,0
2023-09-14,AMT,0.99480903,0,0,0,0
2023-09-15,AMT,0.9966137,0,0,0,0
2023-09-18,AMT,0.98791295,0,0,0,0
2023-09-19,AMT,1.0002818,0,0,0,0
2023-09-20,AMT,0.95439935,0,0,0,0
2023-09-21,AMT,0.98163253,0,0,0,0
2023-09-22,AMT,0.9970518,0,0,0,0
2023-09-25,AMT,0.9830439,0,0,0,0
2023-09-26,AMT,0.9802344,0,0,0,0
2023-09-27,AMT,1.0164694,0,0,0,0
2023-09-28,AMT,1.0131222,0,0,0,0
2023-09-29,AMT,0.9833384,0,0,0,0
2023-10-02,AMT,0.9776761,0,0,0,0
2023-10-03,AMT,0.9973435,0,0,0,0
2023-10-04,AMT,1.0065323,0,0,0,0
2023-10-05,AMT,1.0054185,0,0,0,0
2023-10-06,AMT,1.0153539,0,0,0,0
2023-10-09,AMT,0.9885285,0,0,0,0
2023-10-10,AMT,1.0445257,0,0,0,0
2023-10-11,AMT,0.99166775,0,0,0,0
2023-10-12,AMT,1.0165612,0,0,0,0
2023-10-13,AMT,1.0132966,0,0,0,0
2023-10-16,AMT,0.98658234,0,0,0,0
2023-10-17,AMT,0.97525615,0,0,0,0
2023-10-18,AMT,0.97942007,0,0,0,0
2023-10-19,AMT,1.0041397,0,0,0,0
2023-10-20,AMT,0.99500275,0,1,0,0
2023-10-23,AMT,1.0247349,0,1,0,0
2023-10-24,AMT,0.99203575,1,1,0,0
2023-10-25,AMT,1.0810845,0,1,0,0
2023-10-26,AMT,0.9824631,0,1,0,0
2023-10-27,AMT,1.0037793,0,1,0,0
2023-10-30,AMT,1.0321479,0,1,0,0
2023-10-31,AMT,1.0010662,0,0,0,0
2023-11-01,AMT,1.0323465,0,0,0,0
2023-11-02,AMT,1.034863,0,0,0,0
2023-11-03,AMT,0.9796924,0,0,0,0
2023-11-06,AMT,0.9933048,0,0,0,0
2023-11-07,AMT,0.9944459,0,0,0,0
2023-11-08,AMT,0.98601025,0,0,0,0
2023-11-09,AMT,1.0107237,0,1,0,0
2023-11-10,AMT,0.99907506,1,1,0,0
2023-11-13,AMT,1.057619,0,1,0,0
2023-11-14,AMT,1.0086509,0,1,0,0
2023-11-15,AMT,1.0164897,0,0,0,0
2023-11-16,AMT,0.9931194,0,0,0,0
2023-11-17,AMT,1.0096085,0,0,0,0
2023-11-20,AMT,0.98948115,0,0,0,0
2023-11-21,AMT,1.0063279,0,0,0,0
2023-11-22,AMT,1.0026662,0,0,0,0
2023-11-24,AMT,1.0094821,0,0,0,0
2023-11-27,AMT,1.0099895,0,0,0,0
2023-11-28,AMT,1.0145655,0,0,0,0
2023-11-29,AMT,1.0126103,0,0,0,0
2023-11-30,AMT,1.0080947,0,0,0,0
2023-12-01,AMT,0.9917329,0,0,0,0
2023-12-04,AMT,1.0080485,0,0,0,0
2023-12-05,AMT,1.0016634,0,0,0,0
2023-12-06,AMT,0.9998102,0,0,0,0
2023-12-07,AMT,0.9797361,0,0,0,0
2023-12-08,AMT,0.9958828,0,0,0,0
2023-12-11,AMT,0.99732494,0,0,0,0
2023-12-12,AMT,1.0292124,0,0,0,0
2023-12-13,AMT,1.0053544,0,0,0,0
