tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,BA,0.9748079,0,0,0,0
2023-02-02,BA,0.98409283,0,0,0,0
2023-02-03,BA,1.0038834,0,0,0,0
2023-02-06,BA,1.0384411,0,0,0,0
2023-02-07,BA,0.994133,0,0,0,0
2023-02-08,BA,0.99292743,0,0,0,0
2023-02-09,BA,1.0042454,0,0,0,0
2023-02-10,BA,1.0129644,0,0,0,0
2023-02-13,BA,1.012984,0,0,0,0
2023-02-14,BA,0.9953765,0,0,0,0
2023-02-15,BA,0.9759474,0,0,0,0
2023-02-16,BA,0.9974082,0,0,0,0
2023-02-17,BA,0.9709912,0,0,0,0
2023-02-21,BA,1.0011678,0,0,0,0
2023-02-22,BA,1.0115184,0,0,0,0
2023-02-23,BA,0.95204914,0,0,0,0
2023-02-24,BA,1.011658,0,0,0,0
2023-02-27,BA,1.0054375,0,0,0,0
2023-02-28,BA,1.0148846,0,0,0,0
2023-03-01,BA,1.0269371,0,0,0,0
2023-03-02,BA,1.0240408,0,0,0,0
2023-03-03,BA,0.98517036,0,0,0,0
2023-03-06,BA,0.98112494,0,0,0,0
2023-03-07,BA,0.99653715,0,0,0,0
2023-03-08,BA,0.9712356,0,0,0,0
2023-03-09,BA,1.0090936,0,0,0,0
2023-03-10,BA,1.0014772,0,0,0,0
2023-03-13,BA,1.0192261,0,0,0,0
2023-03-14,BA,0.9562428,0,0,0,1
2023-03-15,BA,1.0251248,0,0,0,0
2023-03-16,BA,0.989468,0,0,0,0
2023-03-17,BA,1.0185028,0,0,0,0
2023-03-20,BA,0.9996581,0,0,0,0
2023-03-21,BA,0.95828044,0,0,0,1
2023-03-22,BA,1.0088702,0,0,0,0
2023-03-23,BA,0.9981304,0,0,0,0
2023-03-24,BA,1.0153902,0,0,0,0
2023-03-27,BA,1.0218877,0,0,0,0
2023-03-28,BA,1.0146858,0,0,0,0
2023-03-29,BA,1.0147617,0,0,0,0
2023-03-30,BA,1.0065864,0,0,0,0
2023-03-31,BA,1.013934,0,0,0,0
2023-04-03,BA,0.9930823,0,0,0,0
2023-04-04,BA,0.98176724,0,0,0,0
2023-04-05,BA,1.0065237,0,0,0,0
2023-04-06,BA,0.9972087,0,0,0,0
2023-04-10,BA,1.0073062,0,0,0,0
2023-04-11,BA,1.0000942,0,0,0,0
2023-04-12,BA,1.0058868,0,0,1,0
2023-04-13,BA,0.94437945,0,0,0,0
2023-04-14,BA,1.0164592,0,0,0,0
2023-04-17,BA,1.0162903,0,0,0,0
2023-04-18,BA,1.0016317,0,0,0,0
2023-04-19,BA,0.9929088,0,0,0,0
2023-04-20,BA,0.9899628,0,0,0,0
2023-04-21,BA,1.0030222,0,0,0,0
2023-04-24,BA,0.98260194,0,0,0,0
2023-04-25,BA,1.0041544,0,0,0,0
2023-04-26,BA,1.0148253,0,0,0,0
2023-04-27,BA,1.0035915,0,0,0,0
2023-04-28,BA,0.98592705,0,0,0,0
2023-05-01,BA,0.99695885,0,0,0,0
2023-05-02,BA,0.9885855,0,0,0,0
2023-05-03,BA,0.9806898,0,0,0,0
2023-05-04,BA,1.0065465,0,0,0,0
2023-05-05,BA,0.9945548,0,0,0,0
2023-05-08,BA,1.0234209,0,0,0,0
2023-05-09,BA,0.9948484,0,0,0,0
2023-05-10,BA,1.0049791,0,0,0,0
2023-05-11,BA,0.994352,0,0,0,0
2023-05-12,BA,1.010314,0,0,0,0
2023-05-15,BA,0.99062973,0,0,0,0
2023-05-16,BA,1.02987,0,0,0,0
2023-05-17,BA,1.0017886,0,0,0,0
2023-05-18,BA,0.9915557,0,0,0,0
2023-05-19,BA,1.0020438,0,0,0,0
2023-05-22,BA,0.98392504,0,0,0,0
2023-05-23,BA,0.98356366,0,0,0,0
2023-05-24,BA,1.0080292,0,0,0,0
2023-05-25,BA,1.0137403,0,0,0,0
2023-05-26,BA,1.0052055,0,0,0,0
2023-05-30,BA,1.0049343,0,0,0,0
2023-05-31,BA,1.0109869,0,0,0,0
2023-06-01,BA,1.0257742,0,0,0,0
2023-06-02,BA,0.9787174,0,0,0,0
2023-06-05,BA,0.9928633,0,0,0,1
2023-06-06,BA,1.022384,0,0,0,0
2023-06-07,BA,1.0291606,0,0,0,0
2023-06-08,BA,0.9963321,0,0,0,0
2023-06-09,BA,1.0195574,0,0,0,0
2023-06-12,BA,0.99467415,0,0,0,0
2023-06-13,BA,0.98420906,0,0,0,0
2023-06-14,BA,1.0115722,0,0,0,0
2023-06-15,BA,1.0026435,0,0,0,0
2023-06-16,BA,0.965362,0,0,0,0
2023-06-20,BA,0.9986345,0,0,0,0
2023-06-21,BA,0.9694926,0,0,0,0
2023-06-22,BA,0.9990273,0,0,0,0
2023-06-23,BA,1.0008276,0,0,0,0
2023-06-26,BA,1.0187274,0,0,0,0
2023-06-27,BA,1.0061597,0,0,0,0
2023-06-28,BA,1.0052676,0,0,0,0
2023-06-29,BA,0.9968371,0,0,0,0
2023-06-30,BA,0.9988634,0,0,0,0
2023-07-03,BA,1.0113313,0,0,0,0
2023-07-05,BA,0.99676526,0,0,0,0
2023-07-06,BA,0.99755436,0,0,0,0
2023-07-07,BA,1.0057048,0,0,0,0
2023-07-10,BA,1.0255497,0,0,0,0
2023-07-11,BA,0.9924575,0,0,0,0
2023-07-12,BA,0.9988025,0,0,0,0
2023-07-13,BA,0.9827991,0,0,0,0
2023-07-14,BA,0.9941348,0,0,0,0
2023-07-17,BA,0.9985841,0,0,0,0
2023-07-18,BA,0.9859621,0,0,0,0
2023-07-19,BA,1.0240172,0,0,0,0
2023-07-20,BA,0.9915266,0,0,0,0
2023-07-21,BA,1.0192162,0,1,0,0
2023-07-24,BA,0.9918933,1,1,0,0
2023-07-25,BA,1.0872408,0,1,0,0
2023-07-26,BA,1.0040808,0,1,0,0
2023-07-27,BA,1.0211337,0,1,0,0
2023-07-28,BA,1.0006703,0,0,0,0
2023-07-31,BA,0.9964831,0,0,0,0
2023-08-01,BA,0.97214407,0,0,0,0
2023-08-02,BA,0.9999136,0,0,0,0
2023-08-03,BA,1.0,0,0,0,0
2023-08-04,BA,1.0297804,0,0,0,0
2023-08-07,BA,0.99911857,0,0,0,0
2023-08-08,BA,0.99924386,0,0,0,0
2023-08-09,BA,1.0016817,0,0,0,0
2023-08-10,BA,0.9893394,0,0,0,0
2023-08-11,BA,1.0041999,0,0,0,0
2023-08-14,BA,0.9812006,0,0,0,0
2023-08-15,BA,0.99005425,0,0,0,0
2023-08-16,BA,0.97647315,0,0,0,0
2023-08-17,BA,1.009397,0,0,0,0
2023-08-18,BA,1.002515,0,0,0,0
2023-08-21,BA,1.012543,0,0,0,0
2023-08-22,BA,0.99352366,0,0,0,0
2023-08-23,BA,0.9506956,0,0,0,0
2023-08-24,BA,1.0280706,0,0,0,0
2023-08-25,BA,1.0163376,0,0,0,0
2023-08-28,BA,1.0008368,0,0,0,0
2023-08-29,BA,1.0070407,0,0,0,0
2023-08-30,BA,0.97893816,0,0,0,0
2023-08-31,BA,0.99718785,0,0,0,0
2023-09-01,BA,0.9962847,0,0,0,0
2023-09-05,BA,0.97924244,0,0,0,0
2023-09-06,BA,0.9912824,0,0,0,0
2023-09-07,BA,0.9778755,0,0,0,0
2023-09-08,BA,0.9987693,0,0,0,0
2023-09-11,BA,0.99829394,0,0,0,0
2023-09-12,BA,0.9893188,0,0,0,0
2023-09-13,BA,1.003119,0,0,0,0
2023-09-14,BA,0.9955035,0,0,0,0
2023-09-15,BA,0.9856326,0,0,0,0
2023-09-18,BA,0.9968799,0,0,0,0
2023-09-19,BA,0.9896811,0,0,0,0
2023-09-20,BA,0.9880417,0,0,0,0
2023-09-21,BA,0.98879725,0,0,0,0
2023-09-22,BA,1.005412,0,0,0,0
2023-09-25,BA,0.98420364,0,0,0,0
2023-09-26,BA,0.99908,0,0,0,0
2023-09-27,BA,0.97426575,0,0,0,0
2023-09-28,BA,1.0065641,0,0,0,0
2023-09-29,BA,0.9799145,0,0,0,0
2023-10-02,BA,1.0058031,0,0,0,0
2023-10-03,BA,0.9884078,0,0,0,0
2023-10-04,BA,0.99764365,0,0,0,0
2023-10-05,BA,1.0058511,0,0,0,0
2023-10-06,BA,1.0059237,0,0,0,0
2023-10-09,BA,1.0267388,0,0,0,0
2023-10-10,BA,1.0131246,0,0,0,0
2023-10-11,BA,0.97567195,0,0,0,0
2023-10-12,BA,0.96659696,0,0,0,0
2023-10-13,BA,1.0001081,0,0,0,0
2023-10-16,BA,1.003623,0,0,0,0
2023-10-17,BA,1.000485,0,0,0,0
2023-10-18,BA,0.9843825,0,0,0,0
2023-10-19,BA,0.98495543,0,0,0,0
2023-10-20,BA,1.0054988,0,0,0,0
2023-10-23,BA,1.0073469,0,0,0,0
2023-10-24,BA,0.9746106,0,0,0,0
2023-10-25,BA,1.007652,0,0,0,0
2023-10-26,BA,1.0033503,0,0,0,0
2023-10-27,BA,1.0148033,0,0,0,0
2023-10-30,BA,1.0245134,0,0,0,0
2023-10-31,BA,1.013703,0,0,0,0
2023-11-01,BA,1.0138874,0,0,0,0
2023-11-02,BA,1.0158325,0,0,0,0
2023-11-03,BA,0.9892335,0,0,0,0
2023-11-06,BA,0.9920187,0,0,0,0
2023-11-07,BA,1.0021943,0,0,0,0
2023-11-08,BA,1.0078194,0,0,0,0
2023-11-09,BA,1.0171727,0,0,0,0
2023-11-10,BA,1.040122,0,0,0,0
2023-11-13,BA,1.0143249,0,0,0,0
2023-11-14,BA,1.0059768,0,0,0,0
2023-11-15,BA,0.9898903,0,0,0,0
2023-11-16,BA,1.0069699,0,0,0,0
2023-11-17,BA,1.0464815,0,0,0,0
2023-11-20,BA,1.0025722,0,0,0,0
2023-11-21,BA,1.0075136,0,0,0,0
2023-11-22,BA,1.0004092,0,0,0,0
2023-11-24,BA,0.9968182,0,0,0,0
2023-11-27,BA,1.0139991,0,0,0,0
2023-11-28,BA,1.0092639,0,0,0,0
2023-11-29,BA,1.0320814,0,0,0,0
2023-11-30,BA,1.0096705,0,0,0,0
2023-12-01,BA,1.0042759,0,0,0,0
2023-12-04,BA,0.9969771,0,0,0,0
2023-12-05,BA,1.0116587,0,0,0,0
2023-12-06,BA,1.0018574,0,0,0,0
2023-12-07,BA,1.0310538,0,0,0,0
2023-12-08,BA,1.0138129,0,0,0,0
2023-12-11,BA,1.002217,0,0,0,0
2023-12-12,BA,1.0091703,0,0,0,0
2023-12-13,BA,1.0212426,0,0,0,0
2023-12-14,BA,1.0313379,0,0,0,0
2023-12-15,BA,0.98539376,0,0,0,0
2023-12-18,BA,1.0119044,0,0,0,0
2023-12-19,BA,0.9876285,0,0,0,0
2023-12-20,BA,1.0068011,0,0,0,0
2023-12-21,BA,0.99397,0,0,0,0
2023-12-22,BA,1.0090232,0,0,0,0
2023-12-26,BA,0.9973743,0,0,0,0
2023-12-27,BA,0.99332315,0,0,0,0
2023-12-28,BA,1.0011907,0,0,0,0
2023-12-29,BA,0.9658559,0,0,0,0
