tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,COP,0.9456246,0,0,0,1
2023-02-02,COP,0.9713387,0,1,0,0
2023-02-03,COP,0.9942651,0,1,0,0
2023-02-06,COP,1.0421435,0,1,0,0
2023-02-07,COP,0.9890199,0,1,0,0
2023-02-08,COP,0.99223757,0,1,0,0
2023-02-09,COP,1.046666,0,1,0,0
2023-02-10,COP,0.98044527,0,0,0,0
2023-02-13,COP,1.0110409,0,0,0,0
2023-02-14,COP,0.9832671,0,0,0,0
2023-02-15,COP,0.970533,0,0,0,0
2023-02-16,COP,0.96087116,0,0,0,0
2023-02-17,COP,1.0114291,0,0,0,0
2023-02-21,COP,0.9883203,0,0,0,0
2023-02-22,COP,1.0129707,0,0,0,1
2023-02-23,COP,0.9982927,0,0,0,0
2023-02-24,COP,1.0057958,0,0,0,0
2023-02-27,COP,0.97628933,0,0,0,0
2023-02-28,COP,1.0280601,0,0,0,0
2023-03-01,COP,1.0195764,0,0,0,0
2023-03-02,COP,1.0028615,0,0,0,0
2023-03-03,COP,1.0084683,0,0,0,0
2023-03-06,COP,0.9825668,0,0,0,0
2023-03-07,COP,0.99609846,0,0,0,0
2023-03-08,COP,0.9867573,0,0,0,0
2023-03-09,COP,0.9849732,0,0,0,0
2023-03-10,COP,0.96603334,0,0,0,0
2023-03-13,COP,1.006754,0,0,1,1
2023-03-14,COP,0.9396211,0,0,0,1
2023-03-15,COP,1.0121799,0,0,0,1
2023-03-16,COP,0.97914946,0,0,0,1
2023-03-17,COP,1.018752,0,0,0,1
2023-03-20,COP,1.0369174,0,0,0,1
2023-03-21,COP,0.98656106,0,0,0,0
2023-03-22,COP,0.98017675,0,0,0,1
2023-03-23,COP,0.9897326,0,0,0,1
2023-03-24,COP,1.0214816,0,0,0,0
2023-03-27,COP,1.0108382,0,0,0,0
2023-03-28,COP,1.0185847,0,0,0,0
2023-03-29,COP,0.9949874,0,1,0,0
2023-03-30,COP,0.999597,1,1,0,0
2023-03-31,COP,1.0928333,0,1,0,0
2023-04-03,COP,0.98044646,0,1,0,0
2023-04-04,COP,1.0136406,0,1,0,0
2023-04-05,COP,0.9861717,0,0,0,0
2023-04-06,COP,0.99708253,0,0,0,0
2023-04-10,COP,1.0075507,0,0,0,0
2023-04-11,COP,1.0073068,0,0,0,0
2023-04-12,COP,1.0140426,0,0,0,0
2023-04-13,COP,0.9950478,0,0,0,0
2023-04-14,COP,0.97336406,0,0,0,0
2023-04-17,COP,0.9937506,0,0,0,0
2023-04-18,COP,1.0029538,0,0,0,0
2023-04-19,COP,0.98593956,0,0,0,0
2023-04-20,COP,0.98535365,0,0,0,0
2023-04-21,COP,1.0135928,0,0,0,0
2023-04-24,COP,0.98494935,0,0,0,0
2023-04-25,COP,0.9841316,0,0,0,0
2023-04-26,COP,1.0075645,0,0,0,0
2023-04-27,COP,1.0163983,0,0,0,0
2023-04-28,COP,0.9965011,0,0,0,0
2023-05-01,COP,0.96206003,0,0,0,0
2023-05-02,COP,0.9741482,0,0,0,1
2023-05-03,COP,1.0132169,0,0,0,0
2023-05-04,COP,1.0309162,0,0,0,0
2023-05-05,COP,1.0052806,0,0,0,0
2023-05-08,COP,1.0062437,0,0,0,0
2023-05-09,COP,0.98955965,0,0,0,0
2023-05-10,COP,0.9942273,0,0,0,0
2023-05-11,COP,0.9953949,0,0,0,0
2023-05-12,COP,1.0138496,0,0,0,0
2023-05-15,COP,0.9778641,0,0,0,0
2023-05-16,COP,1.0269196,0,0,0,0
2023-05-17,COP,1.0002979,0,0,0,0
2023-05-18,COP,1.0184634,0,0,0,0
2023-05-19,COP,1.0110137,0,0,0,0
2023-05-22,COP,1.0063627,0,0,0,0
2023-05-23,COP,0.99607253,0,0,0,0
2023-05-24,COP,0.9779764,0,0,0,0
2023-05-25,COP,1.0015734,0,0,0,0
2023-05-26,COP,0.99361813,0,0,0,0
2023-05-30,COP,0.9812252,0,0,0,0
2023-05-31,COP,1.0023161,0,0,0,0
2023-06-01,COP,1.0283333,0,0,0,0
2023-06-02,COP,0.99726427,0,0,0,0
2023-06-05,COP,0.99872637,0,0,0,0
2023-06-06,COP,1.0281539,0,0,0,0
2023-06-07,COP,0.9974239,0,0,0,0
2023-06-08,COP,0.9937823,0,0,0,0
2023-06-09,COP,0.98970073,0,0,0,0
2023-06-12,COP,1.0057381,0,0,0,0
2023-06-13,COP,0.9928439,0,0,0,0
2023-06-14,COP,1.014415,0,0,0,0
2023-06-15,COP,1.0073931,0,0,0,0
2023-06-16,COP,0.9724553,0,0,0,0
2023-06-20,COP,1.0163677,0,0,0,0
2023-06-21,COP,0.97810996,0,0,0,0
2023-06-22,COP,0.99043673,0,0,0,0
2023-06-23,COP,1.0145202,0,0,0,0
2023-06-26,COP,0.9948672,0,0,0,0
2023-06-27,COP,1.0170653,0,0,0,0
2023-06-28,COP,1.0053654,0,0,0,0
2023-06-29,COP,1.0053366,0,0,0,0
2023-06-30,COP,1.0059841,0,0,0,0
2023-07-03,COP,0.9979851,0,0,0,0
2023-07-05,COP,0.9646221,0,0,0,0
2023-07-06,COP,1.0288023,0,0,0,0
2023-07-07,COP,1.0108495,0,0,0,0
2023-07-10,COP,1.0296118,0,0,0,0
2023-07-11,COP,1.017405,0,0,0,0
2023-07-12,COP,1.011344,0,0,0,0
2023-07-13,COP,0.9687019,0,0,0,0
2023-07-14,COP,0.9939304,0,0,0,0
2023-07-17,COP,1.0217023,0,0,0,0
2023-07-18,COP,1.0067127,0,0,0,0
2023-07-19,COP,1.0201863,0,0,0,0
2023-07-20,COP,1.0107441,0,0,0,0
2023-07-21,COP,1.0162103,0,0,0,0
2023-07-24,COP,1.0127267,0,0,0,0
2023-07-25,COP,1.0055948,0,0,0,0
2023-07-26,COP,0.99101245,0,0,0,0
2023-07-27,COP,1.0012956,0,0,0,0
2023-07-28,COP,1.0154403,0,0,0,0
2023-07-31,COP,0.9971118,0,0,0,0
2023-08-01,COP,0.9847504,0,0,0,0
2023-08-02,COP,0.99480927,0,0,0,0
2023-08-03,COP,0.9888686,0,0,0,0
2023-08-04,COP,1.0067717,0,0,0,0
2023-08-07,COP,1.009696,0,0,0,0
2023-08-08,COP,1.0073537,0,0,0,0
2023-08-09,COP,0.9947612,0,0,0,0
2023-08-10,COP,1.017094,0,0,0,0
2023-08-11,COP,0.9989815,0,0,0,0
2023-08-14,COP,0.98574835,0,0,0,0
2023-08-15,COP,0.9924682,0,0,0,0
2023-08-16,COP,1.018231,0,0,0,0
2023-08-17,COP,1.0047973,0,0,0,0
2023-08-18,COP,0.9993179,0,0,0,0
2023-08-21,COP,0.9909564,0,0,0,0
2023-08-22,COP,0.9970727,0,0,0,0
2023-08-23,COP,0.99127895,0,0,0,0
2023-08-24,COP,1.0149826,0,0,0,0
2023-08-25,COP,1.0085822,0,0,0,0
2023-08-28,COP,1.0011914,0,0,0,0
2023-08-29,COP,1.008839,0,0,0,0
2023-08-30,COP,1.0027801,0,0,0,0
2023-08-31,COP,1.0261278,0,0,0,0
2023-09-01,COP,1.0056493,0,0,0,0
2023-09-05,COP,1.001954,0,0,0,0
2023-09-06,COP,0.98894936,0,0,0,0
2023-09-07,COP,1.0082984,0,0,0,0
2023-09-08,COP,0.9814211,0,0,0,0
2023-09-11,COP,1.0219196,0,0,0,0
2023-09-12,COP,0.9937439,0,0,0,0
2023-09-13,COP,1.0179052,0,0,0,0
2023-09-14,COP,0.99253017,0,0,0,0
2023-09-15,COP,1.0073642,0,0,0,0
2023-09-18,COP,0.9893959,0,0,0,0
2023-09-19,COP,0.98384213,0,0,0,0
2023-09-20,COP,0.982669,0,0,0,0
2023-09-21,COP,1.0007559,0,0,0,0
2023-09-22,COP,1.0160289,0,0,0,0
2023-09-25,COP,0.99231845,0,0,0,0
2023-09-26,COP,1.0296972,0,0,0,0
2023-09-27,COP,0.9969941,0,0,0,0
2023-09-28,COP,0.97620595,0,0,0,0
2023-09-29,COP,0.9774625,0,0,0,0
2023-10-02,COP,1.0042698,0,0,0,0
2023-10-03,COP,0.96369046,0,0,0,0
2023-10-04,COP,1.000794,0,1,0,0
2023-10-05,COP,1.0168401,1,1,0,0
2023-10-06,COP,1.0562733,0,1,0,0
2023-10-09,COP,0.9882614,0,1,0,0
2023-10-10,COP,0.9970927,0,0,0,0
2023-10-11,COP,1.0089138,0,0,0,0
2023-10-12,COP,1.0309637,0,0,0,0
2023-10-13,COP,1.003604,0,0,0,0
2023-10-16,COP,1.001197,0,0,0,0
2023-10-17,COP,1.0090069,0,0,0,0
2023-10-18,COP,0.99834114,0,0,0,0
2023-10-19,COP,0.9816426,0,0,0,0
2023-10-20,COP,0.97807515,0,0,0,0
2023-10-23,COP,0.9885446,0,0,0,0
2023-10-24,COP,1.003835,0,0,0,0
2023-10-25,COP,0.98255956,0,0,0,0
2023-10-26,COP,0.9956893,0,0,0,0
2023-10-27,COP,1.0028863,0,0,0,0
2023-10-30,COP,1.0055866,0,0,0,0
2023-10-31,COP,0.9820707,0,0,0,0
2023-11-01,COP,1.0458558,0,0,0,0
2023-11-02,COP,0.9813965,0,0,0,0
2023-11-03,COP,0.98931116,0,0,0,0
2023-11-06,COP,0.97282004,0,0,0,0
2023-11-07,COP,0.99305856,0,0,0,0
2023-11-08,COP,0.9973788,0,0,0,0
2023-11-09,COP,1.0127902,0,0,0,0
2023-11-10,COP,1.0028688,0,0,0,0
2023-11-13,COP,1.0015603,0,0,0,0
2023-11-14,COP,0.9955859,0,0,0,0
2023-11-15,COP,0.9735721,0,0,0,0
2023-11-16,COP,1.0232164,0,0,0,0
2023-11-17,COP,1.0069814,0,0,0,0
2023-11-20,COP,0.99809337,0,0,0,0
2023-11-21,COP,0.9972216,0,0,0,0
2023-11-22,COP,1.0055724,0,0,0,0
2023-11-24,COP,0.9940255,0,0,0,0
2023-11-27,COP,1.001568,0,0,0,0
2023-11-28,COP,0.9912158,0,0,0,0
2023-11-29,COP,1.0140388,0,0,0,0
2023-11-30,COP,0.99705815,0,0,0,0
2023-12-01,COP,0.99392515,0,0,0,0
2023-12-04,COP,0.98786336,0,0,0,0
2023-12-05,COP,0.9768428,0,0,0,0
2023-12-06,COP,1.002986,0,0,0,0
2023-12-07,COP,1.0110059,0,0,0,0
2023-12-08,COP,1.0008031,0,0,0,0
2023-12-11,COP,0.9901926,0,0,0,0
2023-12-12,COP,1.0071132,0,0,0,0
2023-12-13,COP,1.0277157,0,0,0,0
2023-12-14,COP,0.99643326,0,0,0,0
2023-12-15,COP,1.003143,0,0,0,0
2023-12-18,COP,1.0138382,0,0,0,0
2023-12-19,COP,1.0017169,0,0,0,0
2023-12-20,COP,1.0011997,0,0,0,0
2023-12-21,COP,1.0071043,0,0,0,0
2023-12-22,COP,1.0115587,0,0,0,0
2023-12-26,COP,0.99554706,0,0,0,0
2023-12-27,COP,0.98320526,0,0,0,0
2023-12-28,COP,0.9963091,0,0,0,0
2023-12-29,COP,1.0130955,0,0,0,0
