tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,COST,1.0124176,0,0,0,0
2023-02-02,COST,0.9835127,0,0,0,0
2023-02-03,COST,1.0015346,0,0,0,0
2023-02-06,COST,1.0018231,0,0,0,0
2023-02-07,COST,0.9753741,0,0,0,0
2023-02-08,COST,0.99368817,0,0,0,0
2023-02-09,COST,0.9987214,0,0,0,0
2023-02-10,COST,1.0129204,0,0,0,0
2023-02-13,COST,0.99362224,0,0,0,0
2023-02-14,COST,1.0160168,0,0,0,0
2023-02-15,COST,0.9859569,0,0,0,0
2023-02-16,COST,1.0067049,0,0,0,0
2023-02-17,COST,0.9886891,0,0,0,0
2023-02-21,COST,0.99133027,0,0,0,0
2023-02-22,COST,0.9914554,0,0,0,0
2023-02-23,COST,0.9908139,0,0,0,0
2023-02-24,COST,0.9967664,0,0,0,0
2023-02-27,COST,0.9941481,0,0,0,0
2023-02-28,COST,0.98862004,0,0,0,0
2023-03-01,COST,1.0146656,0,0,0,0
2023-03-02,COST,0.97852534,0,0,0,0
2023-03-03,COST,1.0164542,0,0,0,0
2023-03-06,COST,1.0042851,0,0,0,0
2023-03-07,COST,1.0018344,0,0,0,0
2023-03-08,COST,0.9865855,0,0,0,0
2023-03-09,COST,0.9825242,0,0,0,0
2023-03-10,COST,1.0018255,0,0,0,0
2023-03-13,COST,1.0210168,0,0,0,0
2023-03-14,COST,1.0077606,0,0,0,0
2023-03-15,COST,1.0032945,0,0,0,0
2023-03-16,COST,0.99956894,0,0,0,0
2023-03-17,COST,1.0045992,0,0,0,0
2023-03-20,COST,1.0031883,0,0,0,0
2023-03-21,COST,0.9932158,0,0,0,0
2023-03-22,COST,1.0004923,0,0,0,0
2023-03-23,COST,1.0153968,0,0,0,0
2023-03-24,COST,0.99586093,0,0,0,0
2023-03-27,COST,0.9869225,0,0,0,0
2023-03-28,COST,1.0084229,0,0,0,0
2023-03-29,COST,1.0012428,0,0,0,0
2023-03-30,COST,1.0109668,0,0,0,0
2023-03-31,COST,1.000322,0,0,0,0
2023-04-03,COST,1.0014085,0,0,0,0
2023-04-04,COST,0.9987945,0,0,0,0
2023-04-05,COST,0.97757125,0,0,0,0
2023-04-06,COST,1.0161527,0,0,0,0
2023-04-10,COST,1.0097606,0,0,0,0
2023-04-11,COST,0.9813497,0,0,0,0
2023-04-12,COST,1.0174515,0,0,0,0
2023-04-13,COST,0.9867642,0,0,0,0
2023-04-14,COST,1.0053735,0,0,0,0
2023-04-17,COST,1.0059927,0,0,0,0
2023-04-18,COST,0.99824923,0,0,0,0
2023-04-19,COST,1.0192529,0,0,0,0
2023-04-20,COST,1.0015229,0,0,0,0
2023-04-21,COST,1.0100129,0,0,0,0
2023-04-24,COST,0.9838684,0,0,0,0
2023-04-25,COST,0.9830872,0,0,0,0
2023-04-26,COST,1.0133626,0,0,0,0
2023-04-27,COST,1.0038902,0,0,0,0
2023-04-28,COST,0.9808632,0,0,0,0
2023-05-01,COST,1.0024717,0,0,0,0
2023-05-02,COST,0.99040043,0,0,0,0
2023-05-03,COST,1.0026582,0,0,0,0
2023-05-04,COST,1.0177836,0,0,0,0
2023-05-05,COST,1.0,0,0,0,0
2023-05-08,COST,1.0034665,0,0,0,0
2023-05-09,COST,0.9977436,0,0,0,0
2023-05-10,COST,1.0044631,0,0,0,0
2023-05-11,COST,1.0043436,0,0,0,0
2023-05-12,COST,0.9959728,0,0,0,0
2023-05-15,COST,0.9882677,0,0,0,0
2023-05-16,COST,0.9976822,0,0,0,0
2023-05-17,COST,1.0062627,0,0,0,0
2023-05-18,COST,0.996828,0,0,0,0
2023-05-19,COST,0.9906347,0,0,0,0
2023-05-22,COST,0.98576874,0,0,0,0
2023-05-23,COST,0.9956482,0,0,0,0
2023-05-24,COST,1.0078506,0,0,0,0
2023-05-25,COST,1.042565,0,0,0,0
2023-05-26,COST,1.0015179,0,0,0,0
2023-05-30,COST,1.0069485,0,0,0,0
2023-05-31,COST,1.002033,0,0,0,0
2023-06-01,COST,0.9999806,0,0,0,0
2023-06-02,COST,1.0110419,0,0,0,0
2023-06-05,COST,0.99616015,0,0,0,0
2023-06-06,COST,0.99025685,0,0,0,0
2023-06-07,COST,1.0173309,0,0,0,0
2023-06-08,COST,0.99459696,0,0,0,0
2023-06-09,COST,1.0071335,0,0,0,0
2023-06-12,COST,1.0020155,0,0,0,0
2023-06-13,COST,1.009923,0,0,0,0
2023-06-14,COST,1.0037557,0,0,0,0
2023-06-15,COST,0.9895499,0,0,0,0
2023-06-16,COST,0.9924568,0,0,0,0
2023-06-20,COST,0.999846,0,0,0,0
2023-06-21,COST,1.0088142,0,0,0,0
2023-06-22,COST,1.0004578,0,0,0,0
2023-06-23,COST,0.99805504,0,0,0,0
2023-06-26,COST,1.0132016,0,0,0,0
2023-06-27,COST,1.0046575,0,0,0,0
2023-06-28,COST,0.9979167,0,0,0,0
2023-06-29,COST,1.0125825,0,0,0,0
2023-06-30,COST,1.0049406,0,0,0,0
2023-07-03,COST,1.0001665,0,0,0,0
2023-07-05,COST,0.99305147,0,0,0,0
2023-07-06,COST,0.97707343,0,0,0,0
2023-07-07,COST,1.003733,0,0,0,0
2023-07-10,COST,1.0049903,0,0,0,0
2023-07-11,COST,1.0157844,0,0,0,0
2023-07-12,COST,1.0008364,0,0,0,0
2023-07-13,COST,1.0153217,0,0,0,0
2023-07-14,COST,1.0114506,0,0,0,0
2023-07-17,COST,1.0011394,0,0,0,0
2023-07-18,COST,1.0009391,0,0,0,0
2023-07-19,COST,1.0051435,0,0,0,0
2023-07-20,COST,1.0016159,0,0,0,0
2023-07-21,COST,1.0108808,0,0,0,0
2023-07-24,COST,1.0022345,0,0,0,0
2023-07-25,COST,1.0017338,0,0,0,0
2023-07-26,COST,0.99233466,0,0,0,0
2023-07-27,COST,1.0026518,0,0,0,0
2023-07-28,COST,0.9952957,0,0,0,0
2023-07-31,COST,0.99072546,0,0,0,0
2023-08-01,COST,0.99438304,0,0,0,0
2023-08-02,COST,1.009668,0,0,0,0
2023-08-03,COST,0.9898689,0,0,0,0
2023-08-04,COST,1.011539,0,0,0,0
2023-08-07,COST,0.99589914,0,0,0,0
2023-08-08,COST,1.0064374,0,0,0,0
2023-08-09,COST,1.0031983,0,0,0,0
2023-08-10,COST,1.002618,0,0,0,0
2023-08-11,COST,0.99735314,0,0,0,0
2023-08-14,COST,0.99472827,0,0,0,0
2023-08-15,COST,1.0009668,0,0,0,0
2023-08-16,COST,0.97864234,0,0,0,0
2023-08-17,COST,0.99603385,0,0,0,0
2023-08-18,COST,0.99682516,0,0,0,0
2023-08-21,COST,0.99109006,0,0,0,0
2023-08-22,COST,1.0046251,0,0,0,0
2023-08-23,COST,0.98493993,0,0,0,0
2023-08-24,COST,1.0043257,0,0,0,0
2023-08-25,COST,1.0040822,0,0,0,0
2023-08-28,COST,1.0122718,0,0,0,0
2023-08-29,COST,0.9990604,0,0,0,0
2023-08-30,COST,1.0129459,0,0,0,0
2023-08-31,COST,0.9908425,0,0,0,0
2023-09-01,COST,1.0008819,0,0,0,0
2023-09-05,COST,1.0035981,0,0,0,0
2023-09-06,COST,1.0035304,0,0,0,0
2023-09-07,COST,1.0046844,0,0,0,0
2023-09-08,COST,1.0137702,0,0,0,0
2023-09-11,COST,1.0000179,0,0,0,0
2023-09-12,COST,1.0017359,0,0,0,0
2023-09-13,COST,1.0089502,0,0,0,0
2023-09-14,COST,0.9851089,0,0,0,0
2023-09-15,COST,1.0114315,0,0,0,0
2023-09-18,COST,1.0028967,0,0,0,0
2023-09-19,COST,0.99907875,0,0,0,0
2023-09-20,COST,0.984481,0,0,0,0
2023-09-21,COST,1.0063236,0,0,0,0
2023-09-22,COST,1.0000536,0,0,0,0
2023-09-25,COST,0.98986787,0,0,0,0
2023-09-26,COST,1.0191153,0,0,0,0
2023-09-27,COST,1.0090501,0,0,0,0
2023-09-28,COST,0.99354583,0,0,0,0
2023-09-29,COST,1.0112396,0,0,0,0
2023-10-02,COST,0.9890251,0,0,0,0
2023-10-03,COST,1.0119638,0,0,0,0
2023-10-04,COST,0.9960126,0,0,0,0
2023-10-05,COST,0.97894734,0,0,0,0
2023-10-06,COST,1.0025827,0,0,0,0
2023-10-09,COST,1.0055817,0,0,0,0
2023-10-10,COST,1.0061022,0,0,0,0
2023-10-11,COST,0.99692327,0,0,0,0
2023-10-12,COST,1.0054278,0,0,0,0
2023-10-13,COST,1.0095263,0,0,0,0
2023-10-16,COST,1.0036699,0,0,0,0
2023-10-17,COST,1.0005223,0,0,0,0
2023-10-18,COST,0.98432064,0,0,0,0
2023-10-19,COST,0.9775471,0,0,0,0
2023-10-20,COST,0.9988426,0,0,0,0
2023-10-23,COST,0.99918514,0,0,0,0
2023-10-24,COST,0.9966477,0,0,0,0
2023-10-25,COST,0.9956544,0,0,0,0
2023-10-26,COST,0.99165446,0,0,0,0
2023-10-27,COST,1.0218221,0,0,0,0
2023-10-30,COST,0.9956025,0,0,0,0
2023-10-31,COST,1.0078923,0,0,0,0
2023-11-01,COST,1.0003419,0,0,0,0
2023-11-02,COST,1.0088674,0,0,0,0
2023-11-03,COST,1.0159031,0,0,0,0
2023-11-06,COST,1.0025446,0,0,0,0
2023-11-07,COST,0.9931905,0,0,0,0
2023-11-08,COST,0.9927562,0,0,0,0
2023-11-09,COST,1.0245886,0,0,0,0
2023-11-10,COST,1.0019233,0,0,0,0
