tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,DHR,1.0118879,0,0,0,0
2023-02-02,DHR,0.9969336,0,0,0,0
2023-02-03,DHR,0.97739494,0,0,0,0
2023-02-06,DHR,1.0085307,0,0,0,0
2023-02-07,DHR,0.9847368,0,0,0,0
2023-02-08,DHR,0.97392535,0,0,0,0
2023-02-09,DHR,1.0146211,0,0,0,0
2023-02-10,DHR,1.004018,0,0,0,0
2023-02-13,DHR,0.98599356,0,0,0,0
2023-02-14,DHR,1.0033952,0,0,0,0
2023-02-15,DHR,0.99471056,0,0,0,0
2023-02-16,DHR,1.0021113,0,0,0,0
2023-02-17,DHR,0.9785399,0,0,0,0
2023-02-21,DHR,0.99728864,0,0,0,0
2023-02-22,DHR,1.0095959,0,0,0,0
2023-02-23,DHR,0.9865747,0,0,0,0
2023-02-24,DHR,0.9953034,0,0,0,0
2023-02-27,DHR,0.9983062,0,0,0,0
2023-02-28,DHR,0.9912334,0,0,0,0
2023-03-01,DHR,1.0178106,0,0,0,0
2023-03-02,DHR,1.0136547,0,0,0,0
2023-03-03,DHR,0.9870033,0,0,0,0
2023-03-06,DHR,0.98158896,0,0,0,0
2023-03-07,DHR,1.0102344,0,0,0,0
2023-03-08,DHR,0.98333067,0,0,0,0
2023-03-09,DHR,0.9840742,0,0,0,0
2023-03-10,DHR,1.0026695,0,0,0,0
2023-03-13,DHR,1.0185531,0,0,0,0
2023-03-14,DHR,0.98880947,0,0,0,0
2023-03-15,DHR,1.0298625,0,0,0,0
2023-03-16,DHR,0.97441244,0,0,0,0
2023-03-17,DHR,1.0075732,0,0,0,0
2023-03-20,DHR,1.0146242,0,0,0,0
2023-03-21,DHR,0.99166596,0,0,0,0
2023-03-22,DHR,1.0025172,0,0,0,0
2023-03-23,DHR,1.0050217,0,0,0,0
2023-03-24,DHR,0.99919415,0,0,0,0
2023-03-27,DHR,0.9954833,0,0,0,0
2023-03-28,DHR,1.0025522,0,0,0,0
2023-03-29,DHR,1.010477,0,0,0,0
2023-03-30,DHR,1.0089672,0,0,0,0
2023-03-31,DHR,0.9922631,0,0,0,0
2023-04-03,DHR,0.99556154,0,0,0,0
2023-04-04,DHR,0.99485904,0,0,0,0
2023-04-05,DHR,0.99701256,0,0,0,0
2023-04-06,DHR,1.0104469,0,0,0,0
2023-04-10,DHR,1.0013626,0,0,0,0
2023-04-11,DHR,1.0003601,0,0,0,0
2023-04-12,DHR,1.0177621,0,0,0,0
2023-04-13,DHR,0.98923004,0,0,0,0
2023-04-14,DHR,1.0162117,0,0,0,0
2023-04-17,DHR,1.0015248,0,0,0,0
2023-04-18,DHR,0.99461234,0,0,0,0
2023-04-19,DHR,0.9747999,0,0,0,0
2023-04-20,DHR,1.0179995,0,0,0,0
2023-04-21,DHR,1.0060916,0,0,1,0
2023-04-24,DHR,0.9120895,0,0,0,0
2023-04-25,DHR,1.002069,0,0,0,0
2023-04-26,DHR,0.99548334,0,0,0,0
2023-04-27,DHR,1.0237231,0,0,0,0
2023-04-28,DHR,1.0203453,0,0,0,0
2023-05-01,DHR,1.0043851,0,0,0,0
2023-05-02,DHR,1.0114503,0,0,0,0
2023-05-03,DHR,0.9868062,0,0,0,0
2023-05-04,DHR,1.000454,0,0,0,0
2023-05-05,DHR,0.98680085,0,0,0,0
2023-05-08,DHR,0.982946,0,0,0,0
2023-05-09,DHR,0.99264336,0,0,0,0
2023-05-10,DHR,0.9887761,0,0,0,0
2023-05-11,DHR,0.984966,0,0,0,0
2023-05-12,DHR,0.9982405,0,0,0,0
2023-05-15,DHR,0.9914074,0,0,0,0
2023-05-16,DHR,1.0011555,0,0,0,0
2023-05-17,DHR,1.0052388,0,0,0,0
2023-05-18,DHR,1.008391,0,0,0,0
2023-05-19,DHR,1.0129199,0,0,0,0
2023-05-22,DHR,0.99450886,0,0,0,0
2023-05-23,DHR,0.9900003,0,0,0,0
2023-05-24,DHR,1.012033,0,0,0,0
2023-05-25,DHR,1.0076373,0,0,0,0
2023-05-26,DHR,0.9783385,0,0,0,0
2023-05-30,DHR,1.0107404,0,0,0,0
2023-05-31,DHR,1.01337,0,0,0,0
2023-06-01,DHR,1.0082943,0,0,0,0
2023-06-02,DHR,0.99360657,0,0,0,0
2023-06-05,DHR,1.0065633,0,0,0,0
2023-06-06,DHR,1.012231,0,0,0,0
2023-06-07,DHR,0.99111646,0,0,0,0
2023-06-08,DHR,0.99983,0,0,0,0
2023-06-09,DHR,1.0113865,0,0,0,0
2023-06-12,DHR,1.0135264,0,0,0,0
2023-06-13,DHR,0.9883119,0,0,0,0
2023-06-14,DHR,1.0212203,0,0,0,0
2023-06-15,DHR,0.99297774,0,0,0,0
2023-06-16,DHR,0.97849464,0,0,0,0
2023-06-20,DHR,1.0046915,0,0,0,0
2023-06-21,DHR,0.9944049,0,0,0,0
2023-06-22,DHR,1.007615,0,0,0,0
2023-06-23,DHR,0.99874043,0,0,0,0
2023-06-26,DHR,0.9828485,0,0,0,0
2023-06-27,DHR,1.0041488,0,0,0,0
2023-06-28,DHR,1.0139445,0,0,0,0
2023-06-29,DHR,1.0093789,0,0,0,0
2023-06-30,DHR,0.98670834,0,0,0,0
2023-07-03,DHR,1.002407,0,0,0,0
2023-07-05,DHR,0.98744637,0,0,0,0
2023-07-06,DHR,0.9943686,0,0,0,0
2023-07-07,DHR,1.0059636,0,0,0,0
2023-07-10,DHR,1.0136477,0,0,0,0
2023-07-11,DHR,1.0018514,0,0,0,0
2023-07-12,DHR,1.0029398,0,0,0,0
2023-07-13,DHR,1.0072024,0,0,0,0
2023-07-14,DHR,0.98848385,0,0,0,0
2023-07-17,DHR,1.0127438,0,0,0,0
2023-07-18,DHR,1.0128328,0,0,0,0
2023-07-19,DHR,1.0020503,0,0,0,0
2023-07-20,DHR,1.0470577,0,0,0,0
2023-07-21,DHR,1.008207,0,0,0,0
2023-07-24,DHR,0.9911622,0,0,0,0
2023-07-25,DHR,1.0358623,0,0,0,0
2023-07-26,DHR,0.96375585,0,0,0,0
2023-07-27,DHR,1.0188036,0,0,0,0
2023-07-28,DHR,0.98073596,0,0,0,0
2023-07-31,DHR,0.9997648,0,0,0,0
2023-08-01,DHR,1.0112549,0,0,0,0
2023-08-02,DHR,0.9984101,0,0,0,0
2023-08-03,DHR,0.98947406,0,0,0,0
2023-08-04,DHR,1.0034152,0,0,0,0
2023-08-07,DHR,1.0134965,0,0,0,0
2023-08-08,DHR,0.98838156,0,0,0,0
2023-08-09,DHR,1.005155,0,0,0,0
2023-08-10,DHR,0.99238485,0,0,0,0
2023-08-11,DHR,1.0068905,0,0,0,0
2023-08-14,DHR,0.99241775,0,0,0,0
2023-08-15,DHR,0.9904401,0,0,0,0
2023-08-16,DHR,1.0001186,0,0,0,0
2023-08-17,DHR,0.9944229,0,0,0,0
2023-08-18,DHR,0.9950679,0,0,0,0
2023-08-21,DHR,0.9981212,0,0,0,0
2023-08-22,DHR,1.0206647,0,0,0,0
2023-08-23,DHR,0.9948992,0,0,0,0
2023-08-24,DHR,1.0077695,0,0,0,0
2023-08-25,DHR,1.0233634,0,0,0,0
2023-08-28,DHR,1.0095601,0,0,0,0
2023-08-29,DHR,1.000644,0,0,0,0
2023-08-30,DHR,1.0031419,0,0,0,0
