tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,EMR,0.998472,0,0,0,0
2023-02-02,EMR,0.99901617,0,0,0,0
2023-02-03,EMR,0.9894956,0,0,0,0
2023-02-06,EMR,1.0082936,0,0,1,0
2023-02-07,EMR,0.94307977,0,0,0,0
2023-02-08,EMR,0.99023134,0,0,0,0
2023-02-09,EMR,1.0082208,0,0,0,0
2023-02-10,EMR,1.0123471,0,0,0,0
2023-02-13,EMR,0.9894144,0,0,0,0
2023-02-14,EMR,1.010815,0,0,0,0
2023-02-15,EMR,0.9918982,0,0,0,0
2023-02-16,EMR,0.9969663,0,0,0,0
2023-02-17,EMR,0.9603231,0,0,0,0
2023-02-21,EMR,1.0030469,0,0,0,0
2023-02-22,EMR,1.0001214,0,0,0,0
2023-02-23,EMR,0.9984207,0,0,0,0
2023-02-24,EMR,0.99902654,0,0,0,0
2023-02-27,EMR,1.00743,0,0,0,0
2023-02-28,EMR,1.0042316,0,0,0,0
2023-03-01,EMR,1.0089093,0,0,0,0
2023-03-02,EMR,1.0207636,0,0,0,0
2023-03-03,EMR,1.0188216,0,0,0,0
2023-03-06,EMR,0.9849683,0,0,0,0
2023-03-07,EMR,0.99743736,0,0,0,0
2023-03-08,EMR,0.97453856,0,0,0,0
2023-03-09,EMR,0.9847795,0,0,0,0
2023-03-10,EMR,0.9967141,0,0,0,0
2023-03-13,EMR,1.0145298,0,0,0,0
2023-03-14,EMR,0.96919006,0,0,0,0
2023-03-15,EMR,1.0172606,0,0,0,0
2023-03-16,EMR,0.9868165,0,0,0,0
2023-03-17,EMR,1.0176891,0,0,0,0
2023-03-20,EMR,1.0209068,0,0,0,0
2023-03-21,EMR,0.9929754,0,0,0,0
2023-03-22,EMR,0.99640286,0,0,0,0
2023-03-23,EMR,0.99747306,0,0,0,0
2023-03-24,EMR,0.9981902,0,0,0,0
2023-03-27,EMR,1.0116026,0,0,0,0
2023-03-28,EMR,1.0148149,0,0,0,0
2023-03-29,EMR,1.0076524,0,0,0,0
2023-03-30,EMR,1.0181097,0,0,0,0
2023-03-31,EMR,1.0011475,0,0,0,0
2023-04-03,EMR,0.97638696,0,0,0,0
2023-04-04,EMR,0.9754637,0,0,0,0
2023-04-05,EMR,1.0025275,0,0,0,0
2023-04-06,EMR,1.0138055,0,0,0,0
2023-04-10,EMR,0.9998816,0,0,0,0
2023-04-11,EMR,0.9905259,0,0,0,0
2023-04-12,EMR,1.021162,0,0,0,0
2023-04-13,EMR,1.0111228,0,0,0,0
2023-04-14,EMR,1.0025475,0,0,0,0
2023-04-17,EMR,1.0079695,0,0,0,0
2023-04-18,EMR,0.98968726,0,0,0,0
2023-04-19,EMR,0.99421096,0,0,0,0
2023-04-20,EMR,0.9968556,0,0,0,0
2023-04-21,EMR,0.9998831,0,0,0,0
2023-04-24,EMR,0.9874985,0,0,0,0
2023-04-25,EMR,0.9758638,0,0,0,0
2023-04-26,EMR,1.0042434,0,0,0,0
2023-04-27,EMR,1.0051913,0,0,0,0
2023-04-28,EMR,1.0010809,0,0,0,0
2023-05-01,EMR,0.9864427,0,0,0,0
2023-05-02,EMR,1.0194601,0,0,0,0
2023-05-03,EMR,0.9871151,0,0,0,0
2023-05-04,EMR,1.0200629,0,0,0,0
2023-05-05,EMR,0.9930093,0,0,0,0
2023-05-08,EMR,0.9980911,0,0,0,0
2023-05-09,EMR,0.9860131,0,0,0,0
2023-05-10,EMR,1.000244,0,0,0,0
2023-05-11,EMR,1.0065869,0,0,0,0
2023-05-12,EMR,1.0072709,0,0,0,0
2023-05-15,EMR,0.9762994,0,0,0,0
2023-05-16,EMR,1.0135552,0,0,0,0
2023-05-17,EMR,1.0006078,0,0,0,0
2023-05-18,EMR,1.0023086,0,0,0,0
2023-05-19,EMR,0.9905443,0,0,0,0
2023-05-22,EMR,0.992657,0,0,0,0
2023-05-23,EMR,0.9733694,0,0,0,0
2023-05-24,EMR,1.0008867,0,0,0,0
2023-05-25,EMR,1.006201,0,0,0,0
2023-05-26,EMR,0.9859137,0,0,0,0
2023-05-30,EMR,0.99094284,0,0,0,0
2023-05-31,EMR,1.0214982,0,0,0,0
2023-06-01,EMR,1.0436045,0,0,0,0
2023-06-02,EMR,0.99251294,0,0,0,0
2023-06-05,EMR,1.0042584,0,0,0,0
2023-06-06,EMR,1.020596,0,0,0,0
2023-06-07,EMR,0.997982,0,0,0,0
2023-06-08,EMR,1.0015463,0,0,0,0
2023-06-09,EMR,0.9984561,0,0,0,0
2023-06-12,EMR,1.0245034,0,0,0,0
2023-06-13,EMR,0.9966329,0,0,0,0
2023-06-14,EMR,1.0255126,0,0,0,0
2023-06-15,EMR,0.992957,0,0,0,0
2023-06-16,EMR,0.99279255,0,0,0,0
2023-06-20,EMR,1.0077207,0,0,0,0
2023-06-21,EMR,0.99965686,0,0,0,0
2023-06-22,EMR,0.9915352,0,0,0,0
2023-06-23,EMR,1.0188049,0,0,0,0
2023-06-26,EMR,1.0149472,0,0,0,0
2023-06-27,EMR,0.9968761,0,0,0,0
2023-06-28,EMR,0.99854517,0,0,0,0
2023-06-29,EMR,1.0131135,0,0,0,0
2023-06-30,EMR,1.0040933,0,0,0,0
2023-07-03,EMR,0.9851257,0,0,0,0
2023-07-05,EMR,0.9869142,0,0,0,0
2023-07-06,EMR,1.0079329,0,0,0,0
2023-07-07,EMR,1.0055093,0,0,0,0
2023-07-10,EMR,1.0265012,0,0,0,0
2023-07-11,EMR,1.0034859,0,0,0,0
2023-07-12,EMR,1.0021712,0,0,0,0
2023-07-13,EMR,0.9975085,0,0,0,0
2023-07-14,EMR,0.9916386,0,0,0,0
2023-07-17,EMR,1.0052563,0,0,0,0
2023-07-18,EMR,0.9985839,0,0,0,0
2023-07-19,EMR,1.0023999,0,0,0,0
2023-07-20,EMR,0.9928176,0,0,0,0
2023-07-21,EMR,1.0110708,0,0,0,0
2023-07-24,EMR,1.0037944,0,0,0,0
2023-07-25,EMR,0.9978399,0,0,0,0
2023-07-26,EMR,0.994047,0,0,0,0
2023-07-27,EMR,0.9905271,0,0,0,0
2023-07-28,EMR,1.0041772,0,0,0,0
2023-07-31,EMR,1.0030651,0,0,0,0
2023-08-01,EMR,1.0383062,0,0,0,0
2023-08-02,EMR,1.0078832,0,0,0,0
2023-08-03,EMR,0.99645424,0,0,0,0
2023-08-04,EMR,1.0174778,0,0,0,0
2023-08-07,EMR,0.99259406,0,0,0,0
2023-08-08,EMR,0.9952331,0,0,0,0
2023-08-09,EMR,0.99989545,0,0,0,0
2023-08-10,EMR,1.0024079,0,0,0,0
2023-08-11,EMR,1.0016713,0,0,0,0
2023-08-14,EMR,0.9955162,0,0,0,0
2023-08-15,EMR,1.0056561,0,0,0,0
2023-08-16,EMR,0.9970837,0,0,0,0
2023-08-17,EMR,1.0006267,0,0,0,0
2023-08-18,EMR,0.9923791,0,0,0,0
2023-08-21,EMR,1.0107301,0,0,0,0
2023-08-22,EMR,1.0057242,0,0,0,0
2023-08-23,EMR,0.99089324,0,0,0,0
2023-08-24,EMR,1.0197389,0,0,0,0
2023-08-25,EMR,1.004916,0,0,0,0
2023-08-28,EMR,1.0054015,0,0,0,0
2023-08-29,EMR,0.9963508,0,0,0,0
2023-08-30,EMR,0.99959296,0,0,0,0
2023-08-31,EMR,1.0068192,0,0,0,0
2023-09-01,EMR,0.9894865,0,0,0,0
2023-09-05,EMR,1.0080712,0,0,0,0
2023-09-06,EMR,1.0073984,0,0,0,0
2023-09-07,EMR,0.9954728,0,0,0,0
2023-09-08,EMR,1.0118243,0,0,0,0
2023-09-11,EMR,0.99800235,0,0,0,0
2023-09-12,EMR,0.97758216,0,0,0,0
2023-09-13,EMR,1.0094184,0,0,0,0
2023-09-14,EMR,1.002637,0,0,0,0
2023-09-15,EMR,1.0075865,0,0,0,0
2023-09-18,EMR,0.99206907,0,0,0,0
2023-09-19,EMR,0.99180335,0,0,0,0
2023-09-20,EMR,0.9844913,0,0,0,0
2023-09-21,EMR,1.0063219,0,0,0,0
2023-09-22,EMR,1.0102987,0,0,0,0
2023-09-25,EMR,0.9745157,0,0,0,0
2023-09-26,EMR,1.01318,0,0,0,0
2023-09-27,EMR,1.0015486,0,0,0,0
2023-09-28,EMR,0.9954643,0,0,0,0
2023-09-29,EMR,0.9910947,0,0,0,0
2023-10-02,EMR,0.9910144,0,0,0,0
2023-10-03,EMR,0.9979969,0,0,0,0
2023-10-04,EMR,0.98869634,0,0,0,0
2023-10-05,EMR,1.0154932,0,0,0,0
2023-10-06,EMR,1.008733,0,0,0,0
2023-10-09,EMR,1.0052154,0,0,0,0
2023-10-10,EMR,1.0074711,0,0,0,0
2023-10-11,EMR,0.98928845,0,0,0,0
2023-10-12,EMR,0.9865696,0,0,0,0
2023-10-13,EMR,1.016779,0,0,0,0
2023-10-16,EMR,0.99605614,0,0,0,0
2023-10-17,EMR,0.97634673,0,0,0,0
2023-10-18,EMR,0.99402356,0,0,0,0
2023-10-19,EMR,0.98206997,0,0,0,0
2023-10-20,EMR,0.9856785,0,0,0,0
2023-10-23,EMR,1.0064329,0,0,0,0
2023-10-24,EMR,0.97895086,0,0,0,0
2023-10-25,EMR,0.9974108,0,0,0,0
2023-10-26,EMR,0.99356663,0,0,0,0
2023-10-27,EMR,1.0047711,0,0,0,0
2023-10-30,EMR,1.005879,0,0,0,0
2023-10-31,EMR,1.0071934,0,0,0,0
2023-11-01,EMR,1.0172971,0,0,0,0
2023-11-02,EMR,1.0088855,0,0,0,0
2023-11-03,EMR,0.9974991,0,0,1,0
2023-11-06,EMR,0.9258775,0,0,0,0
2023-11-07,EMR,0.9977631,0,0,0,0
2023-11-08,EMR,1.0053098,0,0,0,0
2023-11-09,EMR,1.0152582,0,0,0,0
2023-11-10,EMR,1.001156,0,0,0,0
2023-11-13,EMR,1.0225173,0,0,0,0
2023-11-14,EMR,0.9979672,0,0,0,0
2023-11-15,EMR,0.9960726,0,0,0,0
2023-11-16,EMR,1.0202285,0,0,0,0
2023-11-17,EMR,0.9946232,0,0,0,0
2023-11-20,EMR,0.9978601,0,0,0,0
2023-11-21,EMR,1.0027088,0,0,0,0
2023-11-22,EMR,0.99628556,0,0,0,0
2023-11-24,EMR,0.9941249,0,0,0,0
2023-11-27,EMR,0.9989772,0,0,0,0
2023-11-28,EMR,1.0046643,0,0,0,0
2023-11-29,EMR,1.0066811,0,0,0,0
2023-11-30,EMR,1.0137233,0,0,0,0
2023-12-01,EMR,0.98657346,0,0,0,0
2023-12-04,EMR,0.99370146,0,0,0,0
2023-12-05,EMR,0.9926428,0,0,0,0
2023-12-06,EMR,1.0116307,0,0,0,0
2023-12-07,EMR,1.0093553,0,0,0,0
2023-12-08,EMR,1.0018983,0,0,0,0
2023-12-11,EMR,1.0080249,0,0,0,0
2023-12-12,EMR,1.0197921,0,0,0,0
2023-12-13,EMR,1.046731,0,0,0,0
2023-12-14,EMR,0.99078107,0,0,0,0
2023-12-15,EMR,1.0041819,0,0,0,0
2023-12-18,EMR,0.99677247,0,0,0,0
2023-12-19,EMR,0.98871946,0,0,0,0
2023-12-20,EMR,1.0110923,0,0,0,0
2023-12-21,EMR,1.0076271,0,0,0,0
2023-12-22,EMR,1.0111986,0,0,0,0
2023-12-26,EMR,1.0008203,0,0,0,0
2023-12-27,EMR,0.9947746,0,0,0,0
2023-12-28,EMR,1.002472,0,0,0,0
2023-12-29,EMR,0.9851021,0,0,0,0
