tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,FDX,1.0613033,0,0,0,0
2023-02-02,FDX,1.0007924,0,0,0,0
2023-02-03,FDX,0.98099416,0,0,0,0
2023-02-06,FDX,0.99677104,0,0,0,0
2023-02-07,FDX,0.9979514,0,0,0,0
2023-02-08,FDX,0.9958948,0,0,0,0
2023-02-09,FDX,1.003595,0,0,0,0
2023-02-10,FDX,1.0109376,0,0,0,0
2023-02-13,FDX,1.0047717,0,0,0,0
2023-02-14,FDX,1.0017399,0,0,0,0
2023-02-15,FDX,0.9935692,0,0,0,0
2023-02-16,FDX,0.9935278,0,0,0,0
2023-02-17,FDX,0.9778887,0,0,0,0
2023-02-21,FDX,0.9862874,0,0,0,0
2023-02-22,FDX,1.0115861,0,0,0,0
2023-02-23,FDX,0.9907397,0,0,0,0
2023-02-24,FDX,1.0038371,0,0,0,0
2023-02-27,FDX,0.9958836,0,0,0,0
2023-02-28,FDX,1.0054622,0,0,0,0
2023-03-01,FDX,1.0127244,0,0,0,0
2023-03-02,FDX,1.0103899,0,0,0,0
2023-03-03,FDX,1.0050222,0,0,0,0
2023-03-06,FDX,0.98186845,0,0,0,0
2023-03-07,FDX,1.0156066,0,0,0,0
2023-03-08,FDX,0.99183935,0,0,0,0
2023-03-09,FDX,0.9734372,0,0,0,0
2023-03-10,FDX,0.9811124,0,0,0,0
2023-03-13,FDX,1.0025331,0,0,0,0
2023-03-14,FDX,0.986912,0,1,0,0
2023-03-15,FDX,1.0448029,1,1,0,0
2023-03-16,FDX,1.0796863,0,1,0,0
2023-03-17,FDX,0.981526,0,1,0,1
2023-03-20,FDX,1.0166018,0,0,0,0
2023-03-21,FDX,0.9873994,0,0,0,0
2023-03-22,FDX,0.9993551,0,0,0,1
2023-03-23,FDX,1.0031346,0,0,0,0
2023-03-24,FDX,1.0102022,0,0,0,0
2023-03-27,FDX,1.0028206,0,0,0,0
2023-03-28,FDX,1.0145617,0,0,0,0
2023-03-29,FDX,1.0033535,0,0,0,0
2023-03-30,FDX,1.0182265,0,0,0,0
2023-03-31,FDX,1.0015317,0,0,0,0
2023-04-03,FDX,0.9897308,0,0,0,0
2023-04-04,FDX,1.0151882,0,0,0,0
