tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,GM,1.0559796,0,1,0,0
2023-02-02,GM,0.9910844,0,1,0,0
2023-02-03,GM,1.0051057,0,0,0,0
2023-02-06,GM,1.0014514,0,0,0,0
2023-02-07,GM,1.0041063,0,0,0,0
2023-02-08,GM,1.0014434,0,0,0,1
2023-02-09,GM,0.9932739,0,0,0,0
2023-02-10,GM,1.0162033,0,0,0,0
2023-02-13,GM,1.0097572,0,0,0,0
2023-02-14,GM,1.0122554,0,0,0,0
2023-02-15,GM,1.0034924,0,0,0,0
2023-02-16,GM,1.0016241,0,0,0,0
2023-02-17,GM,0.95274514,0,0,0,0
2023-02-21,GM,0.99416476,0,0,0,0
2023-02-22,GM,0.9598924,0,0,0,0
2023-02-23,GM,0.9982164,0,0,0,0
2023-02-24,GM,1.0033182,0,0,0,0
2023-02-27,GM,0.9854998,0,0,0,0
2023-02-28,GM,0.99948376,0,0,0,0
2023-03-01,GM,1.023298,0,0,0,0
2023-03-02,GM,1.03744,0,0,0,0
2023-03-03,GM,0.9863449,0,0,0,0
2023-03-06,GM,0.98244745,0,0,0,1
2023-03-07,GM,1.0005032,0,0,0,0
2023-03-08,GM,0.95120734,0,0,0,1
2023-03-09,GM,0.96562666,0,0,0,1
2023-03-10,GM,0.97918946,0,0,0,1
2023-03-13,GM,0.9955257,0,0,0,1
2023-03-14,GM,0.96432585,0,0,0,1
2023-03-15,GM,1.0081562,0,0,0,1
2023-03-16,GM,0.9644612,0,0,0,1
2023-03-17,GM,1.0071898,0,1,0,1
2023-03-20,GM,1.0440214,0,1,0,1
2023-03-21,GM,0.9700855,0,0,0,1
2023-03-22,GM,0.99089587,0,1,0,1
2023-03-23,GM,0.99911094,0,0,0,1
2023-03-24,GM,1.0219518,0,0,0,0
2023-03-27,GM,0.9933238,0,0,0,0
2023-03-28,GM,1.0432494,0,0,0,0
2023-03-29,GM,1.0081233,0,0,0,0
2023-03-30,GM,1.0191721,0,0,0,0
2023-03-31,GM,0.9888222,0,0,0,0
2023-04-03,GM,0.9853874,0,0,0,0
2023-04-04,GM,0.981813,0,0,0,0
2023-04-05,GM,0.9857508,0,0,0,0
2023-04-06,GM,1.0329578,0,0,0,0
2023-04-10,GM,0.99104387,0,0,0,0
2023-04-11,GM,0.9776899,0,0,0,0
2023-04-12,GM,0.99740034,0,0,0,0
2023-04-13,GM,0.99884176,0,0,0,0
2023-04-14,GM,1.0188458,0,0,0,0
2023-04-17,GM,1.005407,0,0,0,0
2023-04-18,GM,0.97877175,0,0,0,0
2023-04-19,GM,0.9699247,0,0,0,0
2023-04-20,GM,1.0002981,0,0,0,0
2023-04-21,GM,1.0220567,0,0,0,0
2023-04-24,GM,0.95975506,0,0,0,1
2023-04-25,GM,0.97903365,0,0,0,0
2023-04-26,GM,1.0155183,0,0,0,0
2023-04-27,GM,1.0097798,0,0,0,0
2023-04-28,GM,1.0133173,0,0,0,0
2023-05-01,GM,0.9880524,0,0,0,0
2023-05-02,GM,0.9818622,0,0,0,0
2023-05-03,GM,0.9756773,0,1,0,1
2023-05-04,GM,1.0495424,0,1,0,0
2023-05-05,GM,1.0120265,0,1,0,0
2023-05-08,GM,0.9887105,0,0,0,0
2023-05-09,GM,0.9939905,0,0,0,1
2023-05-10,GM,1.0012091,0,0,0,0
2023-05-11,GM,0.978261,0,0,0,0
2023-05-12,GM,0.9990741,0,0,0,0
2023-05-15,GM,0.97435904,0,0,0,0
2023-05-16,GM,1.0285351,0,0,0,0
2023-05-17,GM,1.0141802,0,0,0,0
2023-05-18,GM,0.992705,0,0,0,0
2023-05-19,GM,1.0061238,0,0,0,0
2023-05-22,GM,1.0170418,0,0,0,0
2023-05-23,GM,0.96588886,0,0,0,0
2023-05-24,GM,1.0040272,0,0,0,0
2023-05-25,GM,1.0271523,0,0,0,0
2023-05-26,GM,1.0021027,0,0,0,0
2023-05-30,GM,0.9715226,0,0,0,0
2023-05-31,GM,1.0216584,0,0,0,0
2023-06-01,GM,1.0381587,0,0,0,0
2023-06-02,GM,0.99562424,0,0,0,0
2023-06-05,GM,1.0325228,0,0,0,0
2023-06-06,GM,1.0278093,0,0,0,0
2023-06-07,GM,0.9897846,0,0,0,0
2023-06-08,GM,1.0105997,0,0,0,0
2023-06-09,GM,1.0121446,0,0,0,0
2023-06-12,GM,1.0267249,0,0,0,0
2023-06-13,GM,0.99229753,0,0,0,0
2023-06-14,GM,1.0179336,0,0,0,0
2023-06-15,GM,0.99815935,0,0,0,0
2023-06-16,GM,0.9831402,0,0,0,0
2023-06-20,GM,0.9916934,0,0,0,0
2023-06-21,GM,0.99054325,0,0,0,0
2023-06-22,GM,0.9869066,0,0,0,0
2023-06-23,GM,1.0143727,0,0,0,0
2023-06-26,GM,1.0212533,0,0,0,0
2023-06-27,GM,1.0189433,0,0,0,0
2023-06-28,GM,1.0002619,0,0,0,0
2023-06-29,GM,1.0094241,0,0,0,0
2023-06-30,GM,1.0103734,0,0,0,0
2023-07-03,GM,1.011807,0,0,0,0
2023-07-05,GM,1.0010147,0,0,0,0
2023-07-06,GM,1.0038013,0,0,0,0
2023-07-07,GM,1.0007572,0,0,0,0
2023-07-10,GM,1.008325,0,0,0,0
2023-07-11,GM,1.0110083,0,0,0,0
2023-07-12,GM,1.0022272,0,0,0,0
2023-07-13,GM,0.9876544,0,0,0,0
2023-07-14,GM,0.96874976,0,0,0,0
2023-07-17,GM,1.0098066,0,0,0,0
2023-07-18,GM,1.0025555,0,0,0,0
2023-07-19,GM,1.0007647,0,0,0,0
2023-07-20,GM,0.9819154,0,0,0,0
2023-07-21,GM,1.0194553,0,0,0,0
2023-07-24,GM,0.96488535,0,0,0,0
2023-07-25,GM,1.0097575,0,0,0,0
2023-07-26,GM,1.0177592,0,0,0,0
2023-07-27,GM,0.9763921,0,0,0,0
2023-07-28,GM,1.00841,0,0,0,0
2023-07-31,GM,0.9934845,0,0,0,0
2023-08-01,GM,0.98085,0,0,0,0
2023-08-02,GM,0.98742986,0,0,0,0
2023-08-03,GM,0.99052,0,0,0,0
2023-08-04,GM,1.0142194,0,0,0,0
2023-08-07,GM,0.9932596,0,0,0,0
2023-08-08,GM,0.9842562,0,0,1,0
2023-08-09,GM,0.9420849,0,0,0,0
2023-08-10,GM,0.99209595,0,0,0,0
2023-08-11,GM,1.0053114,0,0,0,0
2023-08-14,GM,0.97739935,0,0,0,0
2023-08-15,GM,0.9855858,0,0,0,0
2023-08-16,GM,1.0030468,0,0,0,0
2023-08-17,GM,1.0060755,0,0,0,0
2023-08-18,GM,1.0045289,0,0,0,0
2023-08-21,GM,0.9897807,0,0,0,0
2023-08-22,GM,1.0191315,0,0,0,0
2023-08-23,GM,0.97973776,0,0,0,0
2023-08-24,GM,1.0021288,0,0,0,0
2023-08-25,GM,1.0051594,0,0,0,0
2023-08-28,GM,1.0102656,0,0,0,0
2023-08-29,GM,0.99790806,0,0,0,0
2023-08-30,GM,1.0063063,0,0,0,0
2023-08-31,GM,1.0008954,0,0,0,0
2023-09-01,GM,0.992248,0,0,0,0
2023-09-05,GM,0.98617804,0,0,0,0
2023-09-06,GM,0.9923827,0,0,0,0
2023-09-07,GM,1.0116671,0,0,0,0
2023-09-08,GM,0.9899847,0,0,0,0
2023-09-11,GM,1.0260577,0,0,0,0
2023-09-12,GM,1.0056766,0,0,0,0
2023-09-13,GM,1.0,0,0,0,0
2023-09-14,GM,1.0086156,0,0,0,0
2023-09-15,GM,0.98203254,0,0,0,0
2023-09-18,GM,1.018596,0,0,0,0
2023-09-19,GM,0.97762084,0,0,0,0
2023-09-20,GM,0.985241,0,0,0,0
2023-09-21,GM,0.99602556,0,0,0,0
2023-09-22,GM,1.0147331,0,0,0,0
2023-09-25,GM,0.9758014,0,0,0,0
2023-09-26,GM,1.0027899,0,0,0,0
2023-09-27,GM,1.0250386,0,0,0,0
2023-09-28,GM,0.99427015,0,0,0,0
2023-09-29,GM,0.9848348,0,0,0,0
2023-10-02,GM,0.9664305,0,0,0,0
2023-10-03,GM,0.9891651,0,0,0,0
2023-10-04,GM,0.9764819,0,0,0,1
2023-10-05,GM,1.0194656,0,0,0,0
2023-10-06,GM,1.0029126,0,0,0,0
2023-10-09,GM,1.0158114,0,0,0,0
2023-10-10,GM,0.9841169,0,0,0,0
2023-10-11,GM,0.97869587,0,0,0,0
2023-10-12,GM,0.9782322,0,0,0,0
2023-10-13,GM,1.0134861,0,0,0,0
2023-10-16,GM,1.0089821,0,0,0,0
