tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,GOOG,1.0726609,0,1,0,0
2023-02-02,GOOG,0.9670956,0,1,0,0
2023-02-03,GOOG,0.9833682,0,1,0,0
2023-02-06,GOOG,1.0441674,0,1,1,0
2023-02-07,GOOG,0.9255831,0,0,0,1
2023-02-08,GOOG,0.9546,0,1,0,1
2023-02-09,GOOG,0.99371463,0,1,0,1
2023-02-10,GOOG,1.0014758,0,0,0,0
2023-02-13,GOOG,0.9994737,0,1,0,0
2023-02-14,GOOG,1.0226436,0,0,0,0
2023-02-15,GOOG,0.98640573,0,0,0,0
2023-02-16,GOOG,0.9875757,0,0,0,0
2023-02-17,GOOG,0.97314733,0,0,0,0
2023-02-21,GOOG,0.99728405,0,0,0,0
2023-02-22,GOOG,0.9920479,0,0,0,1
2023-02-23,GOOG,0.9811134,0,0,0,0
2023-02-24,GOOG,1.008394,0,0,0,0
2023-02-27,GOOG,1.0022198,0,0,0,0
2023-02-28,GOOG,1.0023255,0,0,0,0
2023-03-01,GOOG,1.0198873,0,0,0,0
2023-03-02,GOOG,1.0185245,0,0,0,0
2023-03-03,GOOG,1.0165923,0,0,0,0
2023-03-06,GOOG,0.9852479,0,0,0,0
2023-03-07,GOOG,1.0050973,0,0,0,0
2023-03-08,GOOG,0.9789752,0,0,0,0
2023-03-09,GOOG,0.98219293,0,0,0,0
2023-03-10,GOOG,1.0071421,0,0,0,0
2023-03-13,GOOG,1.0282565,0,0,0,0
2023-03-14,GOOG,1.0244032,0,0,0,0
2023-03-15,GOOG,1.046815,0,0,0,0
2023-03-16,GOOG,1.0137528,0,0,0,0
2023-03-17,GOOG,0.9948273,0,0,0,0
2023-03-20,GOOG,1.0383596,0,0,0,0
2023-03-21,GOOG,0.98469394,0,0,0,0
2023-03-22,GOOG,1.0195739,0,0,0,0
2023-03-23,GOOG,0.9981178,0,0,0,0
2023-03-24,GOOG,0.97171414,0,0,0,0
2023-03-27,GOOG,0.9835048,0,0,0,0
2023-03-28,GOOG,1.0053275,0,0,0,0
2023-03-29,GOOG,0.9943082,0,0,0,0
2023-03-30,GOOG,1.0264509,0,0,0,0
2023-03-31,GOOG,1.00875,0,0,0,0
2023-04-03,GOOG,1.0020018,0,0,0,0
2023-04-04,GOOG,0.99838275,0,0,0,0
2023-04-05,GOOG,1.037637,0,0,0,0
2023-04-06,GOOG,0.9820936,0,0,0,0
2023-04-10,GOOG,0.9922394,0,0,0,0
2023-04-11,GOOG,0.99151903,0,0,0,0
2023-04-12,GOOG,1.0282265,0,0,0,0
2023-04-13,GOOG,1.0117385,0,0,0,0
2023-04-14,GOOG,0.9722273,0,0,0,0
2023-04-17,GOOG,0.9877843,0,0,0,0
2023-04-18,GOOG,0.99904865,0,0,0,0
2023-04-19,GOOG,1.0083795,0,0,0,0
2023-04-20,GOOG,1.0000944,0,0,0,0
2023-04-21,GOOG,1.0082145,0,0,0,0
2023-04-24,GOOG,0.9796779,0,0,0,0
2023-04-25,GOOG,0.9984705,0,0,0,0
2023-04-26,GOOG,1.03753,0,0,0,0
2023-04-27,GOOG,0.9986158,0,0,0,0
2023-04-28,GOOG,0.99528736,0,0,0,0
2023-05-01,GOOG,0.9839384,0,0,0,0
2023-05-02,GOOG,1.001321,0,0,0,0
2023-05-03,GOOG,0.99142474,0,0,0,0
2023-05-04,GOOG,1.0095524,0,0,0,0
2023-05-05,GOOG,1.0190651,0,0,0,0
2023-05-08,GOOG,0.99722844,0,0,0,0
2023-05-09,GOOG,1.0402075,0,0,0,1
2023-05-10,GOOG,1.0411472,0,0,0,0
2023-05-11,GOOG,1.0087254,0,0,0,0
2023-05-12,GOOG,0.9918589,0,0,0,0
2023-05-15,GOOG,1.0267612,0,0,0,1
2023-05-16,GOOG,1.0115747,0,0,0,0
2023-05-17,GOOG,1.0167928,0,0,0,0
2023-05-18,GOOG,0.9978142,0,0,0,0
2023-05-19,GOOG,1.0212576,0,0,0,0
2023-05-22,GOOG,0.9795027,0,0,0,0
2023-05-23,GOOG,0.9866169,0,0,0,0
2023-05-24,GOOG,1.0222788,0,0,0,0
2023-05-25,GOOG,1.0086852,0,0,0,0
2023-05-26,GOOG,0.9937017,0,0,0,0
2023-05-30,GOOG,0.98981065,0,0,0,0
2023-05-31,GOOG,1.0081058,0,0,0,0
2023-06-01,GOOG,1.0069149,0,0,0,0
2023-06-02,GOOG,1.0111793,0,0,0,0
2023-06-05,GOOG,1.0101082,0,0,0,0
2023-06-06,GOOG,0.96114457,0,0,0,0
2023-06-07,GOOG,0.99780375,0,0,0,0
2023-06-08,GOOG,1.0016304,0,0,0,0
2023-06-09,GOOG,1.0120453,0,0,0,0
2023-06-12,GOOG,1.0006434,0,0,0,0
2023-06-13,GOOG,0.9995981,0,0,0,0
2023-06-14,GOOG,1.0113362,0,0,0,0
2023-06-15,GOOG,0.9862469,0,0,0,0
2023-06-16,GOOG,0.9983073,0,0,0,0
2023-06-20,GOOG,0.97908765,0,0,0,0
2023-06-21,GOOG,1.021524,0,0,0,0
2023-06-22,GOOG,0.99313796,0,0,0,0
2023-06-23,GOOG,0.96805394,0,0,0,0
2023-06-26,GOOG,0.9993283,0,0,0,0
2023-06-27,GOOG,1.0173935,0,0,0,0
2023-06-28,GOOG,0.99116284,0,0,0,0
2023-06-29,GOOG,1.0079993,0,0,0,0
2023-06-30,GOOG,0.9966107,0,0,0,0
2023-07-03,GOOG,1.01717,0,0,0,0
2023-07-05,GOOG,0.98613715,0,0,0,0
2023-07-06,GOOG,0.99346733,0,0,0,0
2023-07-07,GOOG,0.9727818,0,0,0,0
2023-07-10,GOOG,1.0071875,0,0,0,0
2023-07-11,GOOG,1.0162263,0,1,0,0
2023-07-12,GOOG,1.0435545,0,0,0,0
2023-07-13,GOOG,1.0069695,0,0,0,0
2023-07-14,GOOG,0.9949085,0,0,0,0
2023-07-17,GOOG,0.9921638,0,0,0,0
2023-07-18,GOOG,0.9895229,0,0,0,0
2023-07-19,GOOG,0.9735299,0,0,0,0
2023-07-20,GOOG,1.0065255,0,0,0,0
2023-07-21,GOOG,1.0130496,0,0,0,0
2023-07-24,GOOG,1.0074663,1,1,0,0
2023-07-25,GOOG,1.0559492,0,0,0,0
2023-07-26,GOOG,1.0016196,0,1,0,0
2023-07-27,GOOG,1.024178,0,0,0,0
2023-07-28,GOOG,1.0007519,0,0,0,0
2023-07-31,GOOG,0.99083465,0,0,0,0
2023-08-01,GOOG,0.97535825,0,0,0,0
2023-08-02,GOOG,1.0010107,0,0,0,0
2023-08-03,GOOG,0.99821377,0,0,0,0
2023-08-04,GOOG,1.026451,0,0,0,0
2023-08-07,GOOG,0.999242,0,0,0,0
2023-08-08,GOOG,0.9871814,0,0,0,0
2023-08-09,GOOG,1.0004611,0,0,0,0
2023-08-10,GOOG,0.99969274,0,0,0,0
2023-08-11,GOOG,1.0127527,0,0,0,0
2023-08-14,GOOG,0.9881666,0,0,0,0
2023-08-15,GOOG,0.99109536,0,0,0,0
2023-08-16,GOOG,1.0104563,0,0,0,0
2023-08-17,GOOG,0.98198676,0,0,0,0
2023-08-18,GOOG,1.0064007,0,0,0,0
2023-08-21,GOOG,1.0058947,0,0,0,0
2023-08-22,GOOG,1.0271417,0,0,0,0
2023-08-23,GOOG,0.9790556,0,0,0,0
2023-08-24,GOOG,1.0020703,0,0,0,0
2023-08-25,GOOG,1.0084168,0,0,0,0
2023-08-28,GOOG,1.028075,0,0,0,0
2023-08-29,GOOG,1.010628,0,0,0,0
2023-08-30,GOOG,1.0030673,0,0,0,0
2023-08-31,GOOG,0.99599564,0,0,0,0
2023-09-01,GOOG,0.99934214,0,0,0,0
2023-09-05,GOOG,0.9901982,0,0,0,0
2023-09-06,GOOG,1.0061313,0,0,0,0
2023-09-07,GOOG,1.0073422,0,0,0,0
2023-09-08,GOOG,1.0039358,0,0,0,0
2023-09-11,GOOG,0.98787576,0,0,0,0
2023-09-12,GOOG,1.0105091,0,0,0,0
2023-09-13,GOOG,1.0108364,0,0,0,0
2023-09-14,GOOG,0.99503565,0,0,0,0
2023-09-15,GOOG,1.0047723,0,0,0,0
