tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,HD,1.035661,0,0,0,0
2023-02-02,HD,0.9756025,0,0,0,0
2023-02-03,HD,0.9932731,0,0,0,0
2023-02-06,HD,0.98763937,0,0,0,0
2023-02-07,HD,0.9864391,0,0,0,0
2023-02-08,HD,0.9836652,0,0,0,0
2023-02-09,HD,1.0031374,0,0,0,0
2023-02-10,HD,1.0220826,0,0,0,0
2023-02-13,HD,0.98423636,0,0,0,0
2023-02-14,HD,1.0070975,0,0,0,0
2023-02-15,HD,1.0017147,0,0,0,0
2023-02-16,HD,0.9897586,0,0,1,0
2023-02-17,HD,0.9293913,0,0,0,0
2023-02-21,HD,1.0027074,0,0,0,0
2023-02-22,HD,1.0101585,0,0,0,0
2023-02-23,HD,0.9911463,0,0,0,0
2023-02-24,HD,0.99780893,0,0,0,0
2023-02-27,HD,1.0017904,0,0,0,0
2023-02-28,HD,0.98060983,0,0,0,0
2023-03-01,HD,1.0076686,0,0,0,0
2023-03-02,HD,1.0185313,0,0,0,0
2023-03-03,HD,0.99919575,0,0,0,0
2023-03-06,HD,0.9748164,0,0,0,0
2023-03-07,HD,1.0099788,0,0,0,0
2023-03-08,HD,0.9880271,0,0,0,0
2023-03-09,HD,0.99413204,0,0,0,0
2023-03-10,HD,1.0007336,0,0,0,0
2023-03-13,HD,0.9966842,0,0,0,0
2023-03-14,HD,1.0084044,0,0,0,0
2023-03-15,HD,0.99569404,0,0,0,0
2023-03-16,HD,1.0057895,0,0,0,0
2023-03-17,HD,1.0030165,0,0,0,0
2023-03-20,HD,1.0005877,0,0,0,0
2023-03-21,HD,0.97643644,0,0,0,0
2023-03-22,HD,1.0046,0,0,0,0
2023-03-23,HD,0.9968653,0,0,0,0
2023-03-24,HD,0.9938167,0,0,0,0
2023-03-27,HD,0.99840015,0,0,0,0
2023-03-28,HD,1.009045,0,0,0,0
2023-03-29,HD,1.0070579,0,0,0,0
2023-03-30,HD,1.0342025,0,0,0,0
2023-03-31,HD,1.0088439,0,0,0,0
2023-04-03,HD,0.9906963,0,0,0,0
2023-04-04,HD,0.97867507,0,0,0,0
2023-04-05,HD,0.99979204,0,0,0,0
2023-04-06,HD,1.0088704,0,0,0,0
2023-04-10,HD,1.0089293,0,0,0,0
2023-04-11,HD,0.98866475,0,0,0,0
2023-04-12,HD,1.0058874,0,0,0,0
2023-04-13,HD,1.000137,0,0,0,0
2023-04-14,HD,1.010986,0,0,0,0
2023-04-17,HD,1.0120176,0,0,0,0
2023-04-18,HD,0.9931761,0,0,0,0
2023-04-19,HD,1.0055909,0,0,0,0
2023-04-20,HD,1.0049235,0,0,0,0
2023-04-21,HD,1.0053326,0,0,0,0
2023-04-24,HD,0.98239607,0,0,0,0
2023-04-25,HD,0.9721258,0,0,0,0
2023-04-26,HD,1.0203421,0,0,0,0
2023-04-27,HD,1.0224885,0,0,0,0
2023-04-28,HD,0.99055046,0,0,0,0
2023-05-01,HD,0.98851186,0,0,0,0
2023-05-02,HD,0.9959223,0,0,0,0
2023-05-03,HD,0.9749898,0,0,0,0
2023-05-04,HD,1.0135431,0,0,0,0
2023-05-05,HD,0.99416494,0,0,0,0
2023-05-08,HD,1.0092034,0,0,0,0
2023-05-09,HD,0.99466604,0,0,0,0
2023-05-10,HD,0.99536365,0,0,0,0
2023-05-11,HD,1.0096632,0,0,0,0
2023-05-12,HD,0.9933557,0,0,0,0
2023-05-15,HD,0.9784777,0,0,0,0
2023-05-16,HD,1.0356321,0,0,0,0
2023-05-17,HD,1.0094737,0,0,0,0
2023-05-18,HD,0.98549926,0,0,0,0
2023-05-19,HD,0.9992439,0,0,0,0
2023-05-22,HD,1.014725,0,0,0,0
2023-05-23,HD,0.9869805,0,0,0,0
2023-05-24,HD,0.98505676,0,0,0,0
2023-05-25,HD,1.0212029,0,0,0,0
2023-05-26,HD,0.99853146,0,0,0,0
2023-05-30,HD,0.97637016,0,0,0,0
2023-05-31,HD,1.0174283,0,0,0,0
2023-06-01,HD,1.0261797,0,0,0,0
2023-06-02,HD,0.9904035,0,0,0,0
2023-06-05,HD,1.0098943,0,0,0,0
2023-06-06,HD,1.0192568,0,0,0,0
2023-06-07,HD,0.9979781,0,0,0,0
2023-06-08,HD,0.9875784,0,0,0,0
2023-06-09,HD,1.0118043,0,0,0,0
2023-06-12,HD,0.9974074,0,0,0,0
2023-06-13,HD,0.9987671,0,0,0,0
2023-06-14,HD,1.0077075,0,0,0,0
2023-06-15,HD,0.9945699,0,0,0,0
2023-06-16,HD,1.003429,0,0,0,0
2023-06-20,HD,0.99764436,0,0,0,0
2023-06-21,HD,1.0015963,0,0,0,0
2023-06-22,HD,0.99877155,0,0,0,0
2023-06-23,HD,1.0235363,0,0,0,0
2023-06-26,HD,1.0190003,0,0,0,0
2023-06-27,HD,0.9769555,0,0,0,0
2023-06-28,HD,1.004274,0,0,0,0
2023-06-29,HD,1.0091612,0,0,0,0
2023-06-30,HD,0.998004,0,0,0,0
2023-07-03,HD,1.0025159,0,0,0,0
2023-07-05,HD,0.9717504,0,0,0,0
2023-07-06,HD,1.0026158,0,0,0,0
2023-07-07,HD,1.0246689,0,0,0,0
2023-07-10,HD,1.0108933,0,0,0,0
2023-07-11,HD,1.0123062,0,0,0,0
2023-07-12,HD,0.9908037,0,0,0,0
2023-07-13,HD,1.0060395,0,0,0,0
2023-07-14,HD,0.9985781,0,0,0,0
2023-07-17,HD,1.0022466,0,0,0,0
2023-07-18,HD,1.0085869,0,0,0,0
2023-07-19,HD,0.99877936,0,0,0,0
2023-07-20,HD,1.0043247,0,0,0,0
2023-07-21,HD,1.0144788,0,0,0,0
2023-07-24,HD,1.0000615,0,0,0,0
2023-07-25,HD,1.0137177,0,0,0,0
2023-07-26,HD,1.0003642,0,0,0,0
2023-07-27,HD,1.0050347,0,0,0,0
2023-07-28,HD,1.0074538,0,0,0,0
2023-07-31,HD,0.9946981,0,0,0,0
2023-08-01,HD,0.9892493,0,0,0,0
2023-08-02,HD,1.0041095,0,0,0,0
2023-08-03,HD,0.98963165,0,0,0,0
2023-08-04,HD,1.008394,0,0,0,0
2023-08-07,HD,0.9958683,0,0,0,0
2023-08-08,HD,1.0012202,0,0,0,0
2023-08-09,HD,1.0036259,0,0,0,0
2023-08-10,HD,1.0051912,0,0,0,0
2023-08-11,HD,0.99649674,0,0,0,0
2023-08-14,HD,1.0066373,0,0,0,0
2023-08-15,HD,1.0026796,0,0,0,0
2023-08-16,HD,0.98273426,0,0,0,0
2023-08-17,HD,1.0002749,0,0,0,0
2023-08-18,HD,0.9898892,0,0,0,0
2023-08-21,HD,1.001296,0,0,0,0
2023-08-22,HD,1.0049617,0,0,0,0
2023-08-23,HD,0.9892667,0,0,0,0
2023-08-24,HD,1.000837,0,0,0,0
2023-08-25,HD,1.0094469,0,0,0,0
2023-08-28,HD,1.010647,0,0,0,0
2023-08-29,HD,1.0102051,0,0,0,0
2023-08-30,HD,0.9990018,0,0,0,0
2023-08-31,HD,1.0084167,0,0,0,0
2023-09-01,HD,0.98408794,0,0,0,0
2023-09-05,HD,0.9945694,0,0,0,0
2023-09-06,HD,1.0074233,0,0,0,0
2023-09-07,HD,1.000883,0,0,0,0
2023-09-08,HD,0.9989657,0,0,0,0
2023-09-11,HD,0.99363524,0,0,0,0
2023-09-12,HD,0.9987742,0,0,0,0
2023-09-13,HD,1.0115072,0,0,0,0
2023-09-14,HD,0.97503257,0,0,0,0
2023-09-15,HD,0.9871189,0,0,0,0
2023-09-18,HD,0.9916472,0,0,0,0
2023-09-19,HD,0.9880804,0,0,0,0
2023-09-20,HD,0.98681104,0,0,0,0
2023-09-21,HD,0.9966423,0,0,0,0
2023-09-22,HD,1.0024858,0,0,0,0
2023-09-25,HD,0.9871122,0,0,0,0
2023-09-26,HD,0.9976201,0,0,0,0
2023-09-27,HD,1.0055331,0,0,0,0
2023-09-28,HD,0.9956178,0,0,0,0
2023-09-29,HD,0.9922887,0,0,0,0
2023-10-02,HD,0.97368526,0,0,0,0
2023-10-03,HD,1.0015414,0,0,0,0
2023-10-04,HD,0.9976401,0,0,0,0
2023-10-05,HD,1.0038396,0,0,0,0
2023-10-06,HD,1.0086741,0,0,0,0
2023-10-09,HD,1.0130688,0,0,0,0
2023-10-10,HD,0.99608976,0,0,0,0
2023-10-11,HD,0.9831237,0,0,0,0
2023-10-12,HD,0.9962461,0,0,0,0
2023-10-13,HD,1.0185324,0,0,0,0
2023-10-16,HD,0.9953251,0,0,0,0
2023-10-17,HD,0.9807393,0,0,0,0
2023-10-18,HD,0.9880444,0,0,0,0
2023-10-19,HD,0.99874485,0,0,0,0
2023-10-20,HD,0.99532133,0,0,0,0
2023-10-23,HD,0.9938261,0,0,0,0
2023-10-24,HD,0.99159914,0,0,0,0
2023-10-25,HD,0.9895704,0,0,0,0
2023-10-26,HD,0.99446046,0,0,0,0
2023-10-27,HD,1.0181582,0,0,0,0
2023-10-30,HD,1.011404,0,0,0,0
2023-10-31,HD,1.0068144,0,0,0,0
2023-11-01,HD,1.0275618,0,0,0,0
2023-11-02,HD,1.0036668,0,0,0,0
2023-11-03,HD,0.99648196,0,0,0,0
2023-11-06,HD,1.0006788,0,0,0,0
2023-11-07,HD,1.0039015,0,0,0,0
2023-11-08,HD,0.9727966,0,0,0,0
2023-11-09,HD,1.0129226,0,0,0,0
2023-11-10,HD,0.98792833,1,1,0,0
2023-11-13,HD,1.0540144,0,0,0,0
2023-11-14,HD,1.0150182,0,0,0,0
2023-11-15,HD,0.99432176,0,0,0,0
2023-11-16,HD,1.0027086,0,0,0,0
2023-11-17,HD,1.0029941,0,0,0,0
2023-11-20,HD,0.99075246,0,0,0,0
2023-11-21,HD,1.0126418,0,0,0,0
2023-11-22,HD,1.0048512,0,0,0,0
2023-11-24,HD,1.0007081,0,0,0,0
2023-11-27,HD,1.0077833,0,0,0,0
2023-11-28,HD,0.9992611,0,0,0,0
2023-11-29,HD,1.0079416,0,0,0,0
2023-11-30,HD,1.0195541,0,0,0,0
2023-12-01,HD,1.0137662,0,0,0,0
2023-12-04,HD,0.99839526,0,0,0,0
2023-12-05,HD,1.008068,0,0,0,0
2023-12-06,HD,1.0001839,0,0,0,0
2023-12-07,HD,1.0009197,0,0,0,0
2023-12-08,HD,1.0148865,0,0,0,0
2023-12-11,HD,1.005644,0,0,0,0
2023-12-12,HD,1.0306122,0,0,0,0
2023-12-13,HD,1.0244905,0,0,0,0
2023-12-14,HD,1.0062249,0,0,0,0
2023-12-15,HD,0.99098873,0,0,0,0
2023-12-18,HD,1.0035918,0,0,0,0
2023-12-19,HD,0.9903143,0,0,0,0
2023-12-20,HD,1.0008891,0,0,0,0
2023-12-21,HD,0.99891114,0,0,0,0
2023-12-22,HD,1.0020654,0,0,0,0
2023-12-26,HD,0.9977671,0,0,0,0
2023-12-27,HD,0.996643,0,0,0,0
2023-12-28,HD,0.99766815,0,0,0,0
2023-12-29,HD,0.9957582,0,0,0,0
