tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,HON,1.0031927,0,0,0,0
2023-02-02,HON,0.9773845,0,0,0,0
2023-02-03,HON,1.0066603,0,0,0,0
2023-02-06,HON,1.0070084,0,0,0,0
2023-02-07,HON,0.9841826,0,0,0,0
2023-02-08,HON,0.98516464,0,0,0,0
2023-02-09,HON,1.0062746,0,0,0,0
2023-02-10,HON,1.014466,0,0,0,0
2023-02-13,HON,0.98834646,0,0,0,0
2023-02-14,HON,1.0035322,0,0,0,0
2023-02-15,HON,0.9883497,0,0,0,0
2023-02-16,HON,1.0103331,0,0,0,0
2023-02-17,HON,0.9768644,0,0,0,0
2023-02-21,HON,0.99354535,0,0,0,0
2023-02-22,HON,1.0028797,0,0,0,0
2023-02-23,HON,0.9847195,0,0,0,0
2023-02-24,HON,1.002135,0,0,0,0
2023-02-27,HON,0.99495965,0,0,0,0
2023-02-28,HON,1.0073117,0,0,0,0
2023-03-01,HON,1.0081397,0,0,0,0
2023-03-02,HON,1.0121882,0,0,0,0
2023-03-03,HON,1.0011177,0,0,0,0
2023-03-06,HON,0.9927933,0,0,0,0
2023-03-07,HON,0.9997444,0,0,0,0
2023-03-08,HON,0.9862454,0,0,0,0
2023-03-09,HON,1.002333,0,0,0,0
2023-03-10,HON,0.99881023,0,0,0,0
2023-03-13,HON,0.99932677,0,0,0,0
2023-03-14,HON,0.9748665,0,0,0,0
2023-03-15,HON,1.005422,0,0,0,0
2023-03-16,HON,0.97620827,0,0,0,0
2023-03-17,HON,1.0283796,0,0,0,0
2023-03-20,HON,1.006741,0,0,0,0
2023-03-21,HON,0.97907513,0,0,0,0
2023-03-22,HON,0.99871755,0,0,0,0
2023-03-23,HON,1.0066339,0,0,0,0
2023-03-24,HON,0.9990966,0,0,0,0
2023-03-27,HON,0.9996275,0,0,0,0
2023-03-28,HON,1.0061197,0,0,0,0
2023-03-29,HON,1.0002643,0,0,0,0
2023-03-30,HON,1.0105754,0,0,0,0
2023-03-31,HON,1.0113019,0,0,0,0
2023-04-03,HON,0.98789316,0,0,0,0
2023-04-04,HON,0.9920918,0,0,0,0
2023-04-05,HON,1.0054374,0,0,0,0
2023-04-06,HON,1.0064055,0,0,0,0
2023-04-10,HON,1.0026608,0,0,0,0
2023-04-11,HON,1.0054113,0,0,0,0
2023-04-12,HON,1.0138178,0,0,0,0
2023-04-13,HON,1.0033182,0,0,0,0
2023-04-14,HON,1.0066648,0,0,0,0
2023-04-17,HON,0.99529964,0,0,0,0
2023-04-18,HON,1.0044688,0,0,0,0
2023-04-19,HON,0.9946413,0,0,0,0
2023-04-20,HON,0.9965947,0,0,0,0
2023-04-21,HON,1.0035698,0,0,0,0
2023-04-24,HON,0.995833,0,0,0,0
2023-04-25,HON,0.9741783,0,0,0,0
2023-04-26,HON,1.0403876,0,0,0,0
2023-04-27,HON,1.0061929,0,0,0,0
2023-04-28,HON,1.0032027,0,0,0,0
2023-05-01,HON,0.9889265,0,0,0,0
2023-05-02,HON,0.99848694,0,0,0,0
2023-05-03,HON,0.9912103,0,0,0,0
2023-05-04,HON,1.011212,0,0,0,0
2023-05-05,HON,0.99259144,0,0,0,0
2023-05-08,HON,1.000914,0,0,0,0
2023-05-09,HON,1.0010654,0,0,0,0
2023-05-10,HON,0.988131,0,0,0,0
2023-05-11,HON,0.9981441,0,0,0,0
2023-05-12,HON,1.0035636,0,0,0,0
2023-05-15,HON,0.9861047,0,0,0,0
2023-05-16,HON,1.0230155,0,0,0,0
2023-05-17,HON,1.0113764,0,0,0,0
2023-05-18,HON,0.99546045,0,0,0,0
2023-05-19,HON,0.99787164,0,0,0,0
2023-05-22,HON,0.9900473,0,0,0,0
2023-05-23,HON,0.9840489,0,0,0,0
2023-05-24,HON,1.002137,0,0,0,0
2023-05-25,HON,1.0076976,0,0,0,0
2023-05-26,HON,1.0041289,0,0,0,0
2023-05-30,HON,0.9848369,0,0,0,0
2023-05-31,HON,1.0117954,0,0,0,0
2023-06-01,HON,1.0257403,0,0,0,0
2023-06-02,HON,0.99160165,0,0,0,0
2023-06-05,HON,0.99573994,0,0,0,0
2023-06-06,HON,1.0104411,0,0,0,0
2023-06-07,HON,0.99879026,0,0,0,0
2023-06-08,HON,0.99868786,0,0,0,0
2023-06-09,HON,1.0030825,0,0,0,0
2023-06-12,HON,1.0131487,0,0,0,0
2023-06-13,HON,0.9970663,0,0,0,0
2023-06-14,HON,1.0160083,0,0,0,0
2023-06-15,HON,0.9962696,0,0,0,0
2023-06-16,HON,0.98733807,0,0,0,0
2023-06-20,HON,1.006986,0,0,0,0
2023-06-21,HON,0.9943013,0,0,0,0
2023-06-22,HON,0.997209,0,0,0,0
2023-06-23,HON,1.0124445,0,0,0,0
2023-06-26,HON,1.0037516,0,0,0,0
2023-06-27,HON,0.99586904,0,0,0,0
2023-06-28,HON,1.0196049,0,0,0,0
2023-06-29,HON,1.0049887,0,0,0,0
2023-06-30,HON,1.0038553,0,0,0,0
2023-07-03,HON,0.9910225,0,0,0,0
2023-07-05,HON,0.98827696,0,0,0,0
2023-07-06,HON,0.99632365,0,0,0,0
2023-07-07,HON,1.0220407,0,0,0,0
2023-07-10,HON,1.0047655,0,0,0,0
2023-07-11,HON,0.99899405,0,0,0,0
2023-07-12,HON,1.0009111,0,0,0,0
2023-07-13,HON,0.9876862,0,0,0,0
2023-07-14,HON,1.0098476,0,0,0,0
2023-07-17,HON,0.98597306,0,0,0,0
2023-07-18,HON,0.99961025,0,0,0,0
2023-07-19,HON,1.0135984,0,0,0,0
2023-07-20,HON,1.0030775,0,0,0,0
2023-07-21,HON,1.0034516,0,0,0,0
2023-07-24,HON,1.0017197,0,0,0,0
2023-07-25,HON,0.9932278,0,0,1,0
2023-07-26,HON,0.9431,0,0,0,0
2023-07-27,HON,0.9937886,0,0,0,0
2023-07-28,HON,0.99456936,0,0,0,0
2023-07-31,HON,0.9966517,0,0,0,0
2023-08-01,HON,0.99700224,0,0,0,0
2023-08-02,HON,0.9876101,0,0,0,0
2023-08-03,HON,0.99317646,0,0,0,0
2023-08-04,HON,1.002061,0,0,0,0
2023-08-07,HON,0.98971516,0,0,0,0
2023-08-08,HON,1.0084733,0,0,0,0
2023-08-09,HON,1.0028161,0,0,0,0
2023-08-10,HON,1.0102257,0,0,0,0
2023-08-11,HON,0.9939162,0,0,0,0
2023-08-14,HON,0.9909767,0,0,0,0
2023-08-15,HON,0.9930245,0,0,0,0
2023-08-16,HON,0.9972652,0,0,0,0
2023-08-17,HON,1.0032263,0,0,0,0
2023-08-18,HON,1.001983,0,0,0,0
2023-08-21,HON,0.9949718,0,0,0,0
2023-08-22,HON,1.0057524,0,0,0,0
2023-08-23,HON,0.98973703,0,0,0,0
2023-08-24,HON,1.0061568,0,0,0,0
2023-08-25,HON,1.008481,0,0,0,0
2023-08-28,HON,1.008729,0,0,0,0
2023-08-29,HON,0.99493456,0,0,0,0
2023-08-30,HON,0.996712,0,0,0,0
2023-08-31,HON,1.0023943,0,0,0,0
2023-09-01,HON,0.98572105,0,0,0,0
2023-09-05,HON,0.9935918,0,0,0,0
2023-09-06,HON,0.99788636,0,0,0,0
2023-09-07,HON,1.0021726,0,0,0,0
2023-09-08,HON,1.0091588,0,0,0,0
2023-09-11,HON,1.0161109,0,0,0,0
2023-09-12,HON,1.0125785,0,0,0,0
2023-09-13,HON,1.0102825,0,0,0,0
2023-09-14,HON,0.9973134,0,0,0,0
2023-09-15,HON,1.0073562,0,0,0,0
2023-09-18,HON,1.0045768,0,0,0,0
2023-09-19,HON,0.99534166,0,0,0,0
2023-09-20,HON,0.98451966,0,0,0,0
2023-09-21,HON,0.9913807,0,0,0,0
2023-09-22,HON,1.0109601,0,0,0,0
2023-09-25,HON,0.97930783,0,0,0,0
2023-09-26,HON,0.9999467,0,0,0,0
2023-09-27,HON,0.9959017,0,0,0,0
2023-09-28,HON,0.98733366,0,0,0,0
2023-09-29,HON,0.98847026,0,0,0,0
2023-10-02,HON,0.99195,0,0,0,0
2023-10-03,HON,1.007508,0,0,0,0
2023-10-04,HON,0.986411,0,0,0,0
2023-10-05,HON,1.025775,0,0,0,0
2023-10-06,HON,1.0100726,0,0,0,0
2023-10-09,HON,0.99903494,0,0,0,0
2023-10-10,HON,1.0056884,0,0,0,0
2023-10-11,HON,0.9815369,0,0,0,0
2023-10-12,HON,0.99793404,0,0,0,0
2023-10-13,HON,1.0145456,0,0,0,0
2023-10-16,HON,1.0004834,0,0,0,0
2023-10-17,HON,0.98470366,0,0,0,0
2023-10-18,HON,0.99345946,0,0,0,0
2023-10-19,HON,0.994788,0,0,0,0
2023-10-20,HON,0.99558794,0,0,0,0
2023-10-23,HON,1.0052072,0,0,0,0
2023-10-24,HON,0.9814283,0,0,0,0
2023-10-25,HON,0.98860127,0,0,0,0
