tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,KO,0.9828796,0,0,0,0
2023-02-02,KO,0.9925347,0,0,0,0
2023-02-03,KO,1.0056828,0,0,0,0
2023-02-06,KO,0.998338,0,0,0,0
2023-02-07,KO,0.9941736,0,0,0,0
2023-02-08,KO,0.99832547,0,0,0,0
2023-02-09,KO,1.0,0,0,0,0
2023-02-10,KO,1.0164374,0,0,0,0
2023-02-13,KO,0.98333335,0,0,0,0
2023-02-14,KO,1.0,0,0,0,0
2023-02-15,KO,0.9937909,0,0,0,0
2023-02-16,KO,1.0151975,0,0,0,0
2023-02-17,KO,0.99467736,0,0,0,0
2023-02-21,KO,1.00301,0,0,0,0
2023-02-22,KO,1.0018338,0,0,0,0
2023-02-23,KO,0.9958397,0,0,0,0
2023-02-24,KO,0.9996658,0,0,0,0
2023-02-27,KO,0.99481773,0,0,0,0
2023-02-28,KO,0.9890774,0,0,0,0
2023-03-01,KO,1.0146111,0,0,0,0
2023-03-02,KO,0.9953113,0,0,0,0
2023-03-03,KO,1.0154779,0,0,0,0
2023-03-06,KO,0.9942015,0,0,0,0
2023-03-07,KO,1.0005,0,0,0,0
2023-03-08,KO,0.99033976,0,0,0,0
2023-03-09,KO,0.9957955,0,0,0,0
2023-03-10,KO,1.0101335,0,0,0,0
2023-03-13,KO,1.0036782,0,0,0,0
2023-03-14,KO,1.0066633,0,0,0,0
2023-03-15,KO,1.0055027,0,0,0,0
2023-03-16,KO,0.99535656,0,0,0,0
2023-03-17,KO,1.0096633,0,0,0,0
2023-03-20,KO,0.99537957,0,0,0,0
2023-03-21,KO,0.99552387,0,0,0,0
2023-03-22,KO,0.99783504,0,0,0,0
2023-03-23,KO,1.0163553,0,0,0,0
2023-03-24,KO,1.0073892,0,0,0,0
2023-03-27,KO,1.001141,0,0,0,0
2023-03-28,KO,1.0071639,0,0,0,0
2023-03-29,KO,0.99983823,0,0,0,0
2023-03-30,KO,1.0029104,0,0,0,0
2023-03-31,KO,1.0059649,0,0,0,0
2023-04-03,KO,0.99695516,0,0,0,0
2023-04-04,KO,1.0094839,0,0,0,0
2023-04-05,KO,1.0006369,0,0,0,0
2023-04-06,KO,0.997613,0,0,0,0
2023-04-10,KO,0.99824536,0,0,0,0
2023-04-11,KO,1.0017577,0,0,0,0
2023-04-12,KO,1.0073377,0,0,0,0
2023-04-13,KO,0.99841636,0,0,0,0
2023-04-14,KO,1.0065029,0,0,0,0
2023-04-17,KO,1.0015758,0,0,0,0
2023-04-18,KO,1.001888,0,0,0,0
2023-04-19,KO,1.0043969,0,0,0,0
2023-04-20,KO,1.0014071,0,0,0,0
2023-04-21,KO,0.9984387,0,0,0,0
2023-04-24,KO,0.9984362,0,0,0,0
2023-04-25,KO,0.9953015,0,0,0,0
2023-04-26,KO,1.0020458,0,0,0,0
2023-04-27,KO,1.0073805,0,0,0,0
2023-04-28,KO,1.0023384,0,0,0,0
2023-05-01,KO,0.99548984,0,0,0,0
2023-05-02,KO,0.99437594,0,0,0,0
2023-05-03,KO,1.0010997,0,0,0,0
2023-05-04,KO,1.004708,0,0,0,0
2023-05-05,KO,0.99843806,0,0,0,0
2023-05-08,KO,0.9917084,0,0,0,0
2023-05-09,KO,1.0017353,0,0,0,0
2023-05-10,KO,1.0056692,0,0,0,0
2023-05-11,KO,1.0039148,0,0,0,0
2023-05-12,KO,0.9973483,0,0,0,0
2023-05-15,KO,0.98873943,0,0,0,0
2023-05-16,KO,0.9988928,0,0,0,0
2023-05-17,KO,0.9944576,0,0,0,0
2023-05-18,KO,1.0004777,0,0,0,0
2023-05-19,KO,0.9789909,0,0,0,0
2023-05-22,KO,0.99821174,0,0,0,0
2023-05-23,KO,0.9915309,0,0,0,0
2023-05-24,KO,0.9922798,0,0,0,0
2023-05-25,KO,0.997517,0,0,0,0
2023-05-26,KO,0.9920345,0,0,0,0
2023-05-30,KO,0.9979927,0,0,0,0
2023-05-31,KO,1.0056989,0,0,0,0
2023-06-01,KO,1.0193332,0,0,0,0
2023-06-02,KO,0.99329627,0,0,0,0
2023-06-05,KO,0.99275726,0,0,0,0
2023-06-06,KO,0.9985077,0,0,0,0
2023-06-07,KO,1.0024909,0,0,0,0
2023-06-08,KO,1.0016564,0,0,0,0
2023-06-09,KO,0.99570036,0,0,0,0
2023-06-12,KO,1.0039861,0,0,0,0
2023-06-13,KO,1.0067823,0,0,0,0
2023-06-14,KO,1.0137417,0,0,0,0
2023-06-15,KO,1.0071859,0,0,0,0
2023-06-16,KO,0.9933517,0,0,0,0
2023-06-20,KO,1.0027751,0,0,0,0
2023-06-21,KO,1.0068371,0,0,0,0
2023-06-22,KO,0.9894907,0,0,0,0
2023-06-23,KO,1.0003268,0,0,0,0
2023-06-26,KO,0.9978766,0,0,0,0
2023-06-27,KO,0.99066955,0,0,0,0
2023-06-28,KO,0.99173826,0,0,0,0
2023-06-29,KO,1.0033321,0,0,0,0
2023-06-30,KO,1.0059781,0,0,0,0
2023-07-03,KO,1.007428,0,0,0,0
2023-07-05,KO,0.99229896,0,0,0,0
2023-07-06,KO,0.9867899,0,0,0,0
2023-07-07,KO,0.9924699,0,0,0,0
2023-07-10,KO,1.0035406,0,0,0,0
2023-07-11,KO,1.0053763,0,0,0,0
2023-07-12,KO,1.0085227,0,0,0,0
2023-07-13,KO,1.0091136,0,0,0,0
2023-07-14,KO,0.99852216,0,0,0,0
2023-07-17,KO,0.9960532,0,0,0,0
2023-07-18,KO,1.0176655,0,0,0,0
2023-07-19,KO,1.0121675,0,0,0,0
2023-07-20,KO,1.0008014,0,0,0,0
2023-07-21,KO,1.0003202,0,0,0,0
2023-07-24,KO,0.9966379,0,0,0,0
2023-07-25,KO,1.0128514,0,0,0,0
2023-07-26,KO,0.99032515,0,0,0,0
2023-07-27,KO,1.0006406,0,0,0,0
2023-07-28,KO,0.99119717,0,0,0,0
2023-07-31,KO,0.9974163,0,0,0,0
2023-08-01,KO,1.003076,0,0,0,0
2023-08-02,KO,0.9948353,0,0,0,0
2023-08-03,KO,0.98491246,0,0,0,0
2023-08-04,KO,1.0079064,0,0,0,0
2023-08-07,KO,0.99558747,0,0,0,0
2023-08-08,KO,1.0022981,0,0,0,0
2023-08-09,KO,0.9977071,0,0,0,0
2023-08-10,KO,1.0041038,0,0,0,0
2023-08-11,KO,0.9952591,0,0,0,0
2023-08-14,KO,0.99326545,0,0,0,0
2023-08-15,KO,1.0001653,0,0,0,0
2023-08-16,KO,1.0021495,0,0,0,0
2023-08-17,KO,1.0056096,0,0,0,0
2023-08-18,KO,0.99146837,0,0,0,0
2023-08-21,KO,0.9938773,0,0,0,0
2023-08-22,KO,1.0034964,0,0,0,0
2023-08-23,KO,0.9973454,0,0,0,0
2023-08-24,KO,1.0046581,0,0,0,0
2023-08-25,KO,1.0028151,0,0,0,0
2023-08-28,KO,0.9990092,0,0,0,0
2023-08-29,KO,0.9995042,0,0,0,0
2023-08-30,KO,0.9894162,0,0,0,0
2023-08-31,KO,0.9913087,0,0,0,0
2023-09-01,KO,0.9917383,0,0,0,0
2023-09-05,KO,0.9993199,0,0,0,0
2023-09-06,KO,0.99234444,0,0,0,0
2023-09-07,KO,1.0,0,0,0,0
2023-09-08,KO,1.0094291,0,0,0,0
2023-09-11,KO,0.9901495,0,0,0,0
2023-09-12,KO,1.0024014,0,0,0,0
2023-09-13,KO,1.0082788,0,0,0,0
2023-09-14,KO,0.99110496,0,0,0,0
2023-09-15,KO,1.0062134,0,0,0,0
2023-09-18,KO,0.9979417,0,0,0,0
2023-09-19,KO,1.0044689,0,0,0,0
2023-09-20,KO,0.98459965,0,0,0,0
2023-09-21,KO,1.0010427,0,0,0,0
2023-09-22,KO,0.9895833,0,0,0,0
2023-09-25,KO,0.99175435,0,0,0,0
2023-09-26,KO,0.98973995,0,0,0,0
2023-09-27,KO,0.9974978,0,0,0,0
2023-09-28,KO,1.003046,0,0,0,0
2023-09-29,KO,0.99106824,0,0,0,0
2023-10-02,KO,0.9891853,0,0,0,0
2023-10-03,KO,1.0029155,0,0,0,0
2023-10-04,KO,0.9516714,0,0,0,0
2023-10-05,KO,1.0145094,0,0,0,0
2023-10-06,KO,0.9951072,0,0,0,0
2023-10-09,KO,1.0217474,0,0,0,0
2023-10-10,KO,0.9940774,0,0,0,0
2023-10-11,KO,0.9832434,0,0,0,0
2023-10-12,KO,1.0015148,0,0,0,0
2023-10-13,KO,1.0102098,0,0,0,0
2023-10-16,KO,1.0119784,0,0,0,0
2023-10-17,KO,0.9996301,0,0,0,0
2023-10-18,KO,1.0055504,0,0,0,0
2023-10-19,KO,1.0040479,0,0,0,0
2023-10-20,KO,0.99102074,0,0,0,0
2023-10-23,KO,1.0288461,0,0,0,0
2023-10-24,KO,1.0086269,0,0,0,0
2023-10-25,KO,0.99394155,0,0,0,0
2023-10-26,KO,0.9903192,0,0,0,0
2023-10-27,KO,1.0164735,0,0,0,0
2023-10-30,KO,1.0060552,0,0,0,0
2023-10-31,KO,0.9991149,0,0,0,0
2023-11-01,KO,1.0115167,0,0,0,0
2023-11-02,KO,0.99386925,0,0,0,0
2023-11-03,KO,1.0040536,0,0,0,0
