tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,LOW,1.0374601,0,0,0,0
2023-02-02,LOW,0.97476983,0,0,0,0
2023-02-03,LOW,0.999537,0,0,0,0
2023-02-06,LOW,0.994719,0,0,0,0
2023-02-07,LOW,0.9908256,0,0,0,0
2023-02-08,LOW,0.9806355,0,0,0,0
2023-02-09,LOW,1.000671,0,0,0,0
2023-02-10,LOW,1.0256728,0,0,0,0
2023-02-13,LOW,0.9982255,0,0,0,0
2023-02-14,LOW,1.0059413,0,0,0,0
2023-02-15,LOW,0.9952564,0,0,0,0
2023-02-16,LOW,0.9941124,0,0,1,0
2023-02-17,LOW,0.94876623,0,0,0,0
2023-02-21,LOW,1.0038643,0,0,0,0
2023-02-22,LOW,0.99792737,0,0,0,0
2023-02-23,LOW,0.9966864,0,0,0,0
2023-02-24,LOW,1.013397,0,0,0,0
2023-02-27,LOW,1.0073932,0,0,1,0
2023-02-28,LOW,0.9443985,0,0,0,1
2023-03-01,LOW,1.0040656,0,0,0,0
2023-03-02,LOW,1.0237314,0,0,0,0
2023-03-03,LOW,1.0092125,0,0,0,0
2023-03-06,LOW,0.9793621,0,0,0,0
2023-03-07,LOW,1.0188946,0,0,0,0
2023-03-08,LOW,0.98960936,0,0,0,0
2023-03-09,LOW,0.9879929,0,0,0,1
2023-03-10,LOW,1.0045257,0,0,0,0
2023-03-13,LOW,0.9963553,0,0,0,0
2023-03-14,LOW,1.0089417,0,0,0,0
2023-03-15,LOW,1.0054383,0,0,0,0
2023-03-16,LOW,0.9884309,0,0,0,0
2023-03-17,LOW,0.99711186,0,0,0,0
2023-03-20,LOW,1.0,0,0,0,0
2023-03-21,LOW,0.9734743,0,0,0,0
2023-03-22,LOW,0.99018615,0,0,0,0
2023-03-23,LOW,0.99878776,0,0,0,0
2023-03-24,LOW,1.0056475,0,0,0,0
2023-03-27,LOW,0.9980055,0,0,0,0
2023-03-28,LOW,1.0094136,0,0,0,0
2023-03-29,LOW,1.0036992,0,0,0,0
2023-03-30,LOW,1.0379963,0,0,0,0
2023-03-31,LOW,1.0201031,0,0,0,0
2023-04-03,LOW,0.9951468,0,0,0,0
2023-04-04,LOW,0.9824137,0,0,0,0
2023-04-05,LOW,0.9956878,0,0,0,0
2023-04-06,LOW,1.0060935,0,0,0,0
2023-04-10,LOW,1.0078086,0,0,0,0
2023-04-11,LOW,0.99220234,0,0,0,0
2023-04-12,LOW,1.0085099,0,0,0,0
2023-04-13,LOW,1.0035241,0,0,0,0
2023-04-14,LOW,1.013948,0,0,0,0
2023-04-17,LOW,1.015122,0,0,0,0
2023-04-18,LOW,1.003508,0,0,0,0
2023-04-19,LOW,1.0044532,0,0,0,0
2023-04-20,LOW,1.0061022,0,0,0,0
2023-04-21,LOW,1.0,0,0,0,0
2023-04-24,LOW,0.98042774,0,0,0,0
2023-04-25,LOW,0.97532547,0,0,0,0
2023-04-26,LOW,1.0185758,0,0,0,0
2023-04-27,LOW,1.0161345,0,0,0,0
2023-04-28,LOW,1.0018765,0,0,0,0
2023-05-01,LOW,0.98919415,0,0,0,0
2023-05-02,LOW,0.9967956,0,0,0,0
2023-05-03,LOW,0.9877747,0,0,0,0
2023-05-04,LOW,1.014842,0,0,0,0
2023-05-05,LOW,0.9914484,0,0,0,0
2023-05-08,LOW,1.0150454,0,0,0,0
2023-05-09,LOW,0.9864813,0,0,0,0
2023-05-10,LOW,0.9950078,0,0,0,0
2023-05-11,LOW,0.9998031,0,0,0,0
2023-05-12,LOW,0.99158716,0,0,0,0
2023-05-15,LOW,0.9884395,0,0,0,0
2023-05-16,LOW,1.0400563,0,0,0,0
2023-05-17,LOW,1.0094594,0,0,0,0
2023-05-18,LOW,0.986183,0,0,0,0
2023-05-19,LOW,0.984874,0,0,0,0
2023-05-22,LOW,1.0172287,0,0,0,0
2023-05-23,LOW,0.985386,0,0,0,0
2023-05-24,LOW,0.98728085,0,0,0,0
2023-05-25,LOW,1.0272584,0,0,0,0
2023-05-26,LOW,0.99602926,0,0,0,0
2023-05-30,LOW,0.9777833,0,0,0,0
2023-05-31,LOW,1.0138716,0,0,0,0
2023-06-01,LOW,1.0288838,0,0,0,0
2023-06-02,LOW,0.9855584,0,0,0,0
2023-06-05,LOW,1.0018376,0,0,0,0
2023-06-06,LOW,1.0195502,0,0,0,0
2023-06-07,LOW,0.9964491,0,0,0,0
2023-06-08,LOW,0.9936329,0,0,0,0
2023-06-09,LOW,1.0202754,0,0,0,0
2023-06-12,LOW,1.018701,0,0,0,0
2023-06-13,LOW,0.98854375,0,0,0,0
2023-06-14,LOW,1.0189426,0,0,0,0
2023-06-15,LOW,0.9915498,0,0,0,0
2023-06-16,LOW,0.9925373,0,0,0,0
2023-06-20,LOW,0.99438405,0,0,0,0
2023-06-21,LOW,1.0026604,0,0,0,0
2023-06-22,LOW,1.001862,0,0,0,0
2023-06-23,LOW,1.0127312,0,0,0,0
2023-06-26,LOW,1.0256927,0,0,0,0
2023-06-27,LOW,0.99534816,0,0,0,0
2023-06-28,LOW,1.0013481,0,0,0,0
2023-06-29,LOW,1.0129253,0,0,0,0
2023-06-30,LOW,0.9950819,0,0,0,0
2023-07-03,LOW,1.0040073,0,0,0,0
2023-07-05,LOW,0.98195046,0,0,0,0
2023-07-06,LOW,1.0023484,0,0,0,0
2023-07-07,LOW,1.032351,0,0,0,0
2023-07-10,LOW,1.001353,0,0,0,0
2023-07-11,LOW,1.0116811,0,0,0,0
2023-07-12,LOW,0.98892766,0,0,0,0
2023-07-13,LOW,0.99651474,0,0,0,0
2023-07-14,LOW,0.9966338,0,0,0,0
2023-07-17,LOW,1.0085099,0,0,0,0
2023-07-18,LOW,1.0042626,0,0,0,0
2023-07-19,LOW,1.0004331,0,0,0,0
2023-07-20,LOW,1.0120784,0,0,0,0
2023-07-21,LOW,1.000941,0,0,0,0
2023-07-24,LOW,1.0044653,0,0,0,0
2023-07-25,LOW,1.0005558,0,0,0,0
2023-07-26,LOW,1.0035459,0,0,0,0
2023-07-27,LOW,1.0008088,0,0,0,0
2023-07-28,LOW,0.996512,0,0,0,0
2023-07-31,LOW,0.9918043,0,0,0,0
2023-08-01,LOW,0.98769104,0,0,0,0
2023-08-02,LOW,0.9879297,0,0,0,0
2023-08-03,LOW,0.9841213,0,0,0,0
2023-08-04,LOW,1.0008068,0,0,0,0
2023-08-07,LOW,0.98929685,0,0,0,0
2023-08-08,LOW,0.994251,0,0,0,0
2023-08-09,LOW,1.0055546,0,0,0,0
2023-08-10,LOW,1.0128134,0,0,0,0
2023-08-11,LOW,1.009835,0,0,0,0
2023-08-14,LOW,0.9909248,0,0,0,0
2023-08-15,LOW,0.9924499,0,0,0,0
2023-08-16,LOW,0.9819942,0,0,0,0
2023-08-17,LOW,1.0055008,0,0,0,0
2023-08-18,LOW,0.99197626,0,0,0,0
2023-08-21,LOW,1.0374558,0,0,0,0
2023-08-22,LOW,1.0064234,0,0,0,0
2023-08-23,LOW,0.98142517,0,0,0,0
2023-08-24,LOW,1.0004486,0,0,0,0
2023-08-25,LOW,0.99843097,0,0,0,0
2023-08-28,LOW,1.016568,0,0,0,0
2023-08-29,LOW,1.0172254,0,0,0,0
2023-08-30,LOW,1.0007381,0,0,0,0
2023-08-31,LOW,1.0088077,0,0,0,0
2023-09-01,LOW,0.9910542,0,0,0,0
2023-09-05,LOW,0.99644154,0,0,0,0
2023-09-06,LOW,1.0174208,0,0,0,0
2023-09-07,LOW,0.99006885,0,0,0,0
2023-09-08,LOW,1.0026807,0,0,0,0
2023-09-11,LOW,0.99366134,0,0,0,0
2023-09-12,LOW,0.99296993,0,0,0,0
2023-09-13,LOW,1.008959,0,0,0,0
2023-09-14,LOW,0.9530039,0,0,0,0
2023-09-15,LOW,0.98954636,0,0,0,0
2023-09-18,LOW,0.99898946,0,0,0,0
2023-09-19,LOW,0.988092,0,0,0,0
2023-09-20,LOW,0.9799916,0,0,0,0
2023-09-21,LOW,0.99943024,0,0,0,0
2023-09-22,LOW,1.0095491,0,0,0,0
2023-09-25,LOW,0.9813646,0,0,0,0
2023-09-26,LOW,0.99242365,0,0,0,0
2023-09-27,LOW,1.003962,0,0,0,0
2023-09-28,LOW,1.0002887,0,0,0,0
2023-09-29,LOW,0.9898962,0,0,0,0
2023-10-02,LOW,0.9728784,0,0,0,0
2023-10-03,LOW,0.9971522,0,0,0,0
2023-10-04,LOW,1.0010523,0,0,0,0
2023-10-05,LOW,0.9986986,0,0,0,0
2023-10-06,LOW,1.006014,0,0,0,0
2023-10-09,LOW,1.0100129,0,0,0,0
2023-10-10,LOW,1.0026634,0,0,0,0
2023-10-11,LOW,0.9685671,0,0,0,0
2023-10-12,LOW,0.9941595,0,0,0,0
2023-10-13,LOW,1.0127714,0,0,0,0
2023-10-16,LOW,0.99949557,0,0,0,0
2023-10-17,LOW,0.9763311,0,0,0,0
2023-10-18,LOW,0.9844929,0,0,0,0
2023-10-19,LOW,1.00021,0,0,0,0
2023-10-20,LOW,0.9888714,0,0,0,0
2023-10-23,LOW,0.9944468,0,0,0,0
2023-10-24,LOW,0.99919456,0,0,0,0
2023-10-25,LOW,0.9926917,0,0,0,0
2023-10-26,LOW,0.9939912,0,0,0,0
2023-10-27,LOW,1.0223287,0,0,0,0
2023-10-30,LOW,1.0151823,0,0,0,0
2023-10-31,LOW,1.0037781,0,0,0,0
2023-11-01,LOW,1.0158398,0,0,0,0
2023-11-02,LOW,1.0031905,0,0,0,0
2023-11-03,LOW,0.9963579,0,0,0,0
2023-11-06,LOW,1.001802,0,0,0,0
2023-11-07,LOW,1.0005139,0,0,0,0
2023-11-08,LOW,0.9784776,0,0,0,0
2023-11-09,LOW,1.0215759,0,0,0,0
2023-11-10,LOW,0.9960946,0,0,0,0
2023-11-13,LOW,1.0433347,0,0,0,0
2023-11-14,LOW,1.0129055,0,0,0,0
2023-11-15,LOW,0.98745424,0,0,0,0
2023-11-16,LOW,1.00702,0,0,0,0
2023-11-17,LOW,1.0036328,0,0,0,0
2023-11-20,LOW,0.9687928,0,0,0,0
2023-11-21,LOW,1.0021205,0,0,0,0
2023-11-22,LOW,1.0029727,0,0,0,0
2023-11-24,LOW,1.0037676,0,0,0,0
2023-11-27,LOW,1.001151,0,0,0,0
2023-11-28,LOW,0.9993502,0,0,0,0
2023-11-29,LOW,0.9945479,0,0,0,0
2023-11-30,LOW,1.0255997,0,0,0,0
2023-12-01,LOW,1.017801,0,0,0,0
2023-12-04,LOW,0.99214643,0,0,0,0
2023-12-05,LOW,1.0135003,0,0,0,0
2023-12-06,LOW,0.9980834,0,0,0,0
2023-12-07,LOW,0.99774367,0,0,0,0
2023-12-08,LOW,0.9928307,0,0,0,0
2023-12-11,LOW,1.0114374,0,0,0,0
2023-12-12,LOW,1.032343,0,1,0,0
2023-12-13,LOW,1.0468322,0,0,0,0
2023-12-14,LOW,1.0002217,0,0,0,0
2023-12-15,LOW,0.99321777,0,0,0,0
2023-12-18,LOW,1.0060698,0,0,0,0
2023-12-19,LOW,0.9848727,0,0,0,0
2023-12-20,LOW,1.0069367,0,0,0,0
2023-12-21,LOW,0.9975397,0,0,0,0
2023-12-22,LOW,0.9991929,0,0,0,0
2023-12-26,LOW,1.0003141,0,0,0,0
2023-12-27,LOW,1.0000448,0,0,0,0
2023-12-28,LOW,0.9984299,0,0,0,0
2023-12-29,LOW,0.9824758,0,0,0,0
