tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,META,1.232824,0,1,0,1
2023-02-02,META,0.98813367,0,1,0,1
2023-02-03,META,0.9974803,0,1,0,1
2023-02-06,META,1.0298828,0,1,0,1
2023-02-07,META,0.9572592,0,0,0,1
2023-02-08,META,0.96996135,0,0,0,1
2023-02-09,META,0.9788106,0,1,0,1
2023-02-10,META,1.0303187,0,1,0,1
2023-02-13,META,1.0002786,0,1,0,1
2023-02-14,META,0.98707384,0,0,0,1
2023-02-15,META,0.97335744,0,0,0,1
2023-02-16,META,1.0025517,0,0,0,1
2023-02-17,META,0.9953725,0,0,0,1
2023-02-21,META,0.9944212,0,0,0,1
2023-02-22,META,1.0053763,0,0,0,1
2023-02-23,META,0.99040926,0,0,0,1
2023-02-24,META,0.9950114,0,0,0,0
2023-02-27,META,1.0318509,0,1,0,1
2023-02-28,META,0.99131125,0,1,0,1
2023-03-01,META,1.0064007,1,1,0,0
2023-03-02,META,1.0614221,0,1,0,0
2023-03-03,META,0.9981107,0,1,0,1
2023-03-06,META,0.9978907,0,0,0,1
2023-03-07,META,1.0024931,0,0,0,0
2023-03-08,META,0.98226744,0,0,0,0
2023-03-09,META,0.9880015,0,1,0,1
2023-03-10,META,1.0077432,1,1,0,0
2023-03-13,META,1.0725262,0,1,0,1
2023-03-14,META,1.0192249,0,1,0,1
2023-03-15,META,1.0363084,0,1,0,1
2023-03-16,META,0.9545211,0,0,0,1
2023-03-17,META,1.0112468,0,0,0,1
2023-03-20,META,1.0219909,0,0,0,1
2023-03-21,META,0.9883754,0,0,0,0
2023-03-22,META,1.0223713,0,0,0,0
2023-03-23,META,1.0084687,0,0,0,0
2023-03-24,META,0.98461246,0,0,0,0
2023-03-27,META,0.98935115,0,0,0,0
2023-03-28,META,1.023271,0,0,0,0
2023-03-29,META,1.0121256,0,0,0,0
2023-03-30,META,1.0197268,0,0,0,0
2023-03-31,META,1.0053318,0,0,0,0
2023-04-03,META,1.0077438,0,0,0,0
2023-04-04,META,0.9849106,0,0,0,0
2023-04-05,META,1.021846,0,0,0,0
2023-04-06,META,0.99375284,0,0,0,0
2023-04-10,META,0.9958092,0,0,0,0
2023-04-11,META,1.0007013,0,0,0,0
2023-04-12,META,1.029673,0,0,0,0
2023-04-13,META,1.0051736,0,0,0,0
2023-04-14,META,0.9881258,0,0,0,0
2023-04-17,META,0.9955679,0,0,0,0
2023-04-18,META,0.9899491,0,0,0,0
2023-04-19,META,0.98780715,0,0,0,0
2023-04-20,META,0.99915516,0,0,0,0
2023-04-21,META,0.9995302,0,1,0,0
2023-04-24,META,0.9753749,0,1,0,0
2023-04-25,META,1.0089135,1,1,0,0
2023-04-26,META,1.1392549,0,1,0,1
2023-04-27,META,1.0073776,0,1,0,0
2023-04-28,META,1.0119007,0,1,0,0
2023-05-01,META,0.9837981,0,1,0,0
2023-05-02,META,0.9907624,0,0,0,1
2023-05-03,META,0.9851917,0,0,0,0
2023-05-04,META,0.9968311,0,0,0,0
