tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,MRK,0.9670967,0,0,0,0
2023-02-02,MRK,0.994974,0,0,0,0
2023-02-03,MRK,1.0105885,0,0,0,0
2023-02-06,MRK,1.0158609,0,0,0,0
2023-02-07,MRK,1.009084,0,0,0,0
2023-02-08,MRK,1.0007502,0,0,0,0
2023-02-09,MRK,1.0173352,0,0,0,0
2023-02-10,MRK,1.0090265,0,0,0,0
2023-02-13,MRK,0.992606,0,0,0,0
2023-02-14,MRK,0.99025196,0,0,0,0
2023-02-15,MRK,0.9891345,0,0,0,0
2023-02-16,MRK,1.0282602,0,0,0,0
2023-02-17,MRK,0.9958913,0,0,0,0
2023-02-21,MRK,1.0008252,0,0,0,0
2023-02-22,MRK,1.0131,0,0,0,0
2023-02-23,MRK,0.99367034,0,0,0,0
2023-02-24,MRK,0.9951771,0,0,0,0
2023-02-27,MRK,0.9714703,0,0,0,0
2023-02-28,MRK,1.003859,0,0,0,0
2023-03-01,MRK,1.0033756,0,0,0,0
2023-03-02,MRK,0.9987851,0,0,0,0
2023-03-03,MRK,1.0394835,0,0,0,0
2023-03-06,MRK,1.00153,0,0,0,0
2023-03-07,MRK,0.9731285,0,0,0,0
2023-03-08,MRK,0.99372,0,0,0,0
2023-03-09,MRK,1.0008365,0,0,0,0
2023-03-10,MRK,0.9817996,0,0,0,0
2023-03-13,MRK,1.0187619,0,0,0,0
2023-03-14,MRK,1.0061699,0,0,0,0
2023-03-15,MRK,0.99730563,0,0,0,0
2023-03-16,MRK,0.9698156,0,0,0,0
2023-03-17,MRK,1.0168107,0,0,0,0
2023-03-20,MRK,0.9970713,0,0,0,0
2023-03-21,MRK,0.9891985,0,0,0,0
2023-03-22,MRK,0.99837166,0,0,0,0
2023-03-23,MRK,1.0054687,0,0,0,0
2023-03-24,MRK,1.0203243,0,0,0,0
2023-03-27,MRK,0.9869073,0,0,0,0
2023-03-28,MRK,0.99421966,0,0,0,0
2023-03-29,MRK,1.0095311,0,0,0,0
2023-03-30,MRK,1.0044373,0,0,0,0
2023-03-31,MRK,1.0233105,0,0,0,0
2023-04-03,MRK,0.9996326,0,0,0,0
2023-04-04,MRK,1.0283011,0,0,0,0
2023-04-05,MRK,1.003753,0,0,0,0
2023-04-06,MRK,1.0024927,0,0,0,0
2023-04-10,MRK,0.99893427,0,0,0,0
2023-04-11,MRK,1.011201,0,0,0,0
2023-04-12,MRK,1.0160879,0,0,0,0
2023-04-13,MRK,0.997664,0,0,0,0
2023-04-14,MRK,0.9973984,0,0,0,0
2023-04-17,MRK,0.9984349,0,0,0,0
2023-04-18,MRK,0.99390405,0,0,0,0
2023-04-19,MRK,1.0003504,0,0,0,0
2023-04-20,MRK,1.0105108,0,0,0,0
2023-04-21,MRK,1.0049406,0,0,0,0
2023-04-24,MRK,1.0050887,0,0,0,0
2023-04-25,MRK,0.9733974,0,0,0,0
2023-04-26,MRK,1.0152518,0,0,0,0
2023-04-27,MRK,1.0026919,0,0,0,0
2023-04-28,MRK,1.0075344,0,0,0,0
2023-05-01,MRK,1.0133231,0,0,0,0
2023-05-02,MRK,1.0027993,0,0,0,0
2023-05-03,MRK,0.9928101,0,0,0,0
2023-05-04,MRK,1.0026412,0,0,0,0
2023-05-05,MRK,1.0059484,0,0,0,0
2023-05-08,MRK,0.99197507,0,0,0,0
2023-05-09,MRK,1.0040023,0,0,0,0
2023-05-10,MRK,0.99703133,0,0,0,0
2023-05-11,MRK,0.99651223,0,0,0,0
2023-05-12,MRK,0.99342656,0,0,0,0
2023-05-15,MRK,0.997508,0,0,0,0
2023-05-16,MRK,0.98862857,0,0,0,0
2023-05-17,MRK,0.99337745,0,0,0,0
2023-05-18,MRK,1.0130701,0,0,0,0
2023-05-19,MRK,0.9913413,0,0,0,0
2023-05-22,MRK,0.9893441,0,0,0,0
2023-05-23,MRK,1.0029134,0,0,0,0
2023-05-24,MRK,0.9885564,0,0,0,0
2023-05-25,MRK,0.98904717,0,0,0,0
2023-05-26,MRK,0.98289365,0,0,0,0
2023-05-30,MRK,1.0113584,0,0,0,0
2023-05-31,MRK,1.0047098,0,0,0,0
2023-06-01,MRK,1.0143331,0,0,0,0
2023-06-02,MRK,1.0052437,0,0,0,0
2023-06-05,MRK,0.9725931,0,0,0,0
2023-06-06,MRK,0.9872738,0,0,0,0
2023-06-07,MRK,1.0157444,0,0,0,0
2023-06-08,MRK,1.0035352,0,0,0,0
2023-06-09,MRK,0.99232227,0,0,0,0
2023-06-12,MRK,1.0011833,0,0,0,0
2023-06-13,MRK,0.99450856,0,0,0,0
2023-06-14,MRK,1.0068102,0,0,0,0
2023-06-15,MRK,0.9992688,0,0,0,0
2023-06-16,MRK,1.0083241,0,0,0,0
2023-06-20,MRK,1.0084368,0,0,0,0
2023-06-21,MRK,1.0230299,0,0,0,0
2023-06-22,MRK,1.0077382,0,0,0,0
2023-06-23,MRK,0.98673636,0,0,0,0
2023-06-26,MRK,1.0021225,0,0,0,0
2023-06-27,MRK,0.99223435,0,0,0,0
2023-06-28,MRK,1.009783,0,0,0,0
2023-06-29,MRK,1.0162939,0,0,0,0
2023-06-30,MRK,0.9908138,0,0,0,0
2023-07-03,MRK,0.99448955,0,0,0,0
2023-07-05,MRK,0.9828496,0,0,0,0
2023-07-06,MRK,0.9753915,0,0,0,0
2023-07-07,MRK,1.0088074,0,0,0,0
2023-07-10,MRK,0.98854125,0,0,0,0
2023-07-11,MRK,0.98868454,0,0,0,0
2023-07-12,MRK,0.9892993,0,0,0,0
2023-07-13,MRK,1.0095936,0,0,0,0
2023-07-14,MRK,0.9835104,0,0,0,0
2023-07-17,MRK,1.0035995,0,0,0,0
2023-07-18,MRK,1.0,0,0,0,0
2023-07-19,MRK,1.0236903,0,0,0,0
2023-07-20,MRK,1.0177947,0,0,0,0
2023-07-21,MRK,0.9855059,0,0,0,0
2023-07-24,MRK,0.9884181,0,0,0,0
2023-07-25,MRK,0.9963731,0,0,0,0
2023-07-26,MRK,0.98254615,0,0,0,0
2023-07-27,MRK,1.0101644,0,0,0,0
2023-07-28,MRK,1.0029153,0,0,0,0
2023-07-31,MRK,0.9871542,0,0,0,0
2023-08-01,MRK,1.0039893,0,0,0,0
2023-08-02,MRK,1.0002838,0,0,0,0
2023-08-03,MRK,0.99309564,0,0,0,0
2023-08-04,MRK,1.0103807,0,0,0,0
2023-08-07,MRK,1.0030165,0,0,0,0
2023-08-08,MRK,0.99708664,0,0,0,0
2023-08-09,MRK,0.9950047,0,0,0,0
2023-08-10,MRK,1.0177134,0,0,0,0
2023-08-11,MRK,1.013682,0,0,0,0
2023-08-14,MRK,0.9977045,0,0,0,0
2023-08-15,MRK,1.0006443,0,0,0,0
2023-08-16,MRK,1.0017473,0,0,0,0
2023-08-17,MRK,1.0025707,0,0,0,0
2023-08-18,MRK,1.0040293,0,0,0,0
2023-08-21,MRK,0.978019,0,0,0,0
2023-08-22,MRK,1.0379559,0,0,0,0
2023-08-23,MRK,0.9833782,0,0,0,0
2023-08-24,MRK,1.0069438,0,0,0,0
2023-08-25,MRK,0.9883858,0,0,0,0
2023-08-28,MRK,1.0097309,0,0,0,0
2023-08-29,MRK,1.0020002,0,0,0,0
2023-08-30,MRK,0.98883957,0,0,0,0
2023-08-31,MRK,1.0078913,0,0,0,0
2023-09-01,MRK,0.97878736,0,0,0,0
2023-09-05,MRK,0.99051255,0,0,0,0
2023-09-06,MRK,1.0136162,0,0,0,0
2023-09-07,MRK,1.0102836,0,0,0,0
2023-09-08,MRK,0.99587345,0,0,0,0
2023-09-11,MRK,1.0038674,0,0,0,0
2023-09-12,MRK,0.98890096,0,0,0,0
2023-09-13,MRK,1.0108331,0,0,0,0
2023-09-14,MRK,0.9933481,0,0,0,0
2023-09-15,MRK,1.0027901,0,0,0,0
2023-09-18,MRK,0.99573374,0,0,0,0
2023-09-19,MRK,0.99953413,0,0,0,0
2023-09-20,MRK,0.9945953,0,0,0,0
2023-09-21,MRK,0.9963458,0,0,0,0
2023-09-22,MRK,0.995298,0,0,0,0
2023-09-25,MRK,0.9957484,0,0,0,0
2023-09-26,MRK,0.98624164,0,0,0,0
2023-09-27,MRK,1.0034635,0,0,0,0
2023-09-28,MRK,0.98705655,0,0,0,0
2023-09-29,MRK,0.9961146,0,0,0,0
2023-10-02,MRK,0.99239385,0,0,0,0
2023-10-03,MRK,1.0039304,0,0,0,0
2023-10-04,MRK,1.0139962,0,0,0,0
2023-10-05,MRK,1.0027027,0,0,0,0
2023-10-06,MRK,1.0059685,0,0,0,0
2023-10-09,MRK,0.9914832,0,0,0,0
2023-10-10,MRK,0.99855226,0,0,0,0
2023-10-11,MRK,1.0012566,0,0,0,0
2023-10-12,MRK,1.0040544,0,0,0,0
2023-10-13,MRK,1.0012499,0,0,0,0
2023-10-16,MRK,1.0002881,0,0,0,0
2023-10-17,MRK,0.97907263,0,0,0,0
2023-10-18,MRK,0.9847044,0,0,0,0
2023-10-19,MRK,1.022304,0,0,0,0
2023-10-20,MRK,1.0066231,0,0,0,0
2023-10-23,MRK,0.9969038,0,0,0,0
2023-10-24,MRK,1.0058235,0,0,0,0
2023-10-25,MRK,1.0185275,0,0,0,0
2023-10-26,MRK,0.9741354,0,0,0,0
2023-10-27,MRK,0.9986385,0,0,0,0
2023-10-30,MRK,1.0001947,0,0,0,0
2023-10-31,MRK,1.0014606,0,0,0,0
2023-11-01,MRK,1.0,0,0,0,0
2023-11-02,MRK,1.0051531,0,0,0,0
2023-11-03,MRK,1.0092862,0,0,0,0
2023-11-06,MRK,0.9967414,0,0,0,0
2023-11-07,MRK,1.0038462,0,0,0,0
2023-11-08,MRK,0.9806513,0,0,0,0
2023-11-09,MRK,0.9903301,0,0,0,0
