tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,NEE,1.0183189,0,0,0,0
2023-02-02,NEE,0.98769855,0,0,0,0
2023-02-03,NEE,1.0112497,0,0,0,0
2023-02-06,NEE,1.0075486,0,0,0,0
2023-02-07,NEE,0.9861987,0,0,0,0
2023-02-08,NEE,0.97654265,0,0,0,0
2023-02-09,NEE,1.0200628,0,0,0,0
2023-02-10,NEE,1.0117743,0,0,0,0
2023-02-13,NEE,1.0054216,0,0,0,0
2023-02-14,NEE,1.011969,0,0,0,0
2023-02-15,NEE,0.98375374,0,0,0,0
2023-02-16,NEE,1.0050204,0,0,0,0
2023-02-17,NEE,0.9683187,0,0,0,0
2023-02-21,NEE,1.0002714,0,0,0,0
2023-02-22,NEE,0.9890066,0,0,0,0
2023-02-23,NEE,1.0006862,0,0,0,0
2023-02-24,NEE,0.9918291,0,0,0,0
2023-02-27,NEE,0.98844975,0,0,0,0
2023-02-28,NEE,0.9836689,0,0,0,0
2023-03-01,NEE,1.0334908,0,0,0,0
2023-03-02,NEE,1.0224346,0,0,0,0
2023-03-03,NEE,1.0077206,0,0,0,0
2023-03-06,NEE,0.9912634,0,0,0,0
2023-03-07,NEE,1.0067797,0,0,0,0
2023-03-08,NEE,0.99340075,0,0,0,0
2023-03-09,NEE,0.989832,0,0,0,0
2023-03-10,NEE,1.003835,0,0,0,0
2023-03-13,NEE,1.017192,0,0,0,0
2023-03-14,NEE,1.0130113,0,0,0,0
2023-03-15,NEE,1.0094016,0,0,0,0
2023-03-16,NEE,0.9926538,0,0,0,0
2023-03-17,NEE,1.0039645,0,0,0,0
2023-03-20,NEE,0.9919706,0,0,0,0
2023-03-21,NEE,0.9836783,0,0,0,0
2023-03-22,NEE,0.9956832,0,0,0,0
2023-03-23,NEE,1.0254709,0,0,0,0
2023-03-24,NEE,0.9966971,0,0,0,0
2023-03-27,NEE,0.9973488,0,0,0,0
2023-03-28,NEE,1.0115631,0,0,0,0
