tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,NFLX,1.0135363,0,0,0,0
2023-02-02,NFLX,0.9973016,0,0,0,0
2023-02-03,NFLX,0.9879202,0,0,0,0
2023-02-06,NFLX,1.0040666,0,0,0,0
2023-02-07,NFLX,1.0106901,0,0,0,0
2023-02-08,NFLX,0.9881962,0,0,0,0
2023-02-09,NFLX,0.9582344,0,0,0,0
2023-02-10,NFLX,1.0322721,0,0,0,0
2023-02-13,NFLX,1.0038764,0,0,0,0
2023-02-14,NFLX,1.0040561,0,0,0,0
2023-02-15,NFLX,0.97036684,0,0,0,0
2023-02-16,NFLX,0.9921588,0,0,0,0
2023-02-17,NFLX,0.9699391,0,0,0,0
2023-02-21,NFLX,0.99223703,0,0,0,0
2023-02-22,NFLX,0.9664656,0,0,0,1
2023-02-23,NFLX,0.9799166,0,0,0,1
2023-02-24,NFLX,1.0185401,0,0,0,0
2023-02-27,NFLX,0.9972139,0,0,0,0
2023-02-28,NFLX,0.9731475,0,0,0,0
2023-03-01,NFLX,0.994896,0,0,0,0
2023-03-02,NFLX,1.0105809,0,0,0,0
2023-03-03,NFLX,0.99000573,0,0,0,0
2023-03-06,NFLX,0.98859084,0,0,0,1
2023-03-07,NFLX,1.0107628,0,0,0,0
2023-03-08,NFLX,0.9550659,0,0,0,1
2023-03-09,NFLX,0.98314196,0,0,0,1
2023-03-10,NFLX,1.0025618,0,0,0,0
2023-03-13,NFLX,1.0048721,0,0,0,1
2023-03-14,NFLX,1.0300062,0,0,0,1
2023-03-15,NFLX,1.0206392,0,0,0,0
2023-03-16,NFLX,0.9788428,0,0,0,0
2023-03-17,NFLX,1.0053707,0,0,0,0
2023-03-20,NFLX,1.002163,0,1,0,1
2023-03-21,NFLX,0.9611171,1,1,0,1
2023-03-22,NFLX,1.0900646,0,1,0,1
2023-03-23,NFLX,1.0250336,0,1,0,0
2023-03-24,NFLX,0.997777,0,1,0,0
2023-03-27,NFLX,0.9873649,0,1,0,0
2023-03-28,NFLX,1.0263045,0,0,0,0
2023-03-29,NFLX,1.0192753,0,0,0,0
2023-03-30,NFLX,1.0208316,0,0,0,0
2023-03-31,NFLX,1.0081047,0,0,0,0
2023-04-03,NFLX,0.99560696,0,0,0,0
2023-04-04,NFLX,0.98731077,0,0,0,0
2023-04-05,NFLX,0.9911786,0,0,0,0
2023-04-06,NFLX,0.99899805,0,0,0,0
2023-04-10,NFLX,0.997699,0,0,0,0
2023-04-11,NFLX,0.9787706,0,1,0,0
2023-04-12,NFLX,1.0457965,0,1,0,0
2023-04-13,NFLX,0.9781623,0,1,0,0
2023-04-14,NFLX,0.9825473,0,0,0,0
2023-04-17,NFLX,1.0029454,0,0,0,0
2023-04-18,NFLX,0.9682948,0,0,0,0
2023-04-19,NFLX,1.0069015,0,0,0,0
2023-04-20,NFLX,1.0080836,0,0,0,0
2023-04-21,NFLX,1.0031708,0,0,0,0
2023-04-24,NFLX,0.98033553,0,0,0,0
2023-04-25,NFLX,0.9956596,0,0,0,0
2023-04-26,NFLX,1.014635,0,0,0,0
2023-04-27,NFLX,1.012521,0,0,0,0
2023-04-28,NFLX,0.9823902,0,0,0,0
2023-05-01,NFLX,0.9797297,0,0,0,0
2023-05-02,NFLX,1.0055109,0,0,0,0
2023-05-03,NFLX,1.0046352,0,0,0,0
2023-05-04,NFLX,1.0061725,0,0,0,0
2023-05-05,NFLX,1.0261804,0,0,0,0
2023-05-08,NFLX,1.002808,0,0,0,0
2023-05-09,NFLX,1.0098753,0,0,0,0
2023-05-10,NFLX,1.0278456,0,0,0,0
2023-05-11,NFLX,0.98587424,0,0,0,0
2023-05-12,NFLX,0.9882315,0,1,0,0
2023-05-15,NFLX,0.9936288,0,1,0,0
2023-05-16,NFLX,1.0186067,1,1,0,0
2023-05-17,NFLX,1.092158,0,0,0,0
2023-05-18,NFLX,0.9840286,0,1,0,0
2023-05-19,NFLX,0.99356806,0,1,0,0
2023-05-22,NFLX,0.98066163,0,1,0,0
2023-05-23,NFLX,1.0248884,0,1,0,0
2023-05-24,NFLX,0.983966,1,1,0,0
2023-05-25,NFLX,1.055376,0,1,0,0
2023-05-26,NFLX,1.037215,0,0,0,0
2023-05-30,NFLX,1.0057255,0,0,0,0
2023-05-31,NFLX,1.0199883,0,0,0,0
2023-06-01,NFLX,0.99340165,0,0,0,0
2023-06-02,NFLX,1.007666,0,0,0,0
2023-06-05,NFLX,0.9894682,0,0,0,0
2023-06-06,NFLX,1.0012021,0,0,0,1
2023-06-07,NFLX,1.0240139,0,0,0,0
2023-06-08,NFLX,1.0260155,0,0,0,0
2023-06-09,NFLX,1.0094043,0,0,0,0
2023-06-12,NFLX,1.0277379,0,0,0,0
2023-06-13,NFLX,1.0117732,0,0,0,0
2023-06-14,NFLX,1.0100032,0,0,0,0
2023-06-15,NFLX,0.97010803,0,0,0,0
2023-06-16,NFLX,1.0063432,0,0,0,0
2023-06-20,NFLX,0.9764205,0,0,0,0
2023-06-21,NFLX,0.9953587,0,0,0,0
2023-06-22,NFLX,1.0036451,0,0,0,0
2023-06-23,NFLX,0.98094434,0,0,0,0
2023-06-26,NFLX,1.0027407,0,0,0,0
2023-06-27,NFLX,1.0305936,0,0,0,0
2023-06-28,NFLX,0.9962777,0,0,0,0
2023-06-29,NFLX,1.0286055,0,0,0,0
