tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,NVDA,1.0365753,0,1,0,1
2023-02-02,NVDA,0.97194725,0,1,0,1
2023-02-03,NVDA,0.99947864,1,1,0,1
2023-02-06,NVDA,1.0514013,0,0,0,1
2023-02-07,NVDA,1.001443,0,0,0,1
2023-02-08,NVDA,1.0059446,0,1,0,1
2023-02-09,NVDA,0.95200795,0,1,0,1
2023-02-10,NVDA,1.0245943,1,1,0,1
2023-02-13,NVDA,1.054296,0,1,0,1
2023-02-14,NVDA,0.9909887,0,1,0,1
2023-02-15,NVDA,0.96652615,0,0,0,1
2023-02-16,NVDA,0.9720934,0,1,0,1
2023-02-17,NVDA,0.96572846,0,1,0,1
2023-02-21,NVDA,1.004793,1,1,0,1
2023-02-22,NVDA,1.1402138,0,1,0,1
2023-02-23,NVDA,0.9840264,0,1,0,1
2023-02-24,NVDA,1.0092331,0,1,0,1
2023-02-27,NVDA,0.98787284,0,1,0,1
2023-02-28,NVDA,0.9776878,0,0,0,1
2023-03-01,NVDA,1.027139,0,0,0,1
2023-03-02,NVDA,1.0247061,0,0,0,1
2023-03-03,NVDA,0.9859355,0,0,0,1
2023-03-06,NVDA,0.98887473,0,0,0,1
2023-03-07,NVDA,1.0383458,0,0,0,1
2023-03-08,NVDA,0.96919084,0,0,0,1
2023-03-09,NVDA,0.97990257,0,1,0,1
2023-03-10,NVDA,1.0000435,0,1,0,1
2023-03-13,NVDA,1.0477664,0,1,0,1
2023-03-14,NVDA,1.006857,1,1,0,1
2023-03-15,NVDA,1.0541935,0,1,0,1
2023-03-16,NVDA,1.007204,0,0,0,1
2023-03-17,NVDA,1.0068028,0,0,0,1
2023-03-20,NVDA,1.0115443,0,0,0,1
2023-03-21,NVDA,1.0102675,0,0,0,1
2023-03-22,NVDA,1.0273161,0,0,0,1
2023-03-23,NVDA,0.98484796,0,0,0,1
2023-03-24,NVDA,0.9907391,0,0,0,1
2023-03-27,NVDA,0.9954393,0,0,0,1
2023-03-28,NVDA,1.021734,0,0,0,0
2023-03-29,NVDA,1.0147867,0,0,0,0
2023-03-30,NVDA,1.0143884,0,0,0,1
2023-03-31,NVDA,1.0067681,0,0,0,0
2023-04-03,NVDA,0.9816914,0,0,0,0
2023-04-04,NVDA,0.97916436,0,0,0,1
2023-04-05,NVDA,1.0058035,0,0,0,0
2023-04-06,NVDA,1.0200466,0,0,0,0
2023-04-10,NVDA,0.9851336,0,0,0,0
2023-04-11,NVDA,0.9751923,0,0,0,0
2023-04-12,NVDA,0.9987922,0,0,0,0
2023-04-13,NVDA,1.0111477,0,0,0,0
2023-04-14,NVDA,1.0091187,0,0,0,0
2023-04-17,NVDA,1.0246279,0,0,0,0
2023-04-18,NVDA,1.009542,0,0,0,0
2023-04-19,NVDA,0.97039133,0,0,0,0
2023-04-20,NVDA,1.0005534,0,0,0,0
2023-04-21,NVDA,0.99716073,0,0,0,0
2023-04-24,NVDA,0.97037935,0,0,0,0
2023-04-25,NVDA,1.0272474,0,0,0,1
2023-04-26,NVDA,1.0100164,0,0,0,0
2023-04-27,NVDA,1.0192096,0,0,0,0
2023-04-28,NVDA,1.0418392,0,0,0,0
2023-05-01,NVDA,0.9757869,0,0,0,1
2023-05-02,NVDA,0.9855371,0,0,0,0
2023-05-03,NVDA,0.9913675,0,0,0,0
2023-05-04,NVDA,1.0405631,0,0,0,0
2023-05-05,NVDA,1.0164225,0,0,0,0
2023-05-08,NVDA,0.98010355,0,0,0,0
2023-05-09,NVDA,1.0109903,0,0,0,1
2023-05-10,NVDA,0.9893716,0,0,0,0
2023-05-11,NVDA,0.9916719,0,0,0,0
2023-05-12,NVDA,1.0216302,0,0,0,0
2023-05-15,NVDA,1.0089802,0,0,0,1
2023-05-16,NVDA,1.0330333,0,1,0,0
2023-05-17,NVDA,1.049705,0,0,0,0
2023-05-18,NVDA,0.98693097,0,0,0,0
2023-05-19,NVDA,0.9971853,0,1,0,0
2023-05-22,NVDA,0.9843469,0,1,0,0
2023-05-23,NVDA,0.9951121,1,1,0,1
2023-05-24,NVDA,1.2436963,0,1,0,1
2023-05-25,NVDA,1.0254344,0,1,0,1
2023-05-26,NVDA,1.0299132,0,1,1,1
2023-05-30,NVDA,0.9432325,1,1,0,1
2023-05-31,NVDA,1.0511708,0,1,0,1
2023-06-01,NVDA,0.98886096,0,1,0,1
2023-06-02,NVDA,0.9960334,0,1,0,1
2023-06-05,NVDA,0.98680156,0,1,0,1
2023-06-06,NVDA,0.96959877,0,0,0,1
2023-06-07,NVDA,1.0276184,0,1,0,1
2023-06-08,NVDA,1.0067515,0,0,0,0
2023-06-09,NVDA,1.0183649,0,1,0,0
2023-06-12,NVDA,1.0390052,0,1,0,1
2023-06-13,NVDA,1.0481448,0,0,0,1
2023-06-14,NVDA,0.9919995,0,0,0,0
2023-06-15,NVDA,1.0009143,0,0,0,0
2023-06-16,NVDA,1.0261406,0,0,0,0
2023-06-20,NVDA,0.98258317,0,0,0,0
2023-06-21,NVDA,0.9995354,0,0,0,0
2023-06-22,NVDA,0.9810342,0,0,0,0
2023-06-23,NVDA,0.9626383,0,0,0,0
2023-06-26,NVDA,1.0306162,0,1,0,0
2023-06-27,NVDA,0.98187506,0,0,0,0
2023-06-28,NVDA,0.9928254,0,1,0,0
2023-06-29,NVDA,1.036255,0,1,0,0
2023-06-30,NVDA,1.0026239,0,0,0,0
2023-07-03,NVDA,0.99773663,0,0,0,0
2023-07-05,NVDA,0.9949429,0,0,0,0
2023-07-06,NVDA,1.0095003,0,0,0,0
2023-07-07,NVDA,0.99240065,0,0,0,0
2023-07-10,NVDA,1.0053344,0,0,0,0
2023-07-11,NVDA,1.0353023,0,1,0,0
2023-07-12,NVDA,1.0472643,0,1,0,0
2023-07-13,NVDA,0.988951,0,0,0,0
2023-07-14,NVDA,1.0218171,0,0,0,0
2023-07-17,NVDA,1.0222337,0,0,0,0
2023-07-18,NVDA,0.99122,0,0,0,0
2023-07-19,NVDA,0.96692646,0,0,0,0
2023-07-20,NVDA,0.97339624,0,0,0,0
2023-07-21,NVDA,1.0068384,0,0,0,0
2023-07-24,NVDA,1.0239173,0,0,0,0
2023-07-25,NVDA,0.99503046,0,0,0,0
2023-07-26,NVDA,1.0098567,0,0,0,0
2023-07-27,NVDA,1.0185186,0,0,0,0
2023-07-28,NVDA,0.99955064,0,0,0,0
2023-07-31,NVDA,0.9952493,0,0,0,0
2023-08-01,NVDA,0.95187825,0,0,0,0
2023-08-02,NVDA,1.005557,0,0,0,0
2023-08-03,NVDA,1.0037066,0,0,0,0
2023-08-04,NVDA,1.0164951,0,0,0,0
2023-08-07,NVDA,0.98342043,0,0,0,0
2023-08-08,NVDA,0.9527583,0,0,0,0
2023-08-09,NVDA,0.99609905,0,1,0,0
2023-08-10,NVDA,0.96383405,1,1,0,0
2023-08-11,NVDA,1.0709338,0,1,0,0
2023-08-14,NVDA,1.004274,0,1,0,0
2023-08-15,NVDA,0.9896678,0,1,0,0
2023-08-16,NVDA,0.9967346,0,1,0,0
2023-08-17,NVDA,0.9989618,1,1,0,0
2023-08-18,NVDA,1.0847133,0,1,0,1
2023-08-21,NVDA,0.97234213,0,1,0,1
2023-08-22,NVDA,1.0317073,0,1,0,1
2023-08-23,NVDA,1.0009974,0,1,0,1
2023-08-24,NVDA,0.9757225,0,0,0,1
2023-08-25,NVDA,1.017754,0,1,0,1
2023-08-28,NVDA,1.0416142,0,0,0,1
2023-08-29,NVDA,1.0098392,0,0,0,1
2023-08-30,NVDA,1.0018471,0,0,0,0
2023-08-31,NVDA,0.982859,0,0,0,0
2023-09-01,NVDA,1.000804,0,0,0,0
2023-09-05,NVDA,0.96945035,0,0,0,0
2023-09-06,NVDA,0.98257583,0,0,0,0
2023-09-07,NVDA,0.98553234,0,0,0,0
2023-09-08,NVDA,0.99135435,0,0,0,0
2023-09-11,NVDA,0.9931824,0,0,0,0
2023-09-12,NVDA,1.0137063,0,0,0,0
2023-09-13,NVDA,1.0021106,0,0,0,1
2023-09-14,NVDA,0.96312046,0,0,0,1
2023-09-15,NVDA,1.0015033,0,0,0,1
2023-09-18,NVDA,0.9898559,0,0,0,1
2023-09-19,NVDA,0.9705653,0,0,0,1
2023-09-20,NVDA,0.97106934,0,0,0,1
2023-09-21,NVDA,1.0144573,0,0,0,1
2023-09-22,NVDA,1.014708,0,0,0,0
2023-09-25,NVDA,0.9926342,0,0,0,1
2023-09-26,NVDA,1.01329,0,0,0,1
2023-09-27,NVDA,1.0146228,0,0,0,0
2023-09-28,NVDA,1.0095152,0,0,0,0
2023-09-29,NVDA,1.029495,0,0,0,0
2023-10-02,NVDA,0.971752,0,0,0,0
2023-10-03,NVDA,1.0120413,0,0,0,0
2023-10-04,NVDA,1.0146909,0,0,0,0
2023-10-05,NVDA,1.0240332,0,0,0,0
2023-10-06,NVDA,0.98931426,0,0,0,0
2023-10-09,NVDA,1.0115963,0,0,0,0
2023-10-10,NVDA,1.0220096,0,0,0,0
2023-10-11,NVDA,1.0029697,0,0,0,0
2023-10-12,NVDA,0.9683885,0,0,0,0
2023-10-13,NVDA,1.0139462,0,0,0,0
2023-10-16,NVDA,0.9532052,0,0,0,1
2023-10-17,NVDA,0.9603533,0,0,0,0
2023-10-18,NVDA,0.9977486,0,1,0,0
2023-10-19,NVDA,0.9830407,0,1,0,0
2023-10-20,NVDA,1.0383695,0,1,0,0
2023-10-23,NVDA,1.0160092,0,0,0,0
2023-10-24,NVDA,0.95685136,0,0,0,0
2023-10-25,NVDA,0.9652218,0,0,0,1
2023-10-26,NVDA,1.0043148,0,0,0,1
2023-10-27,NVDA,1.016321,0,0,0,1
2023-10-30,NVDA,0.9907437,0,1,0,1
2023-10-31,NVDA,1.0378864,0,0,0,1
2023-11-01,NVDA,1.027903,0,0,0,0
2023-11-02,NVDA,1.0344552,0,0,0,1
2023-11-03,NVDA,1.0165758,0,0,0,1
2023-11-06,NVDA,1.004459,0,0,0,0
2023-11-07,NVDA,1.0134696,0,0,0,0
2023-11-08,NVDA,1.0080732,0,0,0,0
2023-11-09,NVDA,1.0294994,0,0,0,0
2023-11-10,NVDA,1.0058963,0,0,0,0
2023-11-13,NVDA,1.0213082,0,0,0,0
2023-11-14,NVDA,0.98453367,0,0,0,0
2023-11-15,NVDA,1.0121094,0,0,0,0
2023-11-16,NVDA,0.99632174,0,0,0,0
2023-11-17,NVDA,1.0225364,0,0,0,0
2023-11-20,NVDA,0.99077547,0,0,0,1
2023-11-21,NVDA,0.97541237,0,0,0,1
2023-11-22,NVDA,0.98070455,0,0,0,0
2023-11-24,NVDA,1.0097538,0,0,0,0
2023-11-27,NVDA,0.99127316,0,0,0,0
2023-11-28,NVDA,1.0066708,0,0,0,0
2023-11-29,NVDA,0.9715413,0,0,0,0
2023-11-30,NVDA,0.99989307,0,0,0,0
2023-12-01,NVDA,0.97316366,0,0,0,0
2023-12-04,NVDA,1.0232937,0,0,0,0
2023-12-05,NVDA,0.97717214,0,0,0,0
2023-12-06,NVDA,1.0240206,0,0,0,0
2023-12-07,NVDA,1.0195296,0,0,0,0
2023-12-08,NVDA,0.98149705,0,0,0,0
2023-12-11,NVDA,1.0220902,0,0,0,0
2023-12-12,NVDA,1.0090438,0,0,0,0
2023-12-13,NVDA,1.0054482,0,0,0,0
2023-12-14,NVDA,1.0111686,0,0,0,0
2023-12-15,NVDA,1.024279,0,0,0,0
2023-12-18,NVDA,0.9905546,0,0,0,0
2023-12-19,NVDA,0.96990156,0,0,0,0
2023-12-20,NVDA,1.0182704,0,0,0,0
2023-12-21,NVDA,0.9967341,0,0,0,0
2023-12-22,NVDA,1.0091951,0,0,0,0
2023-12-26,NVDA,1.0028003,0,0,0,0
2023-12-27,NVDA,1.0021248,0,0,0,0
2023-12-28,NVDA,1.0,0,0,0,0
2023-12-29,NVDA,0.97265863,0,0,0,0
