tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,PFE,1.0084149,0,0,0,0
2023-02-02,PFE,0.993685,0,0,0,0
2023-02-03,PFE,0.993191,0,0,0,0
2023-02-06,PFE,0.9961152,0,0,0,0
2023-02-07,PFE,1.0089473,0,0,0,0
2023-02-08,PFE,0.98544794,0,0,0,0
2023-02-09,PFE,1.0124595,0,0,0,0
2023-02-10,PFE,1.0025069,0,0,0,0
2023-02-13,PFE,0.9938621,0,0,0,0
2023-02-14,PFE,0.990851,0,0,0,0
2023-02-15,PFE,0.9914589,0,0,0,0
2023-02-16,PFE,1.0060536,0,0,0,0
2023-02-17,PFE,0.9881972,0,0,0,0
2023-02-21,PFE,0.99250597,0,0,0,0
2023-02-22,PFE,0.9981122,0,0,0,0
2023-02-23,PFE,0.9869977,0,0,0,0
2023-02-24,PFE,0.97676635,0,0,0,0
2023-02-27,PFE,0.99485046,0,0,0,0
2023-02-28,PFE,0.9903871,0,0,0,0
2023-03-01,PFE,1.0109504,0,0,0,0
2023-03-02,PFE,1.0130478,0,0,0,0
2023-03-03,PFE,0.9990281,0,0,0,0
2023-03-06,PFE,0.9812696,0,0,0,0
2023-03-07,PFE,0.9945464,0,0,0,0
2023-03-08,PFE,0.98354936,0,0,0,0
2023-03-09,PFE,0.99822605,0,0,0,0
2023-03-10,PFE,1.011932,0,0,0,0
2023-03-13,PFE,1.0010036,0,0,0,0
2023-03-14,PFE,1.0095236,0,0,0,0
2023-03-15,PFE,1.0022345,0,0,0,0
2023-03-16,PFE,0.9933118,0,0,0,0
2023-03-17,PFE,1.0177058,0,0,0,0
2023-03-20,PFE,0.99632454,0,0,0,0
2023-03-21,PFE,0.98401356,0,0,0,0
2023-03-22,PFE,1.0042491,0,0,0,0
2023-03-23,PFE,1.0052264,0,0,0,0
2023-03-24,PFE,0.9957911,0,0,0,0
2023-03-27,PFE,0.9942814,0,0,0,0
2023-03-28,PFE,1.0065016,0,0,0,0
2023-03-29,PFE,1.0032299,0,0,0,0
2023-03-30,PFE,1.0104011,0,0,0,0
2023-03-31,PFE,1.0134804,0,0,0,0
2023-04-03,PFE,0.98911744,0,0,0,0
2023-04-04,PFE,1.0158923,0,0,0,0
2023-04-05,PFE,0.9987967,0,0,0,0
2023-04-06,PFE,1.0055422,0,0,0,0
2023-04-10,PFE,1.0014378,0,0,0,0
2023-04-11,PFE,0.98994976,0,0,0,0
2023-04-12,PFE,1.002417,0,0,0,0
2023-04-13,PFE,0.9932483,0,0,0,0
2023-04-14,PFE,0.99975735,0,0,0,0
2023-04-17,PFE,0.9847012,0,0,0,0
2023-04-18,PFE,0.9923552,0,0,0,0
2023-04-19,PFE,0.99030817,0,0,0,0
2023-04-20,PFE,1.0090337,0,0,0,0
