tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,PG,0.9928767,0,0,0,0
2023-02-02,PG,1.0030948,0,0,0,0
2023-02-03,PG,0.99151534,0,0,0,0
2023-02-06,PG,0.99024045,0,0,0,0
2023-02-07,PG,0.98964435,0,0,0,0
2023-02-08,PG,0.9890306,0,0,0,0
2023-02-09,PG,1.008829,0,0,0,0
2023-02-10,PG,1.0130913,0,0,0,0
2023-02-13,PG,0.9943599,0,0,0,0
2023-02-14,PG,0.9977026,0,0,0,0
2023-02-15,PG,0.98690253,0,0,0,0
2023-02-16,PG,1.0209275,0,0,0,0
2023-02-17,PG,0.99928576,0,0,0,0
2023-02-21,PG,1.004217,0,0,0,0
2023-02-22,PG,0.99679697,0,0,0,0
2023-02-23,PG,0.99435925,0,0,0,0
2023-02-24,PG,0.9991383,0,0,0,0
2023-02-27,PG,0.9886445,0,0,0,0
2023-02-28,PG,1.0007269,0,0,0,0
2023-03-01,PG,1.0164899,0,0,0,0
2023-03-02,PG,1.0072894,0,0,0,0
2023-03-03,PG,0.9957432,0,0,0,0
2023-03-06,PG,0.9801211,0,0,0,0
2023-03-07,PG,1.0001456,0,0,0,0
2023-03-08,PG,0.9926587,0,0,0,0
2023-03-09,PG,1.0045398,0,0,0,0
2023-03-10,PG,1.0069247,0,0,0,0
2023-03-13,PG,1.0123789,0,0,0,0
2023-03-14,PG,1.0141579,0,0,0,0
2023-03-15,PG,1.0074737,0,0,0,0
2023-03-16,PG,1.0002798,0,0,0,0
2023-03-17,PG,1.0153922,0,0,0,0
2023-03-20,PG,0.9927652,0,0,0,0
2023-03-21,PG,0.99937534,0,0,0,0
2023-03-22,PG,0.9986108,0,0,0,0
2023-03-23,PG,1.0203772,0,0,0,0
2023-03-24,PG,0.99475175,0,0,0,0
2023-03-27,PG,1.0028093,0,0,0,0
2023-03-28,PG,1.0030745,0,0,0,0
2023-03-29,PG,1.0043595,0,0,0,0
2023-03-30,PG,1.0084095,0,0,0,0
2023-03-31,PG,1.0055149,0,0,0,0
2023-04-03,PG,1.0048157,0,0,0,0
2023-04-04,PG,1.0068562,0,0,0,0
2023-04-05,PG,1.0063467,0,0,0,0
2023-04-06,PG,0.99172264,0,0,0,0
2023-04-10,PG,0.9980127,0,0,0,0
2023-04-11,PG,1.0027213,0,0,0,0
2023-04-12,PG,1.0046335,0,0,0,0
2023-04-13,PG,0.9949265,0,0,0,0
2023-04-14,PG,1.0003312,0,0,0,0
2023-04-17,PG,1.0010593,0,0,0,0
2023-04-18,PG,1.0001985,0,0,0,0
2023-04-19,PG,1.0036662,0,0,0,0
2023-04-20,PG,1.0346038,0,0,0,0
2023-04-21,PG,1.001794,0,0,0,0
2023-04-24,PG,1.000256,0,0,0,0
2023-04-25,PG,0.9884262,0,0,0,0
2023-04-26,PG,1.0122268,0,0,0,0
2023-04-27,PG,0.9994249,0,0,0,0
2023-04-28,PG,1.001215,0,0,0,0
2023-05-01,PG,0.99910563,0,0,0,0
2023-05-02,PG,0.99872154,0,0,0,0
2023-05-03,PG,0.99539137,0,0,0,0
2023-05-04,PG,1.0033438,0,0,0,0
2023-05-05,PG,0.9953215,0,0,0,0
2023-05-08,PG,0.9897618,0,0,0,0
2023-05-09,PG,1.0020818,0,0,0,0
2023-05-10,PG,1.0023372,0,0,0,0
2023-05-11,PG,1.010169,0,0,0,0
2023-05-12,PG,1.0003206,0,0,0,0
2023-05-15,PG,0.9982694,0,0,0,0
2023-05-16,PG,0.99576217,0,0,0,0
2023-05-17,PG,0.98355675,0,0,0,0
2023-05-18,PG,1.004196,0,0,0,0
2023-05-19,PG,0.97382003,0,0,0,0
2023-05-22,PG,0.9892062,0,0,0,0
2023-05-23,PG,0.99173164,0,0,0,0
2023-05-24,PG,0.9935761,0,0,0,0
2023-05-25,PG,1.0000687,0,0,0,0
2023-05-26,PG,0.98473185,0,0,0,0
2023-05-30,PG,0.9952508,0,0,0,0
2023-05-31,PG,1.0102456,0,0,0,0
2023-06-01,PG,1.0177828,0,0,0,0
2023-06-02,PG,0.9960415,0,0,0,0
2023-06-05,PG,0.9900644,0,0,0,0
2023-06-06,PG,1.0021454,0,0,0,0
2023-06-07,PG,1.011326,0,0,0,0
2023-06-08,PG,1.0008194,0,0,0,0
2023-06-09,PG,0.9921534,0,0,0,0
2023-06-12,PG,0.99759305,0,0,0,0
2023-06-13,PG,1.0093755,0,0,0,0
2023-06-14,PG,1.0138643,0,0,0,0
2023-06-15,PG,1.0073423,0,0,0,0
2023-06-16,PG,0.9907718,0,0,0,0
2023-06-20,PG,1.0086393,0,0,0,0
2023-06-21,PG,1.0034128,0,0,0,0
2023-06-22,PG,0.99006355,0,0,0,0
2023-06-23,PG,1.0010102,0,0,0,0
2023-06-26,PG,1.0094879,0,0,0,0
2023-06-27,PG,0.99980015,0,0,0,0
2023-06-28,PG,0.99593306,0,0,0,0
2023-06-29,PG,1.0157986,0,0,0,0
2023-06-30,PG,1.0050087,0,0,0,0
2023-07-03,PG,0.99829495,0,0,0,0
2023-07-05,PG,0.9983579,0,0,0,0
2023-07-06,PG,0.9790118,0,0,0,0
2023-07-07,PG,1.0004032,0,0,0,0
2023-07-10,PG,0.99476016,0,0,0,0
2023-07-11,PG,1.0051999,0,0,0,0
2023-07-12,PG,1.0006719,0,0,0,0
2023-07-13,PG,1.0073851,0,0,0,0
2023-07-14,PG,0.9929357,0,0,0,0
2023-07-17,PG,1.0018792,0,0,0,0
2023-07-18,PG,1.0068333,0,0,0,0
2023-07-19,PG,1.0081085,0,0,0,0
2023-07-20,PG,1.0157412,0,0,0,0
2023-07-21,PG,1.003204,0,0,0,0
2023-07-24,PG,1.0023465,0,0,0,0
2023-07-25,PG,1.0010406,0,0,0,0
2023-07-26,PG,0.98811215,0,0,0,0
2023-07-27,PG,1.0282692,0,0,0,0
2023-07-28,PG,0.9992967,0,0,0,0
2023-07-31,PG,0.9996799,0,0,0,0
2023-08-01,PG,1.002176,0,0,0,0
2023-08-02,PG,1.0026183,0,0,0,0
2023-08-03,PG,0.9890445,0,0,0,0
2023-08-04,PG,1.0105616,0,0,0,0
2023-08-07,PG,1.0010835,0,0,0,0
2023-08-08,PG,0.99872684,0,0,0,0
2023-08-09,PG,0.99502826,0,0,0,0
2023-08-10,PG,1.0058293,0,0,0,0
2023-08-11,PG,0.9921665,0,0,0,0
2023-08-14,PG,0.9935811,0,0,0,0
2023-08-15,PG,0.98979276,0,0,0,0
2023-08-16,PG,0.99282014,0,0,0,0
2023-08-17,PG,1.0028268,0,0,0,0
2023-08-18,PG,0.9949522,0,0,0,0
2023-08-21,PG,1.0003953,0,0,0,0
2023-08-22,PG,1.0093526,0,0,0,0
2023-08-23,PG,0.99536705,0,0,0,0
2023-08-24,PG,1.0065558,0,0,0,0
2023-08-25,PG,1.0015631,0,0,0,0
2023-08-28,PG,1.0005852,0,0,0,0
2023-08-29,PG,1.0011048,0,0,0,0
2023-08-30,PG,1.0019475,0,0,0,0
2023-08-31,PG,1.0011015,0,0,0,0
2023-09-01,PG,0.9866027,0,0,0,0
2023-09-05,PG,0.99803215,0,0,0,0
2023-09-06,PG,1.0095308,0,0,0,0
2023-09-07,PG,0.9957027,0,0,0,0
2023-09-08,PG,1.0119009,0,0,0,0
2023-09-11,PG,0.98242325,0,0,0,0
2023-09-12,PG,1.0069723,0,0,0,0
2023-09-13,PG,1.010974,0,0,0,0
2023-09-14,PG,0.99160045,0,0,0,0
2023-09-15,PG,1.0037792,0,0,0,0
2023-09-18,PG,0.99707884,0,0,0,0
2023-09-19,PG,0.99915373,0,0,0,0
2023-09-20,PG,0.9913337,0,0,0,0
2023-09-21,PG,0.9963191,0,0,0,0
2023-09-22,PG,0.9939306,0,0,0,0
2023-09-25,PG,0.991106,0,0,0,0
2023-09-26,PG,0.9867397,0,0,0,0
2023-09-27,PG,0.993213,0,0,0,0
2023-09-28,PG,0.99672,0,0,0,0
2023-09-29,PG,0.9954065,0,0,0,0
2023-10-02,PG,1.0020664,0,0,0,0
2023-10-03,PG,1.0032992,0,0,0,0
2023-10-04,PG,0.9851338,0,0,0,0
2023-10-05,PG,1.0020167,0,0,0,0
2023-10-06,PG,0.9949337,0,0,0,0
2023-10-09,PG,1.0099052,0,0,0,0
2023-10-10,PG,0.98770547,0,0,0,0
2023-10-11,PG,1.0022377,0,0,0,0
2023-10-12,PG,1.009559,0,0,0,0
2023-10-13,PG,1.0095376,0,0,0,0
2023-10-16,PG,1.0013007,0,0,0,0
2023-10-17,PG,1.0257761,0,0,0,0
2023-10-18,PG,0.99437237,0,0,0,0
2023-10-19,PG,0.99865097,0,0,0,0
2023-10-20,PG,1.0006753,0,0,0,0
2023-10-23,PG,1.0118123,0,0,0,0
2023-10-24,PG,1.0046699,0,0,0,0
2023-10-25,PG,0.99468786,0,0,0,0
2023-10-26,PG,0.9823765,0,0,0,0
2023-10-27,PG,1.0142701,0,0,0,0
2023-10-30,PG,1.0051589,0,0,0,0
2023-10-31,PG,0.9972004,0,0,0,0
2023-11-01,PG,1.012232,0,0,0,0
2023-11-02,PG,0.99095345,0,0,0,0
2023-11-03,PG,1.0057973,0,0,0,0
2023-11-06,PG,0.99768114,0,0,0,0
2023-11-07,PG,0.99614847,0,0,0,0
2023-11-08,PG,1.0022665,0,0,0,0
2023-11-09,PG,1.0070502,0,0,0,0
2023-11-10,PG,1.0069348,0,0,0,0
2023-11-13,PG,0.99776983,0,0,0,0
2023-11-14,PG,0.99539846,0,0,0,0
2023-11-15,PG,1.0093119,0,0,0,0
2023-11-16,PG,0.98848397,0,0,0,0
2023-11-17,PG,0.99470437,0,0,0,0
2023-11-20,PG,0.99560785,0,0,0,0
2023-11-21,PG,1.0094247,0,0,0,0
2023-11-22,PG,1.0023837,0,0,0,0
2023-11-24,PG,0.9990752,0,0,0,0
2023-11-27,PG,1.0069425,0,0,0,0
2023-11-28,PG,0.99238306,0,0,0,0
2023-11-29,PG,1.0158143,0,0,0,0
2023-11-30,PG,0.9943981,0,0,0,0
2023-12-01,PG,0.9960697,0,0,0,0
2023-12-04,PG,0.9651453,0,0,0,0
2023-12-05,PG,0.9992505,0,0,0,0
2023-12-06,PG,0.99897724,0,0,0,0
2023-12-07,PG,0.9907849,0,0,0,0
2023-12-08,PG,1.0046159,0,0,0,0
2023-12-11,PG,1.0008229,0,0,0,0
2023-12-12,PG,1.0180897,0,0,0,0
2023-12-13,PG,0.9736168,0,0,0,0
2023-12-14,PG,0.9951612,0,0,0,0
2023-12-15,PG,1.0153513,0,0,0,0
2023-12-18,PG,1.0,0,0,0,0
2023-12-19,PG,0.98453873,0,0,0,0
2023-12-20,PG,1.002432,0,0,0,0
2023-12-21,PG,1.0070704,0,0,0,0
2023-12-22,PG,1.0045431,0,0,0,0
2023-12-26,PG,1.0008222,0,0,0,0
2023-12-27,PG,0.99774057,0,0,0,0
2023-12-28,PG,1.0055583,0,0,0,0
2023-12-29,PG,1.0150131,0,0,0,0
