tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,RTX,0.98516566,0,0,0,0
2023-02-02,RTX,0.9950496,0,0,0,0
2023-02-03,RTX,1.0120231,0,0,0,0
2023-02-06,RTX,1.0023556,0,0,0,0
2023-02-07,RTX,0.99775225,0,0,0,0
2023-02-08,RTX,1.002048,0,0,0,0
2023-02-09,RTX,1.0282065,0,0,0,0
2023-02-10,RTX,0.9995031,0,0,0,0
2023-02-13,RTX,1.008055,0,0,0,0
2023-02-14,RTX,1.0008878,0,0,0,0
2023-02-15,RTX,0.99517053,0,0,0,0
2023-02-16,RTX,1.0053482,0,0,0,0
2023-02-17,RTX,0.991528,0,0,0,0
2023-02-21,RTX,0.99860895,0,0,0,0
2023-02-22,RTX,0.99679875,0,0,0,0
2023-02-23,RTX,0.9997994,0,0,0,0
2023-02-24,RTX,0.9953824,0,0,0,0
2023-02-27,RTX,0.9892093,0,0,0,0
2023-02-28,RTX,0.9994903,0,0,0,0
2023-03-01,RTX,1.0097917,0,0,0,0
2023-03-02,RTX,1.0002022,0,0,0,0
2023-03-03,RTX,1.0049485,0,0,0,0
2023-03-06,RTX,0.98663455,0,0,0,0
2023-03-07,RTX,0.9920554,0,0,0,0
2023-03-08,RTX,0.98490757,0,0,0,0
2023-03-09,RTX,1.0007297,0,0,0,0
2023-03-10,RTX,1.0152082,0,0,0,0
2023-03-13,RTX,1.0088242,0,0,0,0
2023-03-14,RTX,0.97467464,0,0,0,0
2023-03-15,RTX,1.023479,0,0,0,0
2023-03-16,RTX,0.97624373,0,0,0,0
2023-03-17,RTX,1.0185902,0,0,0,0
2023-03-20,RTX,1.0049216,0,0,0,0
2023-03-21,RTX,0.986634,0,0,0,0
2023-03-22,RTX,0.99276114,0,0,0,0
2023-03-23,RTX,1.0045835,0,0,0,0
2023-03-24,RTX,1.0048734,0,0,0,0
2023-03-27,RTX,0.9988648,0,0,0,0
2023-03-28,RTX,1.0092976,0,0,0,0
2023-03-29,RTX,0.9966223,0,0,0,0
2023-03-30,RTX,1.0057513,0,0,0,0
2023-03-31,RTX,1.0270602,0,0,0,0
2023-04-03,RTX,0.98936164,0,0,0,0
2023-04-04,RTX,0.9924631,0,0,0,0
2023-04-05,RTX,0.99443084,0,0,0,0
2023-04-06,RTX,1.0143572,0,0,0,0
2023-04-10,RTX,1.0010037,0,0,0,0
2023-04-11,RTX,1.0180506,0,0,0,0
2023-04-12,RTX,1.0015761,0,0,0,0
2023-04-13,RTX,1.0,0,0,0,0
2023-04-14,RTX,1.0140637,0,0,0,0
2023-04-17,RTX,1.0150324,0,0,0,0
2023-04-18,RTX,0.9945538,0,0,0,0
2023-04-19,RTX,0.98799115,0,0,0,0
2023-04-20,RTX,0.99426305,0,0,0,0
2023-04-21,RTX,1.0020537,0,0,0,0
2023-04-24,RTX,0.98662907,0,0,0,0
2023-04-25,RTX,0.9662675,0,0,0,0
2023-04-26,RTX,1.0175062,0,0,0,0
2023-04-27,RTX,1.0051314,0,0,0,0
2023-04-28,RTX,1.0043043,0,0,0,0
2023-05-01,RTX,0.985448,0,0,0,0
2023-05-02,RTX,0.9827046,0,0,0,0
2023-05-03,RTX,0.9872375,0,0,0,0
2023-05-04,RTX,1.0068808,0,0,0,0
2023-05-05,RTX,0.9892317,0,0,0,0
2023-05-08,RTX,1.0076407,0,0,0,0
2023-05-09,RTX,1.0003119,0,0,0,0
2023-05-10,RTX,0.99210787,0,0,0,0
2023-05-11,RTX,1.0047101,0,0,0,0
2023-05-12,RTX,1.0073966,0,0,0,0
2023-05-15,RTX,0.9871769,0,0,0,0
2023-05-16,RTX,1.0116279,0,0,0,0
2023-05-17,RTX,1.0015627,0,0,0,0
2023-05-18,RTX,1.0,0,0,0,0
2023-05-19,RTX,0.9951108,0,0,0,0
2023-05-22,RTX,0.98348314,0,0,0,0
2023-05-23,RTX,0.99553585,0,0,0,0
2023-05-24,RTX,0.9942344,0,0,0,0
2023-05-25,RTX,1.0015036,0,0,0,0
2023-05-26,RTX,0.9952819,0,0,0,0
2023-05-30,RTX,0.992674,0,0,0,0
2023-05-31,RTX,1.0211635,0,0,0,0
2023-06-01,RTX,1.02115,0,0,0,0
2023-06-02,RTX,0.99656534,0,0,0,0
2023-06-05,RTX,1.0176502,0,0,0,0
2023-06-06,RTX,1.0118021,0,0,0,0
2023-06-07,RTX,1.0049701,0,0,0,0
2023-06-08,RTX,1.0026242,0,0,0,0
2023-06-09,RTX,1.0008053,0,0,0,0
2023-06-12,RTX,1.0027158,0,0,0,0
2023-06-13,RTX,0.971612,0,0,0,0
2023-06-14,RTX,1.0117695,0,0,0,0
2023-06-15,RTX,0.9973468,0,0,0,0
2023-06-16,RTX,0.9995908,0,0,0,0
2023-06-20,RTX,1.0140225,0,0,0,0
2023-06-21,RTX,0.9782982,0,0,0,0
2023-06-22,RTX,0.999897,0,0,0,0
2023-06-23,RTX,0.9962852,0,0,0,0
2023-06-26,RTX,0.99979275,0,0,0,0
2023-06-27,RTX,0.9931628,0,0,0,0
2023-06-28,RTX,1.0201315,0,0,0,0
2023-06-29,RTX,1.0016359,0,0,0,0
2023-06-30,RTX,1.0043895,0,0,0,0
2023-07-03,RTX,0.99847543,0,0,0,0
2023-07-05,RTX,0.9980661,0,0,0,0
2023-07-06,RTX,0.99357474,0,0,0,0
2023-07-07,RTX,1.0006158,0,0,0,0
2023-07-10,RTX,1.0056422,0,0,0,0
2023-07-11,RTX,0.98765683,0,0,0,0
2023-07-12,RTX,1.0036148,0,0,0,0
2023-07-13,RTX,0.9897088,0,0,0,0
2023-07-14,RTX,1.0015597,0,0,0,0
2023-07-17,RTX,0.99418616,0,0,0,0
2023-07-18,RTX,0.9980158,0,0,0,0
2023-07-19,RTX,1.0166371,0,0,0,0
2023-07-20,RTX,0.9920749,0,0,0,0
2023-07-21,RTX,1.0064322,0,0,1,0
2023-07-24,RTX,0.89784557,0,0,0,0
2023-07-25,RTX,0.9908152,0,0,0,0
2023-07-26,RTX,0.9869061,0,0,0,0
2023-07-27,RTX,1.0254785,0,0,0,0
2023-07-28,RTX,1.0067551,0,0,0,0
2023-07-31,RTX,1.000455,0,0,0,0
2023-08-01,RTX,0.9714675,0,0,0,0
2023-08-02,RTX,0.9907559,0,0,0,0
2023-08-03,RTX,0.9985828,0,0,0,0
2023-08-04,RTX,1.0108812,0,0,0,0
2023-08-07,RTX,1.0086579,0,0,0,0
2023-08-08,RTX,1.0180953,0,0,0,0
2023-08-09,RTX,0.9823403,0,0,0,0
2023-08-10,RTX,1.0071908,0,0,0,0
2023-08-11,RTX,0.99539393,0,0,0,0
2023-08-14,RTX,0.99097645,0,0,0,0
2023-08-15,RTX,0.99392945,0,0,0,0
2023-08-16,RTX,1.0070964,0,0,0,0
2023-08-17,RTX,1.0076336,0,0,0,0
2023-08-18,RTX,0.9967365,0,0,0,0
2023-08-21,RTX,0.99777836,0,0,0,0
2023-08-22,RTX,1.0083206,0,0,0,0
2023-08-23,RTX,0.989656,0,0,0,0
2023-08-24,RTX,0.9945977,0,0,0,0
2023-08-25,RTX,1.0123982,0,0,0,0
2023-08-28,RTX,0.99545133,0,0,0,0
2023-08-29,RTX,1.0126538,0,0,0,0
2023-08-30,RTX,0.99548775,0,0,0,0
2023-08-31,RTX,1.0027894,0,0,0,0
2023-09-01,RTX,0.98574424,0,0,0,0
2023-09-05,RTX,0.9818929,0,0,0,0
2023-09-06,RTX,1.0098191,0,0,0,0
2023-09-07,RTX,0.9899207,0,0,1,0
2023-09-08,RTX,0.9211786,0,0,0,0
2023-09-11,RTX,0.98257476,0,0,0,0
2023-09-12,RTX,1.0,0,0,0,0
2023-09-13,RTX,0.99920607,0,0,0,0
2023-09-14,RTX,1.0039734,0,0,0,0
2023-09-15,RTX,0.9918207,0,0,0,0
2023-09-18,RTX,0.99866986,0,0,0,0
2023-09-19,RTX,0.99134254,0,0,0,0
2023-09-20,RTX,0.9759505,0,0,0,0
2023-09-21,RTX,0.98540753,0,0,0,0
2023-09-22,RTX,1.006566,0,0,0,0
2023-09-25,RTX,1.0029147,0,0,0,0
2023-09-26,RTX,1.0085801,0,0,0,0
2023-09-27,RTX,0.9879254,0,0,0,0
2023-09-28,RTX,0.9995833,0,0,0,0
2023-09-29,RTX,0.99124634,0,0,0,0
2023-10-02,RTX,0.98934686,0,0,0,0
2023-10-03,RTX,0.9934826,0,0,0,0
2023-10-04,RTX,0.9894465,0,0,0,0
2023-10-05,RTX,1.0056213,0,1,0,0
2023-10-06,RTX,1.0461515,0,0,0,0
2023-10-09,RTX,1.0049323,0,0,0,0
2023-10-10,RTX,0.9994546,0,0,0,0
2023-10-11,RTX,0.9998637,0,0,0,0
2023-10-12,RTX,0.9993178,0,0,0,0
