tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,SPG,1.0221826,0,0,0,0
2023-02-02,SPG,0.98497605,0,0,0,0
2023-02-03,SPG,0.9909869,0,0,0,0
2023-02-06,SPG,0.9787003,0,0,0,0
2023-02-07,SPG,0.986815,0,0,0,0
2023-02-08,SPG,1.0013682,0,0,0,0
2023-02-09,SPG,0.99951786,0,0,0,0
2023-02-10,SPG,1.0114996,0,0,0,0
2023-02-13,SPG,0.9970584,0,0,0,0
2023-02-14,SPG,1.0008771,0,0,0,0
2023-02-15,SPG,0.99067885,0,0,0,0
2023-02-16,SPG,0.9944512,0,0,0,0
2023-02-17,SPG,0.9754164,0,0,0,0
2023-02-21,SPG,1.0039793,0,0,0,0
2023-02-22,SPG,1.0099093,0,0,0,0
2023-02-23,SPG,0.99615693,0,0,0,0
2023-02-24,SPG,1.0055815,0,0,0,0
2023-02-27,SPG,0.99657166,0,0,0,0
2023-02-28,SPG,0.99311996,0,0,0,0
2023-03-01,SPG,1.0131959,0,0,0,0
2023-03-02,SPG,1.0100123,0,0,0,0
2023-03-03,SPG,0.99814636,0,0,0,0
2023-03-06,SPG,0.9738393,0,0,0,0
2023-03-07,SPG,1.0130172,0,0,0,0
2023-03-08,SPG,0.9744144,0,0,0,0
2023-03-09,SPG,0.9505541,0,0,0,0
2023-03-10,SPG,0.99928254,0,0,0,0
2023-03-13,SPG,1.0070004,0,0,0,0
2023-03-14,SPG,0.97762936,0,0,0,0
2023-03-15,SPG,0.99553275,0,0,0,0
2023-03-16,SPG,0.9552197,0,0,0,0
2023-03-17,SPG,1.0269392,0,0,0,0
2023-03-20,SPG,1.0186706,0,0,0,0
2023-03-21,SPG,0.95592,0,0,0,0
2023-03-22,SPG,0.9814975,0,0,0,1
2023-03-23,SPG,1.0107443,0,0,0,0
2023-03-24,SPG,0.9982605,0,0,0,0
2023-03-27,SPG,1.0082284,0,0,0,0
2023-03-28,SPG,1.0234277,0,0,0,0
2023-03-29,SPG,1.0091002,0,0,0,0
2023-03-30,SPG,1.0410005,0,0,0,0
2023-03-31,SPG,1.0040189,0,0,0,0
2023-04-03,SPG,0.9901264,0,0,0,0
2023-04-04,SPG,0.9877819,0,0,0,0
2023-04-05,SPG,0.9983629,0,0,0,0
2023-04-06,SPG,0.9980868,0,0,0,0
2023-04-10,SPG,1.0054765,0,0,0,0
2023-04-11,SPG,0.99409956,0,0,0,0
2023-04-12,SPG,0.994795,0,0,0,0
2023-04-13,SPG,0.9873324,0,0,0,0
2023-04-14,SPG,1.0352361,0,0,0,0
2023-04-17,SPG,0.999551,0,0,0,0
2023-04-18,SPG,1.0068284,0,0,0,0
2023-04-19,SPG,0.9884884,0,0,0,0
2023-04-20,SPG,0.9990068,0,0,0,0
2023-04-21,SPG,0.99611443,0,0,0,0
2023-04-24,SPG,0.9908373,0,0,0,0
2023-04-25,SPG,0.99194276,0,0,0,0
2023-04-26,SPG,1.0208603,0,0,0,0
2023-04-27,SPG,1.0245931,0,0,0,0
2023-04-28,SPG,1.0015001,0,0,0,0
2023-05-01,SPG,0.98731166,0,0,0,0
2023-05-02,SPG,0.9601963,0,0,0,0
2023-05-03,SPG,1.0024166,0,0,0,0
2023-05-04,SPG,1.0157626,0,0,0,0
2023-05-05,SPG,0.98585117,0,0,0,0
2023-05-08,SPG,0.9860185,0,0,0,0
2023-05-09,SPG,1.0003756,0,0,0,0
2023-05-10,SPG,0.9973716,0,0,0,0
2023-05-11,SPG,1.0009412,0,0,0,0
2023-05-12,SPG,1.0054537,0,0,0,0
2023-05-15,SPG,0.970074,0,0,0,0
2023-05-16,SPG,1.0247757,0,0,0,0
2023-05-17,SPG,0.9928505,0,0,0,0
2023-05-18,SPG,0.99829453,0,0,0,0
2023-05-19,SPG,1.0058844,0,0,0,0
2023-05-22,SPG,0.98254377,0,0,0,0
2023-05-23,SPG,0.98108155,0,0,0,0
2023-05-24,SPG,0.9910924,0,0,0,0
2023-05-25,SPG,1.010963,0,0,0,0
2023-05-26,SPG,1.0112349,0,0,0,0
2023-05-30,SPG,1.0158439,0,0,0,0
2023-05-31,SPG,0.983357,0,0,0,0
2023-06-01,SPG,1.0300775,0,0,0,0
2023-06-02,SPG,1.0003756,0,0,0,0
2023-06-05,SPG,1.0245892,0,0,0,0
