tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,TGT,1.0222498,0,0,0,0
2023-02-02,TGT,0.9764666,0,0,0,0
2023-02-03,TGT,0.9834805,0,0,0,0
2023-02-06,TGT,1.0052922,0,0,0,0
2023-02-07,TGT,0.9830053,0,0,0,0
2023-02-08,TGT,0.9975552,0,0,0,0
2023-02-09,TGT,0.99212235,0,0,0,0
2023-02-10,TGT,1.0194095,0,0,0,0
2023-02-13,TGT,0.9937877,0,0,0,0
2023-02-14,TGT,1.0283344,0,0,0,0
2023-02-15,TGT,0.9915919,0,0,0,0
2023-02-16,TGT,0.99243724,0,0,0,0
2023-02-17,TGT,0.959589,0,0,0,0
2023-02-21,TGT,0.996992,0,0,0,0
2023-02-22,TGT,0.99867237,0,0,0,0
2023-02-23,TGT,1.0088218,0,0,0,0
2023-02-24,TGT,0.9991015,0,0,0,1
2023-02-27,TGT,1.0101311,0,0,0,1
2023-02-28,TGT,0.9637982,0,0,0,0
2023-03-01,TGT,1.021798,0,0,0,0
2023-03-02,TGT,1.0003616,0,0,0,0
2023-03-03,TGT,0.99518067,0,0,0,0
2023-03-06,TGT,0.98559314,0,0,0,0
2023-03-07,TGT,1.0042378,0,0,0,0
2023-03-08,TGT,0.98244756,0,0,0,0
2023-03-09,TGT,0.9846863,0,0,0,1
2023-03-10,TGT,0.9983563,0,0,0,0
2023-03-13,TGT,1.0028496,0,0,0,0
2023-03-14,TGT,1.0047989,0,0,0,0
2023-03-15,TGT,1.0246339,0,0,0,0
2023-03-16,TGT,0.97736883,0,0,0,0
2023-03-17,TGT,1.0243474,0,0,0,0
2023-03-20,TGT,0.99675316,0,0,0,0
2023-03-21,TGT,0.96779543,0,0,0,0
2023-03-22,TGT,0.99142694,0,0,0,0
2023-03-23,TGT,1.0006406,0,0,0,0
2023-03-24,TGT,1.0202279,0,0,0,0
2023-03-27,TGT,1.0024469,0,0,0,0
2023-03-28,TGT,0.9896101,0,0,0,0
2023-03-29,TGT,1.0136613,0,0,0,0
2023-03-30,TGT,1.0334436,0,0,0,0
2023-03-31,TGT,1.0025961,0,0,0,0
2023-04-03,TGT,0.99993986,0,0,0,0
2023-04-04,TGT,0.9951219,0,0,0,0
2023-04-05,TGT,1.0020576,0,0,0,0
2023-04-06,TGT,1.0206546,0,0,0,0
2023-04-10,TGT,1.0034322,0,0,0,0
2023-04-11,TGT,0.9642055,0,0,0,0
2023-04-12,TGT,0.99853235,0,0,0,0
2023-04-13,TGT,0.9860966,0,0,0,0
2023-04-14,TGT,1.0105588,0,0,0,0
2023-04-17,TGT,0.99815613,0,0,0,0
2023-04-18,TGT,1.0006773,0,0,0,0
2023-04-19,TGT,0.98627776,0,0,0,0
2023-04-20,TGT,1.0118542,0,0,0,0
2023-04-21,TGT,1.0108521,0,0,0,0
2023-04-24,TGT,0.96138847,0,0,0,0
2023-04-25,TGT,0.9862952,0,0,0,0
2023-04-26,TGT,1.0173688,0,0,0,0
2023-04-27,TGT,0.99747074,0,0,0,0
2023-04-28,TGT,0.9960065,0,0,0,0
2023-05-01,TGT,0.9910895,0,0,0,0
2023-05-02,TGT,0.99261504,0,0,0,0
2023-05-03,TGT,0.98680204,0,0,0,0
2023-05-04,TGT,1.0247164,0,0,0,0
2023-05-05,TGT,1.0012796,0,0,0,0
2023-05-08,TGT,1.0058787,0,0,0,0
2023-05-09,TGT,1.0019691,0,0,0,0
2023-05-10,TGT,1.0072277,0,0,0,0
2023-05-11,TGT,0.9944609,0,0,0,0
2023-05-12,TGT,1.0163301,0,0,0,0
2023-05-15,TGT,0.9838235,0,0,0,0
2023-05-16,TGT,1.0258111,0,0,0,0
2023-05-17,TGT,0.95787764,0,0,0,0
2023-05-18,TGT,0.98767674,0,0,0,0
2023-05-19,TGT,0.9975703,0,0,0,0
2023-05-22,TGT,0.9687316,0,0,0,0
2023-05-23,TGT,0.97241104,0,0,0,0
2023-05-24,TGT,0.98357785,0,0,0,0
2023-05-25,TGT,0.9870692,0,0,0,0
2023-05-26,TGT,0.96336293,0,0,0,0
2023-05-30,TGT,0.9782574,0,0,0,0
2023-05-31,TGT,1.0017568,0,0,0,0
2023-06-01,TGT,1.015706,0,0,0,0
2023-06-02,TGT,0.9803333,0,0,0,0
2023-06-05,TGT,1.0160797,0,0,0,0
2023-06-06,TGT,0.99284106,0,0,0,0
2023-06-07,TGT,0.99635667,0,0,0,0
2023-06-08,TGT,0.96739537,0,0,0,0
2023-06-09,TGT,0.995984,0,0,0,0
2023-06-12,TGT,1.0177103,0,0,0,0
2023-06-13,TGT,1.0350372,0,0,0,1
2023-06-14,TGT,1.0346018,0,0,0,0
2023-06-15,TGT,0.9707632,0,0,0,0
2023-06-16,TGT,0.99185413,0,0,0,0
2023-06-20,TGT,1.0037674,0,0,0,0
2023-06-21,TGT,0.9937697,0,0,0,0
2023-06-22,TGT,0.99577016,0,0,0,0
2023-06-23,TGT,1.0202533,0,0,0,0
2023-06-26,TGT,0.98520446,0,0,0,0
2023-06-27,TGT,0.9996983,0,0,0,0
