tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,TMO,0.9995063,0,0,0,0
2023-02-02,TMO,1.0011755,0,0,0,0
2023-02-03,TMO,0.9802809,0,0,0,0
2023-02-06,TMO,1.0121148,0,0,0,0
2023-02-07,TMO,0.99327767,0,0,0,0
2023-02-08,TMO,0.9822177,0,0,0,0
2023-02-09,TMO,1.0043591,0,0,0,0
2023-02-10,TMO,1.0062827,0,0,0,0
2023-02-13,TMO,0.99387825,0,0,0,0
2023-02-14,TMO,0.9918633,0,0,0,0
2023-02-15,TMO,0.9836811,0,0,0,0
2023-02-16,TMO,1.0038021,0,0,0,0
2023-02-17,TMO,0.9840451,0,0,0,0
2023-02-21,TMO,0.99569714,0,0,0,0
2023-02-22,TMO,1.0046496,0,0,0,0
2023-02-23,TMO,0.9851894,0,0,0,0
2023-02-24,TMO,0.9973471,0,0,0,0
2023-02-27,TMO,1.0007572,0,0,0,0
2023-02-28,TMO,0.9940197,0,0,0,0
2023-03-01,TMO,1.0189964,0,0,0,0
2023-03-02,TMO,1.0194807,0,0,0,0
2023-03-03,TMO,0.9983555,0,0,0,0
2023-03-06,TMO,0.98265064,0,0,0,0
2023-03-07,TMO,1.0107865,0,0,0,0
2023-03-08,TMO,0.99722403,0,0,0,0
2023-03-09,TMO,0.9830444,0,0,0,0
2023-03-10,TMO,0.9958259,0,0,0,0
2023-03-13,TMO,1.0272539,0,0,0,0
2023-03-14,TMO,0.9761494,0,0,0,0
2023-03-15,TMO,1.0265156,0,0,0,0
2023-03-16,TMO,0.9824983,0,0,0,0
2023-03-17,TMO,1.0059015,0,0,0,0
2023-03-20,TMO,1.0111339,0,0,0,0
2023-03-21,TMO,0.9957247,0,0,0,0
2023-03-22,TMO,1.0015696,0,0,0,0
2023-03-23,TMO,1.0055295,0,0,0,0
2023-03-24,TMO,1.0061442,0,0,0,0
2023-03-27,TMO,0.98671854,0,0,0,0
2023-03-28,TMO,1.00166,0,0,0,0
2023-03-29,TMO,1.0140862,0,0,0,0
2023-03-30,TMO,1.0238023,0,0,0,0
2023-03-31,TMO,0.9890697,0,0,0,0
2023-04-03,TMO,1.0107179,0,0,0,0
2023-04-04,TMO,1.006387,0,0,0,0
2023-04-05,TMO,0.99222213,0,0,0,0
2023-04-06,TMO,0.9982795,0,0,0,0
2023-04-10,TMO,1.0035168,0,0,0,0
2023-04-11,TMO,1.005153,0,0,0,0
2023-04-12,TMO,1.0203332,0,0,0,0
2023-04-13,TMO,0.9961262,0,0,0,0
2023-04-14,TMO,0.9995922,0,0,0,0
2023-04-17,TMO,0.9936461,0,0,0,0
