tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,TSLA,1.0378149,0,0,0,1
2023-02-02,TSLA,1.0090827,0,0,0,1
2023-02-03,TSLA,1.0251606,0,0,0,1
2023-02-06,TSLA,1.0105258,0,0,0,1
2023-02-07,TSLA,1.022763,0,0,0,1
2023-02-08,TSLA,1.0299568,0,0,1,1
2023-02-09,TSLA,0.94969124,0,0,0,1
2023-02-10,TSLA,0.9885723,1,1,0,1
2023-02-13,TSLA,1.0750617,0,1,0,1
2023-02-14,TSLA,1.0238471,0,1,1,1
2023-02-15,TSLA,0.94305444,0,1,0,1
2023-02-16,TSLA,1.0310335,0,1,1,1
2023-02-17,TSLA,0.9474821,0,0,0,1
2023-02-21,TSLA,1.0176826,0,1,0,1
2023-02-22,TSLA,1.0060241,0,1,0,1
2023-02-23,TSLA,0.9743158,1,1,0,1
2023-02-24,TSLA,1.0546018,0,1,0,1
2023-02-27,TSLA,0.9907528,0,1,0,1
2023-02-28,TSLA,0.985708,0,1,1,1
2023-03-01,TSLA,0.9414607,0,1,0,1
2023-03-02,TSLA,1.0360922,0,1,0,1
2023-03-03,TSLA,0.97987765,0,1,0,1
2023-03-06,TSLA,0.96852595,0,1,0,1
2023-03-07,TSLA,0.9695807,0,1,0,1
2023-03-08,TSLA,0.9501099,0,0,0,1
2023-03-09,TSLA,1.0030072,0,1,0,1
2023-03-10,TSLA,1.0059962,1,1,0,1
2023-03-13,TSLA,1.050321,0,1,0,1
2023-03-14,TSLA,0.9846666,0,1,0,1
2023-03-15,TSLA,1.0203935,0,1,0,1
2023-03-16,TSLA,0.9782762,0,1,0,1
2023-03-17,TSLA,1.0173208,1,1,0,1
2023-03-20,TSLA,1.0781991,0,1,0,1
2023-03-21,TSLA,0.96745616,0,1,0,1
2023-03-22,TSLA,1.0055977,0,1,0,1
2023-03-23,TSLA,0.9905837,0,0,0,1
2023-03-24,TSLA,1.0073525,0,0,0,1
2023-03-27,TSLA,0.9863407,0,0,0,1
2023-03-28,TSLA,1.0247899,0,1,0,1
2023-03-29,TSLA,1.007221,1,1,0,1
2023-03-30,TSLA,1.062372,0,1,1,1
2023-03-31,TSLA,0.93883157,0,1,0,1
2023-04-03,TSLA,0.98875594,0,1,0,1
2023-04-04,TSLA,0.9633399,0,0,0,1
2023-04-05,TSLA,0.99752045,0,0,0,1
2023-04-06,TSLA,0.997028,0,1,0,1
2023-04-10,TSLA,1.012357,0,0,0,1
2023-04-11,TSLA,0.96654,0,0,0,1
2023-04-12,TSLA,1.0296887,0,0,0,1
2023-04-13,TSLA,0.99515873,0,0,0,1
2023-04-14,TSLA,1.011027,0,0,0,0
2023-04-17,TSLA,0.9854042,0,0,0,1
2023-04-18,TSLA,0.9798166,0,0,1,0
2023-04-19,TSLA,0.9025417,0,0,0,1
2023-04-20,TSLA,1.0128229,0,0,0,1
2023-04-21,TSLA,0.9846741,0,1,0,1
2023-04-24,TSLA,0.9884343,0,1,0,1
2023-04-25,TSLA,0.95693034,0,1,0,1
2023-04-26,TSLA,1.0418862,0,1,0,1
2023-04-27,TSLA,1.0257194,0,1,0,1
2023-04-28,TSLA,0.9849066,0,0,0,1
2023-05-01,TSLA,0.9906074,0,1,0,1
2023-05-02,TSLA,1.0018713,0,0,0,1
2023-05-03,TSLA,1.0036734,1,1,0,1
2023-05-04,TSLA,1.0549628,0,1,0,1
2023-05-05,TSLA,1.0101728,0,1,0,1
2023-05-08,TSLA,0.98463243,0,0,0,1
2023-05-09,TSLA,0.99639374,0,0,0,1
2023-05-10,TSLA,1.021004,0,0,0,1
