tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,UNP,1.026355,0,0,0,0
2023-02-02,UNP,0.98538035,0,0,0,0
2023-02-03,UNP,0.9936753,0,0,0,0
2023-02-06,UNP,1.0003828,0,0,0,0
2023-02-07,UNP,0.99091095,0,0,0,0
2023-02-08,UNP,0.9790963,0,0,0,0
2023-02-09,UNP,1.0132636,0,0,0,0
2023-02-10,UNP,1.0026765,0,0,0,0
2023-02-13,UNP,0.99019647,0,0,0,0
2023-02-14,UNP,0.99549097,0,0,0,0
2023-02-15,UNP,0.98724824,0,0,0,0
2023-02-16,UNP,1.005336,0,0,0,0
2023-02-17,UNP,0.96110916,0,0,0,0
2023-02-21,UNP,0.9877678,0,1,0,0
2023-02-22,UNP,1.010137,0,1,0,0
2023-02-23,UNP,1.0036209,1,1,0,0
2023-02-24,UNP,1.1009235,0,1,0,0
2023-02-27,UNP,0.97695243,0,1,0,0
2023-02-28,UNP,1.0034254,0,1,0,0
2023-03-01,UNP,1.0162027,0,0,0,0
2023-03-02,UNP,0.9905374,0,0,0,1
2023-03-03,UNP,0.99746853,0,0,0,0
2023-03-06,UNP,0.9835749,0,0,0,0
2023-03-07,UNP,0.9910908,0,0,0,0
2023-03-08,UNP,0.9803507,0,0,0,0
2023-03-09,UNP,0.9824121,0,0,0,0
2023-03-10,UNP,0.99510366,0,0,0,0
2023-03-13,UNP,1.0002563,0,0,0,0
2023-03-14,UNP,0.98406357,0,0,0,0
2023-03-15,UNP,1.0045303,0,0,0,0
2023-03-16,UNP,0.984967,0,0,0,0
2023-03-17,UNP,0.998316,0,0,0,0
2023-03-20,UNP,0.9992091,0,0,0,0
2023-03-21,UNP,0.97984594,0,0,0,0
2023-03-22,UNP,1.0025846,0,0,0,0
2023-03-23,UNP,1.0124061,0,0,0,0
2023-03-24,UNP,1.0250384,0,0,0,0
2023-03-27,UNP,1.017337,0,0,0,0
2023-03-28,UNP,1.0127684,0,0,0,0
2023-03-29,UNP,0.99633324,0,0,0,0
2023-03-30,UNP,1.0146198,0,0,0,0
2023-03-31,UNP,0.9914539,0,0,0,0
2023-04-03,UNP,0.9816579,0,0,0,0
2023-04-04,UNP,0.99147433,0,0,0,0
2023-04-05,UNP,1.0228103,0,0,0,0
2023-04-06,UNP,0.99864084,0,0,0,0
2023-04-10,UNP,1.0026716,0,0,0,0
2023-04-11,UNP,0.9991453,0,0,0,0
2023-04-12,UNP,0.9959241,0,0,0,0
2023-04-13,UNP,1.003082,0,0,0,0
2023-04-14,UNP,1.0076059,0,0,0,0
2023-04-17,UNP,0.99715066,0,0,0,0
2023-04-18,UNP,1.0126835,0,0,0,0
2023-04-19,UNP,1.0029703,0,0,0,0
2023-04-20,UNP,0.9814906,0,0,0,0
2023-04-21,UNP,1.0071913,0,0,0,0
2023-04-24,UNP,0.9723887,0,0,0,0
2023-04-25,UNP,0.983312,0,0,0,0
2023-04-26,UNP,1.0106527,0,0,0,0
2023-04-27,UNP,1.0111605,0,0,0,0
2023-04-28,UNP,1.014972,0,0,0,0
2023-05-01,UNP,0.9871117,0,0,0,0
2023-05-02,UNP,0.9962259,0,0,0,0
2023-05-03,UNP,1.0088568,0,0,0,0
2023-05-04,UNP,1.021161,0,0,0,0
2023-05-05,UNP,0.99358964,0,0,0,0
2023-05-08,UNP,1.0032508,0,0,0,0
2023-05-09,UNP,0.9923726,0,0,0,0
2023-05-10,UNP,0.9950769,0,0,0,0
2023-05-11,UNP,1.0045941,0,0,0,0
2023-05-12,UNP,1.0032665,0,0,0,0
2023-05-15,UNP,0.98612505,0,0,0,0
2023-05-16,UNP,1.0100065,0,0,0,0
2023-05-17,UNP,0.9998492,0,0,0,0
2023-05-18,UNP,1.0008048,0,0,0,0
2023-05-19,UNP,0.9965823,0,0,0,0
2023-05-22,UNP,0.9903677,0,0,0,0
2023-05-23,UNP,0.977238,0,0,0,0
2023-05-24,UNP,1.006774,0,0,0,0
2023-05-25,UNP,0.9994306,0,0,0,0
2023-05-26,UNP,1.0125132,0,0,0,0
2023-05-30,UNP,0.99134916,0,0,0,0
2023-05-31,UNP,1.0164138,0,0,0,0
2023-06-01,UNP,1.015229,0,0,0,0
2023-06-02,UNP,1.0003523,0,0,0,0
2023-06-05,UNP,0.9880743,0,0,0,0
2023-06-06,UNP,1.0259727,0,0,0,0
2023-06-07,UNP,0.99766695,0,0,0,0
2023-06-08,UNP,0.9934326,0,0,0,0
2023-06-09,UNP,0.99644405,0,0,0,0
2023-06-12,UNP,0.9998492,0,0,0,0
2023-06-13,UNP,1.0191525,0,0,0,0
2023-06-14,UNP,1.0156851,0,0,0,0
2023-06-15,UNP,0.9939296,0,0,0,0
2023-06-16,UNP,0.9839254,0,0,0,0
2023-06-20,UNP,1.0112721,0,0,0,0
2023-06-21,UNP,0.9986251,0,0,0,0
2023-06-22,UNP,0.98288834,0,0,0,0
2023-06-23,UNP,1.007204,0,0,0,0
2023-06-26,UNP,1.0081954,0,0,0,0
2023-06-27,UNP,1.0005419,0,0,0,0
2023-06-28,UNP,1.0076814,0,0,0,0
2023-06-29,UNP,0.9998534,0,0,0,0
2023-06-30,UNP,1.0073795,0,0,0,0
2023-07-03,UNP,0.98923016,0,0,0,0
2023-07-05,UNP,0.9931342,0,0,0,0
2023-07-06,UNP,1.0015308,0,0,0,0
2023-07-07,UNP,1.0100582,0,0,0,0
2023-07-10,UNP,1.009421,0,0,0,0
2023-07-11,UNP,1.0103004,0,0,0,0
2023-07-12,UNP,1.0080893,0,0,0,0
2023-07-13,UNP,1.0018044,0,0,0,0
2023-07-14,UNP,0.9946442,0,0,0,0
2023-07-17,UNP,1.0131515,0,0,0,0
2023-07-18,UNP,1.0076662,0,0,0,0
2023-07-19,UNP,1.0118086,0,0,0,0
2023-07-20,UNP,1.0,0,0,0,0
2023-07-21,UNP,1.000738,0,1,0,0
2023-07-24,UNP,0.9935928,1,1,0,0
2023-07-25,UNP,1.1041522,0,1,0,0
2023-07-26,UNP,0.9752101,0,1,0,0
2023-07-27,UNP,1.0028868,0,1,0,0
2023-07-28,UNP,0.9967778,0,0,0,0
2023-07-31,UNP,0.9977589,0,0,0,0
2023-08-01,UNP,0.99438447,0,0,0,0
2023-08-02,UNP,0.99865335,0,0,0,0
2023-08-03,UNP,0.9940842,0,0,0,0
2023-08-04,UNP,1.0051196,0,0,0,0
2023-08-07,UNP,0.99534184,0,0,0,0
2023-08-08,UNP,1.0027118,0,0,0,0
2023-08-09,UNP,1.0045801,0,0,0,0
2023-08-10,UNP,0.99648297,0,0,0,0
2023-08-11,UNP,1.0013508,0,0,0,0
2023-08-14,UNP,0.9814621,0,0,0,0
2023-08-15,UNP,0.99592096,0,0,0,0
2023-08-16,UNP,0.99893147,0,0,0,0
2023-08-17,UNP,1.0039219,0,0,0,0
2023-08-18,UNP,0.99427325,0,0,0,0
2023-08-21,UNP,0.99303496,0,0,0,0
2023-08-22,UNP,1.0032372,0,0,0,0
2023-08-23,UNP,0.99726605,0,0,0,0
2023-08-24,UNP,1.00746,0,0,0,0
2023-08-25,UNP,1.0016059,0,0,0,0
2023-08-28,UNP,0.99510103,0,0,0,0
2023-08-29,UNP,1.0033762,0,0,0,0
2023-08-30,UNP,0.98959136,0,0,0,0
2023-08-31,UNP,1.0020854,0,0,0,0
2023-09-01,UNP,0.9759309,0,0,0,0
2023-09-05,UNP,0.9866487,0,0,0,0
2023-09-06,UNP,0.98938125,0,0,0,0
2023-09-07,UNP,1.0058413,0,0,0,0
2023-09-08,UNP,0.99910283,0,0,0,0
2023-09-11,UNP,1.0106801,0,0,0,0
2023-09-12,UNP,0.99186426,0,0,0,0
2023-09-13,UNP,1.0168293,0,0,0,0
2023-09-14,UNP,0.98896617,0,0,0,0
2023-09-15,UNP,0.99920297,0,0,0,0
2023-09-18,UNP,0.99352586,0,0,0,0
2023-09-19,UNP,1.0057136,0,0,0,0
2023-09-20,UNP,0.9925814,0,0,0,0
2023-09-21,UNP,0.9897825,0,0,0,0
2023-09-22,UNP,0.9963678,0,0,0,0
2023-09-25,UNP,0.9825403,0,0,0,0
2023-09-26,UNP,0.9880882,0,0,0,0
2023-09-27,UNP,1.0084486,0,0,0,0
2023-09-28,UNP,0.99764836,0,0,0,0
2023-09-29,UNP,0.9951382,0,0,0,0
2023-10-02,UNP,1.0056257,0,0,0,0
2023-10-03,UNP,0.99259007,0,0,0,0
2023-10-04,UNP,0.9919414,0,0,0,0
2023-10-05,UNP,1.0090711,0,0,0,0
2023-10-06,UNP,1.0090882,0,0,0,0
2023-10-09,UNP,1.0100343,0,0,0,0
2023-10-10,UNP,1.0151683,0,0,0,0
2023-10-11,UNP,0.9928872,0,0,0,0
2023-10-12,UNP,0.99884605,0,0,0,0
2023-10-13,UNP,1.0148255,0,0,0,0
2023-10-16,UNP,1.002419,0,0,0,0
2023-10-17,UNP,0.97435415,0,0,0,0
2023-10-18,UNP,1.0214161,0,0,0,0
2023-10-19,UNP,1.004802,0,0,0,0
2023-10-20,UNP,0.9830605,0,0,0,0
2023-10-23,UNP,0.98883337,0,0,0,0
2023-10-24,UNP,0.99892914,0,0,0,0
2023-10-25,UNP,0.985479,0,0,0,0
2023-10-26,UNP,0.9974288,0,0,0,0
2023-10-27,UNP,1.0202261,0,0,0,0
2023-10-30,UNP,1.0087949,0,0,0,0
2023-10-31,UNP,0.9997592,0,0,0,0
2023-11-01,UNP,1.0184525,0,0,0,0
2023-11-02,UNP,1.0035006,0,0,0,0
2023-11-03,UNP,1.0045726,0,0,0,0
2023-11-06,UNP,0.9920695,0,0,0,0
2023-11-07,UNP,1.0027908,0,0,0,0
2023-11-08,UNP,0.99165094,0,0,0,0
2023-11-09,UNP,1.0059935,0,0,0,0
2023-11-10,UNP,0.99011767,0,0,0,0
2023-11-13,UNP,1.0300382,0,0,0,0
2023-11-14,UNP,1.0110807,0,0,0,0
2023-11-15,UNP,1.0058694,0,0,0,0
2023-11-16,UNP,0.9993162,0,0,0,0
2023-11-17,UNP,1.0086219,0,0,0,0
2023-11-20,UNP,1.0040706,0,0,0,0
2023-11-21,UNP,1.0067117,0,0,0,0
2023-11-22,UNP,1.0035347,0,0,0,0
2023-11-24,UNP,0.980248,0,0,0,0
2023-11-27,UNP,1.006277,0,0,0,0
2023-11-28,UNP,1.0010849,0,0,0,0
2023-11-29,UNP,1.017158,0,0,0,0
2023-11-30,UNP,1.0270786,0,0,0,0
2023-12-01,UNP,1.010935,0,0,0,0
2023-12-04,UNP,0.99260366,0,0,0,0
2023-12-05,UNP,1.0034457,0,0,0,0
2023-12-06,UNP,0.99922305,0,0,0,0
2023-12-07,UNP,0.9925699,0,0,0,0
2023-12-08,UNP,1.0098358,0,0,0,0
2023-12-11,UNP,1.0037926,0,0,0,0
2023-12-12,UNP,1.0162294,0,0,0,0
2023-12-13,UNP,1.0260679,0,0,0,0
2023-12-14,UNP,0.99637645,0,0,0,0
2023-12-15,UNP,0.99636334,0,0,0,0
2023-12-18,UNP,1.0064288,0,0,0,0
2023-12-19,UNP,0.9801773,0,0,0,0
2023-12-20,UNP,1.0179533,0,0,0,0
2023-12-21,UNP,1.0060716,0,0,0,0
2023-12-22,UNP,1.0070202,0,0,0,0
2023-12-26,UNP,1.00212,0,0,0,0
2023-12-27,UNP,1.0008543,0,0,0,0
2023-12-28,UNP,0.99837404,0,0,0,0
2023-12-29,UNP,0.9910838,0,0,0,0
