tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,UPS,1.0341119,0,0,0,0
2023-02-02,UPS,1.0019342,0,0,0,0
2023-02-03,UPS,0.98486906,0,0,0,0
2023-02-06,UPS,0.99750996,0,0,0,0
2023-02-07,UPS,0.9897499,0,0,0,0
2023-02-08,UPS,0.9913608,0,0,0,0
2023-02-09,UPS,1.002544,0,0,0,0
2023-02-10,UPS,1.0118239,0,0,0,0
2023-02-13,UPS,0.9965851,0,0,0,0
2023-02-14,UPS,1.0003746,0,0,0,0
2023-02-15,UPS,0.9930959,0,0,0,0
2023-02-16,UPS,0.99608546,0,0,0,0
2023-02-17,UPS,0.9740735,0,0,0,0
2023-02-21,UPS,0.9896334,0,0,0,0
2023-02-22,UPS,1.0188551,0,0,0,0
2023-02-23,UPS,1.001167,0,0,0,0
2023-02-24,UPS,1.011546,0,0,0,0
2023-02-27,UPS,1.0014268,0,0,0,0
2023-02-28,UPS,1.003233,0,0,0,0
2023-03-01,UPS,1.0087394,0,0,0,0
2023-03-02,UPS,1.0054147,0,0,0,0
2023-03-03,UPS,1.0044701,0,0,0,0
2023-03-06,UPS,0.98262835,0,0,0,0
2023-03-07,UPS,1.00562,0,0,0,0
2023-03-08,UPS,0.99229515,0,0,0,0
2023-03-09,UPS,0.9926728,0,0,0,0
2023-03-10,UPS,1.0038007,0,0,0,0
2023-03-13,UPS,1.0155299,0,0,0,0
2023-03-14,UPS,0.99621737,0,0,0,0
2023-03-15,UPS,1.0193101,0,0,0,0
2023-03-16,UPS,0.99398685,0,0,0,0
2023-03-17,UPS,0.9823331,0,0,0,0
2023-03-20,UPS,1.0179846,0,0,0,0
2023-03-21,UPS,0.9933079,0,0,0,0
2023-03-22,UPS,0.9986526,0,0,0,0
2023-03-23,UPS,1.0042098,0,0,0,0
2023-03-24,UPS,1.0067178,0,0,0,0
2023-03-27,UPS,1.0021888,0,0,0,0
2023-03-28,UPS,1.0199224,0,0,0,0
2023-03-29,UPS,0.9980153,0,0,0,0
2023-03-30,UPS,1.0151759,0,0,0,0
2023-03-31,UPS,0.99860823,0,0,0,0
2023-04-03,UPS,0.98394597,0,0,0,0
2023-04-04,UPS,0.99365187,0,0,0,0
2023-04-05,UPS,0.9956706,0,0,0,0
2023-04-06,UPS,1.0089086,0,0,0,0
2023-04-10,UPS,1.0115106,0,0,0,0
2023-04-11,UPS,0.98649,0,0,0,0
2023-04-12,UPS,1.0060574,0,0,0,0
2023-04-13,UPS,1.0097907,0,0,0,0
2023-04-14,UPS,1.0021777,0,0,0,0
2023-04-17,UPS,1.0042939,0,0,0,0
2023-04-18,UPS,1.0098394,0,0,0,0
2023-04-19,UPS,0.99464357,0,0,0,0
2023-04-20,UPS,1.0011798,0,0,0,0
2023-04-21,UPS,1.0032785,0,0,1,0
2023-04-24,UPS,0.9001276,0,0,0,0
2023-04-25,UPS,0.9788986,0,0,0,0
2023-04-26,UPS,1.0300746,0,0,0,0
2023-04-27,UPS,1.0115325,0,0,0,0
2023-04-28,UPS,1.0132918,0,0,0,0
2023-05-01,UPS,0.9760702,0,0,0,0
