tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,USB,0.9985777,0,0,0,0
2023-02-02,USB,1.003052,0,0,0,0
2023-02-03,USB,0.99290067,0,0,0,0
2023-02-06,USB,1.0147089,0,0,0,0
2023-02-07,USB,0.9879203,0,0,0,0
2023-02-08,USB,0.9938863,0,0,0,0
2023-02-09,USB,0.99856466,0,0,0,0
2023-02-10,USB,1.0080082,0,0,0,0
2023-02-13,USB,1.0008148,0,0,0,0
2023-02-14,USB,0.9989823,0,0,0,0
2023-02-15,USB,0.9892013,0,0,0,0
2023-02-16,USB,1.0010297,0,0,0,0
2023-02-17,USB,0.9812757,0,0,0,0
2023-02-21,USB,0.9968548,0,0,0,0
2023-02-22,USB,1.0037862,0,0,0,0
2023-02-23,USB,0.99832356,0,0,0,0
2023-02-24,USB,0.9987406,0,0,0,0
2023-02-27,USB,1.0031526,0,0,0,0
2023-02-28,USB,0.99120045,0,0,0,0
2023-03-01,USB,0.97886294,0,0,0,0
2023-03-02,USB,1.0172747,0,0,0,0
2023-03-03,USB,1.0002123,0,0,0,0
2023-03-06,USB,0.9677419,0,0,0,0
2023-03-07,USB,0.99758774,0,0,1,0
2023-03-08,USB,0.9298747,0,0,0,0
2023-03-09,USB,0.96028364,0,0,1,0
2023-03-10,USB,0.89955676,0,1,0,1
2023-03-13,USB,1.0265465,0,1,1,1
2023-03-14,USB,0.9448147,0,1,0,1
2023-03-15,USB,1.0259595,0,1,1,1
2023-03-16,USB,0.9062155,0,1,0,1
2023-03-17,USB,1.0455235,1,1,0,1
2023-03-20,USB,1.0891145,0,1,1,1
2023-03-21,USB,0.9272389,0,1,0,1
2023-03-22,USB,1.0077609,0,1,0,1
2023-03-23,USB,0.9954365,0,1,0,1
2023-03-24,USB,0.9991403,0,0,0,1
2023-03-27,USB,1.0197878,0,0,0,1
2023-03-28,USB,1.0185602,0,0,0,0
2023-03-29,USB,0.99188584,0,0,0,1
2023-03-30,USB,1.0169251,0,0,0,1
2023-03-31,USB,0.988627,0,0,0,0
2023-04-03,USB,0.9837261,0,0,0,0
2023-04-04,USB,1.0014262,0,0,0,0
2023-04-05,USB,1.0182284,0,0,0,0
2023-04-06,USB,0.99608386,0,0,0,0
2023-04-10,USB,0.99775344,0,0,0,0
2023-04-11,USB,0.99634117,0,0,0,0
2023-04-12,USB,0.999435,0,0,0,0
2023-04-13,USB,0.98841166,0,0,0,0
2023-04-14,USB,1.0177293,0,0,0,0
2023-04-17,USB,0.9887609,0,0,0,0
2023-04-18,USB,1.023302,0,0,0,0
2023-04-19,USB,0.9652875,0,0,0,0
2023-04-20,USB,0.96432686,0,0,0,1
2023-04-21,USB,0.97822195,0,0,0,0
2023-04-24,USB,0.96889293,0,0,0,1
2023-04-25,USB,0.992131,0,1,0,1
2023-04-26,USB,1.0333121,1,1,0,1
2023-04-27,USB,1.0525022,0,1,0,0
2023-04-28,USB,0.9609103,0,0,1,0
2023-05-01,USB,0.92987245,0,1,0,1
2023-05-02,USB,0.9729024,0,1,0,1
2023-05-03,USB,0.9724833,1,1,0,1
2023-05-04,USB,1.0607315,0,1,0,1
2023-05-05,USB,0.96746916,0,1,0,1
2023-05-08,USB,1.0057162,0,1,0,1
2023-05-09,USB,0.9846206,0,0,0,1
2023-05-10,USB,0.98200333,0,0,0,1
2023-05-11,USB,1.0072614,0,0,0,1
2023-05-12,USB,1.0178511,0,1,0,1
2023-05-15,USB,0.967285,1,1,0,1
2023-05-16,USB,1.0617156,0,1,0,1
2023-05-17,USB,1.0013136,0,1,0,0
2023-05-18,USB,0.9875369,0,1,0,0
2023-05-19,USB,1.0265692,0,1,0,0
2023-05-22,USB,1.0074409,0,0,0,0
2023-05-23,USB,0.9894027,0,0,0,0
2023-05-24,USB,0.9902629,0,0,0,0
2023-05-25,USB,1.0052441,0,0,0,0
2023-05-26,USB,0.999674,0,0,0,0
2023-05-30,USB,0.9752119,0,0,0,1
2023-05-31,USB,1.0207359,0,0,0,0
2023-06-01,USB,1.0399737,0,1,0,0
2023-06-02,USB,0.9836169,0,0,0,0
2023-06-05,USB,1.0451635,0,1,0,1
2023-06-06,USB,1.0193073,0,0,0,0
2023-06-07,USB,0.99398696,0,0,0,0
2023-06-08,USB,0.9939502,0,0,0,0
2023-06-09,USB,0.97869754,0,0,0,0
2023-06-12,USB,1.0167911,0,0,0,1
2023-06-13,USB,0.98165125,0,0,0,0
2023-06-14,USB,1.0370717,0,0,0,0
2023-06-15,USB,1.0048064,0,0,0,0
2023-06-16,USB,1.0038865,0,0,0,0
2023-06-20,USB,0.99553293,0,0,0,0
2023-06-21,USB,0.9641041,0,0,0,0
2023-06-22,USB,0.9891405,0,0,0,0
2023-06-23,USB,1.0138017,0,0,0,0
2023-06-26,USB,1.0071163,0,0,0,0
2023-06-27,USB,0.9929339,0,0,0,0
2023-06-28,USB,1.0288945,0,0,0,0
2023-06-29,USB,1.0085471,0,0,0,0
2023-06-30,USB,1.0163438,0,0,0,0
2023-07-03,USB,0.998511,0,0,0,0
2023-07-05,USB,0.98389506,0,0,0,0
2023-07-06,USB,1.0166718,0,0,0,0
2023-07-07,USB,1.0059631,0,0,0,0
2023-07-10,USB,1.0349731,0,0,0,0
2023-07-11,USB,1.0054411,0,0,0,0
2023-07-12,USB,1.0199373,0,0,0,0
2023-07-13,USB,0.9865961,0,0,0,0
2023-07-14,USB,0.9980183,0,1,0,0
2023-07-17,USB,1.0365856,1,1,0,0
2023-07-18,USB,1.064569,0,1,0,0
2023-07-19,USB,1.005911,0,0,0,0
2023-07-20,USB,0.9816046,0,0,0,0
2023-07-21,USB,1.0218635,0,0,0,0
2023-07-24,USB,0.96434027,0,0,0,0
2023-07-25,USB,1.0272055,0,0,0,0
2023-07-26,USB,0.99820006,0,0,0,0
2023-07-27,USB,1.0185473,0,0,0,0
2023-07-28,USB,1.0035408,0,0,0,0
2023-07-31,USB,0.9755543,0,0,0,0
2023-08-01,USB,0.99276674,0,0,0,0
2023-08-02,USB,1.0265417,0,0,0,0
2023-08-03,USB,1.0103929,0,0,0,0
2023-08-04,USB,1.0065229,0,0,0,0
2023-08-07,USB,1.0027418,0,0,0,0
2023-08-08,USB,0.9855829,0,0,0,0
2023-08-09,USB,0.9959647,0,0,0,0
2023-08-10,USB,0.99924034,0,0,0,0
2023-08-11,USB,0.9812467,0,0,0,0
2023-08-14,USB,0.97210747,0,0,0,0
2023-08-15,USB,0.98432505,0,0,0,0
2023-08-16,USB,0.9935223,0,0,0,0
2023-08-17,USB,1.0008152,0,0,0,0
2023-08-18,USB,0.9978285,0,0,0,0
2023-08-21,USB,0.97497284,0,0,0,0
2023-08-22,USB,1.0114397,0,0,0,0
2023-08-23,USB,0.9966898,0,0,0,0
2023-08-24,USB,0.98283964,0,0,0,0
2023-08-25,USB,1.0143623,0,0,0,0
2023-08-28,USB,1.0127705,0,0,0,0
2023-08-29,USB,0.9972588,0,0,0,0
2023-08-30,USB,1.0041231,0,0,0,0
2023-08-31,USB,1.0147825,0,0,0,0
2023-09-01,USB,0.9851631,0,0,0,0
2023-09-05,USB,0.98904717,0,0,0,0
2023-09-06,USB,0.9864341,0,0,0,0
2023-09-07,USB,1.0134717,0,0,0,0
2023-09-08,USB,1.0024924,0,0,0,0
2023-09-11,USB,1.0220995,0,0,1,0
2023-09-12,USB,0.9499999,0,0,0,0
2023-09-13,USB,1.0162164,0,0,0,0
2023-09-14,USB,0.9840424,0,0,0,0
2023-09-15,USB,0.98862016,0,0,0,0
2023-09-18,USB,0.99539584,0,0,0,0
2023-09-19,USB,0.9947961,0,0,0,0
2023-09-20,USB,0.97210115,0,0,0,0
2023-09-21,USB,0.9979073,0,0,0,0
2023-09-22,USB,1.0062913,0,0,0,0
2023-09-25,USB,0.98303074,0,0,0,0
2023-09-26,USB,0.9848577,0,0,0,0
2023-09-27,USB,1.0134206,0,0,0,0
2023-09-28,USB,1.0181706,0,0,0,0
2023-09-29,USB,0.9721718,0,0,0,0
2023-10-02,USB,0.97510886,0,0,0,0
2023-10-03,USB,0.9968092,0,0,0,0
2023-10-04,USB,1.0201665,0,0,0,0
2023-10-05,USB,0.9996862,0,0,0,0
2023-10-06,USB,1.004708,0,0,0,0
2023-10-09,USB,1.0181195,0,0,0,0
2023-10-10,USB,0.9975452,0,0,0,0
2023-10-11,USB,0.9923101,0,0,0,0
2023-10-12,USB,0.9972101,0,1,0,0
2023-10-13,USB,1.0139881,1,1,0,0
2023-10-16,USB,1.0695893,0,1,0,0
2023-10-17,USB,0.9564344,0,1,0,0
2023-10-18,USB,0.9814205,0,1,1,0
2023-10-19,USB,0.9444275,0,0,0,0
2023-10-20,USB,1.0106692,0,0,0,0
2023-10-23,USB,1.0041586,0,0,0,0
2023-10-24,USB,0.9968143,0,0,0,0
2023-10-25,USB,1.0153403,0,0,0,0
2023-10-26,USB,0.9644318,0,0,0,0
2023-10-27,USB,1.0218669,0,0,0,0
2023-10-30,USB,1.018205,0,1,0,0
2023-10-31,USB,0.99937266,1,1,0,0
2023-11-01,USB,1.0778404,0,1,0,0
2023-11-02,USB,1.0334888,0,1,0,0
2023-11-03,USB,0.9938011,0,1,0,0
2023-11-06,USB,0.9869578,0,0,0,1
2023-11-07,USB,0.9913816,0,0,0,0
2023-11-08,USB,0.9826138,0,0,0,0
2023-11-09,USB,1.0085521,0,1,0,0
2023-11-10,USB,0.994152,1,1,0,0
2023-11-13,USB,1.0632354,0,1,0,0
2023-11-14,USB,1.0284925,0,1,0,0
2023-11-15,USB,1.0037655,0,0,0,0
2023-11-16,USB,1.0085745,0,0,0,0
2023-11-17,USB,0.99973434,0,0,0,0
2023-11-20,USB,0.9835236,0,0,0,0
2023-11-21,USB,0.99513656,0,0,0,0
2023-11-22,USB,1.0100462,0,0,0,0
2023-11-24,USB,0.98897845,0,0,0,0
2023-11-27,USB,1.0067954,0,0,0,0
2023-11-28,USB,1.0202484,0,0,0,0
2023-11-29,USB,1.0087323,0,0,0,0
2023-11-30,USB,1.0330535,0,0,0,0
2023-12-01,USB,1.0027933,0,0,0,0
2023-12-04,USB,0.99772096,0,0,0,0
2023-12-05,USB,0.99187815,0,0,0,0
2023-12-06,USB,1.0166324,0,0,0,0
2023-12-07,USB,1.0176189,0,0,0,0
2023-12-08,USB,1.0024735,0,0,0,0
2023-12-11,USB,0.99802613,1,1,0,0
2023-12-12,USB,1.0504327,1,1,0,0
2023-12-13,USB,1.0668391,0,1,0,0
2023-12-14,USB,0.99294066,0,0,0,0
2023-12-15,USB,0.97867143,0,0,0,0
2023-12-18,USB,1.0036322,0,0,0,0
2023-12-19,USB,0.9604162,0,0,0,0
2023-12-20,USB,1.020019,0,0,0,0
2023-12-21,USB,1.0046177,0,0,0,0
2023-12-22,USB,1.0128706,0,0,0,0
2023-12-26,USB,0.9970502,0,0,0,0
2023-12-27,USB,1.0041428,0,0,0,0
2023-12-28,USB,0.9919779,0,0,0,0
2023-12-29,USB,1.0145564,0,0,0,0
