tid,symbol,close,target_1,pred_1,target_2,pred_2
2023-02-01,V,0.9941966,0,0,0,0
2023-02-02,V,1.0024831,0,0,0,0
2023-02-03,V,0.9970017,0,0,0,0
2023-02-06,V,1.0081939,0,0,0,0
2023-02-07,V,0.9951582,0,0,0,0
2023-02-08,V,0.998259,0,0,0,0
2023-02-09,V,0.9906256,0,0,0,0
2023-02-10,V,1.0073944,0,0,0,0
2023-02-13,V,1.0022283,0,0,0,0
2023-02-14,V,0.997951,0,0,0,0
2023-02-15,V,0.98650193,0,0,0,0
2023-02-16,V,0.98994815,0,0,0,0
2023-02-17,V,0.9868491,0,0,0,0
2023-02-21,V,0.9972804,0,0,0,0
2023-02-22,V,1.005045,0,0,0,0
2023-02-23,V,0.99285483,0,0,0,0
2023-02-24,V,1.0036439,0,0,0,0
2023-02-27,V,0.9981393,0,0,0,0
2023-02-28,V,0.9928162,0,0,0,0
2023-03-01,V,1.0032057,0,0,0,0
2023-03-02,V,1.021501,0,0,0,0
2023-03-03,V,1.0133172,0,0,0,0
2023-03-06,V,0.9842116,0,0,0,0
2023-03-07,V,0.99560875,0,0,0,0
2023-03-08,V,0.9901885,0,0,0,0
2023-03-09,V,0.98240995,0,0,0,0
2023-03-10,V,0.9922736,0,0,0,0
2023-03-13,V,1.0195366,0,0,0,0
2023-03-14,V,0.9895271,0,0,0,0
2023-03-15,V,1.0049914,0,0,0,0
2023-03-16,V,0.99972403,0,0,0,0
2023-03-17,V,1.003496,0,0,0,0
2023-03-20,V,1.0174191,0,0,0,0
2023-03-21,V,0.9913945,0,0,0,0
2023-03-22,V,1.0115887,0,0,0,0
2023-03-23,V,0.99303657,0,0,0,0
2023-03-24,V,1.0034835,0,0,0,0
2023-03-27,V,0.99332774,0,0,0,0
2023-03-28,V,1.0134797,0,0,0,0
2023-03-29,V,0.9957904,0,0,0,0
2023-03-30,V,1.0139413,0,0,0,0
2023-03-31,V,1.0157013,0,0,0,0
2023-04-03,V,0.99414843,0,0,0,0
2023-04-04,V,1.0022402,0,0,0,0
2023-04-05,V,0.99044573,0,0,0,0
2023-04-06,V,1.0019469,0,0,0,0
2023-04-10,V,1.0089211,0,0,0,0
2023-04-11,V,0.9971984,0,0,0,0
2023-04-12,V,1.0214214,0,0,0,0
2023-04-13,V,1.0057158,0,0,0,0
2023-04-14,V,0.99769247,0,0,0,0
2023-04-17,V,1.0005139,0,0,0,0
2023-04-18,V,0.9955908,0,0,0,0
2023-04-19,V,1.0087286,0,0,0,0
2023-04-20,V,0.9976555,0,0,0,0
2023-04-21,V,0.99448836,0,0,0,0
2023-04-24,V,0.9863808,0,0,0,0
2023-04-25,V,0.99372786,0,0,0,0
2023-04-26,V,1.0037695,0,0,0,0
2023-04-27,V,1.0162438,0,0,0,0
2023-04-28,V,0.99905473,0,0,0,0
2023-05-01,V,0.9762161,0,0,0,0
2023-05-02,V,0.9955943,0,0,0,0
2023-05-03,V,0.9983185,0,0,0,0
2023-05-04,V,1.0273936,0,0,0,0
2023-05-05,V,1.0019414,0,0,0,0
2023-05-08,V,1.0044353,0,0,0,0
2023-05-09,V,0.99146885,0,0,0,0
2023-05-10,V,1.000823,0,0,0,0
2023-05-11,V,1.0016017,0,0,0,0
2023-05-12,V,1.0061803,0,0,0,0
2023-05-15,V,0.9899489,0,0,0,0
2023-05-16,V,1.009459,0,0,0,0
2023-05-17,V,1.0040834,0,0,0,0
2023-05-18,V,0.9987585,0,0,0,0
2023-05-19,V,0.99129915,0,0,0,0
2023-05-22,V,0.9710308,0,0,0,0
2023-05-23,V,0.9896251,0,0,0,0
2023-05-24,V,1.0050845,0,0,0,0
2023-05-25,V,1.0072969,0,0,0,0
2023-05-26,V,0.98502284,0,0,0,0
2023-05-30,V,0.99724776,0,0,0,0
2023-05-31,V,1.0247478,0,0,0,0
2023-06-01,V,1.0101104,0,0,0,0
2023-06-02,V,0.991171,0,0,0,0
2023-06-05,V,1.0063941,0,0,0,0
2023-06-06,V,0.9870738,0,0,0,0
2023-06-07,V,0.9901452,0,0,0,0
2023-06-08,V,1.0022866,0,0,0,0
2023-06-09,V,1.0116746,0,0,0,0
2023-06-12,V,0.9877525,0,0,0,0
2023-06-13,V,1.000179,0,0,0,0
2023-06-14,V,1.012218,0,0,0,0
2023-06-15,V,1.0121149,0,0,0,0
2023-06-16,V,0.9893406,0,0,0,0
2023-06-20,V,1.0034443,0,0,0,0
2023-06-21,V,1.0050164,0,0,0,0
2023-06-22,V,1.005079,0,0,0,0
2023-06-23,V,0.9858418,0,0,0,0
2023-06-26,V,1.0045958,0,0,0,0
2023-06-27,V,1.0027272,0,0,0,0
2023-06-28,V,1.0278996,0,0,0,0
2023-06-29,V,1.0134857,0,0,0,0
2023-06-30,V,1.0020634,0,0,0,0
2023-07-03,V,1.0062193,0,0,0,0
2023-07-05,V,0.9976197,0,0,0,0
2023-07-06,V,0.98982745,0,0,0,0
2023-07-07,V,1.007232,0,0,0,0
2023-07-10,V,1.0100353,0,0,0,0
2023-07-11,V,1.0069009,0,0,0,0
2023-07-12,V,1.0045415,0,0,0,0
2023-07-13,V,0.99938357,0,0,0,0
2023-07-14,V,1.0034133,0,0,0,0
2023-07-17,V,0.98680264,0,0,0,0
2023-07-18,V,1.0026997,0,0,0,0
2023-07-19,V,0.9925442,0,0,0,0
2023-07-20,V,0.9984559,0,0,0,0
2023-07-21,V,1.0062279,0,0,0,0
2023-07-24,V,0.9914846,0,0,0,0
2023-07-25,V,0.9933386,0,0,0,0
2023-07-26,V,0.9887811,0,0,0,0
2023-07-27,V,1.0055878,0,0,0,0
2023-07-28,V,1.0083987,0,0,0,0
2023-07-31,V,1.0086232,0,0,0,0
2023-08-01,V,0.99074155,0,0,0,0
2023-08-02,V,1.0050514,0,0,0,0
2023-08-03,V,1.0009634,0,0,0,0
2023-08-04,V,1.0105442,0,0,0,0
2023-08-07,V,0.9908079,0,0,0,0
2023-08-08,V,1.0019642,0,0,0,0
2023-08-09,V,1.0035518,0,0,0,0
2023-08-10,V,0.9995004,0,0,0,0
2023-08-11,V,1.0119147,0,0,0,0
2023-08-14,V,0.9873611,0,0,0,0
2023-08-15,V,0.9977483,0,0,0,0
2023-08-16,V,0.9919764,0,0,0,0
2023-08-17,V,1.0033703,0,0,0,0
2023-08-18,V,1.0054164,0,0,0,0
2023-08-21,V,1.0046353,0,0,0,0
2023-08-22,V,1.0071912,0,0,0,0
2023-08-23,V,0.9883203,0,0,0,0
2023-08-24,V,1.0129453,0,0,0,0
2023-08-25,V,1.0051943,0,0,0,0
2023-08-28,V,1.0061928,0,0,0,0
2023-08-29,V,1.0036275,0,0,0,0
2023-08-30,V,0.9977663,0,0,0,0
2023-08-31,V,1.0098909,0,0,0,0
2023-09-01,V,0.9888356,0,0,0,0
2023-09-05,V,1.0033423,0,0,0,0
2023-09-06,V,1.0039812,0,0,0,0
2023-09-07,V,1.0006069,0,0,0,0
2023-09-08,V,0.99971694,0,0,0,0
2023-09-11,V,1.0003235,0,0,0,0
2023-09-12,V,1.0021433,0,0,0,0
2023-09-13,V,0.9744583,0,0,0,0
2023-09-14,V,0.99821955,0,0,0,0
2023-09-15,V,1.0148919,0,0,0,0
2023-09-18,V,0.9955039,0,0,0,0
2023-09-19,V,0.9930202,0,0,0,0
2023-09-20,V,0.97829324,0,0,0,0
2023-09-21,V,0.99353373,0,0,0,0
2023-09-22,V,0.99268323,0,0,0,0
2023-09-25,V,0.9841019,0,0,0,0
2023-09-26,V,0.99934685,0,0,0,0
2023-09-27,V,1.0094117,0,0,0,0
2023-09-28,V,0.9928774,0,0,0,0
2023-09-29,V,1.005478,0,0,0,0
2023-10-02,V,0.98936313,0,0,0,0
2023-10-03,V,1.0105326,0,0,0,0
2023-10-04,V,1.0097742,0,0,0,0
2023-10-05,V,1.0066816,0,0,0,0
2023-10-06,V,0.9974473,0,0,0,0
2023-10-09,V,1.0092134,0,0,0,0
2023-10-10,V,0.9961115,0,0,0,0
2023-10-11,V,1.0046674,0,0,0,0
2023-10-12,V,1.0037588,0,0,0,0
2023-10-13,V,1.0100981,0,0,0,0
2023-10-16,V,1.004707,0,0,0,0
2023-10-17,V,0.9845357,0,0,0,0
2023-10-18,V,0.98458743,0,0,0,0
